compound_code	compound_name	cd630_cefoperazone_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C01103	Orotidine_5'-phosphate	-4.644	6.529	0.271	117.35	-4.99	50.0
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	0.363	9.931	0.037	977.464	5.159	60.0
C03688	Apo-[acyl-carrier-protein]	4.954	10.274	0.482	1269.171	9.257	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	1.0	-9.895	0.002	954.12	-1.003	60.0
C01233	sn-Glycero-3-phosphoethanolamine	2.322	9.56	0.243	759.826	7.528	70.0
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	-2.222	-12.286	0.001	4998.734	-2.223	60.0
C00954	Indole-3-acetate	-4.346	-7.719	0.097	231.03	-4.479	50.0
C00957	Mercaptopyruvate	-5.041	13.054	0.004	8537.359	-5.047	50.0
C05345	beta-D-Fructose_6-phosphate	6.792	11.247	0.604	2541.251	10.584	90.0
C00387	Guanosine	7.15	10.207	0.7	1324.013	9.857	80.0
C05841	Nicotinate_D-ribonucleoside	6.358	10.458	0.608	1488.629	9.822	80.0
C00253	Nicotinate	-6.503	-10.577	0.059	1618.244	-6.586	80.0
C00250	Pyridoxal	4.755	13.09	0.363	8746.323	11.634	90.0
C00256	(R)-Lactate	8.87	9.865	0.899	1400.408	10.298	90.0
C05338	4-Hydroxyphenylacetyl-CoA	3.322	9.253	0.359	620.142	7.799	70.0
C00255	Riboflavin	-4.907	8.317	0.094	348.911	-5.037	50.0
C05336	Selenomethionyl-tRNA(Met)	-6.34	-11.107	0.037	2286.677	-6.392	70.0
C00392	Mannitol	8.384	6.492	0.774	424.078	8.359	70.0
C00258	D-Glycerate	-2.17	7.119	0.032	143.506	-2.216	60.0
C05335	L-Selenomethionine	3.524	11.107	0.317	2217.172	9.458	80.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-5.129	-12.974	0.004	8080.681	-5.135	50.0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	5.555	-8.908	0.098	527.383	-5.69	60.0
C01083	alpha,alpha-Trehalose	2.322	10.406	0.223	1361.807	8.247	70.0
C00559	Deoxyadenosine	-5.634	-9.295	0.079	677.825	-5.744	60.0
C00491	L-Cystine	4.322	9.879	0.437	961.62	8.717	70.0
C00492	Raffinose	1.0	-10.987	0.001	2031.629	-1.001	60.0
C00886	L-Alanyl-tRNA	-6.209	-10.154	0.065	1213.33	-6.3	70.0
C00498	ADP-glucose	-3.841	-10.762	0.008	1750.87	-3.853	50.0
C00882	Dephospho-CoA	-4.392	-8.778	0.048	459.972	-4.459	50.0
C00078	L-Tryptophan	6.508	9.728	0.669	939.06	9.295	80.0
C00079	L-Phenylalanine	2.907	8.358	0.348	335.602	6.867	60.0
C00072	Ascorbate	3.392	9.86	0.344	939.797	8.337	70.0
C00073	L-Methionine	5.036	6.437	0.782	119.451	6.546	60.0
C00071	Aldehyde	-8.584	-12.439	0.069	5936.545	-8.68	90.0
C00077	L-Ornithine	4.229	-6.331	0.233	99.257	-4.531	50.0
C00074	Phosphoenolpyruvate	-7.701	-9.999	0.203	1231.371	-7.968	90.0
C00075	UTP	8.593	11.025	0.779	2469.944	10.911	90.0
C16186	L-Ascorbate_6-phosphate	-3.392	9.359	0.016	667.156	-3.415	50.0
C00085	D-Fructose_6-phosphate	7.976	10.11	0.789	1356.906	10.064	90.0
C00084	Acetaldehyde	7.975	-11.497	0.087	3141.895	-8.095	90.0
C00083	Malonyl-CoA	-5.753	9.585	0.07	821.949	-5.851	70.0
C00082	L-Tyrosine	-3.0	6.503	0.088	98.698	-3.122	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-5.459	-9.644	0.055	844.067	-5.536	60.0
C00089	Sucrose	1.0	-11.578	0.001	3059.21	-1.001	60.0
C04646	6-Thioinosine-5'-monophosphate	6.755	-9.541	0.145	852.959	-6.95	80.0
C00670	sn-Glycero-3-phosphocholine	2.322	9.56	0.243	759.826	7.528	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-1.585	11.159	0.001	2289.619	-1.587	60.0
C00672	2-Deoxy-D-ribose_1-phosphate	6.066	6.658	0.911	167.981	7.258	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-4.209	-9.845	0.02	938.182	-4.238	50.0
C00106	Uracil	4.637	8.867	0.523	491.791	8.007	70.0
C00105	UMP	0.643	-5.608	0.032	50.334	-0.688	60.0
C00103	D-Glucose_1-phosphate	4.892	-10.525	0.02	1503.16	-4.921	50.0
C00100	Propanoyl-CoA	-7.704	-14.187	0.011	18859.962	-7.72	90.0
C00101	Tetrahydrofolate	3.711	8.119	0.457	291.107	7.056	60.0
C00109	2-Oxobutanoate	-2.031	11.874	0.001	3757.533	-2.033	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	4.392	8.644	0.508	421.035	7.741	70.0
C05764	Hexadecanoyl-[acp]	6.755	9.224	0.732	706.008	9.014	80.0
C06899	Chloral_hydrate	5.129	12.974	0.395	8080.681	11.641	90.0
C05761	Tetradecanoyl-[acp]	6.755	9.224	0.732	706.008	9.014	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	6.87	-12.37	0.022	5410.448	-6.902	80.0
C05763	trans-Hexadec-2-enoyl-[acp]	6.87	-12.37	0.022	5410.448	-6.902	80.0
C05762	3-Oxohexadecanoyl-[acp]	-6.472	10.995	0.043	2129.684	-6.533	70.0
C00361	dGDP	7.656	12.49	0.613	5954.297	11.834	90.0
C05807	2-Polyprenylphenol	3.807	9.424	0.404	700.917	8.145	70.0
C02992	L-Threonyl-tRNA(Thr)	-6.87	-10.84	0.064	1949.982	-6.959	80.0
C02995	Maltose_6'-phosphate	3.585	10.195	0.352	1184.198	8.702	70.0
C03090	5-Phosphoribosylamine	3.485	9.483	0.367	726.792	8.061	70.0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-5.409	-13.238	0.004	9703.778	-5.415	60.0
C07086	Phenylacetic_acid	-5.492	-9.299	0.071	674.914	-5.592	60.0
C02972	Dihydrolipoylprotein	5.883	12.148	0.484	4597.515	11.121	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.503	7.542	0.464	197.704	6.521	60.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-3.17	-7.542	0.048	195.367	-3.238	50.0
C00857	Deamino-NAD+	4.907	-8.916	0.062	513.043	-4.994	50.0
C04419	Carboxybiotin-carboxyl-carrier_protein	-5.2	11.494	0.013	2921.047	-5.218	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.687	9.842	0.112	1020.813	-6.841	80.0
C01172	beta-D-Glucose_6-phosphate	6.512	-10.345	0.07	1391.9	-6.61	80.0
C00473	Retinol	5.129	12.974	0.395	8080.681	11.641	90.0
C03892	Phosphatidylglycerophosphate	-5.555	-10.948	0.024	2022.51	-5.589	60.0
C02412	Glycyl-tRNA(Gly)	-6.931	-10.618	0.078	1693.602	-7.039	90.0
C00680	meso-2,6-Diaminoheptanedioate	2.379	9.516	0.25	737.354	7.526	70.0
C00689	alpha,alpha'-Trehalose_6-phosphate	8.611	-8.033	0.67	652.916	-8.773	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	8.483	14.319	0.592	20796.274	13.589	90.0
C00448	trans,trans-Farnesyl_diphosphate	4.728	7.766	0.609	244.172	7.216	60.0
C16551	Alcophosphamide	-5.129	-12.974	0.004	8080.681	-5.135	50.0
C00512	S-Benzoate_coenzyme_A	-3.322	-9.253	0.016	620.142	-3.345	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.741	10.95	0.054	2085.203	-6.817	80.0
C00921	Dihydropteroate	-4.644	9.476	0.035	737.134	-4.694	50.0
C00458	dCTP	-7.068	-10.432	0.097	1515.659	-7.202	90.0
C00459	dTTP	4.851	-9.918	0.03	996.281	-4.893	50.0
C00455	Nicotinamide_D-ribonucleotide	4.392	10.274	0.427	1259.171	9.072	80.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	5.164	12.245	0.422	4889.992	11.01	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-5.794	8.295	0.177	369.567	-6.029	70.0
C00330	Deoxyguanosine	6.358	10.458	0.608	1488.629	9.822	80.0
C00332	Acetoacetyl-CoA	-7.143	7.524	0.768	325.393	-7.965	90.0
C00334	4-Aminobutanoate	2.807	8.348	0.336	332.834	6.806	60.0
C00337	(S)-Dihydroorotate	5.044	-8.894	0.069	508.721	-5.141	60.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.741	10.95	0.054	2085.203	-6.817	80.0
C00631	2-Phospho-D-glycerate	-4.343	-8.606	0.052	409.935	-4.416	50.0
C00208	Maltose	3.392	12.938	0.262	7857.903	11.009	90.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-5.547	10.465	0.033	1460.198	-5.594	60.0
C07490	Trichloroethanol	-5.129	-12.974	0.004	8080.681	-5.135	50.0
C00025	L-Glutamate	-4.376	9.798	0.023	910.973	-4.409	50.0
C00024	Acetyl-CoA	-7.807	-12.271	0.045	5166.358	-7.871	90.0
C00148	L-Proline	9.076	8.679	0.956	949.558	9.827	80.0
C00026	2-Oxoglutarate	-4.713	8.372	0.079	357.529	-4.823	50.0
C00021	S-Adenosyl-L-homocysteine	5.087	10.272	0.495	1270.449	9.297	80.0
C00020	AMP	6.642	9.576	0.694	863.115	9.226	80.0
C00022	Pyruvate	-6.921	-9.913	0.126	1085.253	-7.092	90.0
C00143	5,10-Methylenetetrahydrofolate	-4.686	-7.314	0.162	184.864	-4.902	50.0
C00141	3-Methyl-2-oxobutanoic_acid	2.807	8.894	0.316	482.729	7.251	60.0
C00029	UDP-glucose	-3.744	-11.702	0.004	3345.0	-3.75	50.0
C00147	Adenine	-5.833	9.025	0.109	577.954	-5.983	70.0
C00144	GMP	-5.433	10.149	0.038	1178.613	-5.487	60.0
C05729	R-S-Cysteinylglycine	7.397	8.992	0.823	677.715	9.123	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.496	-11.081	0.005	2177.556	-3.503	50.0
C03232	3-Phosphonooxypyruvate	-3.322	7.725	0.047	221.572	-3.389	50.0
C00099	beta-Alanine	2.807	7.765	0.361	224.518	6.343	60.0
C05726	S-Substituted_L-cysteine	-7.488	-8.992	0.353	688.689	-7.924	90.0
C00705	dCDP	3.036	8.15	0.373	292.252	6.766	60.0
C06250	Holo-[carboxylase]	6.897	-10.833	0.065	1943.319	-6.988	80.0
C00314	Pyridoxine	4.755	13.09	0.363	8746.323	11.634	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.977	-6.392	0.667	209.957	-7.129	90.0
C01134	Pantetheine_4'-phosphate	-5.47	10.051	0.042	1105.17	-5.529	60.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.728	-10.355	0.081	1415.687	-6.84	80.0
C03512	L-Tryptophanyl-tRNA(Trp)	-6.508	-9.728	0.107	939.06	-6.655	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.426	-11.286	0.069	2669.003	-7.522	90.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.741	10.95	0.054	2085.203	-6.817	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-6.883	11.41	0.043	2839.178	-6.944	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.741	10.95	0.054	2085.203	-6.817	80.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-6.883	11.41	0.043	2839.178	-6.944	80.0
C20375	Glutaryl-[acp]_methyl_ester	8.18	9.224	0.887	888.018	9.621	80.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-6.066	-12.37	0.013	5360.473	-6.084	70.0
C05596	p-Hydroxyphenylacetylglycine	-3.322	-9.253	0.016	620.142	-3.345	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-6.066	-12.37	0.013	5360.473	-6.084	70.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	5.392	11.04	0.488	2147.568	10.035	90.0
C00415	Dihydrofolate	-5.555	6.132	0.67	117.145	-6.295	70.0
C00416	Phosphatidate	5.07	-9.714	0.04	873.448	-5.127	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	4.7	9.192	0.511	610.873	8.287	70.0
C00242	Guanine	-5.425	8.751	0.1	473.8	-5.562	60.0
C00245	Taurine	3.585	-10.208	0.01	1194.808	-3.6	50.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-5.129	-12.974	0.004	8080.681	-5.135	50.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	5.129	12.974	0.395	8080.681	11.641	90.0
C01097	D-Tagatose_6-phosphate	6.897	13.263	0.52	9949.346	12.337	90.0
C01096	Sorbitol_6-phosphate	-1.222	-9.457	0.003	705.147	-1.227	60.0
C01094	D-Fructose_1-phosphate	8.764	14.802	0.592	29000.511	14.068	90.0
C00068	Thiamin_diphosphate	2.217	-9.853	0.005	929.451	-2.224	60.0
C00342	Thioredoxin	-9.23	-12.088	0.138	4954.112	-9.416	90.0
C00343	Thioredoxin_disulfide	9.262	12.141	0.763	5130.493	11.934	90.0
C00344	Phosphatidylglycerol	5.7	9.747	0.585	911.273	9.058	80.0
C05684	Selenite	9.412	12.594	0.747	6863.84	12.325	90.0
C00063	CTP	8.415	10.483	0.803	1772.515	10.475	90.0
C00062	L-Arginine	4.939	-7.953	0.124	278.47	-5.107	50.0
C00065	L-Serine	5.374	-10.479	0.029	1468.698	-5.415	60.0
C00064	L-Glutamine	4.454	6.022	0.74	86.901	6.006	60.0
C16633	5-Fluorouridine	4.087	10.24	0.399	1226.331	8.935	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	5.751	10.616	0.542	1623.258	9.78	80.0
C16634	5-Fluorouridine_monophosphate	-4.087	-10.24	0.014	1226.331	-4.107	50.0
C19673	Malonyl-[acp]_methyl_ester	8.18	11.545	0.709	3278.092	11.182	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	6.476	9.405	0.689	766.95	9.045	80.0
C00668	alpha-D-Glucose_6-phosphate	7.226	10.918	0.662	2084.549	10.43	90.0
C00666	LL-2,6-Diaminoheptanedioate	-4.217	-9.089	0.034	563.177	-4.265	50.0
C00663	beta-D-Glucose_1-phosphate	-2.0	-10.939	0.002	1967.212	-2.003	60.0
C02163	L-Arginyl-tRNA(Arg)	-6.248	-9.771	0.087	949.707	-6.368	70.0
C00114	Choline	-2.322	-9.56	0.007	759.826	-2.332	60.0
C00117	D-Ribose_5-phosphate	-6.344	10.686	0.049	1728.662	-6.413	70.0
C00111	Glycerone_phosphate	-6.964	12.26	0.025	5029.718	-7.0	80.0
C02380	6-Mercaptopurine	6.229	10.655	0.585	1687.416	9.946	80.0
C00112	CDP	-6.204	7.801	0.331	296.736	-6.616	80.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-6.094	-11.705	0.02	3406.845	-6.123	70.0
C00118	D-Glyceraldehyde_3-phosphate	-5.357	-13.523	0.003	11812.398	-5.362	60.0
C03492	D-4'-Phosphopantothenate	-3.807	-7.295	0.089	171.038	-3.93	50.0
C01346	dUDP	-2.115	6.943	0.035	127.373	-2.165	60.0
C05750	3-Oxooctanoyl-[acp]	-6.472	10.995	0.043	2129.684	-6.533	70.0
C05751	trans-Oct-2-enoyl-[acp]	6.87	-12.37	0.022	5410.448	-6.902	80.0
C05752	Octanoyl-[acp]	6.755	9.224	0.732	706.008	9.014	80.0
C05753	3-Oxodecanoyl-[acp]	-6.472	10.995	0.043	2129.684	-6.533	70.0
C05754	trans-Dec-2-enoyl-[acp]	6.87	-12.37	0.022	5410.448	-6.902	80.0
C05755	Decanoyl-[acp]	6.755	9.224	0.732	706.008	9.014	80.0
C05756	3-Oxododecanoyl-[acp]	-6.883	11.41	0.043	2839.178	-6.944	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.741	10.95	0.054	2085.203	-6.817	80.0
C05758	trans-Dodec-2-enoyl-[acp]	6.87	-12.37	0.022	5410.448	-6.902	80.0
C05759	3-Oxotetradecanoyl-[acp]	-6.883	11.41	0.043	2839.178	-6.944	80.0
C05811	2-Octaprenyl-6-hydroxyphenol	-3.807	-9.424	0.02	700.917	-3.836	50.0
C05810	2-Octaprenylphenol	3.807	9.424	0.404	700.917	8.145	70.0
C00188	L-Threonine	6.435	-9.239	0.143	690.772	-6.628	80.0
C00189	Ethanolamine	5.044	-9.56	0.044	787.817	-5.106	50.0
C02702	L-Prolyl-tRNA(Pro)	-8.798	-11.55	0.148	3443.552	-8.998	90.0
C00183	L-Valine	7.15	-8.352	0.435	468.765	-7.671	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-3.273	6.492	0.107	99.676	-3.42	50.0
C00010	CoA	-7.622	8.728	0.465	621.016	-8.172	90.0
C04216	all-trans-Heptaprenyl_diphosphate	-4.322	-9.875	0.021	959.013	-4.352	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.644	-10.394	0.074	1445.578	-6.747	80.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-1.848	-5.728	0.068	56.603	-1.943	60.0
C02553	L-Seryl-tRNA(Ser)	-7.14	-11.053	0.066	2265.68	-7.233	90.0
C16348	cis-3-Chloroallyl_aldehyde	-7.823	-11.217	0.095	2606.862	-7.954	90.0
C00327	L-Citrulline	4.787	8.873	0.54	496.463	8.065	70.0
C00015	UDP	-5.812	7.134	0.4	196.639	-6.297	70.0
C00160	Glycolate	8.403	-9.995	0.332	1358.954	-8.816	90.0
C02554	L-Valyl-tRNA(Val)	-7.15	-11.077	0.066	2302.301	-7.242	90.0
C06715	3-Oxopimeloyl-CoA	3.322	9.253	0.359	620.142	7.799	70.0
C16237	Protein_N6-(lipoyl)lysine	-5.17	-12.328	0.007	5177.596	-5.18	60.0
C00446	alpha-D-Galactose_1-phosphate	4.524	-10.687	0.014	1671.578	-4.544	50.0
C00445	5,10-Methenyltetrahydrofolate	4.719	7.853	0.601	257.537	7.274	70.0
C01762	Xanthosine	6.989	10.283	0.68	1372.951	9.866	80.0
