compound_code	compound_name	bacteroides_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C00229	Acyl-carrier_protein	6.651	-4.459	0.219	122.49	-4.745	90.0
C00882	Dephospho-CoA	-2.0	-5.392	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-3.79	-2.737	0.0	0.0	0.0	50.0
C03451	(R)-S-Lactoylglutathione	3.7	5.7	0.649	64.98	5.398	90.0
C00718	Amylose	-3.907	4.129	0.857	32.498	-4.8	90.0
C00546	Methylglyoxal	-4.209	-4.728	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.492	-7.531	0.0	0.0	0.0	50.0
C05840	Iminoaspartate	2.585	-3.0	0.75	14.0	-3.392	80.0
C00152	L-Asparagine	4.152	-3.147	0.498	26.636	-3.73	80.0
C00365	dUMP	-1.939	-3.802	0.0	0.0	0.0	50.0
C00361	dGDP	2.36	-4.459	0.233	27.127	-2.663	70.0
C00058	Formate	3.781	-4.409	0.647	34.991	-4.501	90.0
C00003	NAD+	0.737	-1.874	0.455	5.332	-1.278	50.0
C00002	ATP	7.597	1.126	0.148	195.791	4.859	90.0
C00369	Starch	3.737	-4.872	0.455	42.617	-4.278	90.0
C05703	Methaneselenol	-3.644	-7.989	0.0	0.0	0.0	50.0
C15972	Enzyme_N6-(lipoyl)lysine	-2.807	1.0	0.286	8.998	-1.363	60.0
C03722	Quinolinate	3.807	3.0	0.788	21.997	4.116	80.0
C06056	4-Hydroxy-L-threonine	-1.585	-4.322	0.0	0.0	0.0	50.0
C00021	S-Adenosyl-L-homocysteine	-2.678	-4.0	0.0	0.0	0.0	50.0
C06188	Salicin_6-phosphate	1.0	1.0	1.0	4.0	2.0	70.0
C00255	Riboflavin	-2.585	6.209	0.081	79.977	-2.698	70.0
C00416	Phosphatidate	4.768	-5.295	0.694	66.507	-5.528	90.0
C01081	Thiamin_monophosphate	2.585	-2.585	1.0	12.0	-3.585	80.0
C00559	Deoxyadenosine	2.322	2.322	1.0	10.0	3.322	80.0
C00491	L-Cystine	2.807	3.0	0.936	14.998	3.811	80.0
C00492	Raffinose	-0.585	0.737	0.9	3.167	-1.511	60.0
C01528	Hydrogen_selenide	-3.544	-7.407	0.0	0.0	0.0	50.0
C00886	L-Alanyl-tRNA	-5.426	-6.392	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-5.214	-3.636	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	4.644	-1.085	0.085	27.124	-1.202	50.0
C00095	D-Fructose	0.585	-1.515	0.525	4.358	-1.194	50.0
C00097	L-Cysteine	-2.97	-3.669	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	5.087	4.248	0.835	52.99	5.468	90.0
C00079	L-Phenylalanine	1.049	-2.416	0.388	7.406	-1.522	60.0
C00993	D-Alanyl-D-alanine	-3.585	5.129	0.343	46.993	-4.01	90.0
C00074	Phosphoenolpyruvate	-6.42	-7.778	0.0	0.0	0.0	50.0
C00075	UTP	7.54	1.1	0.146	188.252	4.779	90.0
C00620	alpha-D-Ribose_1-phosphate	5.755	4.392	0.763	75.0	5.839	90.0
C00208	Maltose	-3.7	4.209	0.703	31.49	-4.468	90.0
C00242	Guanine	3.442	4.353	0.791	31.303	4.629	90.0
C00083	Malonyl-CoA	3.871	-7.202	0.099	161.869	-4.008	80.0
C00082	L-Tyrosine	-2.229	0.081	0.226	5.746	-0.375	50.0
C03785	D-Tagatose_1,6-bisphosphate	-4.524	-2.0	0.0	0.0	0.0	50.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-4.17	7.098	0.131	154.998	-4.348	90.0
C00407	L-Isoleucine	2.926	5.24	0.558	45.392	4.664	90.0
C00089	Sucrose	-1.0	0.585	0.75	3.5	-1.392	60.0
C01151	D-Ribose_1,5-bisphosphate	-5.129	-4.585	0.0	0.0	0.0	50.0
C00670	sn-Glycero-3-phosphocholine	2.322	2.322	1.0	10.0	3.322	80.0
C00166	Phenylpyruvate	3.316	3.653	0.908	22.538	4.355	90.0
C06055	O-Phospho-4-hydroxy-L-threonine	-3.719	2.874	0.557	20.499	-3.513	80.0
C02988	L-Histidyl-tRNA(His)	-2.322	-6.375	0.0	0.0	0.0	50.0
C02984	L-Aspartyl-tRNA(Asp)	-5.755	-5.82	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	6.57	1.807	0.275	98.509	4.76	90.0
C03263	Coproporphyrinogen_III	2.322	2.322	1.0	10.0	3.322	80.0
C02047	L-Leucyl-tRNA	-5.7	-6.443	0.0	0.0	0.0	50.0
C00106	Uracil	1.0	-3.17	0.222	11.0	-1.289	60.0
C00068	Thiamin_diphosphate	1.487	-0.222	0.416	3.969	-0.724	50.0
C00342	Thioredoxin	1.848	-8.962	0.007	502.29	-1.858	60.0
C00343	Thioredoxin_disulfide	-2.459	8.956	0.011	502.119	-2.475	70.0
C05686	Adenylylselenate	-3.459	-3.0	0.0	0.0	0.0	50.0
C00103	D-Glucose_1-phosphate	1.322	3.676	0.36	15.282	2.458	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.044	-5.807	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-1.322	-2.75	0.0	0.0	0.0	50.0
C00063	CTP	7.875	0.918	0.117	236.643	4.786	90.0
C00062	L-Arginine	-4.147	6.426	0.206	103.7	-4.417	90.0
C00065	L-Serine	-2.862	-4.972	0.0	0.0	0.0	50.0
C00064	L-Glutamine	2.538	-5.921	0.096	66.398	-2.67	70.0
C00109	2-Oxobutanoate	2.755	-1.722	0.489	10.049	-2.296	70.0
C00860	L-Histidinol	0.585	-2.322	0.3	6.5	-0.964	50.0
C00123	L-Leucine	2.939	3.939	0.746	23.006	4.101	80.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	3.0	-5.129	0.229	42.993	-3.297	80.0
C00577	D-Glyceraldehyde	-6.57	1.379	0.027	97.61	-1.418	60.0
C01419	Cys-Gly	5.087	4.248	0.835	52.99	5.468	90.0
C00279	D-Erythrose_4-phosphate	5.755	-5.346	0.753	94.677	-6.156	90.0
C03175	Shikimate_3-phosphate	2.0	1.322	0.661	6.5	2.103	70.0
C00275	D-Mannose_6-phosphate	4.144	4.755	0.872	44.682	5.283	90.0
C00008	ADP	-3.624	3.404	0.859	22.915	-4.298	90.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	3.17	1.648	0.52	12.134	2.657	70.0
C00666	LL-2,6-Diaminoheptanedioate	1.757	3.576	0.491	15.306	2.911	70.0
C00179	Agmatine	-4.322	3.0	0.4	28.001	-3.485	80.0
C00475	Cytidine	0.737	-0.379	0.78	2.967	-1.211	50.0
C00294	Inosine	2.0	-3.17	0.444	13.0	-2.53	70.0
C02163	L-Arginyl-tRNA(Arg)	-2.807	-6.426	0.0	0.0	0.0	50.0
C00114	Choline	-2.322	-2.322	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-3.798	-2.747	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-3.637	0.14	0.089	13.543	-0.262	50.0
C03090	5-Phosphoribosylamine	-2.0	-4.678	0.0	0.0	0.0	50.0
C05697	Selenate	3.459	3.0	0.867	18.997	4.042	80.0
C00112	CDP	-4.334	3.248	0.471	29.669	-3.805	80.0
C05699	L-Selenocystathionine	2.807	3.0	0.936	14.998	3.811	80.0
C05698	Selenohomocysteine	4.322	-3.0	0.4	28.001	-3.485	80.0
C00668	alpha-D-Glucose_6-phosphate	-6.268	-4.137	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.828	1.652	0.885	6.693	-2.567	70.0
C00118	D-Glyceraldehyde_3-phosphate	4.742	4.181	0.882	44.899	5.307	90.0
C01962	Thiocysteine	-2.807	-3.0	0.0	0.0	0.0	50.0
C01079	Protoporphyrinogen_IX	-2.322	-2.322	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.415	-1.737	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	3.059	2.322	0.759	13.334	3.339	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	3.0	-5.459	0.182	51.987	-3.241	80.0
C00506	L-Cysteate	4.426	5.883	0.752	80.511	5.921	90.0
C00263	L-Homoserine	0.115	-0.415	0.812	2.416	-0.973	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	1.585	5.129	0.309	37.993	3.553	80.0
C01172	beta-D-Glucose_6-phosphate	-3.836	-1.184	0.0	0.0	0.0	50.0
C00267	alpha-D-Glucose	2.243	-0.447	0.288	6.097	-0.812	50.0
C00235	Dimethylallyl_diphosphate	2.322	-5.706	0.096	57.201	-2.454	70.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-2.907	-4.524	0.0	0.0	0.0	50.0
C00188	L-Threonine	3.565	-3.503	0.958	23.172	-4.472	90.0
C00189	Ethanolamine	-2.322	4.7	0.192	30.992	-2.576	70.0
C00185	Cellobiose	7.679	-3.17	0.044	213.932	-3.232	80.0
C00460	dUTP	-4.248	4.129	0.921	36.498	-5.071	90.0
C00120	Biotin	-1.222	-1.222	0.0	0.0	0.0	50.0
C00286	dGTP	-2.443	3.737	0.408	18.771	-2.936	80.0
C00124	D-Galactose	5.585	2.26	0.405	52.791	4.417	90.0
C00011	CO2	6.083	-1.7	0.048	71.039	-1.768	60.0
C00129	Isopentenyl_diphosphate	2.248	-5.615	0.097	53.76	-2.381	70.0
C00288	HCO3-	-2.585	7.271	0.039	160.451	-2.64	70.0
C02412	Glycyl-tRNA(Gly)	-5.0	-7.095	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	1.026	0.851	0.829	3.84	1.671	70.0
C02553	L-Seryl-tRNA(Ser)	-4.0	-4.0	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	5.825	-3.273	0.171	66.356	-3.5	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	3.585	-2.0	0.333	16.0	-2.415	70.0
C00568	4-Aminobenzoate	3.459	-4.644	0.44	35.999	-3.985	80.0
C02291	L-Cystathionine	2.807	3.0	0.936	14.998	3.811	80.0
C00458	dCTP	1.708	3.737	0.457	16.601	2.924	70.0
C00459	dTTP	-3.974	3.895	0.947	30.591	-4.856	90.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-2.807	-3.248	0.0	0.0	0.0	50.0
C00217	D-Glutamate	-2.322	-5.044	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	5.001	-2.055	0.13	36.178	-2.231	60.0
C00212	Adenosine	1.585	1.585	1.0	6.0	2.585	70.0
C00606	3-Sulfino-L-alanine	-4.989	-3.059	0.0	0.0	0.0	50.0
C00036	Oxaloacetate	6.439	-3.493	0.13	98.021	-3.669	80.0
C00037	Glycine	2.143	4.951	0.433	35.348	3.935	80.0
C01697	Galactitol	4.807	4.565	0.95	51.663	5.617	90.0
C00035	GDP	0.536	3.907	0.137	16.451	1.174	70.0
C00033	Acetate	-1.363	-2.747	0.0	0.0	0.0	50.0
C00031	D-Glucose	7.86	-3.369	0.044	242.657	-3.432	80.0
C00134	Putrescine	3.322	-3.369	0.968	20.332	-4.299	90.0
C00133	D-Alanine	-1.0	3.222	0.214	11.331	-1.28	60.0
C00352	D-Glucosamine_6-phosphate	3.301	-0.415	0.135	11.189	-0.598	50.0
C16237	Protein_N6-(lipoyl)lysine	2.632	-4.858	0.214	35.199	-2.911	80.0
C01097	D-Tagatose_6-phosphate	4.524	2.0	0.442	27.007	3.578	80.0
C00299	Uridine	-0.547	2.095	0.342	5.733	-0.971	50.0
C00631	2-Phospho-D-glycerate	-0.603	-4.99	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	1.415	-2.663	0.421	9.0	-1.922	60.0
C00526	Deoxyuridine	-1.848	2.807	0.514	10.598	-2.447	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	3.0	-5.129	0.229	42.993	-3.297	80.0
C00041	L-Alanine	3.273	3.194	0.976	18.818	4.199	80.0
C00040	Acyl-CoA	1.585	4.17	0.38	21.001	2.997	80.0
C00047	L-Lysine	3.907	-4.248	0.789	34.002	-4.747	90.0
C00046	RNA	-7.433	-0.817	0.0	0.0	0.0	50.0
C00044	GTP	-6.685	2.107	0.042	107.201	-2.166	60.0
C00049	L-Aspartate	-0.324	-0.562	0.0	0.0	0.0	50.0
C00206	dADP	3.115	-3.104	0.992	17.262	-4.099	90.0
