compound_code	compound_name	clostridium_630_score	bacteroides_630_score	ratio	magnitude	interaction_score	percentile
C00208	Maltose	4.209	-3.7	0.703	31.49	-4.468	80.0
C00242	Guanine	4.353	3.442	0.791	31.303	4.629	90.0
C00083	Malonyl-CoA	-7.202	3.871	0.099	161.869	-4.008	80.0
C00082	L-Tyrosine	0.081	-2.229	0.226	5.746	-0.375	70.0
C05686	Adenylylselenate	-3.0	-3.459	0.727	18.997	-3.789	70.0
C03785	D-Tagatose_1,6-bisphosphate	-2.0	-4.524	0.174	27.007	-2.231	50.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	7.098	-4.17	0.131	154.998	-4.348	80.0
C00407	L-Isoleucine	5.24	2.926	0.558	45.392	4.664	90.0
C00089	Sucrose	0.585	-1.0	0.75	3.5	-1.392	60.0
C01151	D-Ribose_1,5-bisphosphate	-4.585	-5.129	0.686	58.994	-5.338	90.0
C00670	sn-Glycero-3-phosphocholine	2.322	2.322	1.0	10.0	3.322	80.0
C00166	Phenylpyruvate	3.653	3.316	0.908	22.538	4.355	90.0
C06055	O-Phospho-4-hydroxy-L-threonine	2.874	-3.719	0.557	20.499	-3.513	70.0
C02988	L-Histidyl-tRNA(His)	-6.375	-2.322	0.06	87.998	-2.406	50.0
C02984	L-Aspartyl-tRNA(Asp)	-5.82	-5.755	0.956	110.497	-6.723	90.0
C01094	D-Fructose_1-phosphate	1.807	6.57	0.275	98.509	4.76	90.0
C03263	Coproporphyrinogen_III	2.322	2.322	1.0	10.0	3.322	80.0
C02047	L-Leucyl-tRNA	-6.443	-5.7	0.597	138.988	-6.376	90.0
C00106	Uracil	-3.17	1.0	0.222	11.0	-1.289	60.0
C00068	Thiamin_diphosphate	-0.222	1.487	0.416	3.969	-0.724	70.0
C00342	Thioredoxin	-8.962	1.848	0.007	502.29	-1.858	50.0
C00343	Thioredoxin_disulfide	8.956	-2.459	0.011	502.119	-2.475	50.0
C03082	4-Phospho-L-aspartate	-4.018	2.04	0.254	20.313	-2.366	50.0
C00103	D-Glucose_1-phosphate	3.676	1.322	0.36	15.282	2.458	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.807	-5.044	0.589	88.977	-5.712	90.0
C00101	Tetrahydrofolate	-2.75	-1.322	0.372	9.227	-1.778	50.0
C00063	CTP	0.918	7.875	0.117	236.643	4.786	90.0
C00062	L-Arginine	6.426	-4.147	0.206	103.7	-4.417	80.0
C00065	L-Serine	-4.972	-2.862	0.232	38.655	-3.163	60.0
C00064	L-Glutamine	-5.921	2.538	0.096	66.398	-2.67	60.0
C00109	2-Oxobutanoate	-1.722	2.755	0.489	10.049	-2.296	50.0
C00860	L-Histidinol	-2.322	0.585	0.3	6.5	-0.964	60.0
C00123	L-Leucine	3.939	2.939	0.746	23.006	4.101	80.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-5.129	3.0	0.229	42.993	-3.297	60.0
C00577	D-Glyceraldehyde	1.379	-6.57	0.027	97.61	-1.418	50.0
C01419	Cys-Gly	4.248	5.087	0.835	52.99	5.468	90.0
C00279	D-Erythrose_4-phosphate	-5.346	5.755	0.753	94.677	-6.156	90.0
C03175	Shikimate_3-phosphate	1.322	2.0	0.661	6.5	2.103	70.0
C00275	D-Mannose_6-phosphate	4.755	4.144	0.872	44.682	5.283	90.0
C00361	dGDP	-4.459	2.36	0.233	27.127	-2.663	60.0
C00668	alpha-D-Glucose_6-phosphate	-4.137	-6.268	0.228	94.659	-4.434	80.0
C00666	LL-2,6-Diaminoheptanedioate	3.576	1.757	0.491	15.306	2.911	70.0
C00179	Agmatine	3.0	-4.322	0.4	28.001	-3.485	70.0
C00475	Cytidine	-0.379	0.737	0.78	2.967	-1.211	60.0
C00294	Inosine	-3.17	2.0	0.444	13.0	-2.53	50.0
C02163	L-Arginyl-tRNA(Arg)	-6.426	-2.807	0.081	92.982	-2.92	60.0
C00114	Choline	-2.322	-2.322	1.0	10.0	-3.322	60.0
C00117	D-Ribose_5-phosphate	-2.747	-3.798	0.483	20.623	-3.315	60.0
C00111	Glycerone_phosphate	0.14	-3.637	0.089	13.543	-0.262	70.0
C03090	5-Phosphoribosylamine	-4.678	-2.0	0.156	29.599	-2.209	50.0
C05697	Selenate	3.0	3.459	0.867	18.997	4.042	80.0
C00112	CDP	3.248	-4.334	0.471	29.669	-3.805	70.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-4.524	-2.907	0.326	30.508	-3.314	60.0
C05698	Selenohomocysteine	-3.0	4.322	0.4	28.001	-3.485	70.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	1.648	3.17	0.52	12.134	2.657	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	1.652	-1.828	0.885	6.693	-2.567	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.181	4.742	0.882	44.899	5.307	90.0
C01962	Thiocysteine	-3.0	-2.807	0.875	14.998	-3.714	70.0
C01079	Protoporphyrinogen_IX	-2.322	-2.322	1.0	10.0	-3.322	60.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.737	-1.415	0.8	6.0	-2.263	50.0
C00857	Deamino-NAD+	2.322	3.059	0.759	13.334	3.339	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-5.459	3.0	0.182	51.987	-3.241	60.0
C00506	L-Cysteate	5.883	4.426	0.752	80.511	5.921	90.0
C00263	L-Homoserine	-0.415	0.115	0.812	2.416	-0.973	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	5.129	1.585	0.309	37.993	3.553	80.0
C01172	beta-D-Glucose_6-phosphate	-1.184	-3.836	0.159	16.553	-1.397	60.0
C00267	alpha-D-Glucose	-0.447	2.243	0.288	6.097	-0.812	70.0
C00235	Dimethylallyl_diphosphate	-5.706	2.322	0.096	57.201	-2.454	50.0
C00188	L-Threonine	-3.503	3.565	0.958	23.172	-4.472	80.0
C00189	Ethanolamine	4.7	-2.322	0.192	30.992	-2.576	50.0
C00185	Cellobiose	-3.17	7.679	0.044	213.932	-3.232	60.0
C00460	dUTP	4.129	-4.248	0.921	36.498	-5.071	90.0
C00120	Biotin	-1.222	-1.222	1.0	4.665	-2.222	50.0
C00286	dGTP	3.737	-2.443	0.408	18.771	-2.936	60.0
C00124	D-Galactose	2.26	5.585	0.405	52.791	4.417	90.0
C00011	CO2	-1.7	6.083	0.048	71.039	-1.768	50.0
C00129	Isopentenyl_diphosphate	-5.615	2.248	0.097	53.76	-2.381	50.0
C00288	HCO3-	7.271	-2.585	0.039	160.451	-2.64	50.0
C02412	Glycyl-tRNA(Gly)	-7.095	-5.0	0.234	168.712	-5.303	90.0
C00680	meso-2,6-Diaminoheptanedioate	0.851	1.026	0.829	3.84	1.671	70.0
C02553	L-Seryl-tRNA(Ser)	-4.0	-4.0	1.0	32.0	-5.0	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-3.273	5.825	0.171	66.356	-3.5	70.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.0	3.585	0.333	16.0	-2.415	50.0
C00568	4-Aminobenzoate	-4.644	3.459	0.44	35.999	-3.985	80.0
C02291	L-Cystathionine	3.0	2.807	0.936	14.998	3.811	80.0
C00458	dCTP	3.737	1.708	0.457	16.601	2.924	70.0
C00459	dTTP	3.895	-3.974	0.947	30.591	-4.856	90.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-3.248	-2.807	0.737	16.499	-3.603	70.0
C00217	D-Glutamate	-5.044	-2.322	0.152	37.991	-2.526	50.0
C00197	3-Phospho-D-glycerate	-2.055	5.001	0.13	36.178	-2.231	50.0
C00212	Adenosine	1.585	1.585	1.0	6.0	2.585	70.0
C00606	3-Sulfino-L-alanine	-3.059	-4.989	0.262	40.091	-3.395	70.0
C00036	Oxaloacetate	-3.493	6.439	0.13	98.021	-3.669	70.0
C00037	Glycine	4.951	2.143	0.433	35.348	3.935	80.0
C01697	Galactitol	4.565	4.807	0.95	51.663	5.617	90.0
C00035	GDP	3.907	0.536	0.137	16.451	1.174	70.0
C00033	Acetate	-2.747	-1.363	0.383	9.285	-1.831	50.0
C00031	D-Glucose	-3.369	7.86	0.044	242.657	-3.432	70.0
C00134	Putrescine	-3.369	3.322	0.968	20.332	-4.299	80.0
C00133	D-Alanine	3.222	-1.0	0.214	11.331	-1.28	60.0
C00352	D-Glucosamine_6-phosphate	-0.415	3.301	0.135	11.189	-0.598	70.0
C16237	Protein_N6-(lipoyl)lysine	-4.858	2.632	0.214	35.199	-2.911	60.0
C01097	D-Tagatose_6-phosphate	2.0	4.524	0.442	27.007	3.578	80.0
C05699	L-Selenocystathionine	3.0	2.807	0.936	14.998	3.811	80.0
C00299	Uridine	2.095	-0.547	0.342	5.733	-0.971	60.0
C00631	2-Phospho-D-glycerate	-4.99	-0.603	0.048	33.298	-0.67	70.0
C00441	L-Aspartate_4-semialdehyde	-2.663	1.415	0.421	9.0	-1.922	50.0
C00526	Deoxyuridine	2.807	-1.848	0.514	10.598	-2.447	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-5.129	3.0	0.229	42.993	-3.297	60.0
C00041	L-Alanine	3.194	3.273	0.976	18.818	4.199	80.0
C00040	Acyl-CoA	4.17	1.585	0.38	21.001	2.997	80.0
C00047	L-Lysine	-4.248	3.907	0.789	34.002	-4.747	80.0
C00046	RNA	-0.817	-7.433	0.01	174.567	-0.832	60.0
C00044	GTP	2.107	-6.685	0.042	107.201	-2.166	50.0
C00049	L-Aspartate	-0.562	-0.324	0.848	2.728	-1.21	60.0
C00206	dADP	-3.104	3.115	0.992	17.262	-4.099	80.0
