compound_code	compound_name	lactobacillus_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C05596	p-Hydroxyphenylacetylglycine	-9.253	-4.17	0.0	0.0	0.0	50.0
C00058	Formate	13.889	-4.409	0.001	15191.944	-4.411	80.0
C00003	NAD+	6.333	-1.874	0.045	84.282	-1.938	60.0
C00002	ATP	-10.255	1.126	0.002	1224.158	-1.129	60.0
C00369	Starch	10.336	-4.872	0.023	1321.829	-4.904	90.0
C05703	Methaneselenol	-12.033	-7.989	0.0	0.0	0.0	50.0
C00376	Retinal	-12.974	-4.044	0.0	0.0	0.0	50.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	11.04	5.492	0.497	2150.582	10.063	90.0
C06188	Salicin_6-phosphate	13.655	1.0	0.073	12901.254	9.884	90.0
C05338	4-Hydroxyphenylacetyl-CoA	9.253	4.17	0.451	628.142	8.145	80.0
C00255	Riboflavin	8.317	6.209	0.747	392.886	8.196	80.0
C00392	Mannitol	6.492	8.707	0.746	507.905	8.565	80.0
C00258	D-Glycerate	7.119	-0.918	0.014	140.895	-0.937	60.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-12.974	-4.044	0.0	0.0	0.0	50.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	12.974	4.044	0.312	8062.183	11.295	90.0
C00099	beta-Alanine	7.765	1.322	0.17	220.019	5.227	70.0
C00559	Deoxyadenosine	-9.295	2.322	0.008	633.165	-2.333	70.0
C00491	L-Cystine	9.879	3.0	0.304	949.619	8.172	80.0
C00492	Raffinose	-10.987	0.737	0.001	2031.295	-0.738	60.0
C01528	Hydrogen_selenide	-11.785	-7.407	0.0	0.0	0.0	50.0
C00091	Succinyl-CoA	-12.148	-0.263	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-11.236	-3.636	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	9.286	-1.085	0.003	626.38	-1.09	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-6.392	5.459	0.524	127.968	-6.067	90.0
C00095	D-Fructose	10.51	-1.515	0.002	1461.085	-1.518	60.0
C00097	L-Cysteine	-9.279	-3.669	0.0	0.0	0.0	50.0
C14099	2-Naphthaldehyde	-13.176	-3.209	0.0	0.0	0.0	50.0
C00079	L-Phenylalanine	8.358	-2.416	0.016	333.439	-2.439	70.0
C00993	D-Alanyl-D-alanine	-12.646	5.129	0.005	6444.51	-5.137	90.0
C14090	1-Naphthaldehyde	-13.176	-3.209	0.0	0.0	0.0	50.0
C00071	Aldehyde	-12.439	-3.196	0.0	0.0	0.0	50.0
C02282	Glutaminyl-tRNA	11.185	-5.771	0.023	2382.808	-5.804	90.0
C00074	Phosphoenolpyruvate	-9.999	-7.778	0.0	0.0	0.0	50.0
C00075	UTP	11.025	1.1	0.1	2085.942	7.701	70.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	9.253	4.17	0.451	628.142	8.145	80.0
C11949	3-Isopropylbut-3-enoyl-CoA	-9.253	-4.17	0.0	0.0	0.0	50.0
C00123	L-Leucine	-8.508	3.939	0.042	379.389	-3.999	80.0
C00084	Acetaldehyde	-11.497	-2.522	0.0	0.0	0.0	50.0
C07118	Benzoyl_acetyl-CoA	9.253	4.17	0.451	628.142	8.145	80.0
C00082	L-Tyrosine	6.503	0.081	0.012	91.756	0.193	70.0
C03785	D-Tagatose_1,6-bisphosphate	-13.098	-2.0	0.0	0.0	0.0	50.0
C00294	Inosine	10.008	-3.17	0.009	1038.695	-3.183	70.0
C00407	L-Isoleucine	-8.343	5.24	0.116	362.5	-5.399	90.0
C00089	Sucrose	-11.578	0.585	0.0	3058.71	-0.586	60.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	12.974	4.044	0.312	8062.183	11.295	90.0
C00670	sn-Glycero-3-phosphocholine	9.56	2.322	0.243	759.826	7.528	70.0
C00672	2-Deoxy-D-ribose_1-phosphate	6.658	-4.248	0.188	119.986	-4.497	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	8.678	2.874	0.331	416.911	7.109	70.0
C02988	L-Histidyl-tRNA(His)	-10.085	-6.375	0.0	0.0	0.0	50.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-8.669	-3.624	0.0	0.0	0.0	50.0
C02984	L-Aspartyl-tRNA(Asp)	-11.787	-5.82	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	14.802	1.807	0.122	28569.273	11.768	90.0
C02047	L-Leucyl-tRNA	-10.92	-6.443	0.0	0.0	0.0	50.0
C06613	trans-3-Chloroallyl_aldehyde	-11.217	-0.078	0.0	0.0	0.0	50.0
C00106	Uracil	8.867	-3.17	0.019	475.91	-3.198	70.0
C00068	Thiamin_diphosphate	-9.853	-0.222	0.0	0.0	0.0	50.0
C00342	Thioredoxin	-12.088	-8.962	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	12.141	8.956	0.738	5013.153	11.853	90.0
C03082	4-Phospho-L-aspartate	5.271	-4.018	0.42	54.813	-4.523	80.0
C00103	D-Glucose_1-phosphate	-10.525	3.676	0.009	1486.25	-3.688	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-11.766	-5.807	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	8.119	-2.75	0.024	284.739	-2.784	70.0
C00063	CTP	10.483	0.918	0.088	1433.08	6.971	70.0
C00062	L-Arginine	-7.953	6.426	0.347	333.779	-6.856	90.0
C00065	L-Serine	-10.479	-4.972	0.0	0.0	0.0	50.0
C00064	L-Glutamine	6.022	-5.921	0.932	125.573	-6.871	90.0
C00109	2-Oxobutanoate	11.874	-1.722	0.001	3756.745	-1.723	60.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	9.253	4.17	0.451	628.142	8.145	80.0
C14089	1-Hydroxymethylnaphthalene	13.176	3.209	0.244	9264.136	11.14	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	8.644	-5.129	0.087	435.033	-5.25	90.0
C00577	D-Glyceraldehyde	-15.397	1.379	0.0	43150.419	-1.379	60.0
C01419	Cys-Gly	8.992	4.248	0.472	528.17	7.963	70.0
C06899	Chloral_hydrate	12.974	4.044	0.312	8062.183	11.295	90.0
C00279	D-Erythrose_4-phosphate	15.309	-5.346	0.001	40635.267	-5.347	90.0
C01412	Butanal	12.762	1.585	0.124	6949.16	9.753	80.0
C00361	dGDP	12.49	-4.459	0.004	5774.6	-4.465	80.0
C00117	D-Ribose_5-phosphate	10.686	-2.747	0.004	1654.142	-2.753	70.0
C06715	3-Oxopimeloyl-CoA	9.253	4.17	0.451	628.142	8.145	80.0
C00669	gamma-L-Glutamyl-L-cysteine	-10.77	-2.585	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	10.918	-4.137	0.009	1952.436	-4.15	80.0
C00666	LL-2,6-Diaminoheptanedioate	-9.089	3.576	0.022	556.506	-3.607	70.0
C00663	beta-D-Glucose_1-phosphate	-10.939	-4.0	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-9.771	-6.426	0.0	0.0	0.0	50.0
C02995	Maltose_6'-phosphate	10.195	-3.907	0.013	1187.199	-3.925	80.0
C05512	Deoxyinosine	9.295	-2.322	0.008	633.165	-2.333	70.0
C00114	Choline	-9.56	-2.322	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-10.618	-7.095	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	12.26	0.14	0.011	4905.975	5.808	70.0
C07645	Aldophosphamide	12.974	4.044	0.312	8062.183	11.295	90.0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-13.238	-5.672	0.0	0.0	0.0	50.0
C05699	L-Selenocystathionine	9.879	3.0	0.304	949.619	8.172	80.0
C05698	Selenohomocysteine	-9.879	-3.0	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-11.705	1.652	0.001	3341.679	-1.653	60.0
C00118	D-Glyceraldehyde_3-phosphate	-13.523	4.181	0.002	11789.553	-4.183	80.0
C01962	Thiocysteine	-9.879	-3.0	0.0	0.0	0.0	50.0
C06250	Holo-[carboxylase]	-10.833	7.853	0.127	2055.339	-8.025	90.0
C00242	Guanine	8.751	4.353	0.497	451.273	7.81	70.0
C01346	dUDP	6.943	-4.459	0.179	145.035	-4.696	80.0
C00083	Malonyl-CoA	9.585	-7.202	0.192	915.257	-7.455	90.0
C00857	Deamino-NAD+	-8.916	2.322	0.01	488.041	-2.337	70.0
C04419	Carboxybiotin-carboxyl-carrier_protein	11.494	-7.271	0.054	3038.739	-7.346	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	9.842	-5.459	0.048	961.764	-5.527	90.0
C00263	L-Homoserine	-6.054	-0.415	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	10.018	5.129	0.512	1071.849	9.1	80.0
C01172	beta-D-Glucose_6-phosphate	-10.345	-1.184	0.0	0.0	0.0	50.0
C00267	alpha-D-Glucose	5.49	-0.447	0.03	46.305	-0.49	60.0
C00473	Retinol	12.974	4.044	0.312	8062.183	11.295	90.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-10.041	-4.524	0.0	0.0	0.0	50.0
C00469	Ethanol	13.176	3.209	0.244	9264.136	11.14	90.0
C00188	L-Threonine	-9.239	-3.503	0.0	0.0	0.0	50.0
C00189	Ethanolamine	-9.56	4.7	0.034	780.818	-4.749	80.0
C00186	(S)-Lactate	12.469	3.115	0.25	5678.141	10.47	90.0
C00460	dUTP	9.719	4.129	0.425	860.269	8.514	80.0
C02909	(2-Naphthyl)methanol	13.176	3.209	0.244	9264.136	11.14	90.0
C00286	dGTP	-12.324	3.737	0.003	5140.692	-3.741	70.0
C00124	D-Galactose	11.982	2.26	0.189	4050.003	9.577	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-10.394	-6.409	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	-6.307	-5.615	0.0	0.0	0.0	50.0
C00288	HCO3-	11.494	7.271	0.633	3038.739	10.909	90.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-8.731	5.483	0.105	469.631	-5.627	90.0
C00680	meso-2,6-Diaminoheptanedioate	9.516	0.851	0.089	733.956	6.036	70.0
C16348	cis-3-Chloroallyl_aldehyde	-11.217	-0.078	0.0	0.0	0.0	50.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-12.974	-4.044	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-11.053	-4.0	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	14.319	-3.273	0.0	20448.142	-3.274	70.0
C03090	5-Phosphoribosylamine	9.483	-4.678	0.036	741.194	-4.729	80.0
C06056	4-Hydroxy-L-threonine	-10.191	-4.322	0.0	0.0	0.0	50.0
C00512	S-Benzoate_coenzyme_A	-9.253	-4.17	0.0	0.0	0.0	50.0
C00112	CDP	7.801	3.248	0.416	232.516	6.597	70.0
C00458	dCTP	-10.432	3.737	0.01	1394.815	-3.751	80.0
C00459	dTTP	-9.918	3.895	0.015	982.298	-3.917	80.0
C00725	Lipoate	12.328	4.858	0.394	5170.594	10.993	90.0
C00052	UDP-alpha-D-galactose	-10.505	-4.7	0.0	0.0	0.0	50.0
C00217	D-Glutamate	9.207	-5.044	0.056	623.985	-5.122	90.0
C00197	3-Phospho-D-glycerate	-10.639	-2.055	0.0	0.0	0.0	50.0
C16551	Alcophosphamide	-12.974	-4.044	0.0	0.0	0.0	50.0
C00212	Adenosine	9.666	1.585	0.164	815.374	7.063	70.0
C15972	Enzyme_N6-(lipoyl)lysine	8.295	1.0	0.121	316.083	5.252	70.0
C00208	Maltose	12.938	4.209	0.325	7865.899	11.321	90.0
C00036	Oxaloacetate	7.805	-3.493	0.05	234.894	-3.564	70.0
C00037	Glycine	10.839	4.951	0.457	1862.673	9.733	80.0
C00035	GDP	-11.007	3.907	0.007	2072.962	-3.917	80.0
C00033	Acetate	11.597	-2.747	0.002	3104.452	-2.75	70.0
C00031	D-Glucose	-10.854	-3.369	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	-13.51	-1.585	0.0	0.0	0.0	50.0
C00135	L-Histidine	9.086	4.196	0.462	561.777	8.019	80.0
C00134	Putrescine	-9.504	-3.369	0.0	0.0	0.0	50.0
C00133	D-Alanine	12.645	3.222	0.255	6414.407	10.675	90.0
C00334	4-Aminobutanoate	8.348	1.888	0.226	329.537	6.22	70.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-9.253	-4.17	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	-10.675	-0.415	0.0	0.0	0.0	50.0
C16237	Protein_N6-(lipoyl)lysine	-12.328	-4.858	0.0	0.0	0.0	50.0
C01097	D-Tagatose_6-phosphate	13.263	2.0	0.151	9834.166	10.534	90.0
C00011	CO2	-7.892	-1.7	0.0	0.0	0.0	50.0
C00416	Phosphatidate	-9.714	-5.295	0.0	0.0	0.0	50.0
C00299	Uridine	8.294	2.095	0.253	318.137	6.328	70.0
C00446	alpha-D-Galactose_1-phosphate	-10.687	4.154	0.011	1666.373	-4.169	80.0
C00631	2-Phospho-D-glycerate	-8.606	-4.99	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	6.598	-2.663	0.065	103.205	-2.754	70.0
C00526	Deoxyuridine	10.785	2.807	0.26	1771.445	8.849	80.0
C00527	Glutaryl-CoA	-9.253	-3.663	0.0	0.0	0.0	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	8.644	-5.129	0.087	435.033	-5.25	90.0
C00041	L-Alanine	-9.567	3.194	0.012	767.649	-3.211	70.0
C00040	Acyl-CoA	10.056	4.17	0.415	1082.53	8.81	80.0
C00047	L-Lysine	9.951	-4.248	0.019	1008.806	-4.275	80.0
C00046	RNA	-10.917	-0.817	0.0	0.0	0.0	50.0
C00044	GTP	-11.195	2.107	0.002	2348.703	-2.11	60.0
C00049	L-Aspartate	7.221	-0.562	0.01	150.666	-0.576	60.0
C00206	dADP	-8.752	-3.104	0.0	0.0	0.0	50.0
C07490	Trichloroethanol	-12.974	-4.044	0.0	0.0	0.0	50.0
