compound_code	compound_name	clostridium_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C06715	3-Oxopimeloyl-CoA	4.17	9.253	0.451	628.142	8.145	80.0
C00669	gamma-L-Glutamyl-L-cysteine	-2.585	-10.77	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	-4.137	10.918	0.009	1952.436	-4.15	80.0
C00666	LL-2,6-Diaminoheptanedioate	3.576	-9.089	0.022	556.506	-3.607	70.0
C00663	beta-D-Glucose_1-phosphate	-4.0	-10.939	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-6.426	-9.771	0.0	0.0	0.0	50.0
C02995	Maltose_6'-phosphate	-3.907	10.195	0.013	1187.199	-3.925	80.0
C05512	Deoxyinosine	-2.322	9.295	0.008	633.165	-2.333	70.0
C00114	Choline	-2.322	-9.56	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-2.747	10.686	0.004	1654.142	-2.753	70.0
C00111	Glycerone_phosphate	0.14	12.26	0.011	4905.975	5.808	70.0
C07645	Aldophosphamide	4.044	12.974	0.312	8062.183	11.295	90.0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-5.672	-13.238	0.0	0.0	0.0	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-4.524	-10.041	0.0	0.0	0.0	50.0
C05698	Selenohomocysteine	-3.0	-9.879	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	1.652	-11.705	0.001	3341.679	-1.653	60.0
C00118	D-Glyceraldehyde_3-phosphate	4.181	-13.523	0.002	11789.553	-4.183	80.0
C00288	HCO3-	7.271	11.494	0.633	3038.739	10.909	90.0
C06250	Holo-[carboxylase]	7.853	-10.833	0.127	2055.339	-8.025	90.0
C00242	Guanine	4.353	8.751	0.497	451.273	7.81	70.0
C01346	dUDP	-4.459	6.943	0.179	145.035	-4.696	80.0
C07118	Benzoyl_acetyl-CoA	4.17	9.253	0.451	628.142	8.145	80.0
C00857	Deamino-NAD+	2.322	-8.916	0.01	488.041	-2.337	70.0
C04419	Carboxybiotin-carboxyl-carrier_protein	-7.271	11.494	0.054	3038.739	-7.346	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-5.459	9.842	0.048	961.764	-5.527	90.0
C00263	L-Homoserine	-0.415	-6.054	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	5.129	10.018	0.512	1071.849	9.1	80.0
C01172	beta-D-Glucose_6-phosphate	-1.184	-10.345	0.0	0.0	0.0	50.0
C00267	alpha-D-Glucose	-0.447	5.49	0.03	46.305	-0.49	60.0
C00473	Retinol	4.044	12.974	0.312	8062.183	11.295	90.0
C00469	Ethanol	3.209	13.176	0.244	9264.136	11.14	90.0
C00188	L-Threonine	-3.503	-9.239	0.0	0.0	0.0	50.0
C00189	Ethanolamine	4.7	-9.56	0.034	780.818	-4.749	80.0
C00186	(S)-Lactate	3.115	12.469	0.25	5678.141	10.47	90.0
C00460	dUTP	4.129	9.719	0.425	860.269	8.514	80.0
C02909	(2-Naphthyl)methanol	3.209	13.176	0.244	9264.136	11.14	90.0
C00286	dGTP	3.737	-12.324	0.003	5140.692	-3.741	70.0
C00124	D-Galactose	2.26	11.982	0.189	4050.003	9.577	80.0
C05984	2-Hydroxybutanoic_acid	4.585	14.054	0.326	17032.874	12.44	90.0
C00129	Isopentenyl_diphosphate	-5.615	-6.307	0.0	0.0	0.0	50.0
C01962	Thiocysteine	-3.0	-9.879	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-7.095	-10.618	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	0.851	9.516	0.089	733.956	6.036	70.0
C16348	cis-3-Chloroallyl_aldehyde	-0.078	-11.217	0.0	0.0	0.0	50.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-4.044	-12.974	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-4.0	-11.053	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-3.273	14.319	0.0	20448.142	-3.274	70.0
C03090	5-Phosphoribosylamine	-4.678	9.483	0.036	741.194	-4.729	80.0
C06056	4-Hydroxy-L-threonine	-4.322	-10.191	0.0	0.0	0.0	50.0
C00512	S-Benzoate_coenzyme_A	-4.17	-9.253	0.0	0.0	0.0	50.0
C00112	CDP	3.248	7.801	0.416	232.516	6.597	70.0
C00458	dCTP	3.737	-10.432	0.01	1394.815	-3.751	80.0
C00459	dTTP	3.895	-9.918	0.015	982.298	-3.917	80.0
C00725	Lipoate	4.858	12.328	0.394	5170.594	10.993	90.0
C00052	UDP-alpha-D-galactose	-4.7	-10.505	0.0	0.0	0.0	50.0
C00217	D-Glutamate	-5.044	9.207	0.056	623.985	-5.122	90.0
C00197	3-Phospho-D-glycerate	-2.055	-10.639	0.0	0.0	0.0	50.0
C16551	Alcophosphamide	-4.044	-12.974	0.0	0.0	0.0	50.0
C00212	Adenosine	1.585	9.666	0.164	815.374	7.063	70.0
C15972	Enzyme_N6-(lipoyl)lysine	1.0	8.295	0.121	316.083	5.252	70.0
C00208	Maltose	4.209	12.938	0.325	7865.899	11.321	90.0
C00036	Oxaloacetate	-3.493	7.805	0.05	234.894	-3.564	70.0
C00037	Glycine	4.951	10.839	0.457	1862.673	9.733	80.0
C00035	GDP	3.907	-11.007	0.007	2072.962	-3.917	80.0
C00033	Acetate	-2.747	11.597	0.002	3104.452	-2.75	70.0
C00031	D-Glucose	-3.369	-10.854	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	-1.585	-13.51	0.0	0.0	0.0	50.0
C00135	L-Histidine	4.196	9.086	0.462	561.777	8.019	80.0
C00134	Putrescine	-3.369	-9.504	0.0	0.0	0.0	50.0
C00133	D-Alanine	3.222	12.645	0.255	6414.407	10.675	90.0
C00334	4-Aminobutanoate	1.888	8.348	0.226	329.537	6.22	70.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-4.17	-9.253	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	-0.415	-10.675	0.0	0.0	0.0	50.0
C16237	Protein_N6-(lipoyl)lysine	-4.858	-12.328	0.0	0.0	0.0	50.0
C01097	D-Tagatose_6-phosphate	2.0	13.263	0.151	9834.166	10.534	90.0
C05699	L-Selenocystathionine	3.0	9.879	0.304	949.619	8.172	80.0
C00011	CO2	-1.7	-7.892	0.0	0.0	0.0	50.0
C00416	Phosphatidate	-5.295	-9.714	0.0	0.0	0.0	50.0
C00299	Uridine	2.095	8.294	0.253	318.137	6.328	70.0
C00446	alpha-D-Galactose_1-phosphate	4.154	-10.687	0.011	1666.373	-4.169	80.0
C00631	2-Phospho-D-glycerate	-4.99	-8.606	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	-2.663	6.598	0.065	103.205	-2.754	70.0
C00526	Deoxyuridine	2.807	10.785	0.26	1771.445	8.849	80.0
C00527	Glutaryl-CoA	-3.663	-9.253	0.0	0.0	0.0	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-5.129	8.644	0.087	435.033	-5.25	90.0
C00041	L-Alanine	3.194	-9.567	0.012	767.649	-3.211	70.0
C00040	Acyl-CoA	4.17	10.056	0.415	1082.53	8.81	80.0
C00047	L-Lysine	-4.248	9.951	0.019	1008.806	-4.275	80.0
C00046	RNA	-0.817	-10.917	0.0	0.0	0.0	50.0
C00044	GTP	2.107	-11.195	0.002	2348.703	-2.11	60.0
C00049	L-Aspartate	-0.562	7.221	0.01	150.666	-0.576	60.0
C00206	dADP	-3.104	-8.752	0.0	0.0	0.0	50.0
C07490	Trichloroethanol	-4.044	-12.974	0.0	0.0	0.0	50.0
