compound_code	compound_name	parabacteroides_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00385	Xanthine	-1.7	-4.891	0.109	32.92	-1.85	60.0
C00387	Guanosine	1.585	5.866	0.27	61.323	4.05	70.0
C00229	Acyl-carrier_protein	3.459	9.506	0.364	738.092	8.069	90.0
C01368	3'-UMP	-7.547	-7.401	0.904	356.028	-8.33	90.0
C03125	L-Cysteinyl-tRNA(Cys)	-2.322	-1.0	0.4	7.0	-1.485	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-1.585	-5.248	0.079	41.002	-1.695	60.0
C00002	ATP	5.819	5.231	0.899	94.011	6.401	90.0
C00369	Starch	3.375	7.746	0.436	225.048	6.616	90.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-5.895	-2.807	0.118	66.506	-2.967	80.0
C01127	4-Hydroxy-2-oxoglutarate	1.0	1.0	1.0	4.0	2.0	60.0
C05336	Selenomethionyl-tRNA(Met)	-2.322	-4.907	0.167	35.003	-2.544	70.0
C05335	L-Selenomethionine	2.322	4.907	0.473	35.003	4.05	70.0
C00310	D-Xylulose	-7.931	-6.794	0.455	355.012	-7.335	90.0
C01931	L-Lysyl-tRNA	-3.907	-5.615	0.306	64.011	-4.292	80.0
C00091	Succinyl-CoA	-5.796	-5.9	0.93	115.275	-6.745	90.0
C00092	D-Glucose_6-phosphate	8.098	1.17	0.144	276.244	5.319	80.0
C00095	D-Fructose	-7.349	-5.845	0.353	220.511	-6.281	90.0
C00097	L-Cysteine	-1.303	0.222	0.473	3.634	-0.78	50.0
C00079	L-Phenylalanine	0.722	0.322	0.446	2.9	0.371	60.0
C00073	L-Methionine	1.35	3.044	0.443	10.797	2.26	70.0
C00074	Phosphoenolpyruvate	-7.904	-3.833	0.059	253.771	-3.916	80.0
C00075	UTP	5.682	5.518	0.971	97.163	6.56	90.0
C06194	2',3'-Cyclic_GMP	7.547	7.401	0.981	356.028	8.448	90.0
C06193	Guanosine_3'-phosphate	-7.547	-7.401	0.904	356.028	-8.33	90.0
C04006	1D-myo-Inositol_3-phosphate	-8.103	7.5	0.658	455.964	-8.23	90.0
C00085	D-Fructose_6-phosphate	1.0	-6.484	0.022	91.511	-1.032	50.0
C00242	Guanine	-1.536	-5.146	0.082	38.308	-1.65	60.0
C02355	2',3'-Cyclic_UMP	7.547	7.401	0.981	356.028	8.448	90.0
C02354	2',3'-Cyclic_CMP	7.547	7.401	0.981	356.028	8.448	90.0
C00407	L-Isoleucine	0.485	3.07	0.158	9.797	0.63	60.0
C01094	D-Fructose_1-phosphate	6.714	2.0	0.298	108.982	5.021	80.0
C00169	Carbamoyl_phosphate	-3.759	2.358	0.379	18.665	-2.821	80.0
C00106	Uracil	-1.379	5.413	0.061	45.207	-1.464	50.0
C00105	UMP	0.036	0.784	0.046	2.747	-2.987	80.0
C00103	D-Glucose_1-phosphate	-4.662	1.233	0.093	27.667	-1.361	50.0
C00063	CTP	6.087	4.207	0.691	86.447	5.901	80.0
C00065	L-Serine	-9.482	0.348	0.002	716.372	-0.351	50.0
C00064	L-Glutamine	5.289	3.737	0.707	52.431	5.211	80.0
C00861	L-Rhamnulose	-5.755	-1.585	0.056	57.004	-1.663	60.0
C02353	2',3'-Cyclic_AMP	7.547	7.401	0.981	356.028	8.448	90.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-0.7	1.524	0.565	4.5	-1.346	50.0
C00577	D-Glyceraldehyde	-6.714	-2.0	0.038	108.982	-2.054	70.0
C00279	D-Erythrose_4-phosphate	5.138	1.637	0.319	38.322	3.61	70.0
C00668	alpha-D-Glucose_6-phosphate	3.388	1.714	0.506	13.749	2.798	70.0
C12215	Iminoerythrose_4-phosphate	-1.0	-1.0	1.0	4.0	-2.0	70.0
C12214	Aminofructose_6-phosphate	1.0	1.0	1.0	4.0	2.0	60.0
C00294	Inosine	1.585	5.866	0.27	61.323	4.05	70.0
C00111	Glycerone_phosphate	-4.207	-0.628	0.084	20.014	-0.744	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-3.7	-1.585	0.231	15.996	-1.885	60.0
C00118	D-Glyceraldehyde_3-phosphate	3.847	5.095	0.755	48.568	5.197	80.0
C02972	Dihydrolipoylprotein	-11.485	10.217	0.415	4056.561	-10.718	90.0
C06441	L-Xylulose_1-phosphate	1.0	1.585	0.631	5.0	1.657	60.0
C00507	L-Rhamnose	5.755	1.585	0.275	57.004	3.973	70.0
C00262	Hypoxanthine	1.322	-4.891	0.084	32.172	-1.439	50.0
C01172	beta-D-Glucose_6-phosphate	2.459	-0.429	0.245	6.845	-0.745	50.0
C00267	alpha-D-Glucose	5.28	-9.484	0.054	754.946	-5.356	80.0
C00266	Glycolaldehyde	-0.585	-0.585	1.0	3.0	-1.585	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-1.0	3.459	0.182	12.997	-1.241	50.0
C03415	N2-Succinyl-L-ornithine	1.0	3.0	0.333	10.0	1.737	60.0
C00181	D-Xylose	7.931	6.833	0.862	358.053	8.269	90.0
C00122	Fumarate	-5.988	5.165	0.565	99.347	-5.811	80.0
C00124	D-Galactose	1.415	-10.095	0.002	1096.366	-1.419	50.0
C00117	D-Ribose_5-phosphate	-0.1	-1.094	0.502	3.206	-0.687	50.0
C02412	Glycyl-tRNA(Gly)	-3.807	-10.538	0.009	1500.802	-3.821	80.0
C02553	L-Seryl-tRNA(Ser)	-3.907	-2.0	0.267	19.001	-2.341	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.611	-5.839	0.586	154.99	-6.504	90.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	3.7	1.585	0.428	15.996	2.777	70.0
C05744	Acetoacetyl-[acp]	10.503	-7.637	0.137	1650.221	-7.822	90.0
C03150	Nicotinamide-beta-riboside	2.0	6.443	0.31	91.003	4.82	80.0
C01367	3'-AMP	-7.547	-7.401	0.904	356.028	-8.33	90.0
C01209	Malonyl-[acyl-carrier_protein]	-0.939	5.595	0.04	50.252	-0.995	50.0
C00721	Dextrin	-2.17	-8.743	0.011	432.955	-2.185	70.0
C00197	3-Phospho-D-glycerate	-2.682	-1.164	0.349	8.658	-1.596	60.0
C00212	Adenosine	1.322	6.443	0.205	89.504	4.199	70.0
C05796	Galactan	1.0	11.107	0.09	2207.668	7.635	90.0
C00036	Oxaloacetate	6.534	3.499	0.536	103.974	5.799	80.0
C00037	Glycine	10.709	6.385	0.596	1757.478	10.033	90.0
C01697	Galactitol	1.222	3.807	0.321	16.329	2.39	70.0
C00031	D-Glucose	0.807	0.737	0.913	3.416	1.642	60.0
C00130	IMP	0.553	-2.45	0.269	6.931	-0.896	50.0
C00620	alpha-D-Ribose_1-phosphate	1.0	2.0	0.5	6.0	1.585	60.0
C01213	(R)-Methylmalonyl-CoA	5.855	4.401	0.752	79.007	5.892	80.0
C01762	Xanthosine	2.0	5.459	0.366	47.987	4.136	70.0
C00631	2-Phospho-D-glycerate	-4.635	-0.445	0.055	26.208	-0.522	50.0
C00042	Succinate	6.516	1.388	0.213	94.136	4.326	80.0
C00047	L-Lysine	3.0	4.644	0.646	33.002	4.414	80.0
C00046	RNA	-5.528	-5.296	0.851	85.429	-6.185	90.0
C00044	GTP	-4.649	-4.15	0.708	42.842	-4.922	80.0
C00049	L-Aspartate	2.259	-3.336	0.474	14.885	-2.819	70.0
C00048	Glyoxylate	3.024	-0.115	0.133	9.217	-0.295	50.0
