compound_code	compound_name	lactobacillus_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C02554	L-Valyl-tRNA(Val)	-5.459	-2.0	0.091	47.987	-2.126	50.0
C05744	Acetoacetyl-[acp]	6.098	-7.637	0.344	267.55	-6.525	90.0
C03150	Nicotinamide-beta-riboside	5.0	6.443	0.776	119.003	6.529	80.0
C01209	Malonyl-[acyl-carrier_protein]	2.97	5.595	0.531	56.17	4.898	70.0
C03546	myo-Inositol_4-phosphate	6.714	7.516	0.893	288.02	8.007	90.0
C00197	3-Phospho-D-glycerate	-9.546	-1.164	0.003	749.777	-1.168	50.0
C00212	Adenosine	4.895	6.443	0.76	116.757	6.471	80.0
C00153	Nicotinamide	-5.0	-6.443	0.368	119.003	-5.452	80.0
C00036	Oxaloacetate	-3.291	3.499	0.866	21.094	-4.191	70.0
C00037	Glycine	5.571	6.385	0.873	131.113	6.838	90.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	7.749	10.217	0.758	1405.33	10.058	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-5.615	-10.217	0.041	1239.22	-5.673	80.0
C00031	D-Glucose	-8.228	0.737	0.006	301.497	-0.745	60.0
C00137	myo-Inositol	-7.333	-7.379	0.969	327.689	-8.31	90.0
C00332	Acetoacetyl-CoA	3.188	3.17	0.994	18.114	4.171	70.0
C00130	IMP	-5.562	-2.45	0.116	52.706	-2.608	60.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	6.304	12.088	0.522	4432.633	11.175	90.0
C01050	UDP-N-acetylmuramate	-5.712	4.373	0.395	73.139	-4.854	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.304	-11.503	0.027	2981.35	-6.343	90.0
C01762	Xanthosine	5.181	5.459	0.949	80.264	6.251	80.0
C00631	2-Phospho-D-glycerate	-6.698	-0.445	0.013	105.186	-0.464	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-0.807	-2.807	0.25	8.748	-1.129	50.0
C00042	Succinate	4.248	1.388	0.327	21.618	2.82	70.0
C00041	L-Alanine	-1.874	1.585	0.818	6.666	-2.448	60.0
C00047	L-Lysine	4.392	4.644	0.946	45.998	5.443	70.0
C00046	RNA	-6.767	-5.296	0.361	148.198	-5.74	80.0
C00044	GTP	-6.974	-4.15	0.141	143.467	-4.341	70.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-0.478	2.907	0.186	8.893	-0.724	60.0
C00049	L-Aspartate	-2.521	-3.336	0.568	15.838	-3.17	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	4.728	-4.19	0.689	44.754	-4.946	80.0
