compound_code	compound_name	lactobacillus_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00091	Succinyl-CoA	-7.755	-5.796	0.257	271.578	-6.126	90.0
C00092	D-Glucose_6-phosphate	-7.303	8.098	0.576	431.908	-7.96	90.0
C00093	sn-Glycerol_3-phosphate	3.924	2.0	0.51	19.179	3.289	70.0
C00095	D-Fructose	6.7	-7.349	0.638	266.999	-7.412	90.0
C00096	GDP-mannose	8.214	0.678	0.083	298.534	4.623	80.0
C00097	L-Cysteine	-6.83	-1.303	0.022	116.239	-1.334	50.0
C00078	L-Tryptophan	4.755	-6.6	0.278	124.008	-5.109	80.0
C00079	L-Phenylalanine	3.358	0.722	0.215	11.903	1.356	60.0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-5.585	-1.0	0.042	50.001	-1.059	50.0
C00073	L-Methionine	-2.977	1.35	0.324	10.423	-1.755	50.0
C00718	Amylose	-6.555	-3.644	0.133	106.528	-3.824	70.0
C00074	Phosphoenolpyruvate	-9.688	-7.904	0.29	1064.376	-8.272	90.0
C00075	UTP	6.114	5.682	0.929	120.602	6.808	90.0
C03232	3-Phosphonooxypyruvate	4.776	1.138	0.238	29.599	2.818	70.0
C04006	1D-myo-Inositol_3-phosphate	6.714	-8.103	0.382	379.927	-7.181	90.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-4.755	-2.585	0.222	33.002	-2.874	60.0
C00123	L-Leucine	-2.273	0.415	0.276	6.167	-0.766	60.0
C03512	L-Tryptophanyl-tRNA(Trp)	-4.755	-1.585	0.111	30.002	-1.737	50.0
C00279	D-Erythrose_4-phosphate	12.679	5.138	0.405	6593.029	11.384	90.0
C00085	D-Fructose_6-phosphate	5.712	1.0	0.175	54.418	3.252	70.0
C00242	Guanine	5.793	-1.536	0.052	58.345	-1.61	50.0
C00082	L-Tyrosine	2.159	-0.531	0.324	5.911	-0.935	50.0
C03785	D-Tagatose_1,6-bisphosphate	-8.91	-1.0	0.004	483.036	-1.006	50.0
C00407	L-Isoleucine	-2.632	0.485	0.226	7.598	-0.779	50.0
C04646	6-Thioinosine-5'-monophosphate	-1.0	1.585	0.667	5.0	-1.737	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	1.807	-0.415	0.381	4.832	-0.881	50.0
C03479	Folinic_acid	5.044	-10.486	0.023	1467.161	-5.077	80.0
C00163	Propanoate	6.592	2.0	0.303	100.469	4.93	80.0
C01097	D-Tagatose_6-phosphate	9.369	1.0	0.107	663.226	6.145	80.0
C02987	L-Glutamyl-tRNA(Glu)	-6.468	-3.17	0.102	97.525	-3.31	70.0
C00169	Carbamoyl_phosphate	-4.664	-3.759	0.534	38.89	-4.376	80.0
C02047	L-Leucyl-tRNA	-5.358	-1.585	0.073	44.013	-1.687	50.0
C00106	Uracil	4.379	-1.379	0.125	23.408	-1.549	50.0
C00342	Thioredoxin	-6.032	2.0	0.061	69.435	-2.086	60.0
C00105	UMP	2.217	0.036	0.016	5.675	-3.44	70.0
C00103	D-Glucose_1-phosphate	-6.768	-4.662	0.232	134.302	-4.963	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-6.6	-11.22	0.041	2482.38	-6.658	90.0
C00101	Tetrahydrofolate	3.67	8.322	0.441	332.745	7.197	90.0
C00063	CTP	7.516	6.087	0.81	251.016	7.667	90.0
C00062	L-Arginine	-3.735	-1.585	0.225	16.315	-1.878	50.0
C00065	L-Serine	-4.972	-9.482	0.044	746.484	-5.034	80.0
C00064	L-Glutamine	-3.226	5.289	0.239	48.454	-3.536	70.0
C16633	5-Fluorouridine	4.858	-1.0	0.069	31.0	-1.096	50.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	5.508	1.0	0.182	47.506	3.109	70.0
C19673	Malonyl-[acp]_methyl_ester	5.285	1.585	0.3	41.989	3.655	70.0
C00577	D-Glyceraldehyde	-12.766	-6.714	0.015	7070.428	-6.736	90.0
C05764	Hexadecanoyl-[acp]	1.0	1.585	0.631	5.0	1.657	60.0
C01419	Cys-Gly	4.392	2.17	0.494	25.496	3.655	70.0
C05761	Tetradecanoyl-[acp]	1.0	1.322	0.756	4.5	1.767	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	-4.755	-2.585	0.222	33.002	-2.874	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	-4.755	-2.585	0.222	33.002	-2.874	60.0
C05762	3-Oxohexadecanoyl-[acp]	6.276	10.506	0.597	1531.683	9.838	90.0
C00117	D-Ribose_5-phosphate	8.215	-0.1	0.004	298.212	-0.105	60.0
C00900	2-Acetolactate	5.375	1.0	0.186	43.499	3.017	70.0
C00668	alpha-D-Glucose_6-phosphate	7.425	3.388	0.456	182.318	6.378	80.0
C03402	L-Asparaginyl-tRNA(Asn)	-5.273	-1.585	0.078	41.666	-1.693	50.0
C02992	L-Threonyl-tRNA(Thr)	-5.7	-4.0	0.308	67.984	-4.387	80.0
C03406	N-(L-Arginino)succinate	1.585	-5.044	0.091	35.991	-1.711	50.0
C12214	Aminofructose_6-phosphate	1.0	1.0	1.0	4.0	2.0	70.0
C00234	10-Formyltetrahydrofolate	-3.994	-0.104	0.067	17.008	-0.198	60.0
C00294	Inosine	3.7	1.585	0.428	15.996	2.777	70.0
C00111	Glycerone_phosphate	9.234	-4.207	0.031	620.627	-4.251	80.0
C03090	5-Phosphoribosylamine	3.945	0.678	0.172	17.001	1.547	60.0
C00112	CDP	4.426	-3.0	0.372	29.496	-3.456	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-8.941	2.713	0.013	498.041	-2.732	60.0
C00118	D-Glyceraldehyde_3-phosphate	-10.989	3.847	0.007	2046.834	-3.857	70.0
C00299	Uridine	4.148	0.241	0.058	18.91	0.136	60.0
C01762	Xanthosine	5.181	2.0	0.386	40.277	3.959	80.0
C02972	Dihydrolipoylprotein	7.755	-11.485	0.075	3082.369	-7.86	90.0
C05750	3-Oxooctanoyl-[acp]	6.276	10.506	0.597	1531.683	9.838	90.0
C03160	2-Succinylbenzoyl-CoA	1.0	1.0	1.0	4.0	2.0	70.0
C05752	Octanoyl-[acp]	1.0	1.585	0.631	5.0	1.657	60.0
C05753	3-Oxodecanoyl-[acp]	6.276	10.506	0.597	1531.683	9.838	90.0
C16219	3-Oxostearoyl-[acp]	6.687	10.921	0.612	2041.905	10.288	90.0
C05755	Decanoyl-[acp]	1.0	1.585	0.631	5.0	1.657	60.0
C00031	D-Glucose	-8.228	0.807	0.006	301.579	-0.815	50.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.285	-10.919	0.04	2014.162	-6.342	90.0
C05758	trans-Dodec-2-enoyl-[acp]	-4.755	-2.585	0.222	33.002	-2.874	60.0
C00262	Hypoxanthine	-4.716	1.322	0.095	28.782	-1.453	50.0
C16217	3-Hydroxyoctadecanoyl-CoA	-7.14	-10.923	0.073	2082.603	-7.241	90.0
C16216	3-Oxostearoyl-CoA	7.14	10.923	0.654	2082.603	10.411	90.0
C00267	alpha-D-Glucose	5.755	5.28	0.917	92.858	6.413	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.807	-1.0	0.143	15.997	-1.193	50.0
C00188	L-Threonine	-4.841	1.652	0.11	31.803	-1.802	50.0
C02702	L-Prolyl-tRNA(Pro)	-7.077	-3.17	0.067	144.018	-3.263	70.0
C00725	Lipoate	8.15	10.595	0.769	1830.774	10.46	90.0
C00122	Fumarate	-4.531	-5.988	0.364	86.589	-4.979	80.0
C00286	dGTP	-9.187	-1.415	0.005	585.524	-1.422	50.0
C00124	D-Galactose	7.931	1.415	0.178	246.711	5.46	80.0
C00327	L-Citrulline	3.907	5.129	0.762	49.994	5.251	80.0
C02412	Glycyl-tRNA(Gly)	-4.807	-3.807	0.5	41.99	-4.392	80.0
C00680	meso-2,6-Diaminoheptanedioate	4.472	-8.554	0.059	398.039	-4.555	80.0
C02553	L-Seryl-tRNA(Ser)	-6.728	-3.907	0.142	121.007	-4.098	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	11.998	-6.611	0.024	4188.074	-6.645	90.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.0	-3.7	0.154	14.996	-1.207	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-7.827	-1.0	0.009	229.071	-1.013	50.0
C05749	Hexanoyl-[acp]	1.0	1.585	0.631	5.0	1.657	60.0
C05748	trans-Hex-2-enoyl-[acp]	-4.755	-2.585	0.222	33.002	-2.874	60.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.285	-10.923	0.04	2019.537	-6.342	90.0
C05746	3-Oxohexanoyl-[acp]	6.687	10.921	0.612	2041.905	10.288	90.0
C05745	Butyryl-[acp]	1.0	1.585	0.631	5.0	1.657	60.0
C05744	Acetoacetyl-[acp]	6.098	10.503	0.581	1519.668	9.785	90.0
C03150	Nicotinamide-beta-riboside	5.0	2.0	0.4	36.0	3.848	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-5.561	-10.182	0.041	1208.892	-5.618	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-5.877	-10.504	0.04	1510.945	-5.934	80.0
C00458	dCTP	-8.477	-2.115	0.012	360.645	-2.132	60.0
C01209	Malonyl-[acyl-carrier_protein]	2.97	-0.939	0.245	9.753	-1.255	50.0
C00197	3-Phospho-D-glycerate	-9.546	-2.682	0.009	753.954	-2.694	60.0
C00212	Adenosine	4.895	1.322	0.27	32.254	3.123	70.0
C00153	Nicotinamide	-5.0	-2.0	0.125	36.0	-2.17	60.0
C00036	Oxaloacetate	-3.291	6.534	0.106	102.456	-3.436	70.0
C00037	Glycine	5.571	10.709	0.52	1721.44	9.807	90.0
C00035	GDP	-6.771	-2.644	0.057	115.464	-2.724	60.0
C16618	6-Thioxanthine_5'-monophosphate	5.807	-1.585	0.054	58.986	-1.66	50.0
C00330	Deoxyguanosine	5.304	1.585	0.299	42.506	3.667	70.0
C00131	dATP	6.991	-1.0	0.016	129.204	-1.023	50.0
C00130	IMP	-5.562	0.553	0.031	48.709	-0.597	60.0
C16237	Protein_N6-(lipoyl)lysine	-8.15	-10.595	0.184	1830.774	-8.393	90.0
C00620	alpha-D-Ribose_1-phosphate	8.039	1.0	0.124	265.015	5.043	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.285	-10.919	0.04	2014.162	-6.342	90.0
C05756	3-Oxododecanoyl-[acp]	6.687	10.921	0.612	2041.905	10.288	90.0
C00445	5,10-Methenyltetrahydrofolate	1.737	8.168	0.213	290.949	5.951	80.0
C01094	D-Fructose_1-phosphate	12.178	6.714	0.551	4738.846	11.351	90.0
C00631	2-Phospho-D-glycerate	-6.698	-4.635	0.239	128.671	-4.945	80.0
C00526	Deoxyuridine	5.951	1.585	0.266	64.863	4.111	80.0
C00042	Succinate	4.248	6.516	0.652	110.52	6.171	80.0
C00047	L-Lysine	4.392	3.0	0.683	28.995	4.308	80.0
C00046	RNA	-6.767	-5.528	0.424	155.052	-6.038	80.0
C00044	GTP	-6.974	-4.649	0.2	150.803	-4.912	80.0
C00049	L-Aspartate	-2.521	2.259	0.834	10.526	-3.134	70.0
