compound_code	compound_name	lactobacillus_mock_score	olsenella_mock_score	ratio	magnitude	interaction_score	percentile
C00369	Starch	7.134	-0.807	0.012	142.208	-0.825	50.0
C14090	1-Naphthaldehyde	-8.907	-3.807	0.029	494.033	-3.848	90.0
C00092	D-Glucose_6-phosphate	-7.303	-0.322	0.008	159.165	-0.333	50.0
C00498	ADP-glucose	-6.553	-0.874	0.02	95.729	-0.902	60.0
C00097	L-Cysteine	-6.83	-0.138	0.01	114.872	-0.152	60.0
C14099	2-Naphthaldehyde	-8.907	-3.807	0.029	494.033	-3.848	90.0
C06613	trans-3-Chloroallyl_aldehyde	-6.956	-2.415	0.043	129.488	-2.476	80.0
C00072	Ascorbate	5.746	1.0	0.174	55.668	3.276	70.0
C00073	L-Methionine	-2.977	0.632	0.197	9.423	-0.891	60.0
C00071	Aldehyde	-8.172	-2.415	0.018	293.748	-2.441	80.0
C00077	L-Ornithine	1.807	4.585	0.394	27.5	3.438	70.0
C00074	Phosphoenolpyruvate	-9.688	-1.815	0.004	828.375	-1.821	70.0
C00075	UTP	6.114	1.054	0.172	71.339	3.62	80.0
C00979	O-Acetyl-L-serine	7.859	0.152	0.019	233.275	2.174	70.0
C16186	L-Ascorbate_6-phosphate	3.503	-1.0	0.176	13.337	-1.234	60.0
C00085	D-Fructose_6-phosphate	5.712	0.228	0.04	53.59	1.097	60.0
C00242	Guanine	5.793	0.485	0.084	56.845	2.251	70.0
C00275	D-Mannose_6-phosphate	-10.071	-1.322	0.002	1078.155	-1.325	60.0
C01094	D-Fructose_1-phosphate	12.178	1.585	0.13	4636.864	9.237	90.0
C00169	Carbamoyl_phosphate	-4.664	3.572	0.469	37.244	-4.127	90.0
C03082	4-Phospho-L-aspartate	4.644	0.848	0.183	26.802	2.291	70.0
C00103	D-Glucose_1-phosphate	-6.768	0.55	0.013	110.45	-0.569	50.0
C00100	Propanoyl-CoA	-12.326	-0.737	0.0	5136.138	-0.737	50.0
C00063	CTP	7.516	1.184	0.158	185.31	4.868	80.0
C00062	L-Arginine	-3.735	-2.503	0.426	18.984	-3.015	80.0
C00065	L-Serine	-4.972	0.17	0.036	32.51	-0.221	60.0
C00064	L-Glutamine	-3.226	0.08	0.113	10.414	-0.234	60.0
C00109	2-Oxobutanoate	9.981	0.241	0.024	1011.784	4.611	80.0
C00577	D-Glyceraldehyde	-12.766	-2.0	0.001	6969.446	-2.001	80.0
C00279	D-Erythrose_4-phosphate	12.679	1.694	0.134	6561.053	9.776	90.0
C01412	Butanal	7.812	3.807	0.487	238.719	6.862	90.0
C00668	alpha-D-Glucose_6-phosphate	7.425	0.587	0.079	173.351	3.777	80.0
C03402	L-Asparaginyl-tRNA(Asn)	-5.273	-1.585	0.078	41.666	-1.693	70.0
C12215	Iminoerythrose_4-phosphate	-1.0	-1.0	1.0	4.0	-2.0	70.0
C12214	Aminofructose_6-phosphate	1.0	1.0	1.0	4.0	2.0	70.0
C00117	D-Ribose_5-phosphate	8.215	-0.652	0.005	298.712	-0.66	50.0
C00111	Glycerone_phosphate	9.234	-0.436	0.002	603.512	-0.439	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.0	-1.0	1.0	4.0	-2.0	70.0
C00112	CDP	4.426	-1.0	0.093	23.496	-1.128	60.0
C00354	D-Fructose_1,6-bisphosphate	-10.182	-0.585	0.001	1163.182	-0.587	50.0
C00118	D-Glyceraldehyde_3-phosphate	-10.989	1.696	0.002	2035.684	-1.698	70.0
C02909	(2-Naphthyl)methanol	8.907	3.807	0.427	494.033	7.722	90.0
C00084	Acetaldehyde	-7.669	-2.788	0.034	210.423	-2.836	80.0
C01077	O-Acetyl-L-homoserine	1.0	1.0	1.0	4.0	2.0	70.0
C16219	3-Oxostearoyl-[acp]	6.687	4.459	0.667	125.029	6.381	80.0
C05756	3-Oxododecanoyl-[acp]	6.687	4.459	0.667	125.029	6.381	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.285	-4.459	0.282	99.972	-4.817	90.0
C05759	3-Oxotetradecanoyl-[acp]	6.687	4.459	0.667	125.029	6.381	80.0
C01172	beta-D-Glucose_6-phosphate	-5.899	0.541	0.024	61.128	-0.576	50.0
C16216	3-Oxostearoyl-CoA	7.14	4.459	0.625	163.037	6.67	90.0
C00469	Ethanol	8.907	3.807	0.427	494.033	7.722	90.0
C05382	Sedoheptulose_7-phosphate	-0.547	-0.547	1.0	2.922	-1.547	70.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.939	-0.415	0.174	9.002	-0.646	50.0
C00286	dGTP	-9.187	-0.585	0.003	584.358	-0.589	50.0
C00127	Glutathione_disulfide	-1.0	-1.0	1.0	4.0	-2.0	70.0
C00327	L-Citrulline	3.907	-4.186	0.824	33.203	-4.774	90.0
C16348	cis-3-Chloroallyl_aldehyde	-6.956	-2.415	0.043	129.488	-2.476	80.0
C02553	L-Seryl-tRNA(Ser)	-6.728	-1.0	0.019	108.006	-1.027	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	11.998	1.585	0.132	4093.326	9.079	90.0
C01563	Carbamate	-2.585	-2.585	1.0	12.0	-3.585	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.285	-4.459	0.282	99.972	-4.817	90.0
C05746	3-Oxohexanoyl-[acp]	6.687	4.459	0.667	125.029	6.381	80.0
C00051	Glutathione	1.0	1.0	1.0	4.0	2.0	70.0
C00052	UDP-alpha-D-galactose	-7.963	1.1	0.009	251.662	-1.112	60.0
C00197	3-Phospho-D-glycerate	-9.546	-0.859	0.002	749.35	-0.862	50.0
C03785	D-Tagatose_1,6-bisphosphate	-8.91	1.0	0.004	483.036	-1.006	60.0
C00035	GDP	-6.771	0.585	0.014	110.713	-0.605	50.0
C00136	Butanoyl-CoA	-8.989	-3.807	0.028	522.108	-3.846	80.0
C00131	dATP	6.991	0.322	0.046	128.454	2.565	70.0
C00130	IMP	-5.562	-0.222	0.025	48.408	-0.257	60.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.285	-4.459	0.282	99.972	-4.817	90.0
C00631	2-Phospho-D-glycerate	-6.698	-0.115	0.01	104.907	-0.13	60.0
C00441	L-Aspartate_4-semialdehyde	-3.134	-0.152	0.127	9.89	-0.324	50.0
C04805	5(S)-HETE	-1.0	-1.0	1.0	4.0	-2.0	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.285	-4.459	0.282	99.972	-4.817	90.0
C00046	RNA	-6.767	-0.459	0.013	110.285	-0.477	50.0
C00044	GTP	-6.974	-1.047	0.016	127.78	-1.071	60.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-0.478	-0.478	1.0	2.786	-1.478	70.0
C00049	L-Aspartate	-2.521	0.061	0.182	6.783	-0.302	60.0
C00206	dADP	-7.382	-0.737	0.01	168.47	-0.751	50.0
