compound_code	compound_name	parabacteroides_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-10.504	-5.877	0.04	1510.945	-5.934	80.0
C05841	Nicotinate_D-ribonucleoside	2.0	5.304	0.377	43.506	4.036	80.0
C00655	Xanthosine_5'-phosphate	-1.0	4.392	0.095	22.995	-1.131	50.0
C05759	3-Oxotetradecanoyl-[acp]	10.921	6.687	0.612	2041.905	10.288	90.0
C03125	L-Cysteinyl-tRNA(Cys)	-2.322	-5.285	0.128	43.989	-2.496	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-1.585	-5.248	0.079	41.002	-1.695	50.0
C01172	beta-D-Glucose_6-phosphate	2.459	-5.899	0.092	65.171	-2.586	60.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-10.923	-6.285	0.04	2019.537	-6.342	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	10.921	6.687	0.612	2041.905	10.288	90.0
C05223	Dodecanoyl-[acyl-carrier_protein]	1.322	1.0	0.756	4.5	1.767	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-10.923	-6.285	0.04	2019.537	-6.342	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	10.921	6.687	0.612	2041.905	10.288	90.0
C20375	Glutaryl-[acp]_methyl_ester	1.585	1.0	0.631	5.0	1.657	60.0
C00008	ADP	-2.17	-7.693	0.022	211.43	-2.201	60.0
C00002	ATP	5.819	-7.095	0.413	193.166	-6.318	90.0
C00369	Starch	3.375	7.134	0.473	150.833	6.157	80.0
C00253	Nicotinate	-5.273	-5.401	0.915	80.92	-6.21	90.0
C05336	Selenomethionyl-tRNA(Met)	-2.322	-5.781	0.091	59.987	-2.448	60.0
C00259	L-Arabinose	1.585	4.954	0.32	33.996	3.443	70.0
C00559	Deoxyadenosine	1.585	-3.209	0.324	12.247	-1.99	50.0
C01931	L-Lysyl-tRNA	-3.907	-6.17	0.208	87.005	-4.18	80.0
C12215	Iminoerythrose_4-phosphate	-1.0	-1.0	1.0	4.0	-2.0	60.0
C00091	Succinyl-CoA	-5.796	-7.755	0.257	271.578	-6.126	90.0
C00092	D-Glucose_6-phosphate	8.098	-7.303	0.576	431.908	-7.96	90.0
C00093	sn-Glycerol_3-phosphate	2.0	3.924	0.51	19.179	3.289	70.0
C00095	D-Fructose	-7.349	6.7	0.638	266.999	-7.412	90.0
C00096	GDP-mannose	0.678	8.214	0.083	298.534	4.623	80.0
C00097	L-Cysteine	-1.303	-6.83	0.022	116.239	-1.334	50.0
C00078	L-Tryptophan	-6.6	4.755	0.278	124.008	-5.109	80.0
C00079	L-Phenylalanine	0.722	3.358	0.215	11.903	1.356	60.0
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-1.0	-5.585	0.042	50.001	-1.059	50.0
C00073	L-Methionine	1.35	-2.977	0.324	10.423	-1.755	50.0
C00718	Amylose	-3.644	-6.555	0.133	106.528	-3.824	70.0
C00074	Phosphoenolpyruvate	-7.904	-9.688	0.29	1064.376	-8.272	90.0
C00075	UTP	5.682	6.114	0.929	120.602	6.808	90.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-10.504	-5.877	0.04	1510.945	-5.934	80.0
C04006	1D-myo-Inositol_3-phosphate	-8.103	6.714	0.382	379.927	-7.181	90.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-2.585	-4.755	0.222	33.002	-2.874	60.0
C00123	L-Leucine	0.415	-2.273	0.276	6.167	-0.766	60.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.585	-4.755	0.111	30.002	-1.737	50.0
C00279	D-Erythrose_4-phosphate	5.138	12.679	0.405	6593.029	11.384	90.0
C00085	D-Fructose_6-phosphate	1.0	5.712	0.175	54.418	3.252	70.0
C00242	Guanine	-1.536	5.793	0.052	58.345	-1.61	50.0
C00082	L-Tyrosine	-0.531	2.159	0.324	5.911	-0.935	50.0
C03785	D-Tagatose_1,6-bisphosphate	-1.0	-8.91	0.004	483.036	-1.006	50.0
C00407	L-Isoleucine	0.485	-2.632	0.226	7.598	-0.779	50.0
C04646	6-Thioinosine-5'-monophosphate	1.585	-1.0	0.667	5.0	-1.737	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-0.415	1.807	0.381	4.832	-0.881	50.0
C03479	Folinic_acid	-10.486	5.044	0.023	1467.161	-5.077	80.0
C00163	Propanoate	2.0	6.592	0.303	100.469	4.93	80.0
C01097	D-Tagatose_6-phosphate	1.0	9.369	0.107	663.226	6.145	80.0
C02987	L-Glutamyl-tRNA(Glu)	-3.17	-6.468	0.102	97.525	-3.31	70.0
C00169	Carbamoyl_phosphate	-3.759	-4.664	0.534	38.89	-4.376	80.0
C02047	L-Leucyl-tRNA	-1.585	-5.358	0.073	44.013	-1.687	50.0
C00106	Uracil	-1.379	4.379	0.125	23.408	-1.549	50.0
C00342	Thioredoxin	2.0	-6.032	0.061	69.435	-2.086	60.0
C00105	UMP	0.036	2.217	0.016	5.675	-3.44	70.0
C00103	D-Glucose_1-phosphate	-4.662	-6.768	0.232	134.302	-4.963	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-11.22	-6.6	0.041	2482.38	-6.658	90.0
C00101	Tetrahydrofolate	8.322	3.67	0.441	332.745	7.197	90.0
C00063	CTP	6.087	7.516	0.81	251.016	7.667	90.0
C00062	L-Arginine	-1.585	-3.735	0.225	16.315	-1.878	50.0
C00065	L-Serine	-9.482	-4.972	0.044	746.484	-5.034	80.0
C00064	L-Glutamine	5.289	-3.226	0.239	48.454	-3.536	70.0
C16633	5-Fluorouridine	-1.0	4.858	0.069	31.0	-1.096	50.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.0	5.508	0.182	47.506	3.109	70.0
C19673	Malonyl-[acp]_methyl_ester	1.585	5.285	0.3	41.989	3.655	70.0
C00577	D-Glyceraldehyde	-6.714	-12.766	0.015	7070.428	-6.736	90.0
C05764	Hexadecanoyl-[acp]	1.585	1.0	0.631	5.0	1.657	60.0
C01419	Cys-Gly	2.17	4.392	0.494	25.496	3.655	70.0
C05761	Tetradecanoyl-[acp]	1.322	1.0	0.756	4.5	1.767	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	-2.585	-4.755	0.222	33.002	-2.874	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	-2.585	-4.755	0.222	33.002	-2.874	60.0
C05762	3-Oxohexadecanoyl-[acp]	10.506	6.276	0.597	1531.683	9.838	90.0
C00900	2-Acetolactate	1.0	5.375	0.186	43.499	3.017	70.0
C00668	alpha-D-Glucose_6-phosphate	3.388	7.425	0.456	182.318	6.378	80.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.585	-5.273	0.078	41.666	-1.693	50.0
C02992	L-Threonyl-tRNA(Thr)	-4.0	-5.7	0.308	67.984	-4.387	80.0
C03406	N-(L-Arginino)succinate	-5.044	1.585	0.091	35.991	-1.711	50.0
C12214	Aminofructose_6-phosphate	1.0	1.0	1.0	4.0	2.0	70.0
C00234	10-Formyltetrahydrofolate	-0.104	-3.994	0.067	17.008	-0.198	60.0
C00117	D-Ribose_5-phosphate	-0.1	8.215	0.004	298.212	-0.105	60.0
C00111	Glycerone_phosphate	-4.207	9.234	0.031	620.627	-4.251	80.0
C03090	5-Phosphoribosylamine	0.678	3.945	0.172	17.001	1.547	60.0
C00112	CDP	-3.0	4.426	0.372	29.496	-3.456	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	2.713	-8.941	0.013	498.041	-2.732	60.0
C00118	D-Glyceraldehyde_3-phosphate	3.847	-10.989	0.007	2046.834	-3.857	70.0
C00299	Uridine	0.241	4.148	0.058	18.91	0.136	60.0
C01762	Xanthosine	2.0	5.181	0.386	40.277	3.959	80.0
C02972	Dihydrolipoylprotein	-11.485	7.755	0.075	3082.369	-7.86	90.0
C05750	3-Oxooctanoyl-[acp]	10.506	6.276	0.597	1531.683	9.838	90.0
C03160	2-Succinylbenzoyl-CoA	1.0	1.0	1.0	4.0	2.0	70.0
C05752	Octanoyl-[acp]	1.585	1.0	0.631	5.0	1.657	60.0
C05753	3-Oxodecanoyl-[acp]	10.506	6.276	0.597	1531.683	9.838	90.0
C16219	3-Oxostearoyl-[acp]	10.921	6.687	0.612	2041.905	10.288	90.0
C05755	Decanoyl-[acp]	1.585	1.0	0.631	5.0	1.657	60.0
C00031	D-Glucose	0.807	-8.228	0.006	301.579	-0.815	50.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-10.919	-6.285	0.04	2014.162	-6.342	90.0
C05758	trans-Dodec-2-enoyl-[acp]	-2.585	-4.755	0.222	33.002	-2.874	60.0
C00262	Hypoxanthine	1.322	-4.716	0.095	28.782	-1.453	50.0
C00508	L-Ribulose	-1.585	-4.954	0.097	33.996	-1.718	50.0
C16216	3-Oxostearoyl-CoA	10.923	7.14	0.654	2082.603	10.411	90.0
C00267	alpha-D-Glucose	5.28	5.755	0.917	92.858	6.413	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-1.0	-3.807	0.143	15.997	-1.193	50.0
C00188	L-Threonine	1.652	-4.841	0.11	31.803	-1.802	50.0
C02702	L-Prolyl-tRNA(Pro)	-3.17	-7.077	0.067	144.018	-3.263	70.0
C00725	Lipoate	10.595	8.15	0.769	1830.774	10.46	90.0
C00122	Fumarate	-5.988	-4.531	0.364	86.589	-4.979	80.0
C00286	dGTP	-1.415	-9.187	0.005	585.524	-1.422	50.0
C00124	D-Galactose	1.415	7.931	0.178	246.711	5.46	80.0
C00327	L-Citrulline	5.129	3.907	0.762	49.994	5.251	80.0
C02412	Glycyl-tRNA(Gly)	-3.807	-4.807	0.5	41.99	-4.392	80.0
C00680	meso-2,6-Diaminoheptanedioate	-8.554	4.472	0.059	398.039	-4.555	80.0
C02553	L-Seryl-tRNA(Ser)	-3.907	-6.728	0.142	121.007	-4.098	70.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.611	11.998	0.024	4188.074	-6.645	90.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-3.7	-1.0	0.154	14.996	-1.207	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-1.0	-7.827	0.009	229.071	-1.013	50.0
C05749	Hexanoyl-[acp]	1.585	1.0	0.631	5.0	1.657	60.0
C05748	trans-Hex-2-enoyl-[acp]	-2.585	-4.755	0.222	33.002	-2.874	60.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-10.923	-6.285	0.04	2019.537	-6.342	90.0
C05746	3-Oxohexanoyl-[acp]	10.921	6.687	0.612	2041.905	10.288	90.0
C05745	Butyryl-[acp]	1.585	1.0	0.631	5.0	1.657	60.0
C05744	Acetoacetyl-[acp]	10.503	6.098	0.581	1519.668	9.785	90.0
C03150	Nicotinamide-beta-riboside	2.0	5.0	0.4	36.0	3.848	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-10.182	-5.561	0.041	1208.892	-5.618	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-10.504	-5.877	0.04	1510.945	-5.934	80.0
C00458	dCTP	-2.115	-8.477	0.012	360.645	-2.132	60.0
C01209	Malonyl-[acyl-carrier_protein]	-0.939	2.97	0.245	9.753	-1.255	50.0
C00197	3-Phospho-D-glycerate	-2.682	-9.546	0.009	753.954	-2.694	60.0
C00212	Adenosine	1.322	4.895	0.27	32.254	3.123	70.0
C00153	Nicotinamide	-2.0	-5.0	0.125	36.0	-2.17	60.0
C00036	Oxaloacetate	6.534	-3.291	0.106	102.456	-3.436	70.0
C00037	Glycine	10.709	5.571	0.52	1721.44	9.807	90.0
C00035	GDP	-2.644	-6.771	0.057	115.464	-2.724	60.0
C16618	6-Thioxanthine_5'-monophosphate	-1.585	5.807	0.054	58.986	-1.66	50.0
C00330	Deoxyguanosine	1.585	5.304	0.299	42.506	3.667	70.0
C00131	dATP	-1.0	6.991	0.016	129.204	-1.023	50.0
C00130	IMP	0.553	-5.562	0.031	48.709	-0.597	60.0
C16237	Protein_N6-(lipoyl)lysine	-10.595	-8.15	0.184	1830.774	-8.393	90.0
C00620	alpha-D-Ribose_1-phosphate	1.0	8.039	0.124	265.015	5.043	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-10.919	-6.285	0.04	2014.162	-6.342	90.0
C05756	3-Oxododecanoyl-[acp]	10.921	6.687	0.612	2041.905	10.288	90.0
C00445	5,10-Methenyltetrahydrofolate	8.168	1.737	0.213	290.949	5.951	80.0
C01094	D-Fructose_1-phosphate	6.714	12.178	0.551	4738.846	11.351	90.0
C00631	2-Phospho-D-glycerate	-4.635	-6.698	0.239	128.671	-4.945	80.0
C00526	Deoxyuridine	1.585	5.951	0.266	64.863	4.111	80.0
C00042	Succinate	6.516	4.248	0.652	110.52	6.171	80.0
C00047	L-Lysine	3.0	4.392	0.683	28.995	4.308	80.0
C00046	RNA	-5.528	-6.767	0.424	155.052	-6.038	80.0
C00044	GTP	-4.649	-6.974	0.2	150.803	-4.912	80.0
C05335	L-Selenomethionine	2.322	5.781	0.402	59.987	4.591	80.0
C00049	L-Aspartate	2.259	-2.521	0.834	10.526	-3.134	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-10.923	-7.14	0.073	2082.603	-7.241	90.0
