compound_code	compound_name	bacteroides_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00354	D-Fructose_1,6-bisphosphate	4.228	-10.182	0.016	1180.422	-4.251	70.0
C00085	D-Fructose_6-phosphate	-6.484	5.712	0.586	141.93	-6.377	90.0
C02972	Dihydrolipoylprotein	10.217	7.755	0.759	1406.226	10.06	90.0
C00262	Hypoxanthine	-4.891	-4.716	0.886	55.953	-5.631	80.0
C01172	beta-D-Glucose_6-phosphate	-0.429	-5.899	0.023	61.019	-0.461	60.0
C00267	alpha-D-Glucose	-9.484	5.755	0.075	770.096	-5.86	90.0
C01177	Inositol_1-phosphate	7.516	6.714	0.893	288.02	8.007	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	3.459	-3.807	0.786	24.993	-4.295	70.0
C00460	dUTP	2.433	6.259	0.389	81.986	4.994	70.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-3.222	-2.939	0.822	17.0	-3.804	60.0
C00120	Biotin	6.229	4.755	0.763	102.012	6.283	80.0
C00122	Fumarate	5.165	-4.531	0.644	58.996	-5.249	80.0
C00124	D-Galactose	-10.095	7.931	0.223	1337.743	-8.222	90.0
C00294	Inosine	5.866	3.7	0.631	71.319	5.491	70.0
C02412	Glycyl-tRNA(Gly)	-10.538	-4.807	0.019	1514.798	-4.834	70.0
C02553	L-Seryl-tRNA(Ser)	-2.0	-6.728	0.038	110.006	-2.053	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-5.839	11.998	0.014	4147.568	-5.859	80.0
C02554	L-Valyl-tRNA(Val)	-2.0	-5.459	0.091	47.987	-2.126	50.0
C05744	Acetoacetyl-[acp]	-7.637	6.098	0.344	267.55	-6.525	90.0
C03150	Nicotinamide-beta-riboside	6.443	5.0	0.776	119.003	6.529	80.0
C01209	Malonyl-[acyl-carrier_protein]	5.595	2.97	0.531	56.17	4.898	70.0
C03546	myo-Inositol_4-phosphate	7.516	6.714	0.893	288.02	8.007	90.0
C00197	3-Phospho-D-glycerate	-1.164	-9.546	0.003	749.777	-1.168	50.0
C00212	Adenosine	6.443	4.895	0.76	116.757	6.471	80.0
C00153	Nicotinamide	-6.443	-5.0	0.368	119.003	-5.452	80.0
C00036	Oxaloacetate	3.499	-3.291	0.866	21.094	-4.191	70.0
C00037	Glycine	6.385	5.571	0.873	131.113	6.838	90.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	10.217	7.749	0.758	1405.33	10.058	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-10.217	-5.615	0.041	1239.22	-5.673	80.0
C00031	D-Glucose	0.737	-8.228	0.006	301.497	-0.745	60.0
C00137	myo-Inositol	-7.379	-7.333	0.969	327.689	-8.31	90.0
C00332	Acetoacetyl-CoA	3.17	3.188	0.994	18.114	4.171	70.0
C00130	IMP	-2.45	-5.562	0.116	52.706	-2.608	60.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	12.088	6.304	0.522	4432.633	11.175	90.0
C01050	UDP-N-acetylmuramate	4.373	-5.712	0.395	73.139	-4.854	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-11.503	-6.304	0.027	2981.35	-6.343	90.0
C01762	Xanthosine	5.459	5.181	0.949	80.264	6.251	80.0
C00631	2-Phospho-D-glycerate	-0.445	-6.698	0.013	105.186	-0.464	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-2.807	-0.807	0.25	8.748	-1.129	50.0
C00042	Succinate	1.388	4.248	0.327	21.618	2.82	70.0
C00041	L-Alanine	1.585	-1.874	0.818	6.666	-2.448	60.0
C00047	L-Lysine	4.644	4.392	0.946	45.998	5.443	70.0
C00046	RNA	-5.296	-6.767	0.361	148.198	-5.74	80.0
C00044	GTP	-4.15	-6.974	0.141	143.467	-4.341	70.0
C00204	2-Dehydro-3-deoxy-D-gluconate	2.907	-0.478	0.186	8.893	-0.724	60.0
C00049	L-Aspartate	-3.336	-2.521	0.568	15.838	-3.17	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-4.19	4.728	0.689	44.754	-4.946	80.0
