compound_code	compound_name	lactobacillus_630_score	escherichia_630_score	ratio	magnitude	interaction_score	percentile
C00364	dTMP	-7.788	7.489	0.813	400.659	-8.347	80.0
C00365	dUMP	-8.635	-7.426	0.0	0.0	0.0	50.0
C00363	dTDP	9.852	7.508	0.762	1106.187	9.719	80.0
C00009	Orthophosphate	-9.093	-7.6	0.0	0.0	0.0	50.0
C00008	ADP	-10.702	-8.687	0.0	0.0	0.0	50.0
C00006	NADP+	10.408	6.897	0.663	1477.87	9.936	80.0
C00005	NADPH	-10.778	5.7	0.03	1807.89	-5.742	70.0
C00003	NAD+	-4.573	-8.335	0.0	0.0	0.0	50.0
C00002	ATP	-10.079	8.725	0.391	1504.779	-9.201	90.0
C00369	Starch	9.568	6.077	0.635	826.532	9.036	70.0
C00079	L-Phenylalanine	6.983	-4.711	0.207	152.692	-4.982	60.0
C16619	6-Thioguanosine_monophosphate	-9.677	-8.622	0.0	0.0	0.0	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-9.568	-8.622	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	9.568	8.622	0.901	1153.009	10.021	80.0
C00645	N-Acetyl-D-mannosamine	-9.322	-8.196	0.0	0.0	0.0	50.0
C00644	D-Mannitol_1-phosphate	-5.858	-7.585	0.0	0.0	0.0	50.0
C00641	1,2-Diacyl-sn-glycerol	8.633	8.531	0.988	766.904	9.566	80.0
C01931	L-Lysyl-tRNA	-9.841	-8.57	0.0	0.0	0.0	50.0
C00314	Pyridoxine	12.278	-6.759	0.022	5074.761	-6.79	70.0
C00091	Succinyl-CoA	-10.644	9.056	0.333	2132.424	-9.47	90.0
C00092	D-Glucose_6-phosphate	-11.272	-8.234	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	8.276	-9.444	0.445	1006.483	-8.807	90.0
C00095	D-Fructose	9.587	8.6	0.897	1157.109	10.02	80.0
C14099	2-Naphthaldehyde	-12.05	-11.009	0.0	0.0	0.0	50.0
C14090	1-Naphthaldehyde	-12.05	-11.009	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-10.157	-8.285	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	7.25	-9.844	0.166	1071.269	-7.471	80.0
C00870	4-Nitrophenol	-8.925	-6.883	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-8.718	-9.185	0.0	0.0	0.0	50.0
C00163	Propanoate	9.936	9.852	0.992	1903.727	10.882	80.0
C02984	L-Aspartyl-tRNA(Asp)	-10.276	-9.32	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-9.531	8.539	0.503	1111.763	-9.127	90.0
C02047	L-Leucyl-tRNA	-9.212	-9.157	0.0	0.0	0.0	50.0
C03082	4-Phospho-L-aspartate	7.634	-8.119	0.714	476.65	-8.412	80.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	8.662	7.547	0.871	592.076	9.011	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	6.414	-10.143	0.075	1215.972	-6.519	70.0
C00864	Pantothenate	7.986	-8.468	0.716	607.625	-8.765	90.0
C01419	Cys-Gly	7.109	9.22	0.771	734.389	9.145	70.0
C03360	4-Nitrophenyl_phosphate	8.925	6.883	0.771	604.092	8.864	70.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-6.943	-3.137	0.0	0.0	0.0	50.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	6.7	7.14	0.938	245.012	7.845	60.0
C03406	N-(L-Arginino)succinate	4.0	-6.443	0.184	103.003	-4.244	60.0
C05512	Deoxyinosine	7.486	-8.48	0.502	536.326	-8.073	80.0
C07645	Aldophosphamide	11.73	9.367	0.799	4057.203	11.662	90.0
C07648	Thioguanine	9.568	8.622	0.901	1153.009	10.021	80.0
C00288	HCO3-	9.311	-8.647	0.631	1036.043	-9.353	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	7.87	-8.0	0.914	489.941	-8.806	90.0
C00269	CDP-diacylglycerol	-6.17	-7.313	0.0	0.0	0.0	50.0
C16219	3-Oxostearoyl-[acp]	9.889	10.621	0.931	2523.02	11.198	90.0
C00262	Hypoxanthine	-8.333	9.248	0.53	930.496	-8.947	90.0
C16217	3-Hydroxyoctadecanoyl-CoA	-10.409	-11.413	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	10.409	11.413	0.912	4086.444	11.864	90.0
C00267	alpha-D-Glucose	6.947	7.013	0.991	252.542	7.967	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-6.077	9.685	0.082	890.652	-6.191	70.0
C00286	dGTP	-11.696	-8.882	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	10.339	4.621	0.447	1319.844	9.204	70.0
C00327	L-Citrulline	7.131	7.055	0.989	273.141	8.078	70.0
C05427	Phytyl_diphosphate	8.707	7.622	0.875	614.889	9.072	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-10.806	-8.488	0.0	0.0	0.0	50.0
C02191	Protoporphyrin	7.775	8.109	0.959	495.123	8.891	70.0
C01209	Malonyl-[acyl-carrier_protein]	-6.344	10.17	0.071	1233.293	-6.442	70.0
C00217	D-Glutamate	5.47	7.262	0.753	197.813	7.219	60.0
C00214	Thymidine	-9.015	-7.489	0.0	0.0	0.0	50.0
C01168	Pseudouridine_5'-phosphate	-8.986	-6.516	0.0	0.0	0.0	50.0
C00212	Adenosine	8.0	2.874	0.359	263.331	6.564	60.0
C00036	Oxaloacetate	-6.246	8.5	0.21	437.937	-6.521	70.0
C05841	Nicotinate_D-ribonucleoside	8.783	-8.454	0.796	791.178	-9.299	90.0
C00035	GDP	-10.16	-9.649	0.0	0.0	0.0	50.0
C00032	Heme	-7.775	5.492	0.205	264.037	-5.762	70.0
C00033	Acetate	10.479	8.313	0.793	1745.254	10.435	80.0
C00031	D-Glucose	-9.418	-9.88	0.0	0.0	0.0	50.0
C00137	myo-Inositol	-10.249	-9.53	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	-12.534	-11.435	0.0	0.0	0.0	50.0
C00135	L-Histidine	7.721	9.185	0.841	793.036	9.381	70.0
C00134	Putrescine	-8.512	-4.122	0.0	0.0	0.0	50.0
C00133	D-Alanine	11.651	10.091	0.866	4306.556	11.865	90.0
C00131	dATP	10.43	-7.986	0.184	1633.095	-8.229	80.0
C00130	IMP	-8.727	-5.529	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-5.807	-8.84	0.0	0.0	0.0	50.0
C00042	Succinate	7.308	11.793	0.62	3706.979	11.166	90.0
C00041	L-Alanine	-6.352	-9.644	0.0	0.0	0.0	50.0
C00040	Acyl-CoA	8.986	8.763	0.975	941.492	9.843	80.0
C00047	L-Lysine	8.29	8.57	0.967	693.034	9.389	70.0
C00046	RNA	-9.788	11.244	0.365	3309.448	-10.236	90.0
C00044	GTP	-10.228	8.987	0.423	1706.726	-9.496	90.0
C00049	L-Aspartate	5.742	-11.605	0.017	3168.484	-5.767	70.0
C06481	L-Seryl-tRNA(Sec)	-10.01	8.669	0.395	1438.155	-9.149	90.0
C14899	3-Dehydro-L-gulonate_6-phosphate	-5.087	-8.375	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	4.392	-9.109	0.038	573.177	-4.446	60.0
C01103	Orotidine_5'-phosphate	-2.322	7.319	0.031	164.676	-2.366	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-8.145	-9.956	0.0	0.0	0.0	50.0
C03546	myo-Inositol_4-phosphate	10.062	8.0	0.795	1324.966	10.041	80.0
C05345	beta-D-Fructose_6-phosphate	11.079	-7.072	0.062	2297.823	-7.159	80.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	11.394	12.443	0.916	8259.355	12.885	90.0
C00387	Guanosine	8.509	-8.399	0.927	701.864	-9.345	90.0
C00037	Glycine	9.957	7.97	0.8	1244.661	9.96	80.0
C00253	Nicotinate	-9.192	2.663	0.011	591.215	-2.679	60.0
C00250	Pyridoxal	12.278	-6.349	0.016	5047.968	-6.372	70.0
C00256	(R)-Lactate	8.979	7.943	0.885	750.684	9.375	70.0
C00255	Riboflavin	6.794	8.7	0.781	526.841	8.684	70.0
C00392	Mannitol	5.858	7.585	0.772	250.006	7.593	60.0
C00258	D-Glycerate	5.907	-7.349	0.368	223.035	-6.359	70.0
C05335	L-Selenomethionine	9.382	-8.079	0.405	937.62	-8.57	90.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-11.73	-7.435	0.0	0.0	0.0	50.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	11.73	7.435	0.634	3569.937	11.144	90.0
C01083	alpha,alpha-Trehalose	9.822	7.418	0.755	1076.159	9.667	80.0
C00559	Deoxyadenosine	-7.486	2.874	0.041	186.602	-2.932	60.0
C00886	L-Alanyl-tRNA	-8.989	-9.812	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-9.719	-5.86	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	-8.5	8.006	0.71	619.106	-8.78	90.0
C00078	L-Tryptophan	8.185	8.847	0.925	751.507	9.441	80.0
C00376	Retinal	-11.73	-7.435	0.0	0.0	0.0	50.0
C00072	Ascorbate	6.786	9.5	0.714	834.432	9.219	70.0
C00073	L-Methionine	5.039	-8.079	0.122	303.286	-5.205	60.0
C00071	Aldehyde	-11.313	-11.009	0.0	0.0	0.0	50.0
C00077	L-Ornithine	6.15	-7.468	0.401	248.061	-6.637	70.0
C00074	Phosphoenolpyruvate	-9.758	-9.972	0.0	0.0	0.0	50.0
C00075	UTP	9.618	8.484	0.882	1143.836	9.979	80.0
C16186	L-Ascorbate_6-phosphate	4.059	-8.165	0.058	303.686	-4.14	60.0
C00085	D-Fructose_6-phosphate	7.965	8.16	0.976	535.89	9.031	70.0
C00084	Acetaldehyde	-9.977	11.921	0.26	4885.543	-10.31	90.0
C00082	L-Tyrosine	5.044	5.688	0.887	84.545	6.228	60.0
C00081	ITP	8.728	7.044	0.807	555.987	8.81	70.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-8.758	-8.539	0.0	0.0	0.0	50.0
C00089	Sucrose	-5.977	-12.392	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	-8.535	-8.622	0.0	0.0	0.0	50.0
C02218	Dehydroalanine	-9.063	-7.331	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	10.015	7.552	0.754	1222.365	9.848	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	5.672	10.197	0.556	1224.809	9.412	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-8.537	-9.674	0.0	0.0	0.0	50.0
C00106	Uracil	8.928	-10.042	0.462	1541.324	-9.476	90.0
C00104	IDP	10.089	7.508	0.744	1271.186	9.886	80.0
C00105	UMP	-3.0	-5.973	0.0	0.0	0.0	50.0
C00103	D-Glucose_1-phosphate	-4.799	-9.038	0.0	0.0	0.0	50.0
C00100	Propanoyl-CoA	-13.088	-12.1	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	6.848	-8.761	0.266	549.034	-7.188	80.0
C00109	2-Oxobutanoate	10.382	10.96	0.947	3326.42	11.622	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-3.17	7.484	0.05	188.023	-3.241	60.0
C05764	Hexadecanoyl-[acp]	-6.508	10.17	0.079	1243.073	-6.618	70.0
C06899	Chloral_hydrate	11.73	7.435	0.634	3569.937	11.144	90.0
C05761	Tetradecanoyl-[acp]	-6.508	10.17	0.079	1243.073	-6.618	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	-9.794	-9.594	0.0	0.0	0.0	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-9.794	-9.594	0.0	0.0	0.0	50.0
C05762	3-Oxohexadecanoyl-[acp]	9.474	10.206	0.928	1892.314	10.779	80.0
C00361	dGDP	11.875	-7.112	0.037	3894.381	-7.164	80.0
C05807	2-Polyprenylphenol	8.317	8.555	0.972	695.016	9.4	70.0
C02992	L-Threonyl-tRNA(Thr)	-9.306	-11.493	0.0	0.0	0.0	50.0
C00178	Thymine	8.721	-7.989	0.602	676.027	-8.669	90.0
C02995	Maltose_6'-phosphate	12.056	-5.954	0.015	4320.109	-5.975	70.0
C03090	5-Phosphoribosylamine	8.42	8.807	0.956	790.399	9.562	80.0
C07086	Phenylacetic_acid	-7.781	-6.066	0.0	0.0	0.0	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	9.031	-9.167	0.91	1097.954	-9.965	90.0
C01172	beta-D-Glucose_6-phosphate	-9.729	6.369	0.097	931.288	-6.503	70.0
C01177	Inositol_1-phosphate	10.062	8.0	0.795	1324.966	10.041	80.0
C03892	Phosphatidylglycerophosphate	-9.535	-9.322	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-6.785	-8.44	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	7.835	-7.087	0.595	364.29	-7.761	80.0
C00689	alpha,alpha'-Trehalose_6-phosphate	10.551	6.459	0.612	1588.237	9.925	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	13.086	7.745	0.592	8909.704	12.364	90.0
C00831	Pantetheine	7.986	7.629	0.955	451.479	8.753	70.0
C16551	Alcophosphamide	-11.73	-7.435	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	4.954	-10.932	0.016	1984.705	-4.977	60.0
C16221	(2E)-Octadecenoyl-[acp]	-9.794	-9.594	0.0	0.0	0.0	50.0
C00458	dCTP	-9.723	-9.343	0.0	0.0	0.0	50.0
C00459	dTTP	-8.945	6.182	0.147	565.454	-6.38	70.0
C00455	Nicotinamide_D-ribonucleotide	9.137	8.454	0.925	913.681	9.723	80.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	10.7	9.852	0.921	2587.654	11.218	90.0
C00330	Deoxyguanosine	8.783	5.497	0.626	485.661	8.248	70.0
C00332	Acetoacetyl-CoA	6.602	1.115	0.169	99.306	4.068	60.0
C00334	4-Aminobutanoate	7.558	-5.807	0.297	244.431	-6.182	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	4.954	-10.932	0.016	1984.705	-4.977	60.0
C00208	Maltose	11.651	-7.618	0.061	3412.332	-7.704	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	8.223	7.685	0.935	504.578	8.881	70.0
C07490	Trichloroethanol	-11.73	-7.435	0.0	0.0	0.0	50.0
C00025	L-Glutamate	8.542	-4.442	0.058	394.469	-4.524	60.0
C00024	Acetyl-CoA	-11.421	-10.163	0.0	0.0	0.0	50.0
C00148	L-Proline	7.766	4.524	0.583	240.677	7.131	60.0
C00026	2-Oxoglutarate	6.897	9.139	0.755	682.965	9.01	70.0
C00020	AMP	7.75	4.205	0.543	233.712	6.987	60.0
C00022	Pyruvate	-9.826	9.626	0.871	1697.814	-10.529	90.0
C00141	3-Methyl-2-oxobutanoic_acid	7.753	6.744	0.87	322.906	8.134	70.0
C00029	UDP-glucose	-11.208	4.895	0.013	2395.369	-4.913	60.0
C00147	Adenine	8.355	-5.375	0.127	368.919	-5.547	70.0
C00144	GMP	8.337	5.863	0.703	381.563	8.068	70.0
C05729	R-S-Cysteinylglycine	7.109	9.22	0.771	734.389	9.145	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-9.939	-5.99	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	4.555	-10.517	0.016	1488.827	-4.578	60.0
C00099	beta-Alanine	6.977	-6.769	0.866	235.037	-7.669	80.0
C05726	S-Substituted_L-cysteine	-7.109	-9.22	0.0	0.0	0.0	50.0
C00705	dCDP	7.426	-5.011	0.188	204.213	-5.259	70.0
C01528	Hydrogen_selenide	-10.548	8.919	0.323	1981.193	-9.323	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-7.011	9.167	0.224	703.813	-7.303	80.0
C01134	Pantetheine_4'-phosphate	9.278	-7.629	0.319	818.758	-8.028	80.0
C06037	Digalactosyl-diacylglycerol	11.394	12.443	0.916	8259.355	12.885	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.185	-8.972	0.0	0.0	0.0	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-8.34	-7.418	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-9.94	-9.098	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-11.394	-12.443	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	4.954	-10.932	0.016	1984.705	-4.977	60.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	9.889	10.621	0.931	2523.02	11.198	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	4.954	-10.932	0.016	1984.705	-4.977	60.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	9.889	10.621	0.931	2523.02	11.198	90.0
C20375	Glutaryl-[acp]_methyl_ester	-6.508	10.17	0.079	1243.073	-6.618	70.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-9.794	-9.594	0.0	0.0	0.0	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-9.794	-9.594	0.0	0.0	0.0	50.0
C00415	Dihydrofolate	5.385	-7.5	0.231	222.807	-5.685	70.0
C00416	Phosphatidate	-8.949	7.286	0.316	650.281	-7.682	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	6.658	-9.349	0.155	753.108	-6.866	80.0
C04006	1D-myo-Inositol_3-phosphate	10.062	8.0	0.795	1324.966	10.041	80.0
C02686	Galactosylceramide	-10.603	-12.443	0.0	0.0	0.0	50.0
C00243	Lactose	9.194	9.519	0.966	1319.369	10.316	80.0
C00242	Guanine	8.97	-9.253	0.822	1111.605	-9.835	90.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-11.73	-7.435	0.0	0.0	0.0	50.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	11.73	7.435	0.634	3569.937	11.144	90.0
C01097	D-Tagatose_6-phosphate	12.599	-6.989	0.02	6331.101	-7.018	80.0
C01096	Sorbitol_6-phosphate	-8.447	8.114	0.794	626.029	-8.957	90.0
C01094	D-Fructose_1-phosphate	13.767	-9.265	0.044	14555.789	-9.327	90.0
C00342	Thioredoxin	-11.113	9.824	0.409	3121.258	-10.319	90.0
C00343	Thioredoxin_disulfide	11.182	-9.679	0.353	3143.092	-10.115	90.0
C00344	Phosphatidylglycerol	8.055	7.248	0.9	417.956	8.555	70.0
C00345	6-Phospho-D-gluconate	-3.7	-7.205	0.0	0.0	0.0	50.0
C00063	CTP	9.475	6.459	0.682	799.612	9.09	70.0
C00062	L-Arginine	-5.266	7.075	0.285	173.309	-5.628	70.0
C00065	L-Serine	-9.647	-1.208	0.0	0.0	0.0	50.0
C00064	L-Glutamine	3.412	-8.694	0.026	424.791	-3.449	60.0
C16633	5-Fluorouridine	8.607	-11.195	0.166	2734.306	-8.829	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	9.145	7.304	0.799	724.158	9.176	70.0
C19673	Malonyl-[acp]_methyl_ester	8.69	10.17	0.854	1565.06	10.385	80.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	7.986	7.629	0.955	451.479	8.753	70.0
C00669	gamma-L-Glutamyl-L-cysteine	-9.886	-8.907	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	7.255	-9.56	0.202	907.573	-7.521	80.0
C05399	Melibiitol	11.394	12.443	0.916	8259.355	12.885	90.0
C00663	beta-D-Glucose_1-phosphate	-8.596	6.524	0.238	478.977	-6.832	80.0
C02163	L-Arginyl-tRNA(Arg)	-8.447	-7.794	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	10.259	-8.754	0.352	1657.103	-9.189	90.0
C00116	Glycerol	-9.348	-11.045	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	11.259	7.443	0.661	2624.744	10.761	80.0
C02380	6-Mercaptopurine	9.568	8.622	0.901	1153.009	10.021	80.0
C00112	CDP	5.799	-9.388	0.083	725.669	-5.914	70.0
C00118	D-Glyceraldehyde_3-phosphate	-12.322	6.16	0.014	5191.762	-6.18	70.0
C03492	D-4'-Phosphopantothenate	4.728	-7.629	0.134	224.453	-4.909	60.0
C01346	dUDP	6.7	-6.7	1.0	207.937	-7.7	80.0
C00232	Succinate_semialdehyde	-5.415	3.536	0.272	54.265	-3.883	60.0
C05750	3-Oxooctanoyl-[acp]	9.474	10.206	0.928	1892.314	10.779	80.0
C05751	trans-Oct-2-enoyl-[acp]	-9.794	-9.594	0.0	0.0	0.0	50.0
C05752	Octanoyl-[acp]	-6.508	10.17	0.079	1243.073	-6.618	70.0
C05753	3-Oxodecanoyl-[acp]	9.474	10.206	0.928	1892.314	10.779	80.0
C05754	trans-Dec-2-enoyl-[acp]	-9.794	-9.594	0.0	0.0	0.0	50.0
C05755	Decanoyl-[acp]	-6.508	10.17	0.079	1243.073	-6.618	70.0
C05756	3-Oxododecanoyl-[acp]	9.889	10.621	0.931	2523.02	11.198	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	4.954	-10.932	0.016	1984.705	-4.977	60.0
C05758	trans-Dodec-2-enoyl-[acp]	-9.794	-9.594	0.0	0.0	0.0	50.0
C05759	3-Oxotetradecanoyl-[acp]	9.889	10.621	0.931	2523.02	11.198	90.0
C05811	2-Octaprenyl-6-hydroxyphenol	-8.317	-8.555	0.0	0.0	0.0	50.0
C05810	2-Octaprenylphenol	8.317	8.555	0.972	695.016	9.4	70.0
C00188	L-Threonine	-7.868	9.434	0.338	925.315	-8.288	80.0
C02702	L-Prolyl-tRNA(Pro)	-10.489	-8.574	0.0	0.0	0.0	50.0
C00184	Glycerone	9.518	9.124	0.959	1291.121	10.273	80.0
C05818	2-Demethylmenaquinone	-8.707	7.418	0.409	588.913	-7.913	80.0
C00183	L-Valine	-7.557	-7.761	0.0	0.0	0.0	50.0
C00180	Benzoate	-6.788	-8.044	0.0	0.0	0.0	50.0
C00010	CoA	7.31	-8.155	0.557	443.719	-7.949	80.0
C00011	CO2	-7.46	-2.358	0.0	0.0	0.0	50.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.248	-7.629	0.048	207.452	-3.316	60.0
C00842	dTDP-glucose	7.459	-8.145	0.622	459.014	-8.156	80.0
C05980	Cardiolipin	-8.488	-7.248	0.0	0.0	0.0	50.0
C00160	Glycolate	-9.181	-6.234	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-9.527	-8.379	0.0	0.0	0.0	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	10.484	10.363	0.988	2749.147	11.408	90.0
C00446	alpha-D-Galactose_1-phosphate	-8.58	-6.83	0.0	0.0	0.0	50.0
C01762	Xanthosine	8.592	-8.454	0.909	736.555	-9.387	90.0
C00441	L-Aspartate_4-semialdehyde	-5.448	9.03	0.084	566.411	-5.564	70.0
C00526	Deoxyuridine	9.224	7.426	0.805	769.968	9.276	70.0
C00448	trans,trans-Farnesyl_diphosphate	6.841	7.592	0.901	307.582	8.115	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-3.17	7.484	0.05	188.023	-3.241	60.0
C00921	Dihydropteroate	7.801	-5.129	0.157	258.009	-5.339	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-10.484	-10.363	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	-8.845	-8.039	0.0	0.0	0.0	50.0
C05400	Epimelibiose	11.394	12.443	0.916	8259.355	12.885	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	11.394	12.443	0.916	8259.355	12.885	90.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	10.081	12.443	0.81	6651.355	12.396	90.0
C03939	Acetyl-[acyl-carrier_protein]	-7.405	10.17	0.147	1321.543	-7.603	80.0
C00620	alpha-D-Ribose_1-phosphate	11.119	9.98	0.898	3233.993	11.503	90.0
C00627	Pyridoxine_phosphate	-12.278	6.516	0.018	5057.972	-6.542	70.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	7.346	-8.707	0.389	580.588	-7.82	80.0
C01228	Guanosine_3',5'-bis(diphosphate)	-8.883	-8.451	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	8.579	-3.481	0.029	393.582	-3.523	60.0
C01345	dITP	8.728	-7.508	0.429	606.049	-8.023	80.0
C01344	dIDP	10.089	7.508	0.744	1271.186	9.886	80.0
C00234	10-Formyltetrahydrofolate	-7.96	9.389	0.371	919.456	-8.416	80.0
C00235	Dimethylallyl_diphosphate	-4.588	7.002	0.188	152.228	-4.836	60.0
C01613	Stachyose	11.071	12.443	0.89	7719.529	12.746	90.0
C00159	D-Mannose	12.746	-11.773	0.509	10369.213	-12.367	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-8.91	-9.342	0.0	0.0	0.0	50.0
C00014	Ammonia	8.143	8.592	0.948	668.553	9.307	70.0
C00015	UDP	5.414	-8.996	0.084	553.218	-5.53	70.0
