ko	pathways
K02160	Fatty_acid_biosynthesis:Lipid_metabolism|Tetracycline_biosynthesis:Metabolism_of_terpenoids_and_polyketides|Pyruvate_metabolism:Carbohydrate_metabolism|Propanoate_metabolism:Carbohydrate_metabolism|Carbon_fixation_pathways_in_prokaryotes:Energy_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Microbial_metabolism_in_diverse_environments|Carbon_metabolism|Fatty_acid_metabolism
K02161	NF-kappa_B_signaling_pathway:Signal_transduction|HIF-1_signaling_pathway:Signal_transduction|Protein_processing_in_endoplasmic_reticulum:Folding,_sorting_and_degradation|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Apoptosis:Cell_growth_and_death|Focal_adhesion:Cell_communication
K02162	NF-kappa_B_signaling_pathway:Signal_transduction
K02165	Wnt_signaling_pathway:Signal_transduction
K02166	Wnt_signaling_pathway:Signal_transduction
K02171	beta-Lactam_resistance:Biosynthesis_of_other_secondary_metabolites
K02172	beta-Lactam_resistance:Biosynthesis_of_other_secondary_metabolites
K02176	Wnt_signaling_pathway:Signal_transduction
K02179	Cell_cycle_-_yeast:Cell_growth_and_death
K02180	Cell_cycle:Cell_growth_and_death|Cell_cycle_-_yeast:Cell_growth_and_death
K02181	Cell_cycle_-_yeast:Cell_growth_and_death
K02183	Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|Calcium_signaling_pathway:Signal_transduction|Phosphatidylinositol_signaling_system:Signal_transduction|Oocyte_meiosis:Cell_growth_and_death|Plant-pathogen_interaction:Environmental_adaptation|Circadian_entrainment:Environmental_adaptation|Salivary_secretion:Digestive_system|Gastric_acid_secretion:Digestive_system
K02185	Wnt_signaling_pathway:Signal_transduction
K02194	ABC_transporters:Membrane_transport
K02195	ABC_transporters:Membrane_transport
K02196	ABC_transporters:Membrane_transport
K02213	Cell_cycle:Cell_growth_and_death|Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
K02219	Cell_cycle_-_yeast:Cell_growth_and_death
K02220	Cell_cycle_-_yeast:Cell_growth_and_death
K02222	Wnt_signaling_pathway:Signal_transduction
K02225	Porphyrin_and_chlorophyll_metabolism:Metabolism_of_cofactors_and_vitamins|Metabolic_pathways
K02235	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K02252	Two-component_system:Signal_transduction
K02253	Two-component_system:Signal_transduction
K02258	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02259	Oxidative_phosphorylation:Energy_metabolism|Porphyrin_and_chlorophyll_metabolism:Metabolism_of_cofactors_and_vitamins|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Two-component_system:Signal_transduction
K02260	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02261	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02262	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02263	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02264	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02265	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02266	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02267	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02268	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02269	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02270	Oxidative_phosphorylation:Energy_metabolism
K02271	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02272	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02273	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02284	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02285	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02286	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02287	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02289	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02290	Photosynthesis_-_antenna_proteins:Energy_metabolism|Metabolic_pathways
K02292	Carotenoid_biosynthesis:Metabolism_of_terpenoids_and_polyketides
K02296	Circadian_rhythm_-_fly:Environmental_adaptation
K02300	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
K02305	Nitrogen_metabolism:Energy_metabolism|Microbial_metabolism_in_diverse_environments
K02306	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway_-_fly:Signal_transduction
K02307	Cell_cycle_-_yeast:Cell_growth_and_death
K02308	MAPK_signaling_pathway:Signal_transduction
K02309	Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
K02310	Apoptosis:Cell_growth_and_death
K02313	Two-component_system:Signal_transduction|Cell_cycle_-_Caulobacter:Cell_growth_and_death
K02317	Homologous_recombination:Replication_and_repair
K02321	Purine_metabolism:Nucleotide_metabolism|Pyrimidine_metabolism:Nucleotide_metabolism|Metabolic_pathways|DNA_replication:Replication_and_repair
K02328	Purine_metabolism:Nucleotide_metabolism|Pyrimidine_metabolism:Nucleotide_metabolism|Metabolic_pathways|DNA_replication:Replication_and_repair|Base_excision_repair:Replication_and_repair|Nucleotide_excision_repair:Replication_and_repair|Mismatch_repair:Replication_and_repair|Homologous_recombination:Replication_and_repair
K02329	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K02333	Metabolic_pathways
K02352	beta-Lactam_resistance:Biosynthesis_of_other_secondary_metabolites
K02353	Wnt_signaling_pathway:Signal_transduction|Notch_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K02354	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K02358	Plant-pathogen_interaction:Environmental_adaptation
K02373	Apoptosis:Cell_growth_and_death|TNF_signaling_pathway:Signal_transduction
K02375	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K02376	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K02386	Flagellar_assembly:Cell_motility
K02387	Flagellar_assembly:Cell_motility
K02388	Flagellar_assembly:Cell_motility
K02389	Flagellar_assembly:Cell_motility
K02390	Flagellar_assembly:Cell_motility
K02391	Flagellar_assembly:Cell_motility
K02392	Flagellar_assembly:Cell_motility
K02393	Flagellar_assembly:Cell_motility
K02394	Flagellar_assembly:Cell_motility
K02396	Flagellar_assembly:Cell_motility
K02397	Flagellar_assembly:Cell_motility
K02398	Flagellar_assembly:Cell_motility
K02399	Flagellar_assembly:Cell_motility
K02400	Flagellar_assembly:Cell_motility
K02401	Flagellar_assembly:Cell_motility
K02402	Two-component_system:Signal_transduction|Flagellar_assembly:Cell_motility
K02403	Two-component_system:Signal_transduction|Flagellar_assembly:Cell_motility
K02405	Two-component_system:Signal_transduction
K02406	Two-component_system:Signal_transduction|Flagellar_assembly:Cell_motility|Plant-pathogen_interaction:Environmental_adaptation
K02407	Flagellar_assembly:Cell_motility
K02408	Flagellar_assembly:Cell_motility
K02409	Flagellar_assembly:Cell_motility
K02410	Bacterial_chemotaxis:Cell_motility|Flagellar_assembly:Cell_motility
K02411	Flagellar_assembly:Cell_motility
K02413	Flagellar_assembly:Cell_motility
K02414	Flagellar_assembly:Cell_motility
K02416	Bacterial_chemotaxis:Cell_motility|Flagellar_assembly:Cell_motility
K02417	Bacterial_chemotaxis:Cell_motility|Flagellar_assembly:Cell_motility
K02418	Flagellar_assembly:Cell_motility
K02419	Flagellar_assembly:Cell_motility
K02420	Flagellar_assembly:Cell_motility
K02421	Flagellar_assembly:Cell_motility
K02422	Flagellar_assembly:Cell_motility
K02423	Flagellar_assembly:Cell_motility
K02424	ABC_transporters:Membrane_transport
K02432	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K02437	Glyoxylate_and_dicarboxylate_metabolism:Carbohydrate_metabolism|Biosynthesis_of_secondary_metabolites
K02447	MAPK_signaling_pathway_-_fly:Signal_transduction
K02452	Bacterial_secretion_system:Membrane_transport
K02453	Bacterial_secretion_system:Membrane_transport
K02454	Bacterial_secretion_system:Membrane_transport
K02455	Bacterial_secretion_system:Membrane_transport
K02456	Bacterial_secretion_system:Membrane_transport
K02457	Bacterial_secretion_system:Membrane_transport
K02458	Bacterial_secretion_system:Membrane_transport
K02459	Bacterial_secretion_system:Membrane_transport
K02460	Bacterial_secretion_system:Membrane_transport
K02461	Bacterial_secretion_system:Membrane_transport
K02462	Bacterial_secretion_system:Membrane_transport
K02465	Bacterial_secretion_system:Membrane_transport
K02471	ABC_transporters:Membrane_transport
K02487	Two-component_system:Signal_transduction
K02488	Two-component_system:Signal_transduction|Cell_cycle_-_Caulobacter:Cell_growth_and_death
K02490	Two-component_system:Signal_transduction
K02502	Histidine_metabolism:Amino_acid_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Biosynthesis_of_amino_acids
K02537	Cell_cycle:Cell_growth_and_death|Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death|Oocyte_meiosis:Cell_growth_and_death
K02539	PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction
K02543	Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
K02544	Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
K02545	beta-Lactam_resistance:Biosynthesis_of_other_secondary_metabolites
K02546	beta-Lactam_resistance:Biosynthesis_of_other_secondary_metabolites
K02547	beta-Lactam_resistance:Biosynthesis_of_other_secondary_metabolites
K02556	Two-component_system:Signal_transduction|Bacterial_chemotaxis:Cell_motility|Flagellar_assembly:Cell_motility
K02557	Bacterial_chemotaxis:Cell_motility|Flagellar_assembly:Cell_motility
K02568	Nitrogen_metabolism:Energy_metabolism|Microbial_metabolism_in_diverse_environments
K02575	Nitrogen_metabolism:Energy_metabolism
K02580	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|NF-kappa_B_signaling_pathway:Signal_transduction|HIF-1_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Apoptosis:Cell_growth_and_death|TNF_signaling_pathway:Signal_transduction
K02582	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Apoptosis:Cell_growth_and_death
K02583	Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction
K02584	Two-component_system:Signal_transduction
K02599	Notch_signaling_pathway:Signal_transduction
K02602	Oocyte_meiosis:Cell_growth_and_death
K02603	Cell_cycle:Cell_growth_and_death|Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
K02604	Cell_cycle:Cell_growth_and_death|Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
K02605	Cell_cycle:Cell_growth_and_death|Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
K02606	Cell_cycle:Cell_growth_and_death|Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
K02607	Cell_cycle:Cell_growth_and_death|Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
K02608	Cell_cycle:Cell_growth_and_death|Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
K02610	Phenylalanine_metabolism:Amino_acid_metabolism|Microbial_metabolism_in_diverse_environments
K02612	Phenylalanine_metabolism:Amino_acid_metabolism|Microbial_metabolism_in_diverse_environments
K02613	Phenylalanine_metabolism:Amino_acid_metabolism|Microbial_metabolism_in_diverse_environments
K02620	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Adherens_junction:Cell_communication
K02627	Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
K02628	Photosynthesis_-_antenna_proteins:Energy_metabolism
K02629	Photosynthesis_-_antenna_proteins:Energy_metabolism
K02630	Photosynthesis_-_antenna_proteins:Energy_metabolism
K02632	Photosynthesis_-_antenna_proteins:Energy_metabolism
K02633	Circadian_rhythm_-_fly:Environmental_adaptation|Circadian_entrainment:Environmental_adaptation
K02634	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02635	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02637	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02638	Photosynthesis:Energy_metabolism
K02639	Photosynthesis:Energy_metabolism
K02640	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02642	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02643	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02644	MAPK_signaling_pathway_-_fly:Signal_transduction
K02646	Cell_cycle_-_yeast:Cell_growth_and_death
K02649	ErbB_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|HIF-1_signaling_pathway:Signal_transduction|Phosphatidylinositol_signaling_system:Signal_transduction|mTOR_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Apoptosis:Cell_growth_and_death|VEGF_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication|Jak-STAT_signaling_pathway:Signal_transduction|TNF_signaling_pathway:Signal_transduction|Regulation_of_actin_cytoskeleton:Cell_motility|Carbohydrate_digestion_and_absorption:Digestive_system
K02650	Two-component_system:Signal_transduction
K02651	Cell_cycle_-_Caulobacter:Cell_growth_and_death
K02657	Two-component_system:Signal_transduction
K02658	Two-component_system:Signal_transduction
K02659	Two-component_system:Signal_transduction
K02660	Two-component_system:Signal_transduction
K02661	Two-component_system:Signal_transduction
K02667	Two-component_system:Signal_transduction
K02678	MAPK_signaling_pathway_-_fly:Signal_transduction|Ras_signaling_pathway:Signal_transduction
K02686	Homologous_recombination:Replication_and_repair
K02689	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02690	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02691	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02692	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02693	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02694	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02695	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02696	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02697	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02698	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02699	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02700	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02701	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02702	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02703	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02704	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02705	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02706	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02707	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02708	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02709	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02710	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02711	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02712	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02713	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02714	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02716	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02717	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02718	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02719	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02720	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02721	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02722	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02723	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02724	Photosynthesis:Energy_metabolism|Metabolic_pathways
K02746	Galactose_metabolism:Carbohydrate_metabolism|Phosphotransferase_system_(PTS):Membrane_transport
K02747	Galactose_metabolism:Carbohydrate_metabolism|Phosphotransferase_system_(PTS):Membrane_transport
K02750	Glycolysis_/_Gluconeogenesis:Carbohydrate_metabolism|Phosphotransferase_system_(PTS):Membrane_transport
K02753	Glycolysis_/_Gluconeogenesis:Carbohydrate_metabolism|Phosphotransferase_system_(PTS):Membrane_transport
K02757	Phosphotransferase_system_(PTS):Membrane_transport
K02761	Phosphotransferase_system_(PTS):Membrane_transport
