compound_code	compound_name	eubacterium_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00363	dTDP	-3.807	5.17	0.389	49.998	-4.281	90.0
C00009	Orthophosphate	-3.907	-2.807	0.0	0.0	0.0	50.0
C00008	ADP	4.47	-6.646	0.221	122.31	-4.758	90.0
C00005	NADPH	-3.585	-6.16	0.0	0.0	0.0	50.0
C00003	NAD+	-3.807	-1.138	0.0	0.0	0.0	50.0
C00002	ATP	6.714	-6.267	0.734	181.994	-7.061	90.0
C00369	Starch	-4.078	4.807	0.603	44.882	-4.759	90.0
C05703	Methaneselenol	-4.644	-6.16	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-4.931	-4.524	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	-5.322	4.585	0.6	64.003	-5.263	90.0
C02612	(R)-2-Methylmalate	4.7	0.585	0.124	27.492	1.775	60.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-4.858	-3.17	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	4.858	3.17	0.653	38.001	4.632	70.0
C00645	N-Acetyl-D-mannosamine	-1.585	-4.629	0.0	0.0	0.0	50.0
C00644	D-Mannitol_1-phosphate	3.17	-2.807	0.778	15.999	-3.637	80.0
C00641	1,2-Diacyl-sn-glycerol	-3.406	3.7	0.816	23.596	-4.266	90.0
C01931	L-Lysyl-tRNA	-6.555	-4.322	0.0	0.0	0.0	50.0
C01528	Hydrogen_selenide	-4.17	-5.746	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-5.426	4.0	0.372	58.992	-4.456	90.0
C00092	D-Glucose_6-phosphate	-6.194	-6.582	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	5.061	-1.463	0.083	36.139	-1.577	70.0
C00095	D-Fructose	-5.755	4.824	0.524	82.329	-5.432	90.0
C00096	GDP-mannose	0.379	5.755	0.066	55.305	1.865	60.0
C00097	L-Cysteine	4.279	-5.926	0.319	80.214	-4.679	90.0
C14099	2-Naphthaldehyde	-6.687	-7.639	0.0	0.0	0.0	50.0
C14090	1-Naphthaldehyde	-6.687	-7.639	0.0	0.0	0.0	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	4.907	-5.524	0.652	76.016	-5.631	90.0
C02282	Glutaminyl-tRNA	-3.636	4.03	0.761	28.768	-4.452	90.0
C06196	2'-Deoxyinosine_5'-phosphate	-4.17	-6.209	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-4.129	-2.954	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-6.285	-3.0	0.0	0.0	0.0	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.0	-1.0	0.0	0.0	0.0	50.0
C00163	Propanoate	6.476	6.615	0.979	187.036	7.517	90.0
C02984	L-Aspartyl-tRNA(Asp)	-5.672	-4.459	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-5.044	-4.322	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-4.678	-3.49	0.0	0.0	0.0	50.0
C02047	L-Leucyl-tRNA	-5.524	-4.755	0.0	0.0	0.0	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.615	-5.087	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.304	2.0	0.317	83.012	4.719	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.619	3.147	0.36	33.431	-3.591	80.0
C00864	Pantothenate	3.459	4.087	0.846	27.991	4.566	70.0
C01380	Ethylene_glycol	6.443	1.0	0.155	89.003	3.788	70.0
C01419	Cys-Gly	3.907	2.322	0.594	20.001	3.571	70.0
C01412	Butanal	6.687	6.216	0.93	177.372	7.365	90.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	-0.737	2.322	0.333	6.667	-1.152	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-3.939	-4.222	0.0	0.0	0.0	50.0
C17962	Demethylphosphinothricin	3.907	3.17	0.811	24.002	4.283	70.0
C03406	N-(L-Arginino)succinate	-5.322	2.585	0.15	46.002	-2.787	80.0
C07648	Thioguanine	4.858	3.17	0.653	38.001	4.632	70.0
C00327	L-Citrulline	5.248	2.722	0.519	44.6	4.532	70.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	1.585	4.322	0.367	23.001	3.076	60.0
C00695	Cholic_acid	-3.17	-6.907	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-5.7	-2.459	0.0	0.0	0.0	50.0
C16219	3-Oxostearoyl-[acp]	4.322	4.585	0.943	44.002	5.374	80.0
C00263	L-Homoserine	1.503	-2.738	0.425	9.506	-2.014	80.0
C00262	Hypoxanthine	2.852	-4.239	0.382	26.103	-3.319	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.585	-5.0	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	5.585	5.0	0.895	80.001	6.162	90.0
C00267	alpha-D-Glucose	4.765	4.556	0.956	50.713	5.6	80.0
C00266	Glycolaldehyde	-6.443	-1.0	0.0	0.0	0.0	50.0
C00469	Ethanol	6.687	7.639	0.875	302.364	8.048	90.0
C00460	dUTP	4.209	5.113	0.823	53.101	5.45	80.0
C00286	dGTP	-4.951	-7.812	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	3.585	7.14	0.502	153.044	6.264	90.0
C00407	L-Isoleucine	2.379	-2.202	0.885	9.803	-3.116	80.0
C01962	Thiocysteine	-7.807	-3.755	0.0	0.0	0.0	50.0
C01921	Glycocholate	3.17	6.907	0.459	129.01	5.888	80.0
C01209	Malonyl-[acyl-carrier_protein]	3.931	2.392	0.608	20.502	3.641	70.0
C02492	1,4-beta-D-Mannan	5.524	-5.755	0.852	100.018	-6.413	90.0
C00217	D-Glutamate	4.392	-0.737	0.079	22.662	-0.847	70.0
C00214	Thymidine	2.0	-6.267	0.052	81.011	-2.073	80.0
C00212	Adenosine	4.087	4.728	0.864	43.496	5.233	80.0
C16688	Sucrose_6-phosphate	2.322	-4.459	0.227	26.994	-2.618	80.0
C00036	Oxaloacetate	6.503	3.326	0.511	100.726	5.687	80.0
C00037	Glycine	4.775	-2.095	0.156	31.651	-2.304	80.0
C00035	GDP	-4.358	-6.066	0.0	0.0	0.0	50.0
C00033	Acetate	4.598	7.121	0.646	163.416	6.721	90.0
C00031	D-Glucose	-3.672	4.102	0.742	29.918	-4.473	90.0
C00137	myo-Inositol	-3.644	-4.788	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	-3.807	-7.5	0.0	0.0	0.0	50.0
C00135	L-Histidine	1.222	2.17	0.563	6.833	1.944	60.0
C00134	Putrescine	1.585	-3.17	0.333	12.001	-2.0	80.0
C00133	D-Alanine	4.524	7.647	0.592	223.443	7.046	90.0
C00131	dATP	-2.322	6.046	0.076	71.074	-2.427	80.0
C00130	IMP	1.951	-4.15	0.218	21.62	-2.235	80.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.524	1.087	0.739	5.0	-1.885	70.0
C00042	Succinate	4.17	2.322	0.557	23.001	3.679	70.0
C00041	L-Alanine	4.392	4.17	0.949	38.996	5.21	80.0
C00040	Acyl-CoA	4.907	3.478	0.709	41.145	4.866	80.0
C00047	L-Lysine	3.807	-3.392	0.75	24.494	-4.199	90.0
C00046	RNA	-5.087	-4.694	0.0	0.0	0.0	50.0
C00044	GTP	-5.884	-5.31	0.0	0.0	0.0	50.0
C00049	L-Aspartate	3.232	1.69	0.523	12.622	2.722	60.0
C06481	L-Seryl-tRNA(Sec)	-5.807	-6.615	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	4.0	2.865	0.716	23.285	4.06	70.0
C01103	Orotidine_5'-phosphate	-6.052	1.222	0.035	68.682	-1.272	70.0
C05122	Taurocholate	3.17	6.907	0.459	129.01	5.888	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	4.129	-3.459	0.629	28.493	-4.163	90.0
C00954	Indole-3-acetate	-1.585	-3.322	0.0	0.0	0.0	50.0
C00957	Mercaptopyruvate	2.0	8.765	0.228	439.039	6.646	90.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	1.0	3.17	0.315	11.0	1.795	60.0
C05345	beta-D-Fructose_6-phosphate	6.025	6.908	0.872	185.211	7.336	90.0
C00424	(S)-Lactaldehyde	-5.845	-1.0	0.0	0.0	0.0	50.0
C00387	Guanosine	4.087	5.3	0.771	56.391	5.442	80.0
C05466	Glycochenodeoxycholate	3.17	6.907	0.459	129.01	5.888	80.0
C05465	Taurochenodeoxycholate	3.17	6.907	0.459	129.01	5.888	80.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	4.807	-1.0	0.071	29.993	-1.1	70.0
C00253	Nicotinate	-4.459	-4.931	0.0	0.0	0.0	50.0
C00250	Pyridoxal	4.17	8.055	0.518	283.949	7.2	90.0
C00255	Riboflavin	5.392	2.322	0.431	46.991	4.339	70.0
C05336	Selenomethionyl-tRNA(Met)	-5.7	-3.459	0.0	0.0	0.0	50.0
C00259	L-Arabinose	-5.781	4.392	0.382	75.982	-4.859	90.0
C01083	alpha,alpha-Trehalose	-3.202	6.508	0.101	100.215	-3.341	80.0
C00559	Deoxyadenosine	3.17	-4.492	0.4	31.503	-3.655	80.0
C00491	L-Cystine	7.807	3.755	0.481	237.446	6.835	90.0
C00492	Raffinose	-4.392	-5.7	0.0	0.0	0.0	50.0
C00886	L-Alanyl-tRNA	-5.755	-3.907	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-7.105	-5.219	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	-4.524	-5.044	0.0	0.0	0.0	50.0
C00078	L-Tryptophan	4.437	3.459	0.78	32.657	4.67	80.0
C00079	L-Phenylalanine	3.017	2.883	0.956	15.472	3.886	70.0
C00073	L-Methionine	3.661	-2.087	0.336	16.898	-2.505	80.0
C00071	Aldehyde	-6.687	-6.907	0.0	0.0	0.0	50.0
C00077	L-Ornithine	-1.585	1.0	0.667	5.0	-1.737	70.0
C00074	Phosphoenolpyruvate	-6.981	-8.696	0.0	0.0	0.0	50.0
C00075	UTP	6.969	3.126	0.449	134.009	5.91	80.0
C00085	D-Fructose_6-phosphate	7.107	-3.471	0.08	148.943	-3.583	80.0
C00084	Acetaldehyde	3.663	-6.66	0.125	113.792	-3.833	80.0
C00083	Malonyl-CoA	-3.491	-3.693	0.0	0.0	0.0	50.0
C00082	L-Tyrosine	-0.553	1.766	0.431	4.868	-1.07	70.0
C00081	ITP	4.17	5.0	0.834	50.001	5.382	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-6.129	-2.322	0.0	0.0	0.0	50.0
C00089	Sucrose	-5.931	-6.683	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	5.426	2.585	0.476	48.992	4.545	70.0
C02218	Dehydroalanine	-1.585	-3.907	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	2.29	4.314	0.531	24.781	3.717	70.0
C00672	2-Deoxy-D-ribose_1-phosphate	-3.585	-4.17	0.0	0.0	0.0	50.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.585	4.426	0.14	24.496	-1.773	70.0
C00106	Uracil	2.888	-4.878	0.252	36.808	-3.212	80.0
C00105	UMP	-0.065	0.593	0.694	2.554	-0.825	70.0
C00103	D-Glucose_1-phosphate	2.481	6.54	0.379	98.637	5.226	80.0
C00100	Propanoyl-CoA	-3.565	-10.569	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-2.655	1.485	0.444	9.098	-2.015	80.0
C00109	2-Oxobutanoate	3.158	8.294	0.381	322.791	6.941	90.0
C05764	Hexadecanoyl-[acp]	1.0	-2.322	0.4	7.0	-1.485	70.0
C05761	Tetradecanoyl-[acp]	1.0	-2.322	0.4	7.0	-1.485	70.0
C05760	trans-Tetradec-2-enoyl-[acp]	1.585	-3.459	0.273	13.997	-1.933	70.0
C05763	trans-Hexadec-2-enoyl-[acp]	1.585	-3.459	0.273	13.997	-1.933	70.0
C05762	3-Oxohexadecanoyl-[acp]	3.931	4.19	0.938	33.505	4.974	80.0
C00361	dGDP	3.17	7.793	0.407	230.783	6.553	90.0
C02992	L-Threonyl-tRNA(Thr)	-6.209	-3.907	0.0	0.0	0.0	50.0
C00178	Thymine	2.459	5.7	0.431	57.483	4.632	80.0
C03090	5-Phosphoribosylamine	-2.678	2.678	1.0	12.799	-3.678	80.0
C07086	Phenylacetic_acid	5.524	-4.807	0.608	74.007	-5.493	90.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.678	2.0	0.339	5.6	0.925	60.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.053	-2.0	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	2.807	-1.0	0.286	8.998	-1.363	70.0
C04419	Carboxybiotin-carboxyl-carrier_protein	2.459	4.196	0.586	23.827	3.804	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	3.17	0.315	11.0	1.795	60.0
C01172	beta-D-Glucose_6-phosphate	4.644	-4.737	0.938	51.67	-5.598	90.0
C01177	Inositol_1-phosphate	1.0	4.17	0.24	20.001	2.262	60.0
C03892	Phosphatidylglycerophosphate	-4.17	-3.585	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-6.392	-3.17	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	4.918	1.485	0.302	33.031	3.318	70.0
C02553	L-Seryl-tRNA(Ser)	-5.807	-6.615	0.0	0.0	0.0	50.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	-4.524	-1.222	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	3.672	10.843	0.339	1849.573	9.291	90.0
C00831	Pantetheine	3.907	4.087	0.956	31.996	4.935	80.0
C02554	L-Valyl-tRNA(Val)	-5.524	-4.524	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-4.524	-3.322	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	3.17	3.17	1.0	18.001	4.17	70.0
C00458	dCTP	-5.327	-6.758	0.0	0.0	0.0	50.0
C00459	dTTP	4.312	-4.392	0.946	40.858	-5.273	90.0
C00455	Nicotinamide_D-ribonucleotide	3.755	3.322	0.885	23.502	4.378	70.0
C00330	Deoxyguanosine	2.104	5.585	0.377	52.3	4.3	70.0
C00337	(S)-Dihydroorotate	1.874	-1.874	1.0	7.331	-2.874	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-4.524	-3.322	0.0	0.0	0.0	50.0
C00631	2-Phospho-D-glycerate	0.249	-5.885	0.02	60.285	-0.278	70.0
C02528	Chenodeoxycholate	-3.17	-6.907	0.0	0.0	0.0	50.0
C00208	Maltose	-3.0	6.022	0.123	72.983	-3.167	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-2.0	3.524	0.348	15.503	-2.431	80.0
C00025	L-Glutamate	-4.875	3.851	0.492	43.774	-4.428	90.0
C00024	Acetyl-CoA	-4.381	-8.24	0.0	0.0	0.0	50.0
C00148	L-Proline	3.379	2.536	0.751	16.203	3.604	70.0
C00026	2-Oxoglutarate	-4.807	3.981	0.564	43.784	-4.626	90.0
C00021	S-Adenosyl-L-homocysteine	-4.555	4.19	0.776	41.759	-5.019	90.0
C00020	AMP	-3.565	3.771	0.867	25.487	-4.466	90.0
C00022	Pyruvate	3.299	-5.362	0.239	50.969	-3.609	80.0
C00143	5,10-Methylenetetrahydrofolate	-1.312	-1.356	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-3.904	2.3	0.329	19.895	-2.71	80.0
C00029	UDP-glucose	-1.131	-6.268	0.0	0.0	0.0	50.0
C00147	Adenine	2.644	2.121	0.802	10.601	3.088	60.0
C00144	GMP	-2.725	3.241	0.699	16.066	-3.49	80.0
C05729	R-S-Cysteinylglycine	3.907	2.322	0.594	20.001	3.571	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.038	-5.141	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	4.711	2.678	0.568	32.591	4.212	70.0
C00099	beta-Alanine	1.222	2.459	0.497	7.831	1.96	60.0
C05726	S-Substituted_L-cysteine	-3.907	-2.322	0.0	0.0	0.0	50.0
C00700	XTP	4.17	6.209	0.672	91.978	5.949	90.0
C06250	Holo-[carboxylase]	1.415	-3.868	0.183	17.268	-1.657	70.0
C00314	Pyridoxine	4.17	8.055	0.518	283.949	7.2	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.17	-2.0	0.222	22.001	-2.289	80.0
C01134	Pantetheine_4'-phosphate	4.79	5.15	0.93	63.171	5.877	80.0
C06037	Digalactosyl-diacylglycerol	6.022	6.954	0.866	188.967	7.354	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-5.6	-4.728	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-5.7	-3.459	0.0	0.0	0.0	50.0
C03287	L-Glutamyl_5-phosphate	-3.781	2.644	0.455	19.997	-3.185	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.807	-3.459	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.15	-4.087	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-6.022	-6.954	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-4.524	-3.322	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	4.322	4.585	0.943	44.002	5.374	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-4.524	-3.322	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	4.322	4.585	0.943	44.002	5.374	80.0
C20375	Glutaryl-[acp]_methyl_ester	4.858	-2.322	0.172	34.001	-2.551	80.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-4.7	-3.459	0.0	0.0	0.0	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-4.7	-3.459	0.0	0.0	0.0	50.0
C00415	Dihydrofolate	-3.17	-1.078	0.0	0.0	0.0	50.0
C00416	Phosphatidate	5.363	-4.163	0.435	59.069	-4.684	90.0
C17949	N-Acetyldemethylphosphinothricin	-3.907	-3.17	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	4.0	1.585	0.396	19.0	2.912	60.0
C04006	1D-myo-Inositol_3-phosphate	1.0	4.17	0.24	20.001	2.262	60.0
C02686	Galactosylceramide	-6.022	-6.066	0.0	0.0	0.0	50.0
C00243	Lactose	5.129	5.799	0.884	90.67	6.325	90.0
C00242	Guanine	-2.907	-4.353	0.0	0.0	0.0	50.0
C00245	Taurine	-3.17	-6.907	0.0	0.0	0.0	50.0
C01097	D-Tagatose_6-phosphate	6.943	8.275	0.839	432.8	8.504	90.0
C01094	D-Fructose_1-phosphate	6.629	11.034	0.601	2195.814	10.365	90.0
C00068	Thiamin_diphosphate	0.479	-5.203	0.038	38.229	-0.533	70.0
C00342	Thioredoxin	3.807	-5.532	0.302	60.266	-4.188	90.0
C00343	Thioredoxin_disulfide	-3.807	5.946	0.227	75.645	-4.102	90.0
C05684	Selenite	5.524	6.966	0.793	171.033	7.084	90.0
C05688	L-Selenocysteine	2.0	4.17	0.48	22.001	3.399	70.0
C00062	L-Arginine	-1.585	-3.386	0.0	0.0	0.0	50.0
C00065	L-Serine	-3.92	-2.677	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-3.033	-2.58	0.0	0.0	0.0	50.0
C00066	tRNA	3.807	2.585	0.679	19.997	3.763	70.0
C16633	5-Fluorouridine	5.044	2.585	0.512	38.991	4.321	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	-1.263	3.781	0.175	16.147	-1.495	70.0
C16634	5-Fluorouridine_monophosphate	-5.044	-2.585	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	4.858	3.17	0.653	38.001	4.632	70.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.907	4.087	0.956	31.996	4.935	80.0
C00668	alpha-D-Glucose_6-phosphate	5.783	-6.343	0.678	136.24	-6.53	90.0
C00666	LL-2,6-Diaminoheptanedioate	-1.716	-3.928	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-4.248	-2.585	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-6.497	5.661	0.56	140.919	-6.303	90.0
C00116	Glycerol	-6.022	-3.719	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-4.496	7.797	0.101	244.963	-4.635	90.0
C02380	6-Mercaptopurine	4.858	3.17	0.653	38.001	4.632	70.0
C00112	CDP	-5.57	-1.503	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-3.234	-6.983	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	7.282	-9.982	0.154	1166.936	-7.489	90.0
C03492	D-4'-Phosphopantothenate	-2.322	-2.0	0.0	0.0	0.0	50.0
C05750	3-Oxooctanoyl-[acp]	3.931	4.19	0.938	33.505	4.974	80.0
C05751	trans-Oct-2-enoyl-[acp]	1.585	-3.459	0.273	13.997	-1.933	70.0
C05752	Octanoyl-[acp]	1.0	-2.322	0.4	7.0	-1.485	70.0
C05753	3-Oxodecanoyl-[acp]	3.931	4.19	0.938	33.505	4.974	80.0
C05754	trans-Dec-2-enoyl-[acp]	1.585	-3.459	0.273	13.997	-1.933	70.0
C05755	Decanoyl-[acp]	1.0	-2.322	0.4	7.0	-1.485	70.0
C05756	3-Oxododecanoyl-[acp]	4.322	4.585	0.943	44.002	5.374	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-4.524	-3.322	0.0	0.0	0.0	50.0
C05758	trans-Dodec-2-enoyl-[acp]	1.585	-3.459	0.273	13.997	-1.933	70.0
C05759	3-Oxotetradecanoyl-[acp]	4.322	4.585	0.943	44.002	5.374	80.0
C00235	Dimethylallyl_diphosphate	-6.423	-1.571	0.0	0.0	0.0	50.0
C00188	L-Threonine	-3.7	-3.361	0.0	0.0	0.0	50.0
C02702	L-Prolyl-tRNA(Pro)	-5.358	-5.0	0.0	0.0	0.0	50.0
C00183	L-Valine	-0.737	-1.585	0.0	0.0	0.0	50.0
C00180	Benzoate	-1.585	-3.858	0.0	0.0	0.0	50.0
C00010	CoA	-4.087	4.841	0.593	45.655	-4.759	90.0
C04216	all-trans-Heptaprenyl_diphosphate	-4.248	-5.087	0.0	0.0	0.0	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.322	-5.209	0.0	0.0	0.0	50.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-0.848	-1.0	0.0	0.0	0.0	50.0
C00842	dTDP-glucose	2.585	-1.585	0.5	9.0	-2.17	80.0
C00015	UDP	-5.037	-0.585	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-4.982	-1.0	0.0	0.0	0.0	50.0
C03546	myo-Inositol_4-phosphate	1.0	4.17	0.24	20.001	2.262	60.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	5.129	7.055	0.727	167.967	6.932	90.0
C00446	alpha-D-Galactose_1-phosphate	-3.036	1.379	0.317	10.803	-1.776	70.0
C00445	5,10-Methenyltetrahydrofolate	0.874	-2.644	0.293	8.083	-1.245	70.0
C01762	Xanthosine	4.087	5.387	0.759	58.84	5.48	80.0
C00441	L-Aspartate_4-semialdehyde	3.852	3.611	0.937	26.659	4.643	80.0
C00526	Deoxyuridine	-2.874	5.91	0.122	67.46	-3.04	80.0
C00448	trans,trans-Farnesyl_diphosphate	3.644	2.807	0.77	19.5	3.909	70.0
C16221	(2E)-Octadecenoyl-[acp]	1.585	-3.459	0.273	13.997	-1.933	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-5.129	-7.055	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	-4.755	-2.807	0.0	0.0	0.0	50.0
C05400	Epimelibiose	6.022	6.954	0.866	188.967	7.354	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	6.022	6.954	0.866	188.967	7.354	90.0
C05402	Melibiose	4.392	5.7	0.771	72.98	5.813	80.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	5.931	6.687	0.887	164.047	7.185	90.0
C03939	Acetyl-[acyl-carrier_protein]	0.515	-2.515	0.25	7.145	-0.837	70.0
C00620	alpha-D-Ribose_1-phosphate	6.492	7.788	0.834	311.024	8.018	90.0
C00627	Pyridoxine_phosphate	-4.17	-8.055	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-5.718	2.907	0.142	60.137	-3.099	80.0
C01345	dITP	4.17	5.0	0.834	50.001	5.382	80.0
C00234	10-Formyltetrahydrofolate	-1.338	-1.565	0.0	0.0	0.0	50.0
