compound_code	compound_name	alistipes_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	3.459	-2.0	0.364	14.997	-2.448	70.0
C00857	Deamino-NAD+	8.022	-1.0	0.008	261.934	-1.011	70.0
C01345	dITP	7.484	5.0	0.668	211.023	7.139	90.0
C05750	3-Oxooctanoyl-[acp]	5.931	4.19	0.706	79.263	5.807	80.0
C05751	trans-Oct-2-enoyl-[acp]	-5.7	-3.459	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-1.773	-2.459	0.0	0.0	0.0	50.0
C05753	3-Oxodecanoyl-[acp]	5.931	4.19	0.706	79.263	5.807	80.0
C16219	3-Oxostearoyl-[acp]	6.34	4.585	0.723	105.009	6.247	80.0
C05755	Decanoyl-[acp]	7.229	-2.322	0.033	155.019	-2.369	70.0
C05756	3-Oxododecanoyl-[acp]	6.34	4.585	0.723	105.009	6.247	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-7.484	-3.322	0.0	0.0	0.0	50.0
C05758	trans-Dodec-2-enoyl-[acp]	-5.7	-3.459	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	3.35	-4.239	0.54	29.079	-3.973	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.358	-5.0	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	8.358	5.0	0.598	360.102	7.751	90.0
C00267	alpha-D-Glucose	6.297	4.556	0.724	102.153	6.208	80.0
C00266	Glycolaldehyde	-7.478	-1.0	0.0	0.0	0.0	50.0
C00235	Dimethylallyl_diphosphate	-3.138	-1.571	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.267	4.0	0.104	170.023	-4.143	80.0
C00188	L-Threonine	7.721	-3.361	0.049	221.26	-3.43	80.0
C02702	L-Prolyl-tRNA(Pro)	-7.18	-5.0	0.0	0.0	0.0	50.0
C05818	2-Demethylmenaquinone	-6.209	-4.392	0.0	0.0	0.0	50.0
C00460	dUTP	7.484	5.113	0.683	213.63	7.189	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.115	-1.0	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	4.672	5.946	0.786	87.141	6.097	80.0
C00122	Fumarate	4.809	-2.852	0.258	35.252	-3.183	80.0
C00286	dGTP	5.554	-7.812	0.209	271.703	-5.828	90.0
C00124	D-Galactose	6.098	-6.262	0.893	145.243	-7.018	90.0
C00620	alpha-D-Ribose_1-phosphate	7.492	7.788	0.962	401.033	8.592	90.0
C16221	(2E)-Octadecenoyl-[acp]	6.629	-3.459	0.111	109.972	-3.611	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.807	-5.209	0.0	0.0	0.0	50.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.0	-1.0	0.25	10.0	-1.322	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.954	1.585	0.097	33.996	-1.718	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	5.392	2.585	0.479	47.991	4.524	70.0
C01962	Thiocysteine	-6.129	-3.755	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	-3.68	11.531	0.004	2972.035	-3.686	80.0
C01762	Xanthosine	7.304	5.387	0.738	199.869	7.204	90.0
C02412	Glycyl-tRNA(Gly)	-6.714	-3.17	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	-3.322	1.485	0.28	12.8	-1.841	70.0
C00206	dADP	4.018	-6.353	0.198	97.943	-4.279	90.0
C00842	dTDP-glucose	-5.087	-1.585	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-6.768	-6.615	0.0	0.0	0.0	50.0
C05427	Phytyl_diphosphate	7.044	4.392	0.624	152.959	6.575	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-6.164	10.843	0.039	1908.532	-6.219	90.0
C00831	Pantetheine	5.615	4.087	0.728	66.004	5.586	70.0
C02554	L-Valyl-tRNA(Val)	-6.443	-4.524	0.0	0.0	0.0	50.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.358	-3.322	0.0	0.0	0.0	50.0
C03785	D-Tagatose_1,6-bisphosphate	-8.022	-7.706	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	-3.485	-2.202	0.0	0.0	0.0	50.0
C05749	Hexanoyl-[acp]	7.229	-2.322	0.033	155.019	-2.369	70.0
C05748	trans-Hex-2-enoyl-[acp]	-5.7	-3.459	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.358	-3.322	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	2.322	3.17	0.732	14.001	3.358	70.0
C05745	Butyryl-[acp]	7.229	-2.322	0.033	155.019	-2.369	70.0
C05744	Acetoacetyl-[acp]	6.074	3.82	0.629	81.492	5.68	80.0
C03150	Nicotinamide-beta-riboside	7.304	5.073	0.695	191.685	7.057	90.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.752	-2.678	0.0	0.0	0.0	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-7.071	-2.954	0.0	0.0	0.0	50.0
C00458	dCTP	5.668	-6.758	0.47	159.077	-6.224	90.0
C00459	dTTP	6.964	-4.392	0.168	145.841	-4.616	90.0
C01209	Malonyl-[acyl-carrier_protein]	6.902	2.392	0.347	124.843	5.435	70.0
C00199	D-Ribulose_5-phosphate	-4.418	-5.339	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-4.022	-1.0	0.0	0.0	0.0	50.0
C00062	L-Arginine	5.883	-3.386	0.177	69.469	-3.621	80.0
C00217	D-Glutamate	3.907	-0.737	0.111	16.668	-0.889	70.0
C00214	Thymidine	6.615	-6.267	0.786	175.031	-7.103	90.0
C00212	Adenosine	7.304	4.728	0.647	184.525	6.9	90.0
C00153	Nicotinamide	-7.304	-5.073	0.0	0.0	0.0	50.0
C15972	Enzyme_N6-(lipoyl)lysine	-6.907	-5.066	0.0	0.0	0.0	50.0
C00208	Maltose	6.109	6.022	0.986	134.006	7.045	90.0
C00036	Oxaloacetate	-4.434	3.326	0.464	31.644	-3.876	80.0
C00037	Glycine	-6.054	-2.095	0.0	0.0	0.0	50.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	6.907	7.577	0.912	310.952	8.147	90.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-6.807	-1.0	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-5.7	5.459	0.846	95.971	-6.344	90.0
C00031	D-Glucose	7.055	4.102	0.581	150.146	6.448	80.0
C00330	Deoxyguanosine	7.304	5.585	0.765	206.025	7.3	90.0
C00135	L-Histidine	6.508	2.17	0.333	95.513	4.993	70.0
C00134	Putrescine	-3.459	-3.17	0.0	0.0	0.0	50.0
C00133	D-Alanine	3.322	7.647	0.434	210.437	6.514	80.0
C00131	dATP	2.115	6.046	0.35	70.405	4.622	70.0
C00130	IMP	-0.059	-4.15	0.0	0.0	0.0	50.0
C16237	Protein_N6-(lipoyl)lysine	6.022	-7.977	0.258	316.935	-6.353	90.0
C01097	D-Tagatose_6-phosphate	8.022	8.275	0.969	569.692	9.109	90.0
C05699	L-Selenocystathionine	6.129	3.755	0.613	83.487	5.677	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-7.484	-3.322	0.0	0.0	0.0	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-6.629	-3.7	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-4.954	1.585	0.097	33.996	-1.718	70.0
C01050	UDP-N-acetylmuramate	5.64	-4.692	0.518	75.715	-5.295	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-6.15	3.17	0.127	80.013	-3.342	80.0
C20375	Glutaryl-[acp]_methyl_ester	7.229	-2.322	0.033	155.019	-2.369	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.0	0.585	0.023	65.5	-0.618	60.0
C01172	beta-D-Glucose_6-phosphate	-3.322	-4.737	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	6.022	3.585	0.595	76.984	5.518	70.0
C00445	5,10-Methenyltetrahydrofolate	3.781	-2.644	0.455	19.997	-3.185	80.0
C01094	D-Fructose_1-phosphate	7.366	11.034	0.668	2261.802	10.56	90.0
C00631	2-Phospho-D-glycerate	-2.621	-5.885	0.0	0.0	0.0	50.0
C02528	Chenodeoxycholate	-6.17	-6.907	0.0	0.0	0.0	50.0
C00353	Geranylgeranyl_diphosphate	-6.426	-2.322	0.0	0.0	0.0	50.0
C00526	Deoxyuridine	3.907	5.91	0.661	75.131	5.634	70.0
C00259	L-Arabinose	8.262	4.392	0.532	327.975	7.446	90.0
