compound_code	compound_name	eubacterium_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00310	D-Xylulose	6.17	-10.703	0.043	1738.959	-6.231	90.0
C00641	1,2-Diacyl-sn-glycerol	-3.406	1.1	0.202	12.744	-1.366	80.0
C01931	L-Lysyl-tRNA	-6.555	-9.62	0.0	0.0	0.0	50.0
C00315	Spermidine	-1.7	-8.566	0.0	0.0	0.0	50.0
C00314	Pyridoxine	4.17	1.0	0.24	20.001	2.262	50.0
C00760	Cellulose	-6.19	9.299	0.116	702.918	-6.348	90.0
C00093	sn-Glycerol_3-phosphate	5.061	5.152	0.982	68.938	6.082	70.0
C00095	D-Fructose	-5.755	-9.204	0.0	0.0	0.0	50.0
C00096	GDP-mannose	0.379	5.936	0.064	62.523	1.997	50.0
C00097	L-Cysteine	4.279	8.036	0.532	281.882	7.23	70.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	4.907	8.873	0.553	498.858	8.108	80.0
C06196	2'-Deoxyinosine_5'-phosphate	-4.17	-9.543	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-4.129	-9.981	0.0	0.0	0.0	50.0
C00183	L-Valine	-0.737	-5.915	0.0	0.0	0.0	50.0
C00166	Phenylpyruvate	-1.596	7.979	0.012	255.324	-1.613	80.0
C02988	L-Histidyl-tRNA(His)	-6.285	-8.508	0.0	0.0	0.0	50.0
C00163	Propanoate	6.476	10.501	0.617	1538.175	9.89	90.0
C02984	L-Aspartyl-tRNA(Asp)	-5.672	-9.85	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-5.044	-9.581	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	4.644	5.17	0.898	61.004	5.776	70.0
C02047	L-Leucyl-tRNA	-5.524	-10.661	0.0	0.0	0.0	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.615	-10.448	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.304	8.649	0.729	480.441	8.452	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.619	-8.358	0.0	0.0	0.0	50.0
C00860	L-Histidinol	4.17	5.129	0.813	52.994	5.429	60.0
C02962	D-Allose_6-phosphate	5.285	8.945	0.591	531.837	8.296	80.0
C00864	Pantothenate	3.459	4.248	0.814	29.998	4.61	60.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	2.585	-8.552	0.016	381.326	-2.608	80.0
C01380	Ethylene_glycol	6.443	9.649	0.668	889.861	9.215	90.0
C01419	Cys-Gly	3.907	10.589	0.369	1555.306	9.165	90.0
C01412	Butanal	6.687	8.651	0.773	505.021	8.609	90.0
C08325	Amygdalin	5.524	10.551	0.524	1546.277	9.661	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-3.939	-9.781	0.0	0.0	0.0	50.0
C17962	Demethylphosphinothricin	3.907	3.7	0.947	27.997	4.729	60.0
C03406	N-(L-Arginino)succinate	-5.322	-8.455	0.0	0.0	0.0	50.0
C07648	Thioguanine	4.858	9.241	0.526	634.088	8.381	80.0
C00288	HCO3-	-5.443	-8.19	0.0	0.0	0.0	50.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	1.585	7.044	0.225	134.964	4.925	60.0
C00695	Cholic_acid	-3.17	-7.762	0.0	0.0	0.0	50.0
C18096	D-Allulose_6-phosphate	-5.285	-8.945	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	-5.7	-7.116	0.0	0.0	0.0	50.0
C00506	L-Cysteate	3.0	9.29	0.323	633.992	7.678	80.0
C00263	L-Homoserine	1.503	5.802	0.259	58.627	3.925	60.0
C00262	Hypoxanthine	2.852	7.192	0.397	153.44	5.927	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.585	-10.617	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	5.585	10.617	0.526	1618.492	9.734	90.0
C00267	alpha-D-Glucose	4.765	8.316	0.573	345.878	7.631	80.0
C00266	Glycolaldehyde	-6.443	-9.327	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-5.426	-10.328	0.0	0.0	0.0	50.0
C00460	dUTP	4.209	-8.414	0.054	359.582	-4.285	90.0
C00286	dGTP	-4.951	-6.216	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	3.585	6.781	0.529	121.973	6.011	70.0
C00407	L-Isoleucine	2.379	-6.117	0.075	74.608	-2.483	80.0
C01962	Thiocysteine	-7.807	-9.486	0.0	0.0	0.0	50.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-3.907	8.175	0.052	304.016	-3.98	90.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	2.807	10.043	0.279	1061.978	8.213	80.0
C01209	Malonyl-[acyl-carrier_protein]	3.931	8.467	0.464	369.104	7.421	70.0
C02492	1,4-beta-D-Mannan	5.524	8.791	0.628	488.964	8.263	80.0
C00217	D-Glutamate	4.392	7.198	0.61	167.825	6.678	70.0
C00214	Thymidine	2.0	6.989	0.286	131.028	5.229	60.0
C00212	Adenosine	4.087	9.618	0.425	802.785	8.414	80.0
C00036	Oxaloacetate	6.503	5.972	0.918	153.468	7.139	70.0
C00037	Glycine	4.775	8.499	0.562	389.167	7.772	80.0
C00035	GDP	-4.358	-6.889	0.0	0.0	0.0	50.0
C00033	Acetate	4.598	8.614	0.534	416.025	7.795	80.0
C00031	D-Glucose	-3.672	9.843	0.014	931.16	-3.692	90.0
C00137	myo-Inositol	-3.644	-7.745	0.0	0.0	0.0	50.0
C00135	L-Histidine	1.222	7.324	0.167	162.563	4.761	60.0
C00134	Putrescine	1.585	-7.562	0.016	191.968	-1.608	80.0
C00133	D-Alanine	4.524	8.322	0.544	343.023	7.543	70.0
C00131	dATP	-2.322	-4.807	0.0	0.0	0.0	50.0
C00130	IMP	1.951	-8.226	0.013	303.281	-1.97	80.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.524	8.821	0.006	455.133	-1.533	80.0
C00042	Succinate	4.17	10.491	0.397	1457.15	9.178	90.0
C00041	L-Alanine	4.392	7.966	0.551	271.033	7.223	70.0
C00040	Acyl-CoA	4.907	7.375	0.665	195.998	7.027	70.0
C00047	L-Lysine	3.807	7.111	0.535	152.234	6.349	70.0
C00046	RNA	-5.087	-8.982	0.0	0.0	0.0	50.0
C00044	GTP	-5.884	-9.432	0.0	0.0	0.0	50.0
C00049	L-Aspartate	3.232	5.764	0.561	63.738	5.159	60.0
C00048	Glyoxylate	3.954	-0.874	0.118	17.331	-1.035	80.0
C06481	L-Seryl-tRNA(Sec)	-5.807	-9.987	0.0	0.0	0.0	50.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-5.129	-8.718	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	4.0	9.168	0.436	591.232	8.011	80.0
C01100	L-Histidinol_phosphate	-3.459	-4.776	0.0	0.0	0.0	50.0
C01103	Orotidine_5'-phosphate	-6.052	5.866	0.879	124.672	-6.776	90.0
C05122	Taurocholate	3.17	7.762	0.408	226.068	6.529	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	2.585	-8.552	0.016	381.326	-2.608	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	4.129	9.054	0.456	549.024	7.968	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	1.0	-4.03	0.122	18.336	-1.167	80.0
C05345	beta-D-Fructose_6-phosphate	6.025	6.678	0.902	167.514	7.24	70.0
C00424	(S)-Lactaldehyde	-5.845	-9.649	0.0	0.0	0.0	50.0
C00817	D-Altronate	2.115	-7.612	0.022	199.964	-2.147	80.0
C05840	Iminoaspartate	3.907	4.459	0.876	36.995	5.019	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	1.0	8.264	0.121	309.406	5.227	60.0
C05466	Glycochenodeoxycholate	3.17	7.762	0.408	226.068	6.529	70.0
C05465	Taurochenodeoxycholate	3.17	7.762	0.408	226.068	6.529	70.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	4.807	-7.907	0.117	268.011	-4.966	90.0
C00253	Nicotinate	-4.459	-8.162	0.0	0.0	0.0	50.0
C00250	Pyridoxal	4.17	1.0	0.24	20.001	2.262	50.0
C00251	Chorismate	3.087	-7.372	0.051	174.148	-3.159	80.0
C00254	Prephenate	-1.678	-6.372	0.0	0.0	0.0	50.0
C00255	Riboflavin	5.392	-7.57	0.221	232.01	-5.68	90.0
C05336	Selenomethionyl-tRNA(Met)	-5.7	-9.109	0.0	0.0	0.0	50.0
C00259	L-Arabinose	-5.781	-7.741	0.0	0.0	0.0	50.0
C01081	Thiamin_monophosphate	-2.585	5.322	0.15	46.002	-2.787	80.0
C01083	alpha,alpha-Trehalose	-3.202	-1.0	0.0	0.0	0.0	50.0
C00559	Deoxyadenosine	3.17	9.396	0.337	682.718	7.848	80.0
C00491	L-Cystine	7.807	9.486	0.823	941.03	9.597	90.0
C00493	Shikimate	2.243	3.544	0.633	16.398	3.375	60.0
C00886	L-Alanyl-tRNA	-5.755	-10.025	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-7.105	8.323	0.43	457.901	-7.621	90.0
C00882	Dephospho-CoA	-4.524	1.585	0.13	26.007	-1.762	80.0
C00881	Deoxycytidine	4.322	7.524	0.574	204.057	6.873	70.0
C00078	L-Tryptophan	4.437	7.31	0.607	180.343	6.774	70.0
C00079	L-Phenylalanine	3.017	6.981	0.432	134.42	5.86	70.0
C00073	L-Methionine	3.661	7.384	0.496	179.684	6.477	70.0
C00077	L-Ornithine	-1.585	-6.61	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-6.981	-10.671	0.0	0.0	0.0	50.0
C00075	UTP	6.969	9.82	0.71	1029.167	9.512	90.0
C06032	D-erythro-3-Methylmalate	2.585	-5.078	0.178	39.778	-2.821	80.0
C00085	D-Fructose_6-phosphate	7.107	9.791	0.726	1023.754	9.537	90.0
C00082	L-Tyrosine	-0.553	-5.466	0.0	0.0	0.0	50.0
C00081	ITP	4.17	-7.977	0.071	269.952	-4.27	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-6.129	-6.833	0.0	0.0	0.0	50.0
C03175	Shikimate_3-phosphate	-2.7	5.0	0.203	38.498	-2.967	80.0
C00089	Sucrose	-5.931	-7.562	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	5.426	8.077	0.672	313.027	7.716	80.0
C02218	Dehydroalanine	-1.585	-8.718	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	2.29	8.111	0.282	281.365	6.312	70.0
C01921	Glycocholate	3.17	7.762	0.408	226.068	6.529	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.585	10.115	0.003	1111.967	-1.589	80.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	2.678	-8.193	0.022	299.043	-2.709	80.0
C00106	Uracil	2.888	-7.541	0.04	193.64	-2.944	80.0
C00105	UMP	-0.065	-6.14	0.0	0.0	0.0	50.0
C00103	D-Glucose_1-phosphate	2.481	9.864	0.252	937.463	7.881	80.0
C00100	Propanoyl-CoA	-3.565	-9.295	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-2.655	2.23	0.745	10.99	-3.033	80.0
C00270	N-Acetylneuraminate	1.585	8.326	0.19	323.905	5.946	70.0
C00109	2-Oxobutanoate	3.158	-6.205	0.121	82.698	-3.323	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	2.0	7.531	0.266	188.951	5.649	60.0
C05764	Hexadecanoyl-[acp]	1.0	8.667	0.115	408.469	5.559	60.0
C05761	Tetradecanoyl-[acp]	1.0	8.667	0.115	408.469	5.559	60.0
C05760	trans-Tetradec-2-enoyl-[acp]	1.585	7.317	0.217	162.454	5.137	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	1.585	7.317	0.217	162.454	5.137	60.0
C05762	3-Oxohexadecanoyl-[acp]	3.931	9.041	0.435	542.012	7.881	80.0
C00361	dGDP	3.17	6.185	0.513	81.757	5.389	60.0
C02992	L-Threonyl-tRNA(Thr)	-6.209	-9.617	0.0	0.0	0.0	50.0
C00179	Agmatine	2.322	-9.512	0.007	735.125	-2.332	80.0
C03090	5-Phosphoribosylamine	-2.678	-6.926	0.0	0.0	0.0	50.0
C07086	Phenylacetic_acid	5.524	3.585	0.649	58.014	5.235	60.0
C01077	O-Acetyl-L-homoserine	4.954	8.553	0.579	406.582	7.88	80.0
C01079	Protoporphyrinogen_IX	-4.644	-7.82	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.678	3.485	0.195	12.797	1.316	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.053	-4.752	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	2.807	4.773	0.588	34.339	4.336	60.0
C01179	3-(4-Hydroxyphenyl)pyruvate	0.063	4.254	0.015	20.125	-1.746	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	-7.781	0.009	221.945	-1.013	70.0
C04411	(2R,3S)-3-Isopropylmalate	2.678	-5.186	0.176	42.803	-2.912	80.0
C01172	beta-D-Glucose_6-phosphate	4.644	-4.585	0.96	49.003	-5.556	90.0
C01177	Inositol_1-phosphate	1.0	7.476	0.134	180.033	4.59	60.0
C00169	Carbamoyl_phosphate	-4.678	-8.773	0.0	0.0	0.0	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-5.524	-10.551	0.0	0.0	0.0	50.0
C08334	Lotaustralin	5.524	10.551	0.524	1546.277	9.661	90.0
C03410	N-Glycoloyl-neuraminate	1.585	8.91	0.178	484.036	6.428	70.0
C03892	Phosphatidylglycerophosphate	-4.17	-4.459	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-6.392	-8.743	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	4.918	4.545	0.924	53.576	5.63	60.0
C02553	L-Seryl-tRNA(Ser)	-5.807	-9.989	0.0	0.0	0.0	50.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	-4.524	4.565	0.972	46.677	-5.504	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	3.672	10.035	0.366	1061.892	8.602	90.0
C00831	Pantetheine	3.907	8.725	0.448	438.144	7.616	70.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-2.7	-10.043	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-4.524	-10.617	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	3.17	-5.931	0.148	70.012	-3.369	90.0
C00458	dCTP	-5.327	-6.427	0.0	0.0	0.0	50.0
C00459	dTTP	4.312	-8.832	0.044	475.582	-4.374	90.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	2.322	6.229	0.373	80.01	4.898	60.0
C00455	Nicotinamide_D-ribonucleotide	3.755	5.728	0.656	66.504	5.446	60.0
C00354	D-Fructose_1,6-bisphosphate	-4.605	-8.416	0.0	0.0	0.0	50.0
C00330	Deoxyguanosine	2.104	8.17	0.258	292.314	6.234	70.0
C00333	D-Galacturonate	6.17	9.931	0.621	1048.181	9.347	90.0
C00337	(S)-Dihydroorotate	1.874	3.7	0.506	16.662	3.077	60.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-4.524	-10.203	0.0	0.0	0.0	50.0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	-2.7	-5.392	0.0	0.0	0.0	50.0
C00636	D-Mannose_1-phosphate	3.095	-8.1	0.031	282.919	-3.139	80.0
C00631	2-Phospho-D-glycerate	0.249	-6.391	0.014	85.112	-0.269	70.0
C02528	Chenodeoxycholate	-3.17	-7.762	0.0	0.0	0.0	50.0
C01594	Linamarin	5.524	10.551	0.524	1546.277	9.661	90.0
C16221	(2E)-Octadecenoyl-[acp]	1.585	9.106	0.174	554.035	6.591	70.0
C00208	Maltose	-3.0	-9.655	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	4.322	9.289	0.465	645.559	8.231	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-2.0	7.726	0.019	215.718	-2.027	80.0
C00025	L-Glutamate	-4.875	3.367	0.352	39.661	-3.802	90.0
C00024	Acetyl-CoA	-4.381	10.672	0.013	1652.355	-4.399	90.0
C00148	L-Proline	3.379	7.538	0.448	196.254	6.459	70.0
C00026	2-Oxoglutarate	-4.807	5.085	0.825	61.935	-5.675	90.0
C00021	S-Adenosyl-L-homocysteine	-4.555	-5.828	0.0	0.0	0.0	50.0
C00020	AMP	-3.565	-7.908	0.0	0.0	0.0	50.0
C00022	Pyruvate	3.299	-7.12	0.071	148.944	-3.398	90.0
C00143	5,10-Methylenetetrahydrofolate	-1.312	-8.635	0.0	0.0	0.0	50.0
C00140	N-Acetyl-D-glucosamine	-1.585	6.82	0.027	115.986	-1.623	80.0
C00141	3-Methyl-2-oxobutanoic_acid	-3.904	-6.226	0.0	0.0	0.0	50.0
C00029	UDP-glucose	-1.131	8.82	0.005	454.134	-1.138	80.0
C00147	Adenine	2.644	-6.608	0.064	103.796	-2.734	80.0
C00144	GMP	-2.725	-8.565	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	3.907	10.589	0.369	1555.306	9.165	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.038	-5.931	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	4.711	-1.138	0.084	28.392	-1.254	80.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-3.624	-4.943	0.0	0.0	0.0	50.0
C05726	S-Substituted_L-cysteine	-3.907	-10.589	0.0	0.0	0.0	50.0
C00700	XTP	4.17	9.543	0.437	763.984	8.383	80.0
C06250	Holo-[carboxylase]	1.415	-8.214	0.009	299.601	-1.428	80.0
C02637	3-Dehydroshikimate	-1.585	6.639	0.03	102.664	-1.628	80.0
C01528	Hydrogen_selenide	-4.17	-8.907	0.0	0.0	0.0	50.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	2.0	8.165	0.245	291.019	6.156	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.17	8.604	0.485	407.102	7.624	80.0
C01134	Pantetheine_4'-phosphate	4.79	-7.18	0.191	172.674	-5.042	90.0
C00092	D-Glucose_6-phosphate	-6.194	9.952	0.074	1063.703	-6.297	90.0
C06037	Digalactosyl-diacylglycerol	6.022	9.18	0.656	645.02	8.725	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-5.6	-9.641	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-5.7	-8.945	0.0	0.0	0.0	50.0
C03287	L-Glutamyl_5-phosphate	-3.781	-3.931	0.0	0.0	0.0	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.807	-9.814	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.15	-9.426	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-6.022	-9.18	0.0	0.0	0.0	50.0
C03691	CMP-N-glycoloylneuraminate	-1.585	-8.91	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-4.524	-10.617	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	4.322	9.263	0.467	634.386	8.209	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-4.524	-10.617	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	4.322	9.263	0.467	634.386	8.209	80.0
C20375	Glutaryl-[acp]_methyl_ester	4.858	8.667	0.561	435.469	7.931	80.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-4.7	9.106	0.047	577.027	-4.766	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-4.7	9.106	0.047	577.027	-4.766	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	6.022	9.18	0.656	645.02	8.725	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	4.833	-6.011	0.442	92.992	-5.361	90.0
C00415	Dihydrofolate	-3.17	-4.605	0.0	0.0	0.0	50.0
C00416	Phosphatidate	5.363	8.021	0.669	300.909	7.652	80.0
C17949	N-Acetyldemethylphosphinothricin	-3.907	-3.7	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	4.0	-6.304	0.203	95.012	-4.266	90.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	1.585	6.575	0.241	98.339	4.567	60.0
C01798	D-Glucoside	5.524	10.551	0.524	1546.277	9.661	90.0
C00620	alpha-D-Ribose_1-phosphate	6.492	11.736	0.553	3501.059	10.919	90.0
C04006	1D-myo-Inositol_3-phosphate	1.0	-11.604	0.001	3114.806	-1.001	70.0
C02686	Galactosylceramide	-6.022	-8.333	0.0	0.0	0.0	50.0
C00243	Lactose	5.129	11.461	0.448	2854.056	10.319	90.0
C00242	Guanine	-2.907	-8.595	0.0	0.0	0.0	50.0
C00245	Taurine	-3.17	-6.486	0.0	0.0	0.0	50.0
C18172	Carboxyspermidine	4.7	8.566	0.549	404.978	7.796	80.0
C18174	Carboxynorspermidine	4.7	8.566	0.549	404.978	7.796	80.0
C01099	L-Fuculose_1-phosphate	3.322	-4.248	0.526	29.001	-3.932	90.0
C01097	D-Tagatose_6-phosphate	6.943	9.329	0.744	766.186	9.155	90.0
C00561	Mandelonitrile	-5.524	-10.551	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	6.629	10.599	0.625	1649.994	10.011	90.0
C01721	L-Fuculose	-3.0	-9.651	0.0	0.0	0.0	50.0
C00068	Thiamin_diphosphate	0.479	4.229	0.113	20.146	1.19	50.0
C00342	Thioredoxin	3.807	-7.406	0.083	183.597	-3.921	90.0
C00343	Thioredoxin_disulfide	-3.807	7.322	0.087	174.005	-3.928	90.0
C00344	Phosphatidylglycerol	3.807	7.087	0.537	149.953	6.332	70.0
C05684	Selenite	5.524	9.441	0.585	741.077	8.76	90.0
C00063	CTP	7.129	9.99	0.714	1156.899	9.689	90.0
C05689	Se-Methyl-L-selenocysteine	2.0	8.547	0.234	378.027	6.467	70.0
C00065	L-Serine	-3.92	-7.847	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-3.033	-8.294	0.0	0.0	0.0	50.0
C00066	tRNA	3.807	8.98	0.424	518.948	7.781	80.0
C16633	5-Fluorouridine	5.044	8.725	0.578	456.134	8.043	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	-1.263	8.518	0.007	368.984	-1.272	80.0
C16635	5'-Deoxy-5-fluorocytidine	4.644	8.516	0.545	391.079	7.737	80.0
C16634	5-Fluorouridine_monophosphate	-5.044	-9.773	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	4.858	9.691	0.501	855.574	8.744	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.907	8.725	0.448	438.144	7.616	70.0
