compound_code	compound_name	butyrivibrio_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C00364	dTMP	-4.787	-1.415	0.0	0.0	0.0	50.0
C00365	dUMP	-6.949	1.0	0.016	125.554	-1.023	80.0
C00362	dGMP	-2.7	-0.222	0.0	0.0	0.0	50.0
C00360	dAMP	-9.581	-7.307	0.0	0.0	0.0	50.0
C00008	ADP	7.258	4.47	0.616	175.227	6.754	80.0
C00005	NADPH	-5.459	-3.585	0.0	0.0	0.0	50.0
C00003	NAD+	-6.163	-3.807	0.0	0.0	0.0	50.0
C00002	ATP	8.749	6.714	0.767	535.223	8.682	90.0
C00369	Starch	4.763	-4.078	0.622	44.041	-4.776	90.0
C05703	Methaneselenol	-7.547	-4.644	0.0	0.0	0.0	50.0
C16619	6-Thioguanosine_monophosphate	-8.028	-4.931	0.0	0.0	0.0	50.0
C16618	6-Thioxanthine_5'-monophosphate	-7.877	-5.322	0.0	0.0	0.0	50.0
C02612	(R)-2-Methylmalate	8.063	4.7	0.583	293.419	7.418	80.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.864	-4.858	0.0	0.0	0.0	50.0
C16614	6-Methylmercaptopurine	7.864	4.858	0.618	261.97	7.338	80.0
C03742	(S)-4-Hydroxymandelonitrile	-9.95	-5.524	0.0	0.0	0.0	50.0
C00645	N-Acetyl-D-mannosamine	-5.895	-1.585	0.0	0.0	0.0	50.0
C00099	beta-Alanine	-2.0	1.222	0.583	6.333	-1.885	80.0
C00311	Isocitrate	-7.232	-2.412	0.0	0.0	0.0	50.0
C00310	D-Xylulose	9.028	6.17	0.683	594.038	8.665	90.0
C01931	L-Lysyl-tRNA	-7.697	-6.555	0.0	0.0	0.0	50.0
C00315	Spermidine	-0.322	-1.7	0.0	0.0	0.0	50.0
C00314	Pyridoxine	6.17	4.17	0.676	90.005	5.927	70.0
C00092	D-Glucose_6-phosphate	-9.622	-6.194	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	-7.965	5.061	0.134	283.246	-5.242	90.0
C00095	D-Fructose	7.353	-5.755	0.33	217.488	-6.167	90.0
C00096	GDP-mannose	6.599	0.379	0.057	98.239	2.496	50.0
C00097	L-Cysteine	6.061	4.279	0.706	86.178	5.927	70.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	7.994	4.907	0.614	284.94	7.45	80.0
C00077	L-Ornithine	7.366	-1.585	0.018	167.963	-1.611	80.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.022	-4.17	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-6.566	-4.129	0.0	0.0	0.0	50.0
C00166	Phenylpyruvate	-1.29	-1.596	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-7.615	-6.285	0.0	0.0	0.0	50.0
C00180	Benzoate	-6.714	-1.585	0.0	0.0	0.0	50.0
C00163	Propanoate	9.101	6.476	0.712	638.145	8.827	90.0
C02984	L-Aspartyl-tRNA(Asp)	-7.852	-5.672	0.0	0.0	0.0	50.0
C02987	L-Glutamyl-tRNA(Glu)	-8.103	-5.044	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	8.52	4.644	0.545	392.095	7.74	90.0
C02047	L-Leucyl-tRNA	-9.0	-5.524	0.0	0.0	0.0	50.0
C04377	5,10-Methylenetetrahydromethanopterin	-8.852	-5.615	0.0	0.0	0.0	50.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.34	6.304	0.994	160.02	7.314	80.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-5.964	-4.619	0.0	0.0	0.0	50.0
C00860	L-Histidinol	6.17	4.17	0.676	90.005	5.927	70.0
C02962	D-Allose_6-phosphate	8.331	5.285	0.634	361.008	7.839	90.0
C00864	Pantothenate	6.852	3.459	0.505	126.517	5.997	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-9.471	2.585	0.008	715.668	-2.597	90.0
C01380	Ethylene_glycol	8.114	6.443	0.794	364.053	8.175	90.0
C01419	Cys-Gly	6.384	3.907	0.612	98.518	5.914	70.0
C01412	Butanal	4.858	6.687	0.726	132.036	6.584	80.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	-6.629	-0.737	0.0	0.0	0.0	50.0
C03561	(R)-3-Hydroxybutanoyl-CoA	10.203	2.807	0.275	1185.714	8.35	90.0
C08325	Amygdalin	9.95	5.524	0.555	1035.133	9.167	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-8.084	-3.939	0.0	0.0	0.0	50.0
C17962	Demethylphosphinothricin	5.392	3.907	0.725	56.992	5.368	60.0
C03406	N-(L-Arginino)succinate	-8.618	-5.322	0.0	0.0	0.0	50.0
C07648	Thioguanine	7.864	4.858	0.618	261.97	7.338	80.0
C01962	Thiocysteine	-7.459	-7.807	0.0	0.0	0.0	50.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-6.022	1.585	0.046	67.984	-1.65	80.0
C00695	Cholic_acid	-7.418	-3.17	0.0	0.0	0.0	50.0
C18096	D-Allulose_6-phosphate	-8.195	-5.285	0.0	0.0	0.0	50.0
C00269	CDP-diacylglycerol	4.902	-5.7	0.575	81.883	-5.557	90.0
C16219	3-Oxostearoyl-[acp]	-2.322	4.322	0.25	25.001	-2.644	90.0
C00263	L-Homoserine	-3.033	1.503	0.346	11.019	-1.932	80.0
C00262	Hypoxanthine	-1.954	2.852	0.537	11.094	-2.574	90.0
C16217	3-Hydroxyoctadecanoyl-CoA	-8.679	-5.585	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	8.679	5.585	0.644	457.865	8.203	90.0
C00267	alpha-D-Glucose	7.457	4.765	0.639	202.894	7.018	80.0
C00266	Glycolaldehyde	-7.733	-6.443	0.0	0.0	0.0	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.6	-5.426	0.0	0.0	0.0	50.0
C00460	dUTP	7.555	4.209	0.557	206.548	6.846	80.0
C00286	dGTP	-8.041	-4.951	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	6.807	3.585	0.527	123.973	6.029	70.0
C00407	L-Isoleucine	-6.282	2.379	0.067	83.018	-2.472	80.0
C00327	L-Citrulline	8.238	5.248	0.637	339.917	7.759	90.0
C02798	3-Phosphonopyruvate	-7.077	4.087	0.126	152.012	-4.258	90.0
C05688	L-Selenocysteine	1.0	2.0	0.5	6.0	1.585	50.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	6.15	-3.907	0.211	86.014	-4.183	90.0
C01563	Carbamate	-7.6	-3.322	0.0	0.0	0.0	50.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	9.267	2.807	0.303	623.089	7.56	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	8.195	-3.585	0.041	305.05	-3.643	90.0
C01209	Malonyl-[acyl-carrier_protein]	6.672	3.931	0.589	117.223	6.11	70.0
C02492	1,4-beta-D-Mannan	7.022	5.524	0.787	175.981	7.113	80.0
C00217	D-Glutamate	5.615	4.392	0.782	70.005	5.775	70.0
C00214	Thymidine	5.102	2.0	0.392	38.344	3.91	60.0
C00212	Adenosine	6.819	4.087	0.599	129.902	6.283	70.0
C16688	Sucrose_6-phosphate	7.322	2.322	0.317	165.008	5.71	70.0
C05840	Iminoaspartate	3.459	3.907	0.885	25.998	4.525	60.0
C00037	Glycine	8.083	4.775	0.591	298.539	7.462	80.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-8.214	4.807	0.094	324.927	-4.937	90.0
C00033	Acetate	8.404	4.598	0.547	362.95	7.634	80.0
C00031	D-Glucose	7.856	-3.672	0.055	244.428	-3.749	90.0
C00137	myo-Inositol	-7.335	-3.644	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	9.309	-3.807	0.022	648.287	-3.838	90.0
C00135	L-Histidine	-6.2	1.222	0.032	75.849	-1.267	80.0
C00134	Putrescine	6.009	1.585	0.264	67.401	4.152	60.0
C00133	D-Alanine	5.833	4.524	0.776	80.011	5.955	70.0
C00131	dATP	-6.479	-2.322	0.0	0.0	0.0	50.0
C00130	IMP	-2.346	1.951	0.76	8.951	-2.767	90.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.585	-1.524	0.0	0.0	0.0	50.0
C00042	Succinate	4.7	4.17	0.887	43.993	5.287	60.0
C00041	L-Alanine	6.79	4.392	0.647	131.656	6.412	70.0
C00040	Acyl-CoA	7.654	4.907	0.641	231.413	7.213	80.0
C00047	L-Lysine	-5.951	3.807	0.226	75.859	-4.101	90.0
C00046	RNA	-7.76	-5.087	0.0	0.0	0.0	50.0
C00044	GTP	-8.947	-5.884	0.0	0.0	0.0	50.0
C00049	L-Aspartate	5.666	3.232	0.57	60.169	5.101	60.0
C00048	Glyoxylate	6.975	3.954	0.567	141.299	6.324	70.0
C06481	L-Seryl-tRNA(Sec)	-8.426	-5.807	0.0	0.0	0.0	50.0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-8.098	-5.129	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	9.382	4.0	0.426	683.211	8.186	90.0
C01100	L-Histidinol_phosphate	-4.524	-3.459	0.0	0.0	0.0	50.0
C01103	Orotidine_5'-phosphate	-6.59	-6.052	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-5.719	-2.655	0.0	0.0	0.0	50.0
C05122	Taurocholate	7.418	3.17	0.427	180.018	6.265	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-9.471	2.585	0.008	715.668	-2.597	90.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	9.809	4.129	0.421	914.519	8.589	90.0
C16565	Aminopropylcadaverine	-6.304	-4.087	0.0	0.0	0.0	50.0
C00957	Mercaptopyruvate	3.907	2.0	0.512	19.001	3.282	60.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-4.087	1.0	0.118	18.995	-1.161	80.0
C05345	beta-D-Fructose_6-phosphate	10.671	6.025	0.565	1695.507	9.903	90.0
C00221	beta-D-Glucose	-8.89	3.916	0.032	489.508	-3.961	90.0
C00817	D-Altronate	-5.85	2.115	0.075	62.012	-2.219	80.0
C00036	Oxaloacetate	10.089	6.503	0.645	1179.858	9.571	90.0
C05223	Dodecanoyl-[acyl-carrier_protein]	5.907	1.0	0.169	62.005	3.392	60.0
C05466	Glycochenodeoxycholate	7.418	3.17	0.427	180.018	6.265	70.0
C05465	Taurochenodeoxycholate	7.418	3.17	0.427	180.018	6.265	70.0
C00035	GDP	1.7	-4.358	0.158	23.755	-1.912	80.0
C00253	Nicotinate	-7.583	-4.459	0.0	0.0	0.0	50.0
C00250	Pyridoxal	6.17	4.17	0.676	90.005	5.927	70.0
C00251	Chorismate	-6.188	3.087	0.117	81.405	-3.246	90.0
C00254	Prephenate	-3.883	-1.678	0.0	0.0	0.0	50.0
C00255	Riboflavin	6.248	5.392	0.863	117.995	6.67	80.0
C05336	Selenomethionyl-tRNA(Met)	-8.155	-5.7	0.0	0.0	0.0	50.0
C00259	L-Arabinose	-8.098	-5.781	0.0	0.0	0.0	50.0
C01081	Thiamin_monophosphate	-5.585	-2.585	0.0	0.0	0.0	50.0
C01083	alpha,alpha-Trehalose	-8.873	-3.202	0.0	0.0	0.0	50.0
C00559	Deoxyadenosine	4.723	3.17	0.671	35.41	4.571	60.0
C00558	D-Tagaturonate	-8.061	-6.022	0.0	0.0	0.0	50.0
C00492	Raffinose	-4.907	-4.392	0.0	0.0	0.0	50.0
C00493	Shikimate	4.355	2.243	0.515	25.198	3.698	60.0
C00886	L-Alanyl-tRNA	-8.551	-5.755	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-11.558	-7.105	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	-7.109	-4.524	0.0	0.0	0.0	50.0
C00881	Deoxycytidine	7.547	4.322	0.573	207.015	6.889	80.0
C00078	L-Tryptophan	5.624	4.437	0.789	70.977	5.807	70.0
C00079	L-Phenylalanine	3.469	3.017	0.87	19.168	4.059	60.0
C00073	L-Methionine	8.214	3.661	0.446	309.584	7.108	80.0
C02282	Glutaminyl-tRNA	-8.521	-3.636	0.0	0.0	0.0	50.0
C00074	Phosphoenolpyruvate	-10.818	-6.981	0.0	0.0	0.0	50.0
C00075	UTP	9.406	6.969	0.741	803.683	9.218	90.0
C00085	D-Fructose_6-phosphate	10.541	7.107	0.674	1627.754	10.1	90.0
C02352	1,4-beta-D-Xylan	6.883	1.585	0.23	121.029	4.801	60.0
C00083	Malonyl-CoA	5.723	-3.491	0.213	64.063	-3.769	90.0
C00082	L-Tyrosine	-2.919	-0.553	0.0	0.0	0.0	50.0
C00081	ITP	6.022	4.17	0.692	82.984	5.845	70.0
C00080	H+	-6.672	3.544	0.114	113.634	-3.7	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-4.585	-6.129	0.0	0.0	0.0	50.0
C05762	3-Oxohexadecanoyl-[acp]	-2.0	3.931	0.262	19.253	-2.336	80.0
C00089	Sucrose	-7.443	-5.931	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	8.185	5.426	0.663	334.017	7.791	90.0
C02218	Dehydroalanine	-5.087	-1.585	0.0	0.0	0.0	50.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	7.446	2.29	0.308	179.26	5.785	70.0
C01921	Glycocholate	7.418	3.17	0.427	180.018	6.265	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-3.807	-1.585	0.0	0.0	0.0	50.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-3.7	2.678	0.492	19.396	-3.256	90.0
C00106	Uracil	6.373	2.888	0.453	90.285	5.355	60.0
C00105	UMP	-4.71	-0.065	0.0	0.0	0.0	50.0
C00103	D-Glucose_1-phosphate	5.816	2.481	0.427	61.919	4.723	60.0
C00100	Propanoyl-CoA	-11.255	-3.565	0.0	0.0	0.0	50.0
C05838	cis-2-Hydroxycinnamate	-9.95	-5.524	0.0	0.0	0.0	50.0
C02474	Arabinan	9.317	5.781	0.62	692.804	8.748	90.0
C00109	2-Oxobutanoate	10.04	3.158	0.315	1061.714	8.384	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-4.322	2.0	0.2	24.001	-2.263	80.0
C05764	Hexadecanoyl-[acp]	5.907	1.0	0.169	62.005	3.392	60.0
C05761	Tetradecanoyl-[acp]	5.907	1.0	0.169	62.005	3.392	60.0
C05760	trans-Tetradec-2-enoyl-[acp]	6.15	1.585	0.258	74.013	4.254	60.0
C05763	trans-Hexadec-2-enoyl-[acp]	6.15	1.585	0.258	74.013	4.254	60.0
C03175	Shikimate_3-phosphate	-4.492	-2.7	0.0	0.0	0.0	50.0
C00361	dGDP	6.786	3.17	0.467	119.355	5.801	70.0
C00170	5'-Methylthioadenosine	4.285	-1.0	0.103	21.495	-1.141	80.0
C02992	L-Threonyl-tRNA(Thr)	-8.714	-6.209	0.0	0.0	0.0	50.0
C00179	Agmatine	5.19	2.322	0.447	41.505	4.215	60.0
C03090	5-Phosphoribosylamine	-7.997	-2.678	0.0	0.0	0.0	50.0
C07086	Phenylacetic_acid	9.246	5.524	0.597	653.202	8.608	90.0
C01077	O-Acetyl-L-homoserine	7.243	4.954	0.684	182.478	6.964	80.0
C01079	Protoporphyrinogen_IX	-8.574	-4.644	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.585	0.678	0.267	7.6	-1.019	80.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.322	-2.053	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	-6.56	2.807	0.074	101.352	-2.91	90.0
C04419	Carboxybiotin-carboxyl-carrier_protein	7.96	2.459	0.309	254.498	6.297	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	4.0	1.0	0.25	18.0	2.17	50.0
C04411	(2R,3S)-3-Isopropylmalate	2.293	2.678	0.856	11.3	3.274	60.0
C01172	beta-D-Glucose_6-phosphate	9.166	4.644	0.507	599.438	8.247	90.0
C01177	Inositol_1-phosphate	7.285	1.0	0.137	157.957	4.438	60.0
C00169	Carbamoyl_phosphate	-6.626	-4.678	0.0	0.0	0.0	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-9.95	-5.524	0.0	0.0	0.0	50.0
C08334	Lotaustralin	9.95	5.524	0.555	1035.133	9.167	90.0
C03557	2-Aminoethylphosphonate	7.435	1.0	0.134	175.045	4.557	60.0
C03410	N-Glycoloyl-neuraminate	7.814	1.585	0.203	228.034	5.532	70.0
C03892	Phosphatidylglycerophosphate	-7.637	-4.17	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	4.459	2.28	0.511	26.85	3.779	60.0
C00680	meso-2,6-Diaminoheptanedioate	-1.312	4.918	0.082	32.715	-1.426	80.0
C02553	L-Seryl-tRNA(Ser)	-8.426	-5.807	0.0	0.0	0.0	50.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	6.903	-4.524	0.192	142.684	-4.778	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-9.348	3.672	0.02	664.417	-3.7	90.0
C00831	Pantetheine	6.925	3.907	0.564	136.517	6.267	70.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-8.642	-2.7	0.0	0.0	0.0	50.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	2.601	-0.617	0.253	7.601	-0.942	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.977	-4.524	0.0	0.0	0.0	50.0
C00921	Dihydropteroate	7.109	3.17	0.446	147.046	6.035	70.0
C01674	Chitobiose	8.94	1.585	0.177	494.143	6.453	70.0
C00458	dCTP	-8.959	-5.327	0.0	0.0	0.0	50.0
C00459	dTTP	7.798	4.312	0.553	242.415	7.067	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	7.683	2.322	0.302	210.501	5.991	70.0
C00455	Nicotinamide_D-ribonucleotide	-4.719	3.755	0.513	39.838	-4.352	90.0
C00330	Deoxyguanosine	5.923	2.104	0.355	64.973	4.529	60.0
C00333	D-Galacturonate	9.638	6.17	0.64	868.763	9.119	90.0
C12739	5'-Deoxy-5-fluorouridine	-7.672	-4.644	0.0	0.0	0.0	50.0
C00337	(S)-Dihydroorotate	-5.209	1.874	0.099	40.654	-2.01	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.977	-4.524	0.0	0.0	0.0	50.0
C00630	2-Methylpropanoyl-CoA	4.524	6.0	0.754	87.007	6.036	70.0
C00631	2-Phospho-D-glycerate	2.926	0.249	0.085	8.788	-0.419	80.0
C02528	Chenodeoxycholate	-7.418	-3.17	0.0	0.0	0.0	50.0
C01594	Linamarin	9.95	5.524	0.555	1035.133	9.167	90.0
C00208	Maltose	-8.472	-3.0	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	8.024	4.322	0.539	280.295	7.238	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	3.781	-2.0	0.291	17.747	-2.368	80.0
C00025	L-Glutamate	5.922	-4.875	0.484	89.976	-5.444	90.0
C00024	Acetyl-CoA	-8.417	-4.381	0.0	0.0	0.0	50.0
C00148	L-Proline	-4.322	3.379	0.52	30.405	-3.983	90.0
C00026	2-Oxoglutarate	-4.412	-4.807	0.0	0.0	0.0	50.0
C00021	S-Adenosyl-L-homocysteine	5.597	-4.555	0.486	71.909	-5.126	90.0
C00020	AMP	-6.484	-3.565	0.0	0.0	0.0	50.0
C00022	Pyruvate	8.769	3.299	0.376	446.089	7.391	80.0
C00143	5,10-Methylenetetrahydrofolate	-7.131	-1.312	0.0	0.0	0.0	50.0
C00140	N-Acetyl-D-glucosamine	-6.87	-1.585	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	-7.449	-3.904	0.0	0.0	0.0	50.0
C00029	UDP-glucose	-7.345	-1.131	0.0	0.0	0.0	50.0
C00147	Adenine	4.295	2.644	0.616	25.881	3.994	60.0
C00144	GMP	-7.547	-2.725	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	6.384	3.907	0.612	98.518	5.914	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-8.282	-4.038	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	-0.678	4.711	0.061	27.791	-0.764	80.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-6.19	-3.624	0.0	0.0	0.0	50.0
C05726	S-Substituted_L-cysteine	-6.384	-3.907	0.0	0.0	0.0	50.0
C00700	XTP	6.022	4.17	0.692	82.984	5.845	70.0
C06250	Holo-[carboxylase]	-7.998	1.415	0.01	258.312	-1.43	80.0
C02637	3-Dehydroshikimate	2.722	-1.585	0.455	9.598	-2.126	80.0
C01179	3-(4-Hydroxyphenyl)pyruvate	1.508	0.063	0.042	3.889	-2.622	90.0
C01528	Hydrogen_selenide	-7.547	-4.17	0.0	0.0	0.0	50.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	4.0	2.0	0.5	20.0	3.322	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.426	4.17	0.649	103.985	6.076	70.0
C01134	Pantetheine_4'-phosphate	7.767	4.79	0.617	245.486	7.242	80.0
C01137	S-Adenosylmethioninamine	3.931	2.248	0.572	20.003	3.516	60.0
C00760	Cellulose	9.347	-6.19	0.112	724.228	-6.343	90.0
C06037	Digalactosyl-diacylglycerol	8.028	6.022	0.75	326.0	7.934	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-7.873	-5.6	0.0	0.0	0.0	50.0
C06032	D-erythro-3-Methylmalate	2.205	2.585	0.853	10.611	3.178	60.0
C03287	L-Glutamyl_5-phosphate	6.892	-3.781	0.116	132.514	-3.939	90.0
C02741	Phosphoribosyl-AMP	3.858	0.585	0.152	16.0	1.279	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-8.114	-3.807	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-8.17	-6.15	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-8.028	-6.022	0.0	0.0	0.0	50.0
C03691	CMP-N-glycoloylneuraminate	-7.814	-1.585	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.977	-4.524	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-2.322	4.322	0.25	25.001	-2.644	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.977	-4.524	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-2.322	4.322	0.25	25.001	-2.644	90.0
C20375	Glutaryl-[acp]_methyl_ester	8.693	4.858	0.559	442.861	7.951	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-8.155	-4.7	0.0	0.0	0.0	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-8.155	-4.7	0.0	0.0	0.0	50.0
C05401	3-beta-D-Galactosyl-sn-glycerol	8.028	6.022	0.75	326.0	7.934	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	6.384	4.833	0.757	112.019	6.406	70.0
C00415	Dihydrofolate	6.33	-3.17	0.112	89.449	-3.323	90.0
C00416	Phosphatidate	-5.426	5.363	0.957	84.147	-6.332	90.0
C03460	2-Methylprop-2-enoyl-CoA	-4.524	-6.0	0.0	0.0	0.0	50.0
C17949	N-Acetyldemethylphosphinothricin	-5.392	-3.907	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	7.735	4.0	0.517	229.043	6.888	80.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	3.17	1.585	0.5	12.001	2.585	50.0
C01798	D-Glucoside	9.95	5.524	0.555	1035.133	9.167	90.0
C00620	alpha-D-Ribose_1-phosphate	9.72	6.492	0.668	933.366	9.284	90.0
C04006	1D-myo-Inositol_3-phosphate	7.285	1.0	0.137	157.957	4.438	60.0
