compound_code	compound_name	lactobacillus_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-6.983	-1.237	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	-9.982	6.589	0.095	1107.572	-6.72	90.0
C00327	L-Citrulline	2.722	4.392	0.62	27.593	4.096	90.0
C00242	Guanine	-4.353	-0.485	0.0	0.0	0.0	50.0
C05399	Melibiitol	6.954	0.585	0.084	125.483	3.4	80.0
C00857	Deamino-NAD+	-1.0	3.17	0.222	11.0	-1.289	70.0
C04419	Carboxybiotin-carboxyl-carrier_protein	4.196	0.585	0.139	19.828	1.467	70.0
C00269	CDP-diacylglycerol	-2.459	0.485	0.255	6.898	-0.812	70.0
C16219	3-Oxostearoyl-[acp]	4.585	1.0	0.218	26.001	2.504	70.0
C05756	3-Oxododecanoyl-[acp]	4.585	1.0	0.218	26.001	2.504	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-3.322	-1.0	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	-4.239	0.174	0.06	20.011	-0.258	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.0	-1.0	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	5.0	1.0	0.2	34.0	2.766	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	4.0	-1.322	0.156	18.5	-1.531	80.0
C01613	Stachyose	6.19	0.415	0.067	74.342	2.317	70.0
C00460	dUTP	5.113	4.358	0.852	55.114	5.554	90.0
C02909	(2-Naphthyl)methanol	7.639	2.954	0.387	207.077	6.323	90.0
C00159	D-Mannose	9.289	-0.585	0.002	627.058	-0.588	70.0
C00286	dGTP	-7.812	-3.115	0.0	0.0	0.0	50.0
C00124	D-Galactose	-6.262	3.195	0.119	85.903	-3.358	90.0
C00129	Isopentenyl_diphosphate	-1.72	-3.524	0.0	0.0	0.0	50.0
C00288	HCO3-	4.196	0.585	0.139	19.828	1.467	70.0
C03892	Phosphatidylglycerophosphate	-3.585	-1.0	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	1.485	0.568	0.382	4.282	0.712	60.0
C16348	cis-3-Chloroallyl_aldehyde	-5.7	-1.322	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-6.615	-3.7	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	10.843	-2.515	0.003	1842.543	-2.519	90.0
C06112	L-Glutamyl-tRNA(Gln)	4.353	-1.322	0.122	22.936	-1.489	70.0
C03785	D-Tagatose_1,6-bisphosphate	-7.706	-3.0	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-3.322	-1.0	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	4.585	1.0	0.218	26.001	2.504	70.0
C05744	Acetoacetyl-[acp]	3.82	0.678	0.177	15.723	1.481	70.0
C03150	Nicotinamide-beta-riboside	5.073	0.585	0.115	35.161	2.02	70.0
C00458	dCTP	-6.758	-3.97	0.0	0.0	0.0	50.0
C00459	dTTP	-4.392	1.322	0.119	23.496	-1.484	70.0
C06055	O-Phospho-4-hydroxy-L-threonine	2.17	-0.737	0.37	6.167	-1.192	70.0
C00199	D-Ribulose_5-phosphate	-5.339	0.617	0.038	42.01	-0.671	70.0
C00052	UDP-alpha-D-galactose	-4.708	-2.322	0.0	0.0	0.0	50.0
C00217	D-Glutamate	-0.737	1.0	0.833	3.667	-1.611	80.0
C00469	Ethanol	7.639	2.954	0.387	207.077	6.323	90.0
C00212	Adenosine	4.728	0.322	0.068	27.752	0.918	70.0
C00036	Oxaloacetate	3.326	3.341	0.996	20.161	4.327	90.0
C00037	Glycine	-2.095	0.817	0.412	6.034	-1.315	70.0
C00035	GDP	-6.066	-2.415	0.0	0.0	0.0	50.0
C00033	Acetate	7.121	1.441	0.202	141.914	4.844	90.0
C00031	D-Glucose	4.102	-0.222	0.068	18.339	-0.317	70.0
C00137	myo-Inositol	-4.788	-0.585	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	-7.5	-4.807	0.0	0.0	0.0	50.0
C00135	L-Histidine	2.17	1.0	0.461	6.5	1.583	70.0
C00131	dATP	6.046	-1.926	0.058	69.874	-2.007	80.0
C00130	IMP	-4.15	1.437	0.153	20.461	-1.642	80.0
C01097	D-Tagatose_6-phosphate	8.275	3.0	0.363	317.758	6.848	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-3.322	-1.0	0.0	0.0	0.0	50.0
C00299	Uridine	4.315	-0.628	0.078	21.45	-0.736	70.0
C06010	(S)-2-Acetolactate	1.678	2.585	0.649	9.2	2.578	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	0.585	-1.0	0.75	3.5	-1.392	70.0
C01172	beta-D-Glucose_6-phosphate	-4.737	-2.612	0.0	0.0	0.0	50.0
C00446	alpha-D-Galactose_1-phosphate	1.379	-2.322	0.52	7.601	-1.983	80.0
C01762	Xanthosine	5.387	0.585	0.109	43.346	2.235	70.0
C00631	2-Phospho-D-glycerate	-5.885	0.202	0.019	60.247	-0.23	70.0
C00441	L-Aspartate_4-semialdehyde	3.611	3.222	0.892	21.549	4.265	90.0
C00526	Deoxyuridine	5.91	0.415	0.07	61.463	2.11	70.0
C00527	Glutaryl-CoA	-2.585	-0.737	0.0	0.0	0.0	50.0
C00448	trans,trans-Farnesyl_diphosphate	2.807	0.415	0.148	8.332	0.301	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	1.087	-1.0	0.941	4.124	-1.957	80.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-3.322	-1.0	0.0	0.0	0.0	50.0
C00041	L-Alanine	4.17	1.907	0.457	21.751	3.314	80.0
C00040	Acyl-CoA	3.478	0.363	0.104	12.429	0.375	60.0
C00047	L-Lysine	-3.392	1.807	0.333	13.997	-2.222	80.0
C00046	RNA	-4.694	-4.104	0.0	0.0	0.0	50.0
C00044	GTP	-5.31	-4.131	0.0	0.0	0.0	50.0
C00049	L-Aspartate	1.69	1.871	0.903	6.884	2.637	80.0
C00206	dADP	-6.353	0.848	0.022	83.542	-0.879	70.0
