compound_code	compound_name	escherichia_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C05729	R-S-Cysteinylglycine	1.222	7.16	0.171	145.345	4.633	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-0.893	-8.836	0.004	458.841	-0.899	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-1.322	-8.444	0.007	350.755	-1.332	60.0
C05335	L-Selenomethionine	-1.0	8.96	0.004	499.999	-1.006	50.0
C00644	D-Mannitol_1-phosphate	-1.0	-8.055	0.008	267.948	-1.011	50.0
C01228	Guanosine_3',5'-bis(diphosphate)	1.0	-8.735	0.005	428.086	-1.007	50.0
C03291	L-Xylulose_5-phosphate	-1.0	-3.822	0.141	16.143	-1.191	60.0
C05726	S-Substituted_L-cysteine	-1.222	-7.16	0.016	145.345	-1.245	60.0
C06126	Digalactosylceramide	1.585	9.755	0.162	867.067	7.138	80.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.585	-8.858	0.006	467.006	-1.594	70.0
C00330	Deoxyguanosine	0.115	9.213	0.012	594.54	2.892	60.0
C00705	dCDP	0.322	7.923	0.041	243.945	3.309	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	6.392	-9.899	0.088	1038.745	-6.514	90.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-1.0	-9.165	0.003	576.037	-1.005	50.0
C05759	3-Oxotetradecanoyl-[acp]	2.0	9.702	0.206	836.9	7.431	90.0
C01185	Nicotinate_D-ribonucleotide	1.138	8.875	0.128	471.707	5.919	70.0
C01613	Stachyose	1.585	9.662	0.164	813.125	7.059	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-1.585	-7.898	0.013	241.526	-1.603	70.0
C15812	[Enzyme]-S-sulfanylcysteine	1.0	-9.576	0.003	765.244	-1.004	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-1.585	-9.285	0.005	626.826	-1.592	70.0
C00014	Ammonia	1.513	6.411	0.236	87.949	4.375	70.0
C05980	Cardiolipin	-1.0	-8.165	0.007	289.019	-1.01	50.0
C02988	L-Histidyl-tRNA(His)	-2.0	-7.693	0.019	210.93	-2.028	80.0
C02336	beta-D-Fructose	1.0	9.6	0.104	778.047	6.341	80.0
C00065	L-Serine	0.1	-8.966	0.002	501.147	-0.103	60.0
C05796	Galactan	1.0	10.016	0.1	1037.42	6.695	80.0
C03546	myo-Inositol_4-phosphate	1.585	9.957	0.159	996.93	7.31	90.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-2.0	7.5	0.022	185.019	-2.032	80.0
C00015	UDP	-1.585	6.17	0.042	75.004	-1.644	70.0
C05746	3-Oxohexanoyl-[acp]	2.0	9.702	0.206	836.9	7.431	90.0
C00794	D-Sorbitol	-1.0	10.812	0.001	1799.779	-1.002	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	2.0	-6.943	0.033	127.041	-2.046	80.0
C00886	L-Alanyl-tRNA	-2.322	-8.185	0.017	296.025	-2.347	90.0
C01134	Pantetheine_4'-phosphate	-1.585	9.127	0.005	562.115	-1.593	70.0
C05754	trans-Dec-2-enoyl-[acp]	-2.322	-7.788	0.023	226.015	-2.354	90.0
C00231	D-Xylulose_5-phosphate	-0.415	7.802	0.006	224.503	-0.424	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1.0	-8.96	0.004	499.999	-1.006	50.0
C02876	Propanoyl_phosphate	2.0	7.335	0.273	165.456	5.496	70.0
C05345	beta-D-Fructose_6-phosphate	-0.918	10.439	0.001	1390.09	-0.92	50.0
C00227	Acetyl_phosphate	-2.292	-9.455	0.007	706.738	-2.302	80.0
C00226	Primary_alcohol	1.874	12.204	0.154	4721.797	9.502	90.0
C06037	Digalactosyl-diacylglycerol	1.585	9.755	0.162	867.067	7.138	80.0
C01236	D-Glucono-1,5-lactone_6-phosphate	-1.0	8.683	0.005	413.002	-1.007	50.0
C00221	beta-D-Glucose	-1.0	-11.216	0.001	2380.77	-1.001	50.0
C00058	Formate	4.755	14.227	0.334	19202.813	12.648	90.0
C03492	D-4'-Phosphopantothenate	-1.585	7.119	0.022	142.006	-1.616	70.0
C00387	Guanosine	-1.28	9.013	0.005	519.063	-1.287	60.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-1.322	-8.444	0.007	350.755	-1.332	60.0
C00921	Dihydropteroate	-1.0	8.017	0.008	261.034	-1.011	50.0
C01345	dITP	-1.0	5.209	0.054	38.988	-1.076	60.0
C00655	Xanthosine_5'-phosphate	-0.967	7.38	0.012	168.527	-0.984	50.0
C00301	ADP-ribose	1.585	9.426	0.168	690.874	6.86	80.0
C00118	D-Glyceraldehyde_3-phosphate	0.1	-12.982	0.0	8091.498	-0.1	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	6.409	8.14	0.787	367.065	8.175	90.0
C04146	all-trans-Octaprenyl_diphosphate	-1.585	8.88	0.006	474.136	-1.594	70.0
C03127	L-Isoleucyl-tRNA(Ile)	-1.585	-8.129	0.011	282.945	-1.6	70.0
C00097	L-Cysteine	0.238	-9.925	0.001	973.306	-0.24	60.0
C01172	beta-D-Glucose_6-phosphate	0.415	-9.585	0.002	769.353	-0.418	60.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.585	-8.858	0.006	467.006	-1.594	70.0
C01801	Deoxyribose	1.585	11.244	0.141	2428.388	8.419	90.0
C00364	dTMP	1.222	-5.687	0.045	53.851	-1.286	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	2.0	-7.229	0.027	154.019	-2.038	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.585	-8.858	0.006	467.006	-1.594	70.0
C00363	dTDP	1.0	10.311	0.097	1272.341	6.947	80.0
C20375	Glutaryl-[acp]_methyl_ester	2.0	-7.229	0.027	154.019	-2.038	80.0
C00008	ADP	-1.0	-10.123	0.002	1117.133	-1.003	50.0
C02909	(2-Naphthyl)methanol	1.874	12.204	0.154	4721.797	9.502	90.0
C00006	NADP+	-0.585	10.32	0.001	1279.791	-0.587	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-2.322	-7.788	0.023	226.015	-2.354	90.0
C00003	NAD+	1.0	6.206	0.161	75.823	3.611	60.0
C00002	ATP	1.28	-9.826	0.003	910.083	-1.284	60.0
C00369	Starch	-0.415	9.495	0.002	722.906	-0.418	60.0
C17551	2-Polyprenyl-6-hydroxyphenol	-1.0	-9.175	0.003	580.03	-1.005	50.0
C05399	Melibiitol	1.585	9.755	0.162	867.067	7.138	80.0
C00183	L-Valine	-0.441	-5.549	0.029	48.176	-0.482	50.0
C16619	6-Thioguanosine_monophosphate	-2.0	-9.401	0.006	680.056	-2.009	80.0
C00255	Riboflavin	1.585	7.57	0.209	193.019	5.337	70.0
C00392	Mannitol	1.0	8.055	0.124	267.948	5.056	70.0
C00258	D-Glycerate	-0.585	7.05	0.011	134.014	-0.601	50.0
C00259	L-Arabinose	1.585	8.492	0.187	363.037	6.082	80.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-2.0	-8.963	0.008	503.036	-2.012	80.0
C16614	6-Methylmercaptopurine	2.0	8.963	0.223	503.036	6.811	80.0
C06186	Arbutin	1.322	11.567	0.114	3036.489	8.439	90.0
C06187	Arbutin_6-phosphate	-0.585	-11.567	0.0	3035.489	-0.586	50.0
C00645	N-Acetyl-D-mannosamine	-2.0	-9.283	0.006	626.962	-2.009	80.0
C00099	beta-Alanine	-1.585	7.422	0.017	174.492	-1.61	70.0
C00037	Glycine	0.737	9.439	0.078	695.767	5.764	70.0
C01083	alpha,alpha-Trehalose	1.0	10.656	0.094	1615.525	7.244	90.0
C00641	1,2-Diacyl-sn-glycerol	1.0	7.965	0.126	251.864	4.983	70.0
C01931	L-Lysyl-tRNA	-2.322	-9.217	0.008	600.105	-2.334	80.0
C00073	L-Methionine	-1.0	-6.288	0.026	80.141	-1.036	60.0
C00197	3-Phospho-D-glycerate	-2.445	-10.387	0.004	1344.501	-2.451	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	2.322	-6.516	0.055	96.519	-2.399	90.0
C00092	D-Glucose_6-phosphate	-0.652	-11.109	0.001	2210.299	-0.653	50.0
C00093	sn-Glycerol_3-phosphate	0.926	6.316	0.147	81.572	3.58	60.0
C00498	ADP-glucose	-0.503	-10.269	0.001	1235.309	-0.505	50.0
C00095	D-Fructose	0.322	9.37	0.034	662.935	4.51	70.0
C00163	Propanoate	2.807	9.897	0.284	960.439	8.09	90.0
C14099	2-Naphthaldehyde	-1.874	-12.204	0.001	4721.797	-1.875	80.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-1.0	-9.375	0.003	665.982	-1.004	50.0
C00078	L-Tryptophan	1.322	7.807	0.169	226.445	5.261	70.0
C00079	L-Phenylalanine	-0.263	6.283	0.015	79.07	-0.285	60.0
C00188	L-Threonine	1.441	-8.281	0.009	313.765	-1.454	60.0
C00072	Ascorbate	1.585	9.038	0.175	528.665	6.535	80.0
C14090	1-Naphthaldehyde	-1.874	-12.204	0.001	4721.797	-1.875	80.0
C00071	Aldehyde	-1.874	-11.467	0.001	2834.477	-1.876	80.0
C00121	D-Ribose	1.585	11.244	0.141	2428.388	8.419	90.0
C00077	L-Ornithine	-1.0	-9.634	0.003	796.553	-1.004	50.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-1.0	-9.29	0.003	627.992	-1.005	50.0
C00075	UTP	1.415	8.925	0.159	488.73	6.276	80.0
C00979	O-Acetyl-L-serine	-0.918	11.001	0.001	2051.31	-0.919	50.0
C03232	3-Phosphonooxypyruvate	-1.0	8.184	0.007	292.823	-1.01	50.0
C00074	Phosphoenolpyruvate	-0.333	-10.996	0.001	2043.589	-0.334	60.0
C16186	L-Ascorbate_6-phosphate	-1.0	7.587	0.01	194.271	-1.015	50.0
C00123	L-Leucine	2.624	-5.61	0.126	55.005	-2.795	90.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.0	-7.807	0.009	225.945	-1.013	50.0
C00279	D-Erythrose_4-phosphate	1.207	14.682	0.082	26288.181	11.078	90.0
C01344	dIDP	1.0	10.561	0.095	1512.698	7.162	90.0
C00085	D-Fructose_6-phosphate	0.363	8.087	0.045	273.199	3.616	60.0
C00084	Acetaldehyde	2.663	-11.194	0.003	2349.104	-2.667	90.0
C00082	L-Tyrosine	0.29	5.411	0.054	43.77	1.23	60.0
C00081	ITP	-1.0	5.209	0.054	38.988	-1.076	60.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	1.0	9.375	0.107	665.982	6.151	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-1.0	-7.304	0.013	160.024	-1.018	60.0
C03539	S-Ribosyl-L-homocysteine	1.0	9.617	0.104	787.246	6.355	80.0
C00407	L-Isoleucine	0.263	-6.304	0.015	80.212	-0.285	60.0
C00870	4-Nitrophenol	-1.0	-9.165	0.003	576.037	-1.005	50.0
C00089	Sucrose	-1.585	-6.581	0.031	98.737	-1.63	70.0
C04646	6-Thioinosine-5'-monophosphate	-2.0	-6.755	0.037	112.008	-2.052	80.0
C02218	Dehydroalanine	-2.0	-9.283	0.006	626.962	-2.009	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	1.585	-7.989	0.012	257.056	-1.602	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.585	-8.786	0.007	444.418	-1.595	70.0
C00160	Glycolate	-0.807	-10.354	0.001	1310.523	-0.809	50.0
C00559	Deoxyadenosine	-0.415	-7.726	0.006	213.051	-0.424	60.0
C01412	Butanal	3.17	10.92	0.29	1946.527	9.142	90.0
C02984	L-Aspartyl-tRNA(Asp)	-2.0	-9.317	0.006	641.818	-2.009	80.0
C01096	Sorbitol_6-phosphate	1.585	-10.917	0.002	1936.501	-1.587	70.0
C02987	L-Glutamyl-tRNA(Glu)	1.0	-9.416	0.003	685.122	-1.004	50.0
C02047	L-Leucyl-tRNA	-5.044	-8.581	0.086	415.938	-5.163	90.0
C04006	1D-myo-Inositol_3-phosphate	1.585	9.957	0.159	996.93	7.31	90.0
C00106	Uracil	-1.273	6.963	0.019	127.176	-1.301	60.0
C00120	Biotin	-1.585	7.7	0.014	210.937	-1.606	70.0
C00104	IDP	1.0	10.561	0.095	1512.698	7.162	90.0
C00105	UMP	-0.045	3.986	0.065	16.877	-0.136	60.0
C03082	4-Phospho-L-aspartate	-1.0	6.057	0.03	68.579	-1.043	60.0
C00103	D-Glucose_1-phosphate	0.177	8.237	0.021	302.837	2.702	60.0
C00100	Propanoyl-CoA	-3.923	-14.573	0.001	24388.232	-3.924	90.0
C00101	Tetrahydrofolate	-1.093	6.329	0.027	82.526	-1.131	60.0
C00270	N-Acetylneuraminate	2.807	8.738	0.321	433.971	7.123	80.0
C00063	CTP	1.104	10.118	0.109	1113.424	6.925	80.0
C00062	L-Arginine	0.263	8.806	0.03	448.779	3.745	60.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-1.585	6.563	0.032	97.55	-1.63	70.0
C00064	L-Glutamine	-1.869	2.198	0.796	8.241	-2.714	90.0
C00109	2-Oxobutanoate	2.585	12.558	0.206	6036.241	10.279	90.0
C16633	5-Fluorouridine	-2.322	7.651	0.025	205.993	-2.357	90.0
C02686	Galactosylceramide	-1.585	-9.607	0.004	782.822	-1.591	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.585	8.348	0.19	328.836	5.964	70.0
C00864	Pantothenate	1.585	8.349	0.19	329.062	5.965	70.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	1.585	8.349	0.19	329.062	5.965	70.0
C19673	Malonyl-[acp]_methyl_ester	2.0	8.114	0.246	281.05	6.114	80.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-6.375	6.209	0.891	156.974	-7.128	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	2.0	9.702	0.206	836.9	7.431	90.0
C00577	D-Glyceraldehyde	-1.0	-14.769	0.0	27921.781	-1.0	50.0
C05764	Hexadecanoyl-[acp]	2.0	-7.229	0.027	154.019	-2.038	80.0
C01419	Cys-Gly	1.222	7.16	0.171	145.345	4.633	70.0
C03360	4-Nitrophenyl_phosphate	1.0	9.165	0.109	576.037	5.974	80.0
C05761	Tetradecanoyl-[acp]	2.0	-7.229	0.027	154.019	-2.038	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	-2.322	-7.788	0.023	226.015	-2.354	90.0
C05763	trans-Hexadec-2-enoyl-[acp]	-2.322	-7.788	0.023	226.015	-2.354	90.0
C05762	3-Oxohexadecanoyl-[acp]	1.7	9.288	0.183	628.374	6.846	80.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-0.106	-7.282	0.007	156.709	-0.116	60.0
C00342	Thioredoxin	2.485	-11.014	0.003	2073.569	-2.489	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-2.322	-7.788	0.023	226.015	-2.354	90.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	-0.737	7.687	0.008	207.738	-0.749	50.0
C00900	2-Acetolactate	-1.585	8.437	0.009	349.569	-1.597	70.0
C00332	Acetoacetyl-CoA	-0.403	6.274	0.017	78.708	-0.427	50.0
C05807	2-Polyprenylphenol	1.0	9.175	0.109	580.03	5.982	80.0
C00669	gamma-L-Glutamyl-L-cysteine	-1.585	-9.562	0.004	758.873	-1.591	70.0
C00668	alpha-D-Glucose_6-phosphate	-0.83	7.579	0.009	192.986	-0.843	50.0
C02992	L-Threonyl-tRNA(Thr)	-2.807	-8.629	0.018	402.9	-2.832	90.0
C00178	Thymine	-1.0	9.106	0.004	553.035	-1.005	50.0
C00294	Inosine	0.807	8.433	0.096	347.359	5.055	70.0
C00234	10-Formyltetrahydrofolate	1.222	-7.435	0.013	175.377	-1.241	60.0
C05512	Deoxyinosine	-1.0	7.726	0.009	213.718	-1.014	50.0
C00117	D-Ribose_5-phosphate	0.145	10.159	0.014	1144.415	4.03	70.0
C00116	Glycerol	-0.585	-1.874	0.409	5.166	-1.08	60.0
C00111	Glycerone_phosphate	0.617	11.31	0.055	2540.455	7.115	80.0
C03090	5-Phosphoribosylamine	1.0	6.919	0.145	123.011	4.152	70.0
C02380	6-Mercaptopurine	2.0	8.963	0.223	503.036	6.811	80.0
C00112	CDP	-1.907	5.513	0.082	49.415	-2.021	80.0
C07648	Thioguanine	2.0	8.963	0.223	503.036	6.811	80.0
C05698	Selenohomocysteine	1.0	-8.713	0.005	421.638	-1.007	50.0
C14089	1-Hydroxymethylnaphthalene	1.874	12.204	0.154	4721.797	9.502	90.0
C00243	Lactose	1.0	9.129	0.11	561.89	5.944	70.0
C00299	Uridine	1.874	7.848	0.239	234.066	5.805	70.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-1.0	8.651	0.005	403.986	-1.007	50.0
C00242	Guanine	-0.652	7.61	0.008	196.933	-0.664	50.0
C00666	LL-2,6-Diaminoheptanedioate	1.379	-7.741	0.012	216.532	-1.396	60.0
C00232	Succinate_semialdehyde	0.341	-5.854	0.022	59.107	-0.372	60.0
C05750	3-Oxooctanoyl-[acp]	1.7	9.288	0.183	628.374	6.846	80.0
C05751	trans-Oct-2-enoyl-[acp]	-2.322	-7.788	0.023	226.015	-2.354	90.0
C00269	CDP-diacylglycerol	-1.0	-7.707	0.01	210.948	-1.014	50.0
C05753	3-Oxodecanoyl-[acp]	1.7	9.288	0.183	628.374	6.846	80.0
C16219	3-Oxostearoyl-[acp]	2.0	9.702	0.206	836.9	7.431	90.0
C05755	Decanoyl-[acp]	2.0	-7.229	0.027	154.019	-2.038	80.0
C00344	Phosphatidylglycerol	1.0	6.322	0.158	82.004	3.697	60.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.585	-8.858	0.006	467.006	-1.594	70.0
C05758	trans-Dodec-2-enoyl-[acp]	-2.322	-7.788	0.023	226.015	-2.354	90.0
C00262	Hypoxanthine	-1.585	-8.376	0.009	335.221	-1.598	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-2.807	-10.115	0.006	1115.965	-2.816	90.0
C16216	3-Oxostearoyl-CoA	2.807	10.115	0.278	1115.965	8.275	90.0
C00267	alpha-D-Glucose	0.737	9.594	0.077	774.493	5.895	70.0
C03294	N-Formylmethionyl-tRNA	-2.0	-9.017	0.008	522.069	-2.011	80.0
C01177	Inositol_1-phosphate	1.585	9.957	0.159	996.93	7.31	90.0
C05811	2-Octaprenyl-6-hydroxyphenol	-1.0	-9.175	0.003	580.03	-1.005	50.0
C05810	2-Octaprenylphenol	1.0	9.175	0.109	580.03	5.982	80.0
C00469	Ethanol	1.874	12.204	0.154	4721.797	9.502	90.0
C00993	D-Alanyl-D-alanine	6.358	-12.239	0.017	4916.02	-6.382	90.0
C02702	L-Prolyl-tRNA(Pro)	-1.585	-10.12	0.003	1115.817	-1.589	70.0
C00184	Glycerone	0.585	9.638	0.061	798.259	5.598	70.0
C05818	2-Demethylmenaquinone	2.322	-8.88	0.011	476.136	-2.337	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	1.585	9.755	0.162	867.067	7.138	80.0
C00180	Benzoate	-1.0	-7.543	0.011	188.496	-1.015	50.0
C00343	Thioredoxin_disulfide	-2.322	11.123	0.002	2235.266	-2.325	80.0
C00159	D-Mannose	-0.415	13.702	0.0	13327.738	-0.415	60.0
C00122	Fumarate	2.956	-7.223	0.052	157.156	-3.029	90.0
C00286	dGTP	-1.788	-11.582	0.001	3069.152	-1.79	80.0
C00124	D-Galactose	-1.3	8.184	0.008	293.286	-1.312	60.0
C00620	alpha-D-Ribose_1-phosphate	1.322	11.235	0.118	2412.805	8.149	90.0
C00283	Hydrogen_sulfide	0.354	11.364	0.031	2637.032	6.36	80.0
C00011	CO2	7.978	-8.147	0.889	535.586	-8.896	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-1.585	5.555	0.064	50.013	-1.674	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	7.17	0.021	147.008	-1.615	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	1.0	7.435	0.134	175.045	4.557	70.0
C00288	HCO3-	-1.585	9.054	0.006	534.527	-1.593	70.0
C03892	Phosphatidylglycerophosphate	-1.0	-8.219	0.007	299.965	-1.01	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-1.193	-7.408	0.013	172.122	-1.212	60.0
C00680	meso-2,6-Diaminoheptanedioate	-0.585	7.53	0.008	186.323	-0.597	50.0
C00689	alpha,alpha'-Trehalose_6-phosphate	0.585	8.822	0.066	454.071	4.912	70.0
C00842	dTDP-glucose	-1.585	-5.0	0.094	35.0	-1.714	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	0.322	13.848	0.023	14746.882	8.422	90.0
C00448	trans,trans-Farnesyl_diphosphate	0.848	6.75	0.126	109.435	3.781	60.0
C02554	L-Valyl-tRNA(Val)	-1.585	-8.626	0.008	398.08	-1.596	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-1.585	-10.7	0.002	1666.493	-1.588	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-2.322	-7.788	0.023	226.015	-2.354	90.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-6.375	6.209	0.891	156.974	-7.128	90.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.585	-8.858	0.006	467.006	-1.594	70.0
C16221	(2E)-Octadecenoyl-[acp]	-2.322	-7.788	0.023	226.015	-2.354	90.0
C05745	Butyryl-[acp]	2.0	-7.229	0.027	154.019	-2.038	80.0
C05744	Acetoacetyl-[acp]	1.485	8.999	0.165	514.444	6.408	80.0
C03150	Nicotinamide-beta-riboside	-1.222	8.862	0.005	467.627	-1.229	60.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-1.138	-8.123	0.008	280.984	-1.149	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-1.322	-8.444	0.007	350.755	-1.332	60.0
C00458	dCTP	-2.155	-10.452	0.003	1405.219	-2.16	80.0
C00459	dTTP	0.678	-9.854	0.002	927.043	-0.68	50.0
C06188	Salicin_6-phosphate	2.0	12.676	0.158	6548.195	10.013	90.0
C01209	Malonyl-[acyl-carrier_protein]	2.0	6.437	0.311	90.642	4.816	70.0
C00199	D-Ribulose_5-phosphate	0.907	-8.768	0.004	437.819	-0.913	50.0
C00052	UDP-alpha-D-galactose	0.652	-6.33	0.02	82.02	-0.68	50.0
C03373	Aminoimidazole_ribotide	1.0	9.399	0.106	677.12	6.171	80.0
C00010	CoA	-0.415	8.97	0.003	502.796	-0.419	60.0
C00217	D-Glutamate	0.415	-7.279	0.009	156.643	-0.427	60.0
C00214	Thymidine	-1.222	-9.757	0.003	867.599	-1.226	60.0
C01168	Pseudouridine_5'-phosphate	-0.585	-8.989	0.003	509.611	-0.589	50.0
C00212	Adenosine	-0.415	8.615	0.003	393.412	-0.42	60.0
C00455	Nicotinamide_D-ribonucleotide	1.222	8.693	0.141	416.193	5.87	70.0
C00208	Maltose	-1.585	11.518	0.001	2935.672	-1.586	70.0
C00036	Oxaloacetate	0.787	1.937	0.406	5.555	1.174	60.0
C05841	Nicotinate_D-ribonucleoside	-1.222	9.213	0.004	595.79	-1.228	60.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	1.0	11.341	0.088	2596.067	7.839	90.0
C00035	GDP	-2.17	-9.553	0.006	755.673	-2.179	80.0
C00032	Heme	1.0	-8.253	0.007	307.071	-1.009	50.0
C00033	Acetate	2.139	9.986	0.214	1018.516	7.769	90.0
C00031	D-Glucose	-0.263	-8.807	0.003	449.09	-0.267	60.0
C00137	myo-Inositol	-1.585	-9.94	0.003	985.287	-1.589	70.0
C00136	Butanoyl-CoA	-2.17	-12.089	0.001	4361.14	-2.171	80.0
C00135	L-Histidine	2.0	6.7	0.299	107.968	5.01	70.0
C00134	Putrescine	-0.585	-8.592	0.004	387.378	-0.591	50.0
C00133	D-Alanine	1.585	11.633	0.136	3179.011	8.759	90.0
C00334	4-Aminobutanoate	-0.485	8.004	0.005	258.11	-0.493	50.0
C00131	dATP	-1.248	9.858	0.003	930.387	-1.252	60.0
C00130	IMP	0.503	-8.371	0.004	332.489	-0.509	50.0
C01097	D-Tagatose_6-phosphate	-1.0	12.152	0.0	4553.101	-1.001	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.585	-8.858	0.006	467.006	-1.594	70.0
C03939	Acetyl-[acyl-carrier_protein]	2.0	-7.027	0.031	134.418	-2.044	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-1.585	7.17	0.021	147.008	-1.615	70.0
C05756	3-Oxododecanoyl-[acp]	2.0	9.702	0.206	836.9	7.431	90.0
