compound_code	compound_name	escherichia_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00006	NADP+	-0.585	9.106	0.003	552.535	-0.589	50.0
C00003	NAD+	1.0	7.048	0.142	134.33	4.252	70.0
C00002	ATP	1.28	10.369	0.123	1324.881	7.354	90.0
C00369	Starch	-0.415	5.497	0.03	46.494	-0.457	60.0
C16619	6-Thioguanosine_monophosphate	-2.0	-9.408	0.006	683.345	-2.008	80.0
C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	-1.138	-8.774	0.005	439.962	-1.145	60.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-2.0	-9.809	0.004	901.022	-2.006	80.0
C16614	6-Methylmercaptopurine	2.0	9.809	0.204	901.022	7.521	90.0
C00645	N-Acetyl-D-mannosamine	-2.0	-3.293	0.408	13.801	-2.494	90.0
C00312	L-Xylulose	1.0	9.394	0.106	674.784	6.167	90.0
C00310	D-Xylulose	-1.585	-8.52	0.008	370.093	-1.597	70.0
C01931	L-Lysyl-tRNA	-2.322	-9.162	0.009	577.845	-2.335	90.0
C00315	Spermidine	0.379	-4.322	0.065	21.301	-0.47	60.0
C00469	Ethanol	1.874	5.476	0.342	48.174	4.043	70.0
C00092	D-Glucose_6-phosphate	-0.652	-9.507	0.002	729.17	-0.655	50.0
C00093	sn-Glycerol_3-phosphate	0.926	8.044	0.115	265.828	4.936	80.0
C00095	D-Fructose	0.322	-8.416	0.004	342.811	-0.327	60.0
C00097	L-Cysteine	0.238	-10.344	0.001	1300.913	-0.239	60.0
C14099	2-Naphthaldehyde	-1.874	-5.476	0.082	48.174	-1.988	80.0
C06311	Galactitol_1-phosphate	1.0	-8.531	0.005	371.902	-1.008	50.0
C14090	1-Naphthaldehyde	-1.874	-5.476	0.082	48.174	-1.988	80.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-1.0	8.966	0.004	502.075	-1.006	50.0
C03232	3-Phosphonooxypyruvate	-1.0	7.941	0.008	247.742	-1.012	50.0
C04738	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine	-2.0	-8.934	0.008	493.105	-2.012	80.0
C17560	2-Polyprenyl-6-methoxy-1,4-benzoquinone	2.322	8.618	0.269	397.895	6.744	90.0
C17561	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone	-2.322	-8.618	0.013	397.895	-2.34	90.0
C00870	4-Nitrophenol	-1.0	-9.122	0.004	559.18	-1.005	50.0
C00166	Phenylpyruvate	-0.379	7.135	0.009	141.856	-0.392	60.0
C00167	UDP-glucuronate	1.0	-6.943	0.016	125.041	-1.023	50.0
C02988	L-Histidyl-tRNA(His)	-2.0	-6.426	0.047	89.984	-2.066	80.0
C00163	Propanoate	2.807	-6.644	0.07	107.008	-2.905	90.0
C02984	L-Aspartyl-tRNA(Asp)	-2.0	-10.01	0.004	1035.122	-2.006	80.0
C02987	L-Glutamyl-tRNA(Glu)	1.0	-7.439	0.012	175.525	-1.017	50.0
C02047	L-Leucyl-tRNA	-5.044	-9.672	0.04	848.75	-5.101	90.0
C03082	4-Phospho-L-aspartate	-1.0	-4.361	0.097	22.549	-1.134	60.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-1.585	3.55	0.256	14.713	-1.914	80.0
C00861	L-Rhamnulose	-1.0	9.063	0.004	536.854	-1.005	50.0
C01063	6-Carboxyhexanoyl-CoA	1.585	9.867	0.161	936.82	7.233	90.0
C02962	D-Allose_6-phosphate	1.0	10.712	0.093	1679.387	7.293	90.0
C00864	Pantothenate	1.585	-4.644	0.12	28.003	-1.748	80.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	1.0	-9.433	0.003	693.219	-1.004	50.0
C01380	Ethylene_glycol	1.0	6.322	0.158	82.004	3.697	70.0
C01419	Cys-Gly	1.222	10.103	0.121	1102.113	7.059	90.0
C03360	4-Nitrophenyl_phosphate	1.0	9.122	0.11	559.18	5.938	80.0
C04932	Lipid_A_disaccharide	-1.585	6.066	0.045	69.996	-1.648	80.0
C07648	Thioguanine	2.0	9.809	0.204	901.022	7.521	90.0
C07649	5-FU	2.322	7.775	0.299	224.033	6.064	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-1.0	-7.267	0.013	156.023	-1.019	50.0
C18096	D-Allulose_6-phosphate	-1.0	-10.712	0.001	1679.387	-1.002	50.0
C00269	CDP-diacylglycerol	-1.0	-9.171	0.003	578.429	-1.005	50.0
C16219	3-Oxostearoyl-[acp]	2.0	7.16	0.279	147.013	5.36	80.0
C00507	L-Rhamnose	1.585	7.119	0.223	142.006	4.983	80.0
C00262	Hypoxanthine	-1.585	-7.428	0.017	175.207	-1.61	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-2.807	-9.99	0.007	1023.925	-2.817	90.0
C16216	3-Oxostearoyl-CoA	2.807	9.99	0.281	1023.925	8.168	90.0
C00267	alpha-D-Glucose	0.737	7.346	0.1	164.359	4.043	70.0
C00266	Glycolaldehyde	-1.0	-7.983	0.008	255.001	-1.011	50.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	2.322	-7.714	0.024	214.965	-2.356	90.0
C00463	Indole	-1.585	4.766	0.11	30.209	-1.736	80.0
C00286	dGTP	-1.788	3.983	0.218	19.266	-2.073	80.0
C00283	Hydrogen_sulfide	0.354	10.994	0.032	2040.778	6.038	80.0
C00288	HCO3-	-1.585	-6.6	0.031	100.006	-1.629	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-1.585	-4.524	0.13	26.007	-1.762	80.0
C01209	Malonyl-[acyl-carrier_protein]	2.0	9.238	0.216	607.831	7.04	90.0
C00217	D-Glutamate	0.415	-6.741	0.012	108.299	-0.433	60.0
C00214	Thymidine	-1.222	-5.157	0.065	38.012	-1.313	60.0
C00212	Adenosine	-0.415	6.219	0.018	75.825	-0.441	60.0
C13309	2-Phytyl-1,4-naphthoquinone	2.07	8.147	0.254	287.659	6.192	90.0
C00036	Oxaloacetate	0.787	10.042	0.078	1055.975	6.371	90.0
C00037	Glycine	0.737	-6.448	0.019	88.972	-0.764	50.0
C00035	GDP	-2.17	7.226	0.03	154.207	-2.213	80.0
C00033	Acetate	2.139	-10.022	0.004	1044.139	-2.145	80.0
C00031	D-Glucose	-0.263	8.855	0.003	464.242	-0.267	60.0
C00137	myo-Inositol	-1.585	-8.04	0.011	266.197	-1.601	70.0
C00135	L-Histidine	2.0	-5.209	0.108	40.988	-2.148	80.0
C00134	Putrescine	-0.585	8.14	0.005	283.588	-0.593	50.0
C00133	D-Alanine	1.585	-7.672	0.015	206.94	-1.606	70.0
C00131	dATP	-1.248	6.005	0.037	66.597	-1.3	60.0
C00130	IMP	0.503	-5.406	0.033	43.817	-0.55	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.222	8.232	0.008	302.995	-1.233	60.0
C00042	Succinate	2.585	9.969	0.259	1008.232	8.03	90.0
C00041	L-Alanine	-0.585	7.609	0.008	196.726	-0.596	50.0
C00040	Acyl-CoA	1.0	6.476	0.154	91.016	3.813	70.0
C00047	L-Lysine	2.322	7.983	0.291	258.001	6.23	90.0
C00046	RNA	3.322	-10.127	0.009	1128.23	-3.335	90.0
C00044	GTP	1.17	-9.833	0.002	914.32	-1.174	60.0
C00049	L-Aspartate	-1.347	5.961	0.041	64.837	-1.405	70.0
C00048	Glyoxylate	-7.776	7.153	0.649	361.505	-7.875	90.0
C06481	L-Seryl-tRNA(Sec)	1.0	-7.937	0.008	247.061	-1.012	50.0
C01101	L-Ribulose_5-phosphate	-0.918	10.587	0.001	1540.06	-0.92	50.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	1.0	-9.433	0.003	693.219	-1.004	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-1.585	10.21	0.003	1187.449	-1.589	70.0
C05345	beta-D-Fructose_6-phosphate	-0.918	8.774	0.004	439.651	-0.924	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	1.585	6.966	0.228	128.019	4.864	70.0
C00817	D-Altronate	-0.181	-6.549	0.012	94.77	-0.198	60.0
C03451	(R)-S-Lactoylglutathione	1.0	9.039	0.111	528.03	5.868	80.0
C05223	Dodecanoyl-[acyl-carrier_protein]	2.0	7.018	0.285	133.607	5.251	80.0
C05841	Nicotinate_D-ribonucleoside	-1.222	7.658	0.012	204.303	-1.239	60.0
C00251	Chorismate	-0.737	-8.064	0.006	269.279	-0.746	50.0
C00255	Riboflavin	1.585	-7.276	0.019	157.987	-1.613	70.0
C00259	L-Arabinose	1.585	-7.768	0.014	220.972	-1.605	70.0
C00395	Penicillin	1.0	8.224	0.122	301.0	5.194	80.0
C00559	Deoxyadenosine	-0.415	7.338	0.008	163.126	-0.427	60.0
C00558	D-Tagaturonate	1.0	-6.15	0.028	73.012	-1.04	60.0
C00886	L-Alanyl-tRNA	-2.322	-9.317	0.008	642.818	-2.333	90.0
C00498	ADP-glucose	-0.503	8.414	0.004	342.505	-0.509	50.0
C00881	Deoxycytidine	-1.222	7.267	0.015	156.355	-1.244	60.0
C00078	L-Tryptophan	1.322	-7.911	0.01	243.185	-1.337	60.0
C00079	L-Phenylalanine	-0.263	-5.08	0.035	35.025	-0.313	60.0
C00073	L-Methionine	-1.0	-7.158	0.014	144.815	-1.02	50.0
C00071	Aldehyde	-1.874	-5.476	0.082	48.174	-1.988	80.0
C00077	L-Ornithine	-1.0	-6.092	0.029	70.214	-1.042	60.0
C00074	Phosphoenolpyruvate	-0.333	-10.068	0.001	1074.68	-0.335	60.0
C00075	UTP	1.415	10.374	0.136	1329.71	7.503	90.0
C00085	D-Fructose_6-phosphate	0.363	8.941	0.041	492.77	4.322	70.0
C00084	Acetaldehyde	2.663	-5.162	0.177	42.136	-2.898	90.0
C00082	L-Tyrosine	0.29	-6.372	0.015	84.048	-0.311	60.0
C00081	ITP	-1.0	-8.109	0.007	278.091	-1.01	50.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-1.0	-8.94	0.004	493.143	-1.006	50.0
C05762	3-Oxohexadecanoyl-[acp]	1.7	6.939	0.245	125.95	4.948	80.0
C00089	Sucrose	-1.585	-6.966	0.024	128.019	-1.619	70.0
C04646	6-Thioinosine-5'-monophosphate	-2.0	-8.028	0.015	265.017	-2.022	80.0
C02218	Dehydroalanine	-2.0	-7.508	0.022	186.026	-2.031	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.585	7.248	0.02	155.008	-1.613	70.0
C00106	Uracil	-1.273	-3.888	0.163	17.222	-1.491	70.0
C00104	IDP	1.0	9.476	0.106	714.132	6.236	90.0
C00105	UMP	-0.045	-3.307	0.104	10.929	-0.188	60.0
C00103	D-Glucose_1-phosphate	0.177	7.175	0.025	145.638	1.845	60.0
C00100	Propanoyl-CoA	-3.923	3.306	0.652	25.059	-4.03	90.0
C00101	Tetrahydrofolate	-1.093	-5.451	0.049	45.877	-1.162	60.0
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	1.0	-6.229	0.027	77.009	-1.038	60.0
C00109	2-Oxobutanoate	2.585	6.689	0.386	109.179	5.399	80.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-6.375	6.629	0.839	181.973	-7.254	90.0
C05764	Hexadecanoyl-[acp]	2.0	7.937	0.252	249.061	5.972	80.0
C05761	Tetradecanoyl-[acp]	2.0	7.937	0.252	249.061	5.972	80.0
C05760	trans-Tetradec-2-enoyl-[acp]	-2.322	7.304	0.032	163.024	-2.367	90.0
C05763	trans-Hexadec-2-enoyl-[acp]	-2.322	7.304	0.032	163.024	-2.367	90.0
C03175	Shikimate_3-phosphate	0.585	7.19	0.081	147.518	3.585	70.0
C02992	L-Threonyl-tRNA(Thr)	-2.807	-9.773	0.008	881.914	-2.818	90.0
C00179	Agmatine	-0.585	-8.531	0.004	371.402	-0.591	50.0
C03090	5-Phosphoribosylamine	1.0	-2.379	0.384	7.202	-1.469	70.0
C01079	Protoporphyrinogen_IX	-1.0	-7.384	0.012	169.034	-1.017	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-2.0	8.022	0.015	263.934	-2.022	80.0
C04824	Lipid_X	1.0	6.066	0.165	68.996	3.508	70.0
C01172	beta-D-Glucose_6-phosphate	0.415	-7.09	0.01	137.573	-0.429	60.0
C03393	4-Phospho-D-erythronate	-1.0	4.858	0.069	31.0	-1.096	60.0
C01177	Inositol_1-phosphate	1.585	8.114	0.195	280.05	5.774	80.0
C00680	meso-2,6-Diaminoheptanedioate	-0.585	3.926	0.099	16.7	-0.721	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	0.322	9.376	0.034	665.692	4.515	70.0
C00831	Pantetheine	1.585	7.555	0.21	191.054	5.325	80.0
C02554	L-Valyl-tRNA(Val)	-1.585	-7.735	0.014	216.043	-1.605	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.585	-9.99	0.003	1019.927	-1.589	70.0
C00921	Dihydropteroate	-1.0	-8.017	0.008	261.034	-1.011	50.0
C00458	dCTP	-2.155	7.26	0.029	157.731	-2.196	80.0
C00459	dTTP	0.678	-7.814	0.007	226.634	-0.688	50.0
C00455	Nicotinamide_D-ribonucleotide	1.222	-7.407	0.014	172.051	-1.242	60.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	1.0	9.281	0.108	624.099	6.071	90.0
C00330	Deoxyguanosine	0.115	4.992	0.023	32.906	-0.4	60.0
C00334	4-Aminobutanoate	-0.485	-8.414	0.004	342.488	-0.491	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.585	-9.087	0.006	546.826	-1.593	70.0
C00208	Maltose	-1.585	-9.044	0.006	530.856	-1.593	70.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-1.0	5.508	0.044	47.506	-1.062	60.0
C01213	(R)-Methylmalonyl-CoA	1.0	8.556	0.117	378.368	5.467	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	0.807	5.238	0.154	39.489	2.605	60.0
C00025	L-Glutamate	0.944	6.542	0.144	95.107	3.779	70.0
C00024	Acetyl-CoA	5.82	-4.547	0.414	79.87	-5.047	90.0
C00148	L-Proline	0.737	3.0	0.246	9.667	1.248	60.0
C00026	2-Oxoglutarate	0.907	-8.517	0.005	368.205	-0.914	50.0
C00022	Pyruvate	-5.431	7.442	0.248	217.028	-5.751	90.0
C00140	N-Acetyl-D-glucosamine	1.0	5.17	0.193	38.002	2.878	60.0
C00141	3-Methyl-2-oxobutanoic_acid	0.48	-8.713	0.003	421.032	-0.485	50.0
C00029	UDP-glucose	-0.7	-9.275	0.003	621.141	-0.704	50.0
C00147	Adenine	0.222	7.14	0.031	142.21	2.145	60.0
C00144	GMP	-0.485	-8.523	0.004	369.256	-0.49	50.0
C05729	R-S-Cysteinylglycine	1.222	10.103	0.121	1102.113	7.059	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-0.893	-6.71	0.018	106.548	-0.918	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-1.322	-8.866	0.005	469.086	-1.33	60.0
C02737	Phosphatidylserine	-1.0	3.663	0.158	14.667	-1.211	60.0
C00099	beta-Alanine	-1.585	-7.889	0.013	240.042	-1.603	70.0
C05726	S-Substituted_L-cysteine	-1.222	-10.103	0.002	1102.113	-1.225	60.0
C00705	dCDP	0.322	-6.253	0.016	77.518	-0.345	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	2.0	-6.229	0.053	79.009	-2.075	80.0
C01134	Pantetheine_4'-phosphate	-1.585	-6.829	0.026	116.693	-1.623	70.0
C06037	Digalactosyl-diacylglycerol	1.585	6.966	0.228	128.019	4.864	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.0	-7.665	0.01	204.953	-1.014	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-1.585	-9.326	0.005	644.809	-1.592	70.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-1.585	-6.966	0.024	128.019	-1.619	70.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.585	-9.99	0.003	1019.927	-1.589	70.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	2.0	7.16	0.279	147.013	5.36	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.585	-9.99	0.003	1019.927	-1.589	70.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	2.0	7.16	0.279	147.013	5.36	80.0
C20375	Glutaryl-[acp]_methyl_ester	2.0	8.276	0.242	313.973	6.246	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-2.322	9.145	0.009	571.134	-2.335	90.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-2.322	9.145	0.009	571.134	-2.335	90.0
C03722	Quinolinate	-1.0	6.267	0.026	79.011	-1.037	50.0
C00966	2-Dehydropantoate	-1.585	6.315	0.038	82.617	-1.638	70.0
C04919	2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine_1,4'-bisphosphate	2.0	8.83	0.227	459.087	6.7	90.0
C00416	Phosphatidate	0.874	9.226	0.095	600.662	5.83	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-1.585	-4.459	0.136	24.993	-1.769	80.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	-1.0	-6.285	0.026	79.978	-1.037	50.0
C00620	alpha-D-Ribose_1-phosphate	1.322	10.017	0.132	1038.638	7.099	90.0
C04006	1D-myo-Inositol_3-phosphate	1.585	8.114	0.195	280.05	5.774	80.0
C02686	Galactosylceramide	-1.585	-6.248	0.039	79.004	-1.641	70.0
C00243	Lactose	1.0	8.459	0.118	353.895	5.387	80.0
C00242	Guanine	-0.652	7.381	0.009	168.259	-0.666	50.0
C00568	4-Aminobenzoate	1.0	8.098	0.123	275.994	5.091	80.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	2.0	5.044	0.397	36.991	3.875	70.0
C01097	D-Tagatose_6-phosphate	-1.0	9.014	0.004	518.993	-1.006	50.0
C01094	D-Fructose_1-phosphate	-1.222	10.386	0.002	1340.46	-1.225	60.0
C01092	8-Amino-7-oxononanoate	-1.585	-8.451	0.009	352.949	-1.597	70.0
C00342	Thioredoxin	2.485	-8.5	0.015	367.637	-2.507	90.0
C00343	Thioredoxin_disulfide	-2.322	8.338	0.015	328.585	-2.344	90.0
C00344	Phosphatidylglycerol	1.0	7.839	0.128	230.968	4.881	70.0
C00345	6-Phospho-D-gluconate	-1.0	9.697	0.002	832.019	-1.003	50.0
C00063	CTP	1.104	10.745	0.103	1718.347	7.464	90.0
C00062	L-Arginine	0.263	-7.913	0.005	242.218	-0.27	60.0
C00065	L-Serine	0.1	-7.094	0.008	137.689	-0.111	60.0
C00064	L-Glutamine	-1.869	-0.634	0.425	5.205	-1.145	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	1.0	-6.524	0.022	94.028	-1.031	50.0
C16633	5-Fluorouridine	-2.322	9.633	0.006	799.003	-2.331	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.585	4.193	0.378	21.29	3.009	60.0
C19673	Malonyl-[acp]_methyl_ester	2.0	9.155	0.218	574.072	6.971	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	1.585	7.555	0.21	191.054	5.325	80.0
C00668	alpha-D-Glucose_6-phosphate	-0.83	-7.722	0.008	212.909	-0.842	50.0
C00666	LL-2,6-Diaminoheptanedioate	1.379	5.055	0.273	35.844	3.29	60.0
C00117	D-Ribose_5-phosphate	0.145	-8.238	0.004	303.021	-0.15	60.0
C00116	Glycerol	-0.585	-6.966	0.012	126.519	-0.602	50.0
C00111	Glycerone_phosphate	0.617	-6.556	0.016	95.626	-0.64	50.0
C02380	6-Mercaptopurine	2.0	9.809	0.204	901.022	7.521	90.0
C00112	CDP	-1.907	-7.803	0.017	227.075	-1.931	80.0
C00118	D-Glyceraldehyde_3-phosphate	0.1	7.884	0.013	237.294	1.59	60.0
C03492	D-4'-Phosphopantothenate	-1.585	4.7	0.115	28.992	-1.743	80.0
C05750	3-Oxooctanoyl-[acp]	1.7	6.939	0.245	125.95	4.948	80.0
C05751	trans-Oct-2-enoyl-[acp]	-2.322	7.304	0.032	163.024	-2.367	90.0
C05752	Octanoyl-[acp]	2.0	7.524	0.266	188.056	5.644	80.0
C05753	3-Oxodecanoyl-[acp]	1.7	6.939	0.245	125.95	4.948	80.0
C05754	trans-Dec-2-enoyl-[acp]	-2.322	7.304	0.032	163.024	-2.367	90.0
C05755	Decanoyl-[acp]	2.0	7.937	0.252	249.061	5.972	80.0
C05756	3-Oxododecanoyl-[acp]	2.0	7.16	0.279	147.013	5.36	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.585	-9.087	0.006	546.826	-1.593	70.0
C05758	trans-Dodec-2-enoyl-[acp]	-2.322	7.304	0.032	163.024	-2.367	90.0
C05759	3-Oxotetradecanoyl-[acp]	2.0	7.16	0.279	147.013	5.36	80.0
C05813	2-Octaprenyl-6-methoxy-1,4-benzoquinone	2.322	8.618	0.269	397.895	6.744	90.0
C00188	L-Threonine	1.441	6.182	0.233	75.32	4.134	70.0
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	-2.322	-8.618	0.013	397.895	-2.34	90.0
C02702	L-Prolyl-tRNA(Pro)	-1.585	-7.57	0.016	193.019	-1.608	70.0
C05818	2-Demethylmenaquinone	2.322	8.468	0.274	359.097	6.622	90.0
C00183	L-Valine	-0.441	-2.585	0.226	7.358	-0.735	50.0
C00181	D-Xylose	1.585	9.664	0.164	814.249	7.061	90.0
C00010	CoA	-0.415	-5.209	0.036	38.322	-0.466	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-1.585	-7.721	0.014	213.986	-1.605	70.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-1.585	2.585	0.5	9.0	-2.17	80.0
C00842	dTDP-glucose	-1.585	-5.585	0.063	51.001	-1.672	80.0
C00015	UDP	-1.585	-7.543	0.016	189.496	-1.608	70.0
C03546	myo-Inositol_4-phosphate	1.585	8.114	0.195	280.05	5.774	80.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	1.0	8.459	0.118	353.895	5.387	80.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	-0.737	-3.322	0.167	11.667	-0.959	50.0
C01762	Xanthosine	-1.222	7.111	0.017	140.57	-1.246	60.0
C00441	L-Aspartate_4-semialdehyde	0.637	5.967	0.107	64.108	2.775	60.0
C00440	5-Methyltetrahydrofolate	1.0	6.133	0.163	72.181	3.557	70.0
C00448	trans,trans-Farnesyl_diphosphate	0.848	-7.236	0.012	152.549	-0.865	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-6.375	6.629	0.839	181.973	-7.254	90.0
C16221	(2E)-Octadecenoyl-[acp]	-2.322	9.301	0.008	635.783	-2.333	90.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-1.0	-7.877	0.009	237.079	-1.012	50.0
C00009	Orthophosphate	-1.0	-4.17	0.111	20.001	-1.152	60.0
C04133	N-Acetyl-L-glutamate_5-phosphate	-1.0	6.133	0.028	72.181	-1.041	60.0
C05400	Epimelibiose	1.585	6.966	0.228	128.019	4.864	70.0
C05401	3-beta-D-Galactosyl-sn-glycerol	1.585	6.966	0.228	128.019	4.864	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	1.585	6.966	0.228	128.019	4.864	70.0
C03939	Acetyl-[acyl-carrier_protein]	2.0	-7.215	0.027	152.57	-2.038	80.0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.0	-10.11	0.002	1107.13	-1.003	50.0
C00239	dCMP	-0.585	-6.155	0.021	72.759	-0.615	50.0
C00231	D-Xylulose_5-phosphate	-0.415	-8.566	0.004	380.319	-0.42	60.0
C01345	dITP	-1.0	-8.109	0.007	278.091	-1.01	50.0
C01344	dIDP	1.0	9.476	0.106	714.132	6.236	90.0
C00234	10-Formyltetrahydrofolate	1.222	-2.287	0.478	7.213	-1.786	80.0
C01613	Stachyose	1.585	5.977	0.265	65.988	4.129	70.0
C00159	D-Mannose	-0.415	-5.977	0.021	64.321	-0.445	60.0
C00158	Citrate	0.162	-8.0	0.004	257.119	-0.168	60.0
C00014	Ammonia	1.513	-7.068	0.021	137.032	-1.543	70.0
C05980	Cardiolipin	-1.0	-7.839	0.009	230.968	-1.013	50.0
C19845	Pimelyl-[acyl-carrier_protein]	1.585	9.867	0.161	936.82	7.233	90.0
C00197	3-Phospho-D-glycerate	-2.445	9.564	0.007	762.367	-2.455	90.0
C00424	(S)-Lactaldehyde	-0.737	-5.34	0.041	42.171	-0.795	50.0
C04146	all-trans-Octaprenyl_diphosphate	-1.585	-6.209	0.041	76.977	-1.642	70.0
C02336	beta-D-Fructose	1.0	6.033	0.166	67.481	3.484	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-1.322	-8.866	0.005	469.086	-1.33	60.0
C00655	Xanthosine_5'-phosphate	-0.967	-8.202	0.007	296.429	-0.977	50.0
C14089	1-Hydroxymethylnaphthalene	1.874	5.476	0.342	48.174	4.043	70.0
