compound_code	compound_name	parabacteroides_630_score	olsenella_630_score	ratio	magnitude	interaction_score	percentile
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-8.951	-6.209	0.149	568.879	-6.41	90.0
C03684	6-Pyruvoyltetrahydropterin	-4.858	-3.807	0.483	42.997	-4.375	80.0
C00120	Biotin	4.524	3.907	0.864	38.008	5.037	80.0
C06250	Holo-[carboxylase]	-4.524	-3.907	0.652	38.008	-4.631	80.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.585	-1.585	1.0	6.0	-2.585	50.0
C01345	dITP	4.087	3.17	0.776	25.995	4.334	70.0
C01185	Nicotinate_D-ribonucleotide	3.632	-1.0	0.161	14.398	-1.216	50.0
C02637	3-Dehydroshikimate	3.104	-3.459	0.782	19.595	-3.937	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-3.82	3.322	0.708	24.124	-4.094	80.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	4.672	-3.585	0.471	37.493	-4.142	80.0
C00010	CoA	-4.807	-0.737	0.06	29.66	-0.82	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-5.248	-3.322	0.263	48.002	-3.659	70.0
C00062	L-Arginine	-2.17	-4.248	0.237	23.501	-2.477	50.0
C00014	Ammonia	-8.131	3.17	0.032	289.334	-3.216	60.0
C00015	UDP	-2.807	1.0	0.286	8.998	-1.363	50.0
C00019	S-Adenosyl-L-methionine	3.0	0.807	0.269	9.75	1.391	70.0
C00153	Nicotinamide	-5.392	-3.7	0.309	54.987	-4.089	70.0
C00152	L-Asparagine	5.75	3.807	0.662	67.814	5.489	90.0
C00155	L-Homocysteine	-4.954	2.248	0.153	35.746	-2.454	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-3.807	-2.0	0.286	17.997	-2.363	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-4.459	3.322	0.455	31.994	-3.863	70.0
C00066	tRNA	5.728	3.459	0.604	64.0	5.272	80.0
C05840	Iminoaspartate	3.585	3.585	1.0	24.001	4.585	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.17	4.0	0.959	34.001	5.027	80.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-3.7	-1.585	0.231	15.996	-1.885	50.0
C01134	Pantetheine_4'-phosphate	-3.059	1.415	0.32	11.001	-1.816	50.0
C00506	L-Cysteate	4.248	3.322	0.782	29.001	4.503	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	-3.585	1.0	24.001	-4.585	80.0
C00197	3-Phospho-D-glycerate	4.569	3.51	0.768	35.128	4.754	80.0
C05345	beta-D-Fructose_6-phosphate	5.425	3.936	0.726	58.268	5.402	90.0
C00227	Acetyl_phosphate	0.387	-0.496	0.927	2.718	-1.334	50.0
C02336	beta-D-Fructose	4.17	2.0	0.48	22.001	3.399	70.0
C01762	Xanthosine	3.459	3.7	0.935	23.993	4.487	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-5.426	-3.322	0.233	52.993	-3.624	70.0
C00221	beta-D-Glucose	-5.716	4.0	0.304	68.564	-4.383	80.0
C00385	Xanthine	2.459	2.17	0.882	9.999	3.141	70.0
C00387	Guanosine	-2.222	3.7	0.359	17.661	-2.665	50.0
C05659	5-Methoxytryptamine	-4.459	-4.524	0.956	45.0	-5.427	90.0
C00229	Acyl-carrier_protein	4.931	-3.0	0.262	38.506	-3.336	60.0
C00882	Dephospho-CoA	1.585	-1.585	1.0	6.0	-2.585	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-4.322	-3.0	0.4	28.001	-3.485	60.0
C05841	Nicotinate_D-ribonucleoside	3.459	3.7	0.935	23.993	4.487	80.0
C03287	L-Glutamyl_5-phosphate	0.807	-1.322	0.7	4.25	-1.572	50.0
C05759	3-Oxotetradecanoyl-[acp]	8.852	6.209	0.701	536.057	8.555	90.0
C03125	L-Cysteinyl-tRNA(Cys)	-6.658	-3.0	0.079	108.985	-3.11	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.459	-3.322	0.114	97.974	-3.477	60.0
C01172	beta-D-Glucose_6-phosphate	2.406	-2.268	0.909	10.117	-3.201	60.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-9.033	-6.209	0.141	597.823	-6.4	90.0
C02291	L-Cystathionine	6.15	3.17	0.515	80.013	5.366	90.0
C00364	dTMP	2.7	-2.585	0.923	12.498	-3.529	70.0
C00365	dUMP	-4.183	1.648	0.173	21.298	-1.878	50.0
C00362	dGMP	-3.858	1.807	0.241	17.999	-2.119	50.0
C00363	dTDP	5.883	-3.0	0.136	67.015	-3.183	60.0
C00009	Orthophosphate	-4.858	-3.17	0.31	38.001	-3.56	70.0
C00008	ADP	2.585	1.322	0.511	8.5	2.12	70.0
C05831	3-Methoxyanthranilate	-4.459	-4.524	0.956	45.0	-5.427	90.0
C00006	NADP+	-4.858	-2.585	0.207	35.001	-2.856	50.0
C09332	Tetrahydrofolyl-[Glu](2)	-4.459	-2.807	0.318	28.992	-3.206	60.0
C00003	NAD+	-2.415	-1.874	0.687	8.999	-2.629	50.0
C00002	ATP	5.839	2.054	0.352	61.394	4.433	80.0
C00369	Starch	4.508	-3.426	0.472	33.501	-3.984	70.0
C05703	Methaneselenol	-4.977	-3.7	0.413	44.49	-4.198	80.0
C00491	L-Cystine	6.15	3.17	0.515	80.013	5.366	90.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-3.907	2.322	0.333	20.001	-2.737	50.0
C03722	Quinolinate	2.807	-3.585	0.583	18.999	-3.47	60.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-3.644	1.585	0.24	15.501	-1.895	50.0
C01127	4-Hydroxy-2-oxoglutarate	4.585	4.644	0.987	49.003	5.596	90.0
C06056	4-Hydroxy-L-threonine	-5.285	-3.17	0.231	47.99	-3.47	60.0
C16619	6-Thioguanosine_monophosphate	-5.524	-3.585	0.261	58.014	-3.919	70.0
C16618	6-Thioxanthine_5'-monophosphate	3.459	-1.0	0.182	12.997	-1.241	50.0
C00251	Chorismate	-3.17	1.322	0.278	11.501	-1.676	50.0
C18260	1,6-Dimethoxypyrene	-4.459	-4.524	0.956	45.0	-5.427	90.0
C06055	O-Phospho-4-hydroxy-L-threonine	-2.415	-0.585	0.281	6.833	-0.943	60.0
C05336	Selenomethionyl-tRNA(Met)	-5.459	-4.807	0.636	71.98	-5.518	90.0
C00415	Dihydrofolate	-4.605	0.737	0.068	26.002	-0.833	60.0
C00258	D-Glycerate	-1.322	-0.585	0.6	4.0	-1.263	50.0
C05335	L-Selenomethionine	2.0	4.0	0.5	20.0	3.322	70.0
C00099	beta-Alanine	-2.585	-3.0	0.75	14.0	-3.392	60.0
C00310	D-Xylulose	-6.492	-3.7	0.144	103.005	-3.895	70.0
C01931	L-Lysyl-tRNA	-6.022	-3.585	0.185	76.984	-3.829	70.0
C01528	Hydrogen_selenide	-4.907	-2.322	0.167	35.003	-2.544	50.0
C00886	L-Alanyl-tRNA	-6.229	-4.087	0.227	92.004	-4.382	80.0
C00092	D-Glucose_6-phosphate	7.766	-4.285	0.09	237.165	-4.409	80.0
C00093	sn-Glycerol_3-phosphate	5.129	3.919	0.764	50.12	5.259	80.0
C00095	D-Fructose	-5.322	-1.222	0.058	42.335	-1.304	50.0
C00097	L-Cysteine	3.988	-2.263	0.302	20.667	-2.644	50.0
C06311	Galactitol_1-phosphate	-3.222	-5.334	0.231	49.667	-3.522	60.0
C00078	L-Tryptophan	-4.644	3.907	0.6	40.004	-4.585	80.0
C00079	L-Phenylalanine	-1.632	0.097	0.345	4.169	-0.525	60.0
C00183	L-Valine	-2.415	0.222	0.219	6.5	-0.507	60.0
C00188	L-Threonine	3.075	0.788	0.256	10.154	1.38	70.0
C00073	L-Methionine	-2.655	2.248	0.754	11.049	-3.059	60.0
C00231	D-Xylulose_5-phosphate	-3.66	-3.54	0.92	24.272	-4.481	80.0
C00077	L-Ornithine	-4.17	6.109	0.261	87.024	-4.504	80.0
C00074	Phosphoenolpyruvate	-7.257	-3.165	0.059	161.928	-3.247	60.0
C00075	UTP	5.052	3.479	0.689	44.325	4.932	80.0
C06196	2'-Deoxyinosine_5'-phosphate	-6.229	-3.17	0.12	84.01	-3.333	60.0
C03232	3-Phosphonooxypyruvate	-2.0	-4.379	0.192	24.807	-2.254	50.0
C00718	Amylose	-4.644	2.907	0.3	32.503	-3.286	60.0
C00627	Pyridoxine_phosphate	-5.0	-3.807	0.437	45.997	-4.33	80.0
C00123	L-Leucine	-2.503	1.0	0.353	7.669	-1.436	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-4.954	-3.907	0.484	45.997	-4.476	80.0
C06199	Hordenine	-4.459	-4.524	0.956	45.0	-5.427	90.0
C00085	D-Fructose_6-phosphate	-3.322	4.41	0.47	31.259	-3.878	70.0
C00242	Guanine	3.667	1.803	0.492	16.192	2.993	70.0
C00082	L-Tyrosine	-3.863	0.047	0.071	15.584	-0.146	60.0
C00081	ITP	4.087	3.17	0.776	25.995	4.334	70.0
C03785	D-Tagatose_1,6-bisphosphate	-5.7	-3.536	0.223	63.584	-3.827	70.0
C00294	Inosine	-2.222	3.7	0.359	17.661	-2.665	50.0
C00407	L-Isoleucine	2.536	-0.263	0.207	7.0	-0.534	60.0
C18261	1-Hydroxy-6-methoxypyrene	4.459	4.524	0.986	45.0	5.471	90.0
C00089	Sucrose	-3.585	3.0	0.667	20.0	-3.737	70.0
C04646	6-Thioinosine-5'-monophosphate	-3.907	3.7	0.866	27.997	-4.6	80.0
C02218	Dehydroalanine	-4.524	-3.459	0.478	34.004	-4.023	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	4.231	0.637	0.151	20.333	1.614	70.0
C00166	Phenylpyruvate	4.206	-0.195	0.062	19.6	-0.282	60.0
C00167	UDP-glucuronate	-6.229	-3.907	0.2	90.011	-4.17	80.0
C02988	L-Histidyl-tRNA(His)	-5.459	-3.322	0.227	53.987	-3.618	70.0
C03479	Folinic_acid	-8.539	1.585	0.008	374.959	-1.597	50.0
C00163	Propanoate	5.322	3.954	0.743	55.5	5.366	80.0
C01097	D-Tagatose_6-phosphate	5.7	1.379	0.242	54.585	3.723	70.0
C01152	N(pi)-Methyl-L-histidine	-4.459	-4.524	0.956	45.0	-5.427	90.0
C02987	L-Glutamyl-tRNA(Glu)	-6.728	-4.392	0.198	127.001	-4.653	90.0
C03263	Coproporphyrinogen_III	4.7	2.0	0.426	29.992	3.674	70.0
C02047	L-Leucyl-tRNA	-5.17	-4.087	0.472	52.996	-4.645	80.0
C00106	Uracil	3.17	-2.433	0.6	14.401	-3.111	60.0
C00068	Thiamin_diphosphate	-2.248	0.241	0.249	5.932	-0.562	60.0
C00342	Thioredoxin	3.926	3.807	0.97	29.197	4.823	80.0
C00105	UMP	2.753	0.807	0.293	8.491	1.316	70.0
C03082	4-Phospho-L-aspartate	-4.217	3.293	0.527	28.399	-3.904	70.0
C00103	D-Glucose_1-phosphate	-4.747	1.959	0.145	30.741	-2.154	50.0
C00100	Propanoyl-CoA	4.044	-4.03	0.99	32.832	-5.023	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	3.0	-3.459	0.727	18.997	-3.789	70.0
C05688	L-Selenocysteine	4.755	3.7	0.778	39.998	4.96	80.0
C05689	Se-Methyl-L-selenocysteine	4.755	3.7	0.778	39.998	4.96	80.0
C00065	L-Serine	-7.419	0.585	0.009	172.636	-0.598	60.0
C00064	L-Glutamine	3.868	-3.763	0.93	28.177	-4.711	90.0
C00109	2-Oxobutanoate	-4.129	2.607	0.348	23.589	-3.038	50.0
C00860	L-Histidinol	-5.358	-3.0	0.195	49.013	-3.257	60.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.322	1.459	0.906	5.249	2.25	70.0
C02962	D-Allose_6-phosphate	5.672	3.907	0.689	65.986	5.506	90.0
C00864	Pantothenate	-3.7	3.322	0.77	22.997	-4.145	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-9.033	-6.209	0.141	597.823	-6.4	90.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-3.82	3.322	0.708	24.124	-4.094	80.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	8.852	6.209	0.701	536.057	8.555	90.0
C00577	D-Glyceraldehyde	-6.977	-5.358	0.326	166.988	-5.765	90.0
C00700	XTP	6.229	3.17	0.509	84.01	5.418	90.0
C01050	UDP-N-acetylmuramate	4.594	2.147	0.467	28.58	3.739	70.0
C00279	D-Erythrose_4-phosphate	-4.892	4.077	0.568	46.569	-4.726	90.0
C03175	Shikimate_3-phosphate	-3.17	-0.585	0.167	10.501	-0.807	60.0
C02470	Xanthurenic_acid	4.459	4.524	0.986	45.0	5.471	90.0
C01412	Butanal	4.644	4.807	0.966	52.996	5.678	90.0
C00361	dGDP	-2.722	1.585	0.455	9.598	-2.126	50.0
C14519	1-Hydroxypyrene	4.459	4.524	0.986	45.0	5.471	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	4.907	3.322	0.677	40.003	4.759	80.0
C16698	N-Acetylmuramic_acid_6-phosphate	-4.954	-3.322	0.323	40.996	-3.725	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-5.728	-1.222	0.044	55.336	-1.284	50.0
C00253	Nicotinate	-6.261	-3.392	0.137	87.189	-3.577	70.0
C00179	Agmatine	-5.426	3.459	0.256	53.989	-3.788	70.0
C06188	Salicin_6-phosphate	1.0	4.585	0.218	26.001	2.504	70.0
C03406	N-(L-Arginino)succinate	-6.15	-3.807	0.197	85.009	-4.067	70.0
C02163	L-Arginyl-tRNA(Arg)	-5.285	-3.807	0.359	52.986	-4.25	80.0
C00117	D-Ribose_5-phosphate	-3.757	-3.858	0.932	28.02	-4.707	90.0
C00111	Glycerone_phosphate	-3.583	-1.58	0.249	14.973	-1.901	50.0
C03090	5-Phosphoribosylamine	3.632	2.379	0.655	17.599	3.527	70.0
C00112	CDP	-3.261	-3.322	0.959	19.587	-4.231	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	8.852	6.209	0.701	536.057	8.555	90.0
C05698	Selenohomocysteine	-4.954	2.322	0.161	35.996	-2.538	50.0
C00668	alpha-D-Glucose_6-phosphate	-2.399	-2.056	0.788	9.433	-2.895	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-2.152	-1.418	0.601	7.117	-2.097	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.884	-0.726	0.056	31.182	-0.805	60.0
C00327	L-Citrulline	6.459	-5.488	0.51	132.854	-6.083	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-3.585	2.585	0.5	18.0	-3.17	60.0
C03492	D-4'-Phosphopantothenate	2.585	-1.0	0.333	8.0	-1.415	50.0
C02992	L-Threonyl-tRNA(Thr)	-5.931	-3.585	0.197	73.011	-3.844	70.0
C01079	Protoporphyrinogen_IX	-4.7	-2.0	0.154	29.992	-2.207	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	1.874	1.0	0.534	5.665	1.596	70.0
C18096	D-Allulose_6-phosphate	-5.672	-3.907	0.294	65.986	-4.279	80.0
C11432	1-Phenanthrol	4.459	4.524	0.986	45.0	5.471	90.0
C11433	1-Methoxyphenanthrene	-4.459	-4.524	0.956	45.0	-5.427	90.0
C00269	CDP-diacylglycerol	-2.121	2.585	0.725	10.35	-2.908	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	5.17	2.907	0.562	43.502	4.612	80.0
C16219	3-Oxostearoyl-[acp]	8.852	6.209	0.701	536.057	8.555	90.0
C00441	L-Aspartate_4-semialdehyde	1.322	4.143	0.319	20.167	2.686	70.0
C18259	1-Methoxypyrene	-4.459	-4.524	0.956	45.0	-5.427	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-8.951	-6.209	0.149	568.879	-6.41	90.0
C00263	L-Homoserine	-0.329	0.195	0.911	2.401	-1.13	60.0
C00262	Hypoxanthine	2.544	2.585	0.984	11.832	3.542	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-9.033	-6.209	0.141	597.823	-6.4	90.0
C16216	3-Oxostearoyl-CoA	9.033	6.209	0.687	597.823	8.683	90.0
C00267	alpha-D-Glucose	2.775	2.933	0.946	14.482	3.776	70.0
C00266	Glycolaldehyde	-5.066	-5.392	0.798	75.489	-5.912	90.0
C00235	Dimethylallyl_diphosphate	3.888	-0.678	0.108	16.405	-0.826	60.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-2.0	-3.0	0.5	12.0	-2.585	50.0
C00900	2-Acetolactate	4.672	-3.585	0.471	37.493	-4.142	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-6.768	-3.585	0.11	120.986	-3.736	70.0
C01613	Stachyose	5.358	2.807	0.524	48.011	4.653	80.0
C00993	D-Alanyl-D-alanine	-3.322	-3.907	0.667	25.002	-4.059	70.0
C02702	L-Prolyl-tRNA(Pro)	-5.492	-4.459	0.489	66.998	-5.033	90.0
C00655	Xanthosine_5'-phosphate	-2.7	-1.047	0.318	8.564	-1.445	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	0.617	-1.202	0.667	3.834	-1.354	50.0
C00460	dUTP	-1.926	0.585	0.395	5.3	-1.065	60.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	1.874	-1.222	0.636	5.998	-1.933	50.0
C00181	D-Xylose	6.833	3.7	0.541	127.005	6.104	90.0
C00343	Thioredoxin_disulfide	-3.7	-3.807	0.929	26.993	-4.647	90.0
C00159	D-Mannose	-5.17	6.331	0.447	116.507	-5.703	90.0
C00122	Fumarate	-6.264	-2.907	0.098	84.352	-3.041	60.0
C00286	dGTP	-0.143	-1.807	0.316	4.603	-0.539	60.0
C00011	CO2	5.582	4.674	0.837	73.429	5.942	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-5.728	-3.459	0.207	64.0	-3.731	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-3.7	-1.585	0.231	15.996	-1.885	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	2.0	1.0	0.5	6.0	1.585	70.0
C01962	Thiocysteine	-6.15	-3.17	0.127	80.013	-3.342	60.0
C03892	Phosphatidylglycerophosphate	-4.17	-3.807	0.778	31.997	-4.637	80.0
C02412	Glycyl-tRNA(Gly)	-6.066	-3.087	0.127	75.493	-3.259	60.0
C00680	meso-2,6-Diaminoheptanedioate	-6.666	3.585	0.118	113.547	-3.746	70.0
C12215	Iminoerythrose_4-phosphate	-6.304	-5.392	0.531	121.003	-6.007	90.0
C00842	dTDP-glucose	-1.585	-4.585	0.125	27.001	-1.755	50.0
C02553	L-Seryl-tRNA(Ser)	-5.644	-3.807	0.28	64.002	-4.163	80.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	2.939	-2.503	0.739	13.337	-3.301	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	4.179	3.682	0.881	30.948	4.769	80.0
C00831	Pantetheine	4.907	3.322	0.677	40.003	4.759	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	5.322	3.17	0.596	49.002	4.867	80.0
C00206	dADP	4.437	-1.585	0.139	24.661	-1.772	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-5.426	-3.585	0.279	54.992	-3.94	70.0
C12214	Aminofructose_6-phosphate	6.304	5.392	0.855	121.003	6.693	90.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-9.033	-6.209	0.141	597.823	-6.4	90.0
C00921	Dihydropteroate	-3.459	2.807	0.636	17.995	-3.518	60.0
C05746	3-Oxohexanoyl-[acp]	8.852	6.209	0.701	536.057	8.555	90.0
C00458	dCTP	-4.464	-1.441	0.123	24.785	-1.608	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	1.585	1.0	0.631	5.0	1.657	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	5.728	4.358	0.761	73.509	5.805	90.0
C00199	D-Ribulose_5-phosphate	-4.199	-1.354	0.139	20.923	-1.542	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-5.492	-4.087	0.378	61.999	-4.549	80.0
C00448	trans,trans-Farnesyl_diphosphate	-0.585	0.415	0.889	2.833	-1.333	50.0
C00217	D-Glutamate	-1.503	-0.585	0.529	4.334	-1.198	60.0
C02876	Propanoyl_phosphate	-2.322	1.0	0.4	7.0	-1.485	50.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-4.858	-3.807	0.483	42.997	-4.375	80.0
C00212	Adenosine	-3.524	3.7	0.885	24.5	-4.439	80.0
C00455	Nicotinamide_D-ribonucleotide	5.087	3.0	0.59	41.989	4.63	80.0
C00208	Maltose	-4.322	-4.954	0.645	50.997	-5.04	90.0
C00036	Oxaloacetate	5.54	-0.694	0.035	48.145	-0.743	60.0
C00037	Glycine	8.689	-0.619	0.004	414.25	-0.624	60.0
C01697	Galactitol	3.222	5.334	0.604	49.667	4.907	80.0
C00035	GDP	2.485	2.087	0.84	9.847	3.048	70.0
C00031	D-Glucose	5.637	4.503	0.799	72.437	5.855	90.0
C00330	Deoxyguanosine	-1.222	-2.807	0.333	9.331	-1.637	50.0
C00135	L-Histidine	5.17	0.585	0.113	37.502	2.085	70.0
C00133	D-Alanine	3.0	4.585	0.654	32.001	4.388	70.0
C00334	4-Aminobutanoate	-5.728	-3.0	0.151	61.003	-3.203	60.0
C00131	dATP	-3.655	0.807	0.139	14.346	-0.995	60.0
C00130	IMP	-3.524	0.737	0.145	13.17	-0.932	60.0
C00620	alpha-D-Ribose_1-phosphate	6.109	4.392	0.719	90.018	6.016	90.0
C05699	L-Selenocystathionine	6.15	3.17	0.515	80.013	5.366	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-8.951	-6.209	0.149	568.879	-6.41	90.0
C00063	CTP	6.133	3.08	0.502	78.637	5.303	80.0
C00299	Uridine	2.695	4.954	0.544	37.471	4.349	70.0
C05756	3-Oxododecanoyl-[acp]	8.852	6.209	0.701	536.057	8.555	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	1.0	-0.263	0.6	3.2	-0.941	60.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-3.7	-2.524	0.443	18.748	-3.053	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	4.585	3.322	0.725	34.001	4.623	80.0
C00445	5,10-Methenyltetrahydrofolate	6.256	2.663	0.426	82.76	5.139	80.0
C01094	D-Fructose_1-phosphate	6.977	5.007	0.718	158.131	6.826	90.0
C00631	2-Phospho-D-glycerate	-3.469	0.047	0.093	12.106	-0.176	60.0
C00632	3-Hydroxyanthranilate	4.954	4.524	0.913	54.003	5.624	90.0
C00353	Geranylgeranyl_diphosphate	-5.087	-3.585	0.353	45.989	-4.021	70.0
C00526	Deoxyuridine	3.459	4.248	0.814	29.998	4.61	80.0
C03150	Nicotinamide-beta-riboside	3.459	3.7	0.935	23.993	4.487	80.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	3.524	1.7	0.482	14.753	2.831	70.0
C02554	L-Valyl-tRNA(Val)	-5.248	-3.585	0.316	50.002	-3.981	70.0
C00169	Carbamoyl_phosphate	-4.86	4.829	0.979	57.464	-5.814	90.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	4.624	-1.17	0.091	26.908	-1.296	50.0
C00042	Succinate	6.693	2.807	0.419	110.463	5.534	90.0
C00041	L-Alanine	-1.503	2.322	0.567	7.835	-2.151	50.0
C03539	S-Ribosyl-L-homocysteine	-4.322	-2.0	0.2	24.001	-2.263	50.0
C00047	L-Lysine	4.17	3.585	0.86	30.001	4.689	80.0
C00046	RNA	-5.631	-2.954	0.156	57.305	-3.164	60.0
C00044	GTP	-4.486	-2.976	0.351	30.277	-3.41	60.0
C00049	L-Aspartate	-2.2	1.113	0.471	6.758	-1.67	50.0
C01212	UDP-N-acetylmuramoyl-L-alanine	2.954	-2.0	0.516	11.749	-2.6	50.0
