compound_code	compound_name	lactobacillus_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C16219	3-Oxostearoyl-[acp]	9.518	-5.7	0.071	785.152	-5.799	80.0
C00263	L-Homoserine	-2.902	-0.322	0.0	0.0	0.0	50.0
C00262	Hypoxanthine	-7.746	5.285	0.182	253.663	-5.526	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-9.687	-5.392	0.0	0.0	0.0	50.0
C16216	3-Oxostearoyl-CoA	9.687	5.392	0.557	866.276	8.913	90.0
C00267	alpha-D-Glucose	7.542	4.036	0.535	202.771	6.762	70.0
C00266	Glycolaldehyde	-5.392	-5.555	0.0	0.0	0.0	50.0
C00469	Ethanol	11.713	10.223	0.873	4552.27	11.956	90.0
C00460	dUTP	8.028	4.459	0.555	283.01	7.296	80.0
C00286	dGTP	-11.027	-6.519	0.0	0.0	0.0	50.0
C00283	Hydrogen_sulfide	9.504	2.075	0.218	730.301	7.317	80.0
C01962	Thiocysteine	-7.748	-5.392	0.0	0.0	0.0	50.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	3.17	-2.0	0.444	13.0	-2.53	70.0
C02218	Dehydroalanine	-9.109	-5.044	0.0	0.0	0.0	50.0
C01209	Malonyl-[acyl-carrier_protein]	5.066	5.422	0.934	76.371	6.157	70.0
C00217	D-Glutamate	6.552	5.19	0.792	130.336	6.69	70.0
C00212	Adenosine	7.743	5.369	0.693	255.554	7.469	80.0
C00036	Oxaloacetate	6.372	6.576	0.969	178.231	7.432	80.0
C05841	Nicotinate_D-ribonucleoside	8.572	6.6	0.77	477.571	8.522	90.0
C00035	GDP	-9.944	-5.832	0.0	0.0	0.0	50.0
C00033	Acetate	9.891	7.698	0.778	1157.133	9.815	90.0
C00031	D-Glucose	6.687	3.07	0.459	111.433	5.677	70.0
C00136	Butanoyl-CoA	-12.211	8.289	0.066	5053.859	-8.381	90.0
C00135	L-Histidine	7.371	5.392	0.732	207.527	7.246	80.0
C00134	Putrescine	-8.109	4.392	0.076	297.086	-4.498	80.0
C00133	D-Alanine	11.283	-8.237	0.121	2793.553	-8.402	90.0
C00131	dATP	9.941	-3.885	0.015	997.742	-3.907	70.0
C00130	IMP	-7.201	-4.392	0.0	0.0	0.0	50.0
C05635	5-Hydroxyindoleacetate	-3.0	-2.807	0.0	0.0	0.0	50.0
C05634	5-Hydroxyindoleacetaldehyde	3.0	2.807	0.936	14.998	3.811	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-6.187	-4.011	0.0	0.0	0.0	50.0
C00041	L-Alanine	-6.71	5.755	0.516	158.696	-6.355	90.0
C00040	Acyl-CoA	8.363	5.91	0.707	389.37	8.104	80.0
C00047	L-Lysine	8.375	5.437	0.649	375.312	7.929	80.0
C00046	RNA	-9.383	-5.371	0.0	0.0	0.0	50.0
C00044	GTP	-9.874	-6.728	0.0	0.0	0.0	50.0
C00049	L-Aspartate	5.445	-6.891	0.367	162.248	-5.896	90.0
C02642	3-Ureidopropionate	-3.17	-4.087	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-9.658	-7.119	0.0	0.0	0.0	50.0
C01101	L-Ribulose_5-phosphate	2.865	2.585	0.902	13.286	3.583	60.0
C01100	L-Histidinol_phosphate	3.369	3.17	0.941	19.332	4.185	70.0
C01103	Orotidine_5'-phosphate	2.322	-4.03	0.306	21.336	-2.707	70.0
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	7.961	-1.1	0.009	251.316	-1.112	70.0
C03688	Apo-[acyl-carrier-protein]	8.418	5.285	0.628	381.024	7.902	80.0
C06002	(S)-Methylmalonate_semialdehyde	-1.0	2.807	0.286	8.998	-1.363	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	3.322	1.17	0.352	12.251	2.109	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-8.466	1.0	0.006	355.606	-1.008	70.0
C01233	sn-Glycero-3-phosphoethanolamine	7.762	3.907	0.503	232.069	6.868	70.0
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	-10.42	-3.624	0.0	0.0	0.0	50.0
C00954	Indole-3-acetate	-5.891	-6.17	0.0	0.0	0.0	50.0
C00957	Mercaptopyruvate	11.845	-6.484	0.024	3768.262	-6.519	90.0
C05345	beta-D-Fructose_6-phosphate	10.036	8.032	0.8	1311.615	10.036	90.0
C00818	D-Glucarate	-3.0	-2.807	0.0	0.0	0.0	50.0
C00424	(S)-Lactaldehyde	-5.392	-2.0	0.0	0.0	0.0	50.0
C00429	5,6-Dihydrouracil	3.17	4.087	0.776	25.995	4.334	70.0
C05840	Iminoaspartate	3.585	-1.0	0.167	14.0	-1.222	70.0
C05223	Dodecanoyl-[acyl-carrier_protein]	-7.741	5.755	0.252	267.935	-6.08	90.0
C00037	Glycine	9.857	2.201	0.223	931.967	7.701	80.0
C16698	N-Acetylmuramic_acid_6-phosphate	-3.322	-3.392	0.0	0.0	0.0	50.0
C00253	Nicotinate	-8.706	-6.668	0.0	0.0	0.0	50.0
C00250	Pyridoxal	11.604	4.585	0.395	3136.807	10.275	90.0
C00251	Chorismate	1.322	2.874	0.46	9.831	2.177	60.0
C00256	(R)-Lactate	8.301	9.872	0.841	1252.453	10.04	90.0
C05338	4-Hydroxyphenylacetyl-CoA	7.451	2.807	0.377	181.973	6.099	70.0
C00255	Riboflavin	6.426	5.0	0.778	117.984	6.52	70.0
C05336	Selenomethionyl-tRNA(Met)	-9.209	-5.907	0.0	0.0	0.0	50.0
C00392	Mannitol	4.524	7.209	0.628	170.96	6.745	70.0
C00258	D-Glycerate	5.82	2.0	0.344	60.493	4.378	70.0
C05335	L-Selenomethionine	9.18	2.322	0.253	585.037	7.209	80.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-11.379	-5.285	0.0	0.0	0.0	50.0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	-7.004	7.257	0.839	281.314	-7.883	90.0
C01083	alpha,alpha-Trehalose	8.418	4.248	0.505	361.036	7.509	80.0
C00559	Deoxyadenosine	-7.394	-5.816	0.0	0.0	0.0	50.0
C00491	L-Cystine	7.748	5.392	0.696	256.962	7.482	80.0
C00492	Raffinose	-8.794	1.585	0.007	446.872	-1.595	70.0
C00555	4-Aminobutyraldehyde	3.0	2.807	0.936	14.998	3.811	60.0
C00886	L-Alanyl-tRNA	-9.063	-6.044	0.0	0.0	0.0	50.0
C00498	ADP-glucose	-8.806	-7.23	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	-7.814	3.459	0.049	236.031	-3.528	70.0
C00078	L-Tryptophan	8.405	5.044	0.6	371.958	7.802	80.0
C00376	Retinal	-11.379	-5.285	0.0	0.0	0.0	50.0
C00072	Ascorbate	6.845	6.322	0.924	194.965	7.492	80.0
C00073	L-Methionine	3.931	4.916	0.8	45.443	5.183	70.0
C00071	Aldehyde	-10.979	-9.231	0.0	0.0	0.0	50.0
C00077	L-Ornithine	-3.644	3.978	0.793	28.259	-4.487	80.0
C00074	Phosphoenolpyruvate	-7.954	-7.079	0.0	0.0	0.0	50.0
C00075	UTP	9.51	7.863	0.827	961.922	9.635	90.0
C16186	L-Ascorbate_6-phosphate	-3.17	-6.322	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	8.942	9.159	0.976	1063.479	10.02	90.0
C00084	Acetaldehyde	-9.581	8.677	0.534	1175.189	-9.295	90.0
C00083	Malonyl-CoA	-7.794	-5.976	0.0	0.0	0.0	50.0
C00082	L-Tyrosine	5.063	-5.147	0.943	68.861	-6.022	90.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-5.807	-6.0	0.0	0.0	0.0	50.0
C03175	Shikimate_3-phosphate	-0.585	2.0	0.375	5.5	-1.044	70.0
C00089	Sucrose	-9.371	1.737	0.005	665.477	-1.744	70.0
C04646	6-Thioinosine-5'-monophosphate	-5.248	6.728	0.358	144.008	-5.69	80.0
C00670	sn-Glycero-3-phosphocholine	7.762	3.907	0.503	232.069	6.868	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	9.554	-4.322	0.027	771.694	-4.36	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	-4.0	6.19	0.219	89.009	-4.286	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-6.755	-5.34	0.0	0.0	0.0	50.0
C05936	N4-Acetylaminobutanal	3.0	2.807	0.936	14.998	3.811	60.0
C00106	Uracil	8.64	-2.755	0.017	405.683	-2.779	70.0
C00105	UMP	5.848	2.75	0.47	64.327	4.919	70.0
C00103	D-Glucose_1-phosphate	8.525	-4.556	0.064	391.89	-4.645	80.0
C00100	Propanoyl-CoA	-11.843	4.129	0.005	3691.15	-4.136	70.0
C00101	Tetrahydrofolate	-5.948	6.822	0.546	174.877	-6.576	90.0
C00109	2-Oxobutanoate	8.041	-7.092	0.518	399.808	-7.694	90.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-5.585	3.807	0.292	61.998	-4.176	70.0
C05764	Hexadecanoyl-[acp]	-7.741	5.755	0.252	267.935	-6.08	90.0
C06899	Chloral_hydrate	11.379	5.285	0.464	2702.291	10.294	90.0
C05761	Tetradecanoyl-[acp]	-7.741	5.755	0.252	267.935	-6.08	90.0
C05760	trans-Tetradec-2-enoyl-[acp]	-6.615	-5.322	0.0	0.0	0.0	50.0
C05763	trans-Hexadec-2-enoyl-[acp]	-6.615	-5.322	0.0	0.0	0.0	50.0
C05762	3-Oxohexadecanoyl-[acp]	9.103	-5.295	0.071	589.151	-5.394	80.0
C00361	dGDP	11.327	5.896	0.521	2628.564	10.418	90.0
C05807	2-Polyprenylphenol	7.418	3.17	0.427	180.018	6.265	70.0
C02670	D-Glucuronolactone	3.0	2.807	0.936	14.998	3.811	60.0
C02992	L-Threonyl-tRNA(Thr)	-9.472	-7.322	0.0	0.0	0.0	50.0
C02995	Maltose_6'-phosphate	7.033	3.7	0.526	143.958	6.243	70.0
C03090	5-Phosphoribosylamine	5.406	3.945	0.73	57.802	5.399	70.0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-11.273	-5.0	0.0	0.0	0.0	50.0
C07086	Phenylacetic_acid	-7.34	-7.658	0.0	0.0	0.0	50.0
C01077	O-Acetyl-L-homoserine	3.459	4.0	0.865	26.997	4.545	70.0
C02972	Dihydrolipoylprotein	10.237	8.195	0.801	1499.874	10.23	90.0
C01079	Protoporphyrinogen_IX	-2.0	-5.728	0.0	0.0	0.0	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	6.539	2.939	0.449	100.659	5.5	70.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-6.524	-2.663	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	-6.748	2.322	0.047	112.486	-2.388	70.0
C04419	Carboxybiotin-carboxyl-carrier_protein	8.31	-4.044	0.052	333.861	-4.117	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	8.543	-4.954	0.083	403.988	-5.069	80.0
C01172	beta-D-Glucose_6-phosphate	-8.11	6.492	0.326	366.292	-6.899	90.0
C12214	Aminofructose_6-phosphate	5.392	10.015	0.538	1076.693	9.179	90.0
C00169	Carbamoyl_phosphate	-7.453	-5.087	0.0	0.0	0.0	50.0
C03892	Phosphatidylglycerophosphate	-9.05	-4.585	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-8.911	-6.994	0.0	0.0	0.0	50.0
C00680	meso-2,6-Diaminoheptanedioate	7.801	1.601	0.205	226.049	5.536	70.0
C02553	L-Seryl-tRNA(Ser)	-9.658	-7.16	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	12.624	9.051	0.717	6842.942	12.26	90.0
C00831	Pantetheine	7.547	5.492	0.728	232.018	7.4	80.0
C16551	Alcophosphamide	-11.379	-5.285	0.0	0.0	0.0	50.0
C00512	S-Benzoate_coenzyme_A	-7.451	-2.807	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-8.725	5.248	0.09	461.144	-5.372	80.0
C00921	Dihydropteroate	7.665	-4.524	0.113	225.96	-4.679	80.0
C00458	dCTP	-8.236	-6.939	0.0	0.0	0.0	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	6.381	-5.555	0.564	130.357	-6.2	90.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-2.585	-3.322	0.0	0.0	0.0	50.0
C00455	Nicotinamide_D-ribonucleotide	8.304	5.977	0.72	379.036	8.092	80.0
C01697	Galactitol	5.334	8.745	0.61	469.386	8.161	80.0
C15972	Enzyme_N6-(lipoyl)lysine	7.134	-8.145	0.496	423.526	-7.715	90.0
C00330	Deoxyguanosine	8.502	6.6	0.776	459.547	8.479	90.0
C00332	Acetoacetyl-CoA	6.154	-8.761	0.164	505.044	-6.373	90.0
C00334	4-Aminobutanoate	6.082	6.422	0.947	153.489	7.184	80.0
C00337	(S)-Dihydroorotate	-3.841	5.672	0.281	65.315	-4.198	70.0
C05699	L-Selenocystathionine	7.748	5.392	0.696	256.962	7.482	80.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-8.725	5.248	0.09	461.144	-5.372	80.0
C00637	Indole-3-acetaldehyde	3.0	2.807	0.936	14.998	3.811	60.0
C00631	2-Phospho-D-glycerate	-7.459	-3.632	0.0	0.0	0.0	50.0
C00208	Maltose	10.898	4.285	0.393	1927.699	9.566	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-2.322	-4.437	0.0	0.0	0.0	50.0
C00206	dADP	-7.71	8.088	0.77	481.484	-8.533	90.0
C07490	Trichloroethanol	-11.379	-5.285	0.0	0.0	0.0	50.0
C00025	L-Glutamate	8.048	-5.822	0.214	321.232	-6.101	90.0
C00024	Acetyl-CoA	-10.705	-8.987	0.0	0.0	0.0	50.0
C00148	L-Proline	7.289	8.987	0.811	663.797	9.072	90.0
C00026	2-Oxoglutarate	6.449	-6.91	0.726	207.625	-7.237	90.0
C00021	S-Adenosyl-L-homocysteine	8.266	-3.322	0.032	317.833	-3.368	70.0
C00020	AMP	8.394	5.513	0.657	382.057	7.971	80.0
C00022	Pyruvate	-9.441	-7.411	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-3.81	-7.49	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	7.29	-1.585	0.019	159.498	-1.612	70.0
C00029	UDP-glucose	-10.913	-5.508	0.0	0.0	0.0	50.0
C00147	Adenine	7.535	0.466	0.062	186.846	3.53	60.0
C00144	GMP	8.609	-4.982	0.081	422.055	-5.094	80.0
C06311	Galactitol_1-phosphate	-5.334	-8.745	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-9.217	-4.954	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	5.916	-4.392	0.348	81.375	-4.823	80.0
C00099	beta-Alanine	5.508	-2.841	0.157	52.672	-3.052	70.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-0.737	2.755	0.247	8.417	-1.055	70.0
C05726	S-Substituted_L-cysteine	-6.129	-8.418	0.0	0.0	0.0	50.0
C00705	dCDP	7.732	4.524	0.585	235.607	7.107	80.0
C06250	Holo-[carboxylase]	-7.86	5.644	0.215	282.33	-5.925	90.0
C00314	Pyridoxine	11.604	4.585	0.395	3136.807	10.275	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-7.585	6.644	0.521	292.015	-7.249	90.0
C01134	Pantetheine_4'-phosphate	8.276	-5.755	0.174	363.977	-5.987	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-8.786	-6.267	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.405	-5.044	0.0	0.0	0.0	50.0
C02170	Methylmalonate	-3.0	-2.807	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-9.628	-7.384	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-8.725	5.248	0.09	461.144	-5.372	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	9.518	-5.7	0.071	785.152	-5.799	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.725	5.248	0.09	461.144	-5.372	80.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	9.518	-5.7	0.071	785.152	-5.799	80.0
C20375	Glutaryl-[acp]_methyl_ester	-7.741	6.539	0.435	306.921	-7.06	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-6.615	-6.304	0.0	0.0	0.0	50.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	6.781	7.15	0.948	251.997	7.901	80.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-6.615	-6.304	0.0	0.0	0.0	50.0
C00804	Propynoate	-3.0	-2.807	0.0	0.0	0.0	50.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	9.074	6.229	0.686	613.957	8.719	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	3.459	1.0	0.289	12.997	1.91	60.0
C00415	Dihydrofolate	4.143	-5.248	0.465	55.669	-4.694	80.0
C00416	Phosphatidate	-8.123	2.663	0.023	285.117	-2.695	70.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	6.781	7.15	0.948	251.997	7.901	80.0
C00620	alpha-D-Ribose_1-phosphate	10.598	6.907	0.652	1669.953	10.088	90.0
C00242	Guanine	7.737	-5.518	0.215	259.161	-5.799	80.0
C00245	Taurine	-7.392	5.044	0.196	200.954	-5.303	80.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-11.379	-5.285	0.0	0.0	0.0	50.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	11.379	5.285	0.464	2702.291	10.294	90.0
C01097	D-Tagatose_6-phosphate	11.954	5.53	0.463	4013.666	10.859	90.0
C01096	Sorbitol_6-phosphate	7.721	3.939	0.51	226.323	6.851	70.0
C01094	D-Fructose_1-phosphate	13.228	8.517	0.644	9960.884	12.647	90.0
C00068	Thiamin_diphosphate	-7.917	1.644	0.013	244.813	-1.663	70.0
C00342	Thioredoxin	-10.456	-9.947	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	10.496	9.967	0.95	2444.988	11.181	90.0
C00344	Phosphatidylglycerol	7.516	6.0	0.798	247.038	7.624	80.0
C05684	Selenite	10.79	10.043	0.931	2825.552	11.361	90.0
C00063	CTP	8.839	7.758	0.878	674.402	9.209	90.0
C00062	L-Arginine	-8.523	4.17	0.049	385.858	-4.239	70.0
C00065	L-Serine	-9.469	4.44	0.031	730.39	-4.484	80.0
C00064	L-Glutamine	-7.287	5.421	0.274	199.016	-5.771	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	4.954	0.387	42.996	-4.057	70.0
