compound_code	compound_name	lactobacillus_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C00232	Succinate_semialdehyde	-3.954	-6.052	0.0	0.0	0.0	50.0
C06002	(S)-Methylmalonate_semialdehyde	-1.0	3.0	0.25	10.0	-1.322	70.0
C01185	Nicotinate_D-ribonucleotide	8.56	-3.17	0.024	386.413	-3.204	80.0
C02637	3-Dehydroshikimate	-3.459	2.807	0.636	17.995	-3.518	80.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	3.322	-2.248	0.475	14.751	-2.809	70.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-8.466	3.0	0.023	361.606	-3.032	80.0
C00159	D-Mannose	11.233	-1.0	0.001	2408.966	-1.001	70.0
C00818	D-Glucarate	-3.0	1.585	0.375	11.0	-2.044	70.0
C00014	Ammonia	7.98	6.096	0.764	320.879	7.937	90.0
C00015	UDP	-5.276	2.807	0.181	45.745	-3.047	80.0
C00054	Adenosine_3',5'-bisphosphate	-8.418	-4.728	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	8.994	2.632	0.293	516.074	7.239	80.0
C05823	3-Mercaptolactate	-12.847	-6.977	0.0	0.0	0.0	50.0
C16688	Sucrose_6-phosphate	-10.677	2.0	0.002	1641.183	-2.004	70.0
C01528	Hydrogen_selenide	-9.874	-8.183	0.0	0.0	0.0	50.0
C00155	L-Homocysteine	-7.405	-2.7	0.0	0.0	0.0	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	8.543	-4.807	0.075	400.985	-4.911	90.0
C00794	D-Sorbitol	-5.883	8.279	0.19	369.633	-6.134	90.0
C00954	Indole-3-acetate	-5.891	-3.0	0.0	0.0	0.0	50.0
C00957	Mercaptopyruvate	11.845	4.82	0.407	3706.997	10.559	90.0
C00091	Succinyl-CoA	-10.237	5.85	0.048	1264.504	-5.917	90.0
C01134	Pantetheine_4'-phosphate	8.276	4.585	0.554	333.974	7.532	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	5.615	-1.585	0.061	52.01	-1.671	70.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	6.17	0.167	84.004	-3.807	80.0
C05345	beta-D-Fructose_6-phosphate	10.036	-5.033	0.031	1082.614	-5.077	90.0
C01233	sn-Glycero-3-phosphoethanolamine	7.762	3.807	0.49	231.064	6.824	80.0
C00226	Primary_alcohol	11.713	4.977	0.425	3388.594	10.492	90.0
C06037	Digalactosyl-diacylglycerol	10.684	1.0	0.094	1647.146	7.268	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-8.786	-1.807	0.0	0.0	0.0	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	10.684	1.0	0.094	1647.146	7.268	80.0
C05382	Sedoheptulose_7-phosphate	-3.846	5.573	0.302	61.984	-4.227	80.0
C00385	Xanthine	-6.404	0.879	0.022	86.522	-0.91	70.0
C00229	Acyl-carrier_protein	-3.807	-4.728	0.0	0.0	0.0	50.0
C00882	Dephospho-CoA	-7.814	-4.585	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	8.02	-1.273	0.009	261.99	-1.286	70.0
C00718	Amylose	-8.003	4.129	0.068	274.029	-4.224	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-9.628	-7.592	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-10.684	-1.0	0.0	0.0	0.0	50.0
C00036	Oxaloacetate	6.372	0.461	0.072	84.202	2.607	60.0
C00364	dTMP	-7.558	-3.459	0.0	0.0	0.0	50.0
C00365	dUMP	-7.122	-4.248	0.0	0.0	0.0	50.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	7.451	3.459	0.464	185.971	6.432	70.0
C00009	Orthophosphate	-8.781	-2.0	0.0	0.0	0.0	50.0
C00008	ADP	-10.357	2.841	0.005	1318.663	-2.849	70.0
C05596	p-Hydroxyphenylacetylglycine	-7.451	-3.459	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	10.598	5.966	0.563	1612.453	9.826	90.0
C00003	NAD+	-4.632	-3.369	0.0	0.0	0.0	50.0
C00002	ATP	-9.427	3.769	0.02	701.983	-3.797	80.0
C05980	Cardiolipin	-7.948	-2.0	0.0	0.0	0.0	50.0
C00369	Starch	8.586	-4.893	0.077	413.989	-5.0	90.0
C05703	Methaneselenol	-10.171	-8.767	0.0	0.0	0.0	50.0
C00491	L-Cystine	7.748	3.585	0.463	226.972	6.715	80.0
C00376	Retinal	-11.379	-4.044	0.0	0.0	0.0	50.0
C03722	Quinolinate	-3.585	3.17	0.75	21.001	-3.977	80.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	9.074	6.459	0.712	626.921	8.802	90.0
C02170	Methylmalonate	-3.0	-3.0	0.0	0.0	0.0	50.0
C01127	4-Hydroxy-2-oxoglutarate	4.644	3.17	0.683	34.003	4.537	70.0
C06056	4-Hydroxy-L-threonine	-8.375	-5.285	0.0	0.0	0.0	50.0
C05130	Imidazole-4-acetaldehyde	3.0	3.0	1.0	16.0	4.0	70.0
C06188	Salicin_6-phosphate	11.96	2.0	0.167	3987.995	9.381	90.0
C16618	6-Thioxanthine_5'-monophosphate	8.765	-1.585	0.007	438.039	-1.595	70.0
C05401	3-beta-D-Galactosyl-sn-glycerol	10.684	1.0	0.094	1647.146	7.268	80.0
C05665	3-Aminopropanal	3.0	3.0	1.0	16.0	4.0	70.0
C05338	4-Hydroxyphenylacetyl-CoA	7.451	3.459	0.464	185.971	6.432	70.0
C00255	Riboflavin	6.426	5.615	0.874	134.994	6.882	80.0
C05336	Selenomethionyl-tRNA(Met)	-9.209	-2.807	0.0	0.0	0.0	50.0
C00392	Mannitol	4.524	7.577	0.597	213.95	6.997	80.0
C00258	D-Glycerate	5.82	-0.83	0.031	58.271	-0.875	70.0
C05335	L-Selenomethionine	9.18	2.807	0.306	587.035	7.488	80.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-11.379	-4.044	0.0	0.0	0.0	50.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	11.379	4.044	0.355	2679.797	9.895	90.0
C00644	D-Mannitol_1-phosphate	-4.524	6.966	0.184	148.026	-4.768	90.0
C00559	Deoxyadenosine	-7.394	3.0	0.048	176.196	-3.067	80.0
C01931	L-Lysyl-tRNA	-9.776	-1.0	0.0	0.0	0.0	50.0
C00492	Raffinose	-8.794	0.737	0.004	445.539	-0.742	60.0
C00073	L-Methionine	3.931	2.807	0.714	22.251	3.99	70.0
C00555	4-Aminobutyraldehyde	3.0	3.0	1.0	16.0	4.0	70.0
C00886	L-Alanyl-tRNA	-9.063	-6.285	0.0	0.0	0.0	50.0
C00092	D-Glucose_6-phosphate	-9.688	-5.141	0.0	0.0	0.0	50.0
C00093	sn-Glycerol_3-phosphate	8.003	-3.17	0.035	265.533	-3.22	80.0
C00498	ADP-glucose	-8.806	-3.459	0.0	0.0	0.0	50.0
C00095	D-Fructose	9.073	7.013	0.773	667.732	9.012	90.0
C00097	L-Cysteine	-7.238	-3.694	0.0	0.0	0.0	50.0
C14099	2-Naphthaldehyde	-11.713	-4.977	0.0	0.0	0.0	50.0
C06311	Galactitol_1-phosphate	-5.334	-7.17	0.0	0.0	0.0	50.0
C00079	L-Phenylalanine	6.767	-1.283	0.022	111.344	-1.315	70.0
C00993	D-Alanyl-D-alanine	-11.324	5.248	0.015	2601.681	-5.269	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-9.217	-0.893	0.0	0.0	0.0	50.0
C14090	1-Naphthaldehyde	-11.713	-4.977	0.0	0.0	0.0	50.0
C00058	Formate	11.603	-5.839	0.018	3167.891	-5.865	90.0
C00071	Aldehyde	-10.979	-4.565	0.0	0.0	0.0	50.0
C00077	L-Ornithine	-3.644	1.0	0.16	14.501	-1.214	70.0
C00074	Phosphoenolpyruvate	-7.954	-6.828	0.0	0.0	0.0	50.0
C02282	Glutaminyl-tRNA	9.282	-6.005	0.103	686.752	-6.147	90.0
C00186	(S)-Lactate	11.258	5.415	0.481	2491.705	10.227	90.0
C00979	O-Acetyl-L-serine	9.126	-2.322	0.009	563.727	-2.335	70.0
C04039	2,3-Dihydroxy-3-methylbutanoate	3.322	-2.807	0.7	16.999	-3.572	80.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	7.451	3.459	0.464	185.971	6.432	70.0
C11949	3-Isopropylbut-3-enoyl-CoA	-7.451	-3.459	0.0	0.0	0.0	50.0
C00075	UTP	9.51	4.135	0.435	746.683	8.343	90.0
C00123	L-Leucine	-6.143	4.143	0.25	88.336	-4.465	90.0
C02686	Galactosylceramide	-9.979	-1.0	0.0	0.0	0.0	50.0
C05936	N4-Acetylaminobutanal	3.0	3.0	1.0	16.0	4.0	70.0
C00084	Acetaldehyde	-9.581	4.552	0.031	789.351	-4.596	90.0
C07118	Benzoyl_acetyl-CoA	7.451	3.459	0.464	185.971	6.432	70.0
C00082	L-Tyrosine	5.063	1.284	0.254	35.863	3.185	60.0
C03785	D-Tagatose_1,6-bisphosphate	-11.875	-2.807	0.0	0.0	0.0	50.0
C00294	Inosine	8.074	-3.907	0.056	284.475	-3.985	80.0
C00407	L-Isoleucine	-6.845	5.3	0.343	154.358	-5.725	90.0
C00089	Sucrose	-9.371	-0.322	0.0	0.0	0.0	50.0
C04646	6-Thioinosine-5'-monophosphate	-5.248	1.585	0.079	41.002	-1.695	70.0
C00670	sn-Glycero-3-phosphocholine	7.762	3.807	0.49	231.064	6.824	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	9.554	-0.637	0.002	753.248	-0.64	60.0
C00672	2-Deoxy-D-ribose_1-phosphate	-4.0	-4.524	0.0	0.0	0.0	50.0
C00673	2-Deoxy-D-ribose_5-phosphate	-6.755	-1.322	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-8.401	-6.17	0.0	0.0	0.0	50.0
C00162	Fatty_acid	3.0	3.0	1.0	16.0	4.0	70.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-6.705	-2.939	0.0	0.0	0.0	50.0
C02984	L-Aspartyl-tRNA(Asp)	-9.847	-5.285	0.0	0.0	0.0	50.0
C01096	Sorbitol_6-phosphate	7.721	-1.585	0.014	213.986	-1.605	70.0
C00010	CoA	7.372	4.728	0.641	192.152	6.945	80.0
C01094	D-Fructose_1-phosphate	13.228	-8.23	0.031	9894.8	-8.274	90.0
C03263	Coproporphyrinogen_III	2.0	2.585	0.774	10.0	2.952	60.0
C02047	L-Leucyl-tRNA	-9.881	-6.658	0.0	0.0	0.0	50.0
C06613	trans-3-Chloroallyl_aldehyde	-9.752	-2.637	0.0	0.0	0.0	50.0
C00106	Uracil	8.64	-3.598	0.03	411.041	-3.641	80.0
C00068	Thiamin_diphosphate	-7.917	-0.415	0.0	0.0	0.0	50.0
C00342	Thioredoxin	-10.456	-9.75	0.0	0.0	0.0	50.0
C00343	Thioredoxin_disulfide	10.496	9.747	0.929	2303.434	11.063	90.0
C03082	4-Phospho-L-aspartate	-4.278	-3.17	0.0	0.0	0.0	50.0
C00103	D-Glucose_1-phosphate	8.525	5.771	0.677	422.973	8.162	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-10.673	-7.322	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-5.948	-4.265	0.0	0.0	0.0	50.0
C00063	CTP	8.839	3.863	0.437	472.486	7.69	90.0
C00062	L-Arginine	-8.523	5.672	0.139	418.842	-5.859	90.0
C00065	L-Serine	-9.469	-6.479	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-7.287	-6.228	0.0	0.0	0.0	50.0
C00109	2-Oxobutanoate	8.041	-3.755	0.051	276.881	-3.827	80.0
C00860	L-Histidinol	-3.0	1.585	0.375	11.0	-2.044	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.672	0.322	0.088	13.996	0.296	60.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-7.451	-3.459	0.0	0.0	0.0	50.0
C02576	Perillyl_aldehyde	3.0	3.0	1.0	16.0	4.0	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	3.322	-2.248	0.475	14.751	-2.809	70.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-5.585	-5.248	0.0	0.0	0.0	50.0
C00577	D-Glyceraldehyde	-13.823	1.263	0.0	14494.71	-1.263	70.0
C00152	L-Asparagine	-7.951	-4.732	0.0	0.0	0.0	50.0
C01419	Cys-Gly	6.129	5.209	0.85	106.975	6.506	80.0
C06899	Chloral_hydrate	11.379	4.044	0.355	2679.797	9.895	90.0
C01149	4-Trimethylammoniobutanal	3.0	3.0	1.0	16.0	4.0	70.0
C00279	D-Erythrose_4-phosphate	13.733	-4.881	0.002	13645.322	-4.884	90.0
C03175	Shikimate_3-phosphate	-0.585	2.0	0.375	5.5	-1.044	70.0
C01412	Butanal	11.441	6.524	0.57	2872.28	10.678	90.0
C00361	dGDP	11.327	-4.248	0.007	2588.017	-4.259	80.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	6.615	-0.737	0.017	99.686	-0.761	60.0
C00900	2-Acetolactate	8.347	3.0	0.359	333.61	6.906	80.0
C18902	Methylselenic_acid	10.79	9.765	0.905	2640.65	11.223	90.0
C06715	3-Oxopimeloyl-CoA	7.451	3.459	0.464	185.971	6.432	70.0
C02670	D-Glucuronolactone	3.0	3.0	1.0	16.0	4.0	70.0
C00668	alpha-D-Glucose_6-phosphate	9.736	-5.449	0.051	896.445	-5.521	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-9.575	-1.0	0.0	0.0	0.0	50.0
C05399	Melibiitol	10.684	1.0	0.094	1647.146	7.268	80.0
C00179	Agmatine	3.459	1.807	0.522	14.496	2.921	60.0
C03406	N-(L-Arginino)succinate	6.807	-4.392	0.188	132.968	-4.64	90.0
C00473	Retinol	11.379	4.044	0.355	2679.797	9.895	90.0
C02995	Maltose_6'-phosphate	7.033	-4.644	0.191	155.964	-4.896	90.0
C05512	Deoxyinosine	7.394	-3.0	0.048	176.196	-3.067	80.0
C00114	Choline	-7.762	-3.807	0.0	0.0	0.0	50.0
C02412	Glycyl-tRNA(Gly)	-8.911	-7.119	0.0	0.0	0.0	50.0
C00116	Glycerol	-8.829	-0.322	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	10.742	0.902	0.084	1714.501	7.17	80.0
C07645	Aldophosphamide	11.379	4.044	0.355	2679.797	9.895	90.0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-11.273	-5.459	0.0	0.0	0.0	50.0
C05699	L-Selenocystathionine	7.748	3.585	0.463	226.972	6.715	80.0
C05698	Selenohomocysteine	-7.665	-3.585	0.0	0.0	0.0	50.0
C14089	1-Hydroxymethylnaphthalene	11.713	4.977	0.425	3388.594	10.492	90.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-10.369	1.402	0.002	1325.095	-1.405	70.0
C00118	D-Glyceraldehyde_3-phosphate	-11.805	4.762	0.008	3605.288	-4.773	90.0
C00327	L-Citrulline	8.639	4.336	0.502	418.852	7.716	90.0
C06250	Holo-[carboxylase]	-7.86	6.611	0.421	330.073	-7.118	90.0
C00242	Guanine	7.737	1.837	0.237	216.911	5.687	70.0
C00158	Citrate	1.341	1.519	0.883	5.399	2.253	60.0
C01346	dUDP	7.103	-4.248	0.138	156.474	-4.435	90.0
C01962	Thiocysteine	-7.748	-3.585	0.0	0.0	0.0	50.0
C00083	Malonyl-CoA	-7.794	-5.964	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	-6.748	3.907	0.14	122.487	-4.095	80.0
C00235	Dimethylallyl_diphosphate	3.681	-5.853	0.222	70.626	-3.97	80.0
C11924	Perillic_acid	-3.0	-3.0	0.0	0.0	0.0	50.0
C04419	Carboxybiotin-carboxyl-carrier_protein	8.31	-6.033	0.206	382.846	-6.304	90.0
C00269	CDP-diacylglycerol	-3.858	1.138	0.152	16.701	-1.342	70.0
C00669	gamma-L-Glutamyl-L-cysteine	-8.775	-4.0	0.0	0.0	0.0	50.0
C00506	L-Cysteate	3.322	4.644	0.715	35.003	4.646	70.0
C00344	Phosphatidylglycerol	7.516	2.0	0.266	187.038	5.637	70.0
C00263	L-Homoserine	-2.902	-0.222	0.0	0.0	0.0	50.0
C00663	beta-D-Glucose_1-phosphate	-8.165	-4.248	0.0	0.0	0.0	50.0
C01172	beta-D-Glucose_6-phosphate	-8.11	-2.126	0.0	0.0	0.0	50.0
C00267	alpha-D-Glucose	7.542	-0.628	0.008	187.912	-0.64	60.0
C02163	L-Arginyl-tRNA(Arg)	-8.804	-5.672	0.0	0.0	0.0	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-8.053	-5.476	0.0	0.0	0.0	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-7.585	4.807	0.146	219.998	-5.003	90.0
C00804	Propynoate	-3.0	-3.0	0.0	0.0	0.0	50.0
C00469	Ethanol	11.713	4.977	0.425	3388.594	10.492	90.0
C01613	Stachyose	10.231	1.415	0.138	1204.482	7.38	80.0
C00188	L-Threonine	-7.226	-4.636	0.0	0.0	0.0	50.0
C00189	Ethanolamine	-7.762	4.0	0.074	233.068	-4.103	80.0
C02702	L-Prolyl-tRNA(Pro)	-9.948	-1.0	0.0	0.0	0.0	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-1.202	2.632	0.371	8.499	-1.657	70.0
C00460	dUTP	8.028	5.044	0.628	294.008	7.529	80.0
C02909	(2-Naphthyl)methanol	11.713	4.977	0.425	3388.594	10.492	90.0
C05985	2-Propynal	3.0	3.0	1.0	16.0	4.0	70.0
C00286	dGTP	-11.027	3.755	0.006	2100.19	-3.764	80.0
C00124	D-Galactose	8.489	4.033	0.475	375.659	7.48	80.0
C02946	4-Acetamidobutanoate	-3.0	-3.0	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	8.771	5.248	0.598	474.854	8.15	90.0
C05984	2-Hydroxybutanoic_acid	12.847	6.977	0.543	7493.683	11.991	90.0
C00129	Isopentenyl_diphosphate	-5.14	-5.762	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-5.672	-2.0	0.0	0.0	0.0	50.0
C00288	HCO3-	8.31	6.033	0.726	382.846	8.119	90.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-6.264	5.664	0.66	127.554	-6.395	90.0
C00680	meso-2,6-Diaminoheptanedioate	7.801	0.921	0.118	224.909	4.731	70.0
C16348	cis-3-Chloroallyl_aldehyde	-9.752	-2.637	0.0	0.0	0.0	50.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-11.379	-4.044	0.0	0.0	0.0	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-8.954	-6.129	0.0	0.0	0.0	50.0
C02553	L-Seryl-tRNA(Ser)	-9.658	-4.858	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	12.624	-5.392	0.007	6354.509	-5.402	90.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	11.379	4.044	0.355	2679.797	9.895	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	3.17	-2.322	0.556	14.001	-2.959	70.0
C04051	5-Amino-4-imidazolecarboxyamide	-10.133	-1.0	0.0	0.0	0.0	50.0
C00512	S-Benzoate_coenzyme_A	-7.451	-3.459	0.0	0.0	0.0	50.0
C00433	2,5-Dioxopentanoate	3.0	3.0	1.0	16.0	4.0	70.0
C02291	L-Cystathionine	7.748	3.585	0.463	226.972	6.715	80.0
C00112	CDP	-5.555	2.624	0.131	53.178	-2.802	70.0
C00166	Phenylpyruvate	-0.195	2.595	0.189	7.187	-0.445	60.0
C01079	Protoporphyrinogen_IX	-2.0	-2.585	0.0	0.0	0.0	50.0
C00459	dTTP	-8.68	4.066	0.041	426.897	-4.124	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-2.585	-3.524	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	6.6	3.737	0.566	110.34	5.965	70.0
C00052	UDP-alpha-D-galactose	9.114	-5.129	0.063	589.092	-5.217	90.0
C00117	D-Ribose_5-phosphate	9.76	-4.158	0.021	884.919	-4.187	80.0
C00217	D-Glutamate	6.552	-4.322	0.213	113.832	-4.601	90.0
C00197	3-Phospho-D-glycerate	-7.725	2.631	0.029	217.766	-2.673	70.0
C16551	Alcophosphamide	-11.379	-4.044	0.0	0.0	0.0	50.0
C00212	Adenosine	7.743	2.17	0.28	218.728	5.938	70.0
C15972	Enzyme_N6-(lipoyl)lysine	7.134	1.585	0.222	143.459	4.994	70.0
C00208	Maltose	10.898	4.672	0.429	1933.697	9.695	90.0
C05840	Iminoaspartate	3.585	-3.0	0.667	20.0	-3.737	80.0
C00037	Glycine	9.857	5.772	0.586	982.014	9.168	90.0
C01697	Galactitol	5.334	7.17	0.744	184.344	7.099	80.0
C00035	GDP	-9.944	3.7	0.013	998.01	-3.719	80.0
C00725	Lipoate	10.472	5.426	0.518	1463.312	9.566	90.0
C00033	Acetate	9.891	-2.585	0.006	955.484	-2.594	70.0
C00031	D-Glucose	6.687	-3.773	0.133	116.706	-3.953	80.0
C00137	myo-Inositol	-9.107	-1.0	0.0	0.0	0.0	50.0
C00136	Butanoyl-CoA	-12.211	-6.524	0.0	0.0	0.0	50.0
C00135	L-Histidine	7.371	3.97	0.539	181.207	6.609	80.0
C00134	Putrescine	-8.109	-2.115	0.0	0.0	0.0	50.0
C00133	D-Alanine	11.283	3.03	0.269	2500.015	9.391	90.0
C00334	4-Aminobutanoate	6.082	5.075	0.834	101.451	6.403	70.0
C00131	dATP	9.941	-0.678	0.002	984.567	-0.68	60.0
C00130	IMP	-7.201	0.807	0.012	148.885	-0.824	70.0
C16237	Protein_N6-(lipoyl)lysine	-10.472	-5.426	0.0	0.0	0.0	50.0
C01097	D-Tagatose_6-phosphate	11.954	2.807	0.235	3974.458	9.866	90.0
C05635	5-Hydroxyindoleacetate	-3.0	-3.0	0.0	0.0	0.0	50.0
C05634	5-Hydroxyindoleacetaldehyde	3.0	3.0	1.0	16.0	4.0	70.0
C00299	Uridine	6.222	2.471	0.397	80.191	4.993	70.0
C06010	(S)-2-Acetolactate	6.042	2.17	0.359	70.391	4.66	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	7.726	2.0	0.259	215.718	5.803	70.0
C18239	Precursor_Z	-3.459	-4.858	0.0	0.0	0.0	50.0
C00446	alpha-D-Galactose_1-phosphate	-8.122	3.868	0.052	293.191	-3.942	80.0
C00637	Indole-3-acetaldehyde	3.0	3.0	1.0	16.0	4.0	70.0
C00631	2-Phospho-D-glycerate	-7.459	-4.05	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	-4.807	-3.239	0.0	0.0	0.0	50.0
C03688	Apo-[acyl-carrier-protein]	8.418	4.728	0.562	368.536	7.693	90.0
C00526	Deoxyuridine	8.971	3.222	0.359	511.142	7.52	80.0
C00527	Glutaryl-CoA	-7.451	-3.059	0.0	0.0	0.0	50.0
C00169	Carbamoyl_phosphate	-7.453	-0.308	0.0	0.0	0.0	50.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-6.187	-0.415	0.0	0.0	0.0	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-5.585	-5.248	0.0	0.0	0.0	50.0
C00041	L-Alanine	-6.71	-5.17	0.0	0.0	0.0	50.0
C00040	Acyl-CoA	8.363	4.248	0.508	348.242	7.467	80.0
C00047	L-Lysine	8.375	-4.358	0.062	352.497	-4.444	90.0
C00046	RNA	-9.383	-3.591	0.0	0.0	0.0	50.0
C02835	Imidazole-4-acetate	-3.0	-3.0	0.0	0.0	0.0	50.0
C00044	GTP	-9.874	-2.648	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-2.322	0.222	0.233	6.167	-0.524	60.0
C00049	L-Aspartate	5.445	1.394	0.256	46.19	3.564	70.0
C00206	dADP	-7.71	-3.036	0.0	0.0	0.0	50.0
