compound_code	compound_name	clostridium_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C16688	Sucrose_6-phosphate	2.0	-10.677	0.002	1641.183	-2.004	50.0
C00152	L-Asparagine	-4.732	-7.951	0.107	274.026	-4.879	80.0
C00155	L-Homocysteine	-2.7	-7.405	0.038	175.981	-2.754	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-4.807	8.543	0.075	400.985	-4.911	80.0
C00015	UDP	2.807	-5.276	0.181	45.745	-3.047	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-2.807	3.322	0.7	16.999	-3.572	60.0
C00794	D-Sorbitol	8.279	-5.883	0.19	369.633	-6.134	90.0
C05840	Iminoaspartate	-3.0	3.585	0.667	20.0	-3.737	60.0
C00954	Indole-3-acetate	-3.0	-5.891	0.135	67.343	-3.182	50.0
C00957	Mercaptopyruvate	4.82	11.845	0.407	3706.997	10.559	90.0
C00886	L-Alanyl-tRNA	-6.285	-9.063	0.146	612.832	-6.481	90.0
C01134	Pantetheine_4'-phosphate	4.585	8.276	0.554	333.974	7.532	80.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-1.585	5.615	0.061	52.01	-1.671	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	6.17	-3.585	0.167	84.004	-3.807	60.0
C05399	Melibiitol	1.0	10.684	0.094	1647.146	7.268	80.0
C05345	beta-D-Fructose_6-phosphate	-5.033	10.036	0.031	1082.614	-5.077	80.0
C01233	sn-Glycero-3-phosphoethanolamine	3.807	7.762	0.49	231.064	6.824	80.0
C00226	Primary_alcohol	4.977	11.713	0.425	3388.594	10.492	90.0
C06037	Digalactosyl-diacylglycerol	1.0	10.684	0.094	1647.146	7.268	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-1.807	-8.786	0.008	444.917	-1.818	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	1.0	10.684	0.094	1647.146	7.268	80.0
C05382	Sedoheptulose_7-phosphate	5.573	-3.846	0.302	61.984	-4.227	70.0
C00385	Xanthine	0.879	-6.404	0.022	86.522	-0.91	60.0
C00229	Acyl-carrier_protein	-4.728	-3.807	0.528	40.498	-4.419	70.0
C00882	Dephospho-CoA	-4.585	-7.814	0.107	249.035	-4.731	80.0
C00655	Xanthosine_5'-phosphate	-1.273	8.02	0.009	261.99	-1.286	50.0
C00718	Amylose	4.129	-8.003	0.068	274.029	-4.224	70.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.592	-9.628	0.244	984.194	-7.907	90.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-1.0	-10.684	0.001	1647.146	-1.002	60.0
C02291	L-Cystathionine	3.585	7.748	0.463	226.972	6.715	80.0
C00364	dTMP	-3.459	-7.558	0.058	199.442	-3.541	50.0
C00365	dUMP	-4.248	-7.122	0.136	158.296	-4.432	70.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	3.459	7.451	0.464	185.971	6.432	70.0
C00009	Orthophosphate	-2.0	-8.781	0.009	443.89	-2.013	50.0
C00008	ADP	2.841	-10.357	0.005	1318.663	-2.849	50.0
C05596	p-Hydroxyphenylacetylglycine	-3.459	-7.451	0.063	185.971	-3.547	50.0
C00058	Formate	-5.839	11.603	0.018	3167.891	-5.865	90.0
C00003	NAD+	-3.369	-4.632	0.417	35.127	-3.872	60.0
C00002	ATP	3.769	-9.427	0.02	701.983	-3.797	60.0
C00369	Starch	-4.893	8.586	0.077	413.989	-5.0	80.0
C05703	Methaneselenol	-8.767	-10.171	0.378	1588.501	-9.229	90.0
C00491	L-Cystine	3.585	7.748	0.463	226.972	6.715	80.0
C00079	L-Phenylalanine	-1.283	6.767	0.022	111.344	-1.315	50.0
C03722	Quinolinate	3.17	-3.585	0.75	21.001	-3.977	60.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	6.459	9.074	0.712	626.921	8.802	90.0
C00681	1-Acyl-sn-glycerol_3-phosphate	5.664	-6.264	0.66	127.554	-6.395	90.0
C01127	4-Hydroxy-2-oxoglutarate	3.17	4.644	0.683	34.003	4.537	70.0
C06056	4-Hydroxy-L-threonine	-5.285	-8.375	0.117	370.98	-5.445	80.0
C00021	S-Adenosyl-L-homocysteine	-4.19	8.266	0.059	326.084	-4.273	70.0
C06188	Salicin_6-phosphate	2.0	11.96	0.167	3987.995	9.381	90.0
C16618	6-Thioxanthine_5'-monophosphate	-1.585	8.765	0.007	438.039	-1.595	50.0
C05401	3-beta-D-Galactosyl-sn-glycerol	1.0	10.684	0.094	1647.146	7.268	80.0
C05665	3-Aminopropanal	3.0	3.0	1.0	16.0	4.0	70.0
C05338	4-Hydroxyphenylacetyl-CoA	3.459	7.451	0.464	185.971	6.432	70.0
C00255	Riboflavin	5.615	6.426	0.874	134.994	6.882	80.0
C05336	Selenomethionyl-tRNA(Met)	-2.807	-9.209	0.012	598.812	-2.824	50.0
C00392	Mannitol	7.577	4.524	0.597	213.95	6.997	80.0
C00258	D-Glycerate	-0.83	5.82	0.031	58.271	-0.875	60.0
C05335	L-Selenomethionine	2.807	9.18	0.306	587.035	7.488	80.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-4.044	-11.379	0.006	2679.797	-4.053	70.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	4.044	11.379	0.355	2679.797	9.895	90.0
C00644	D-Mannitol_1-phosphate	6.966	-4.524	0.184	148.026	-4.768	80.0
C00559	Deoxyadenosine	3.0	-7.394	0.048	176.196	-3.067	50.0
C01931	L-Lysyl-tRNA	-1.0	-9.776	0.002	878.737	-1.003	50.0
C00492	Raffinose	0.737	-8.794	0.004	445.539	-0.742	60.0
C01528	Hydrogen_selenide	-8.183	-9.874	0.31	1228.983	-8.572	90.0
C00555	4-Aminobutyraldehyde	3.0	3.0	1.0	16.0	4.0	70.0
C00091	Succinyl-CoA	5.85	-10.237	0.048	1264.504	-5.917	90.0
C00092	D-Glucose_6-phosphate	-5.141	-9.688	0.043	860.142	-5.201	80.0
C00093	sn-Glycerol_3-phosphate	-3.17	8.003	0.035	265.533	-3.22	50.0
C00498	ADP-glucose	-3.459	-8.806	0.025	458.576	-3.494	50.0
C00095	D-Fructose	7.013	9.073	0.773	667.732	9.012	90.0
C00097	L-Cysteine	-3.694	-7.238	0.086	163.9	-3.813	60.0
C14099	2-Naphthaldehyde	-4.977	-11.713	0.009	3388.594	-4.99	80.0
C06311	Galactitol_1-phosphate	-7.17	-5.334	0.28	184.344	-5.69	90.0
C00376	Retinal	-4.044	-11.379	0.006	2679.797	-4.053	70.0
C00993	D-Alanyl-D-alanine	5.248	-11.324	0.015	2601.681	-5.269	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-0.893	-9.217	0.003	596.962	-0.897	60.0
C14090	1-Naphthaldehyde	-4.977	-11.713	0.009	3388.594	-4.99	80.0
C00071	Aldehyde	-4.565	-10.979	0.012	2042.075	-4.582	70.0
C02282	Glutaminyl-tRNA	-6.005	9.282	0.103	686.752	-6.147	90.0
C00074	Phosphoenolpyruvate	-6.828	-7.954	0.458	361.581	-7.372	90.0
C00077	L-Ornithine	1.0	-3.644	0.16	14.501	-1.214	50.0
C05130	Imidazole-4-acetaldehyde	3.0	3.0	1.0	16.0	4.0	70.0
C00186	(S)-Lactate	5.415	11.258	0.481	2491.705	10.227	90.0
C00979	O-Acetyl-L-serine	-2.322	9.126	0.009	563.727	-2.335	50.0
C00620	alpha-D-Ribose_1-phosphate	5.966	10.598	0.563	1612.453	9.826	90.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	3.459	7.451	0.464	185.971	6.432	70.0
C11949	3-Isopropylbut-3-enoyl-CoA	-3.459	-7.451	0.063	185.971	-3.547	50.0
C00075	UTP	4.135	9.51	0.435	746.683	8.343	90.0
C00123	L-Leucine	4.143	-6.143	0.25	88.336	-4.465	70.0
C02686	Galactosylceramide	-1.0	-9.979	0.002	1011.203	-1.003	60.0
C05936	N4-Acetylaminobutanal	3.0	3.0	1.0	16.0	4.0	70.0
C00084	Acetaldehyde	4.552	-9.581	0.031	789.351	-4.596	70.0
C07118	Benzoyl_acetyl-CoA	3.459	7.451	0.464	185.971	6.432	70.0
C00082	L-Tyrosine	1.284	5.063	0.254	35.863	3.185	60.0
C03785	D-Tagatose_1,6-bisphosphate	-2.807	-11.875	0.002	3763.047	-2.81	50.0
C00294	Inosine	-3.907	8.074	0.056	284.475	-3.985	60.0
C00407	L-Isoleucine	5.3	-6.845	0.343	154.358	-5.725	90.0
C00089	Sucrose	-0.322	-9.371	0.002	663.394	-0.325	60.0
C04646	6-Thioinosine-5'-monophosphate	1.585	-5.248	0.079	41.002	-1.695	50.0
C00670	sn-Glycero-3-phosphocholine	3.807	7.762	0.49	231.064	6.824	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	9.554	0.002	753.248	-0.64	60.0
C00166	Phenylpyruvate	2.595	-0.195	0.189	7.187	-0.445	60.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.322	-6.755	0.023	110.509	-1.355	50.0
C02988	L-Histidyl-tRNA(His)	-6.17	-8.401	0.213	410.032	-6.449	90.0
C00162	Fatty_acid	3.0	3.0	1.0	16.0	4.0	70.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-2.939	-6.705	0.074	111.998	-3.041	50.0
C02984	L-Aspartyl-tRNA(Asp)	-5.285	-9.847	0.042	959.953	-5.345	80.0
C01096	Sorbitol_6-phosphate	-1.585	7.721	0.014	213.986	-1.605	50.0
C01094	D-Fructose_1-phosphate	-8.23	13.228	0.031	9894.8	-8.274	90.0
C00169	Carbamoyl_phosphate	-0.308	-7.453	0.007	176.455	-0.318	60.0
C02047	L-Leucyl-tRNA	-6.658	-9.881	0.107	1043.911	-6.805	90.0
C06613	trans-3-Chloroallyl_aldehyde	-2.637	-9.752	0.007	868.493	-2.647	50.0
C00106	Uracil	-3.598	8.64	0.03	411.041	-3.641	60.0
C00068	Thiamin_diphosphate	-0.415	-7.917	0.006	243.021	-0.423	60.0
C00342	Thioredoxin	-9.75	-10.456	0.613	2265.733	-10.44	90.0
C00343	Thioredoxin_disulfide	9.747	10.496	0.929	2303.434	11.063	90.0
C03082	4-Phospho-L-aspartate	-3.17	-4.278	0.464	28.401	-3.72	60.0
C00103	D-Glucose_1-phosphate	5.771	8.525	0.677	422.973	8.162	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.322	-10.673	0.098	1792.658	-7.457	90.0
C00101	Tetrahydrofolate	-4.265	-5.948	0.311	80.96	-4.656	80.0
C01962	Thiocysteine	-3.585	-7.748	0.056	226.972	-3.663	60.0
C00063	CTP	3.863	8.839	0.437	472.486	7.69	90.0
C00062	L-Arginine	5.672	-8.523	0.139	418.842	-5.859	90.0
C00065	L-Serine	-6.479	-9.469	0.126	797.886	-6.65	90.0
C00064	L-Glutamine	-6.228	-7.287	0.48	231.13	-6.794	90.0
C00109	2-Oxobutanoate	-3.755	8.041	0.051	276.881	-3.827	60.0
C00860	L-Histidinol	1.585	-3.0	0.375	11.0	-2.044	50.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	0.322	3.672	0.088	13.996	0.296	60.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-3.459	-7.451	0.063	185.971	-3.547	50.0
C02576	Perillyl_aldehyde	3.0	3.0	1.0	16.0	4.0	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-2.248	3.322	0.475	14.751	-2.809	50.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-5.248	-5.585	0.792	86.003	-6.089	90.0
C00577	D-Glyceraldehyde	1.263	-13.823	0.0	14494.71	-1.263	50.0
C02170	Methylmalonate	-3.0	-3.0	1.0	16.0	-4.0	60.0
C01419	Cys-Gly	5.209	6.129	0.85	106.975	6.506	80.0
C06899	Chloral_hydrate	4.044	11.379	0.355	2679.797	9.895	90.0
C01149	4-Trimethylammoniobutanal	3.0	3.0	1.0	16.0	4.0	70.0
C00279	D-Erythrose_4-phosphate	-4.881	13.733	0.002	13645.322	-4.884	80.0
C03175	Shikimate_3-phosphate	2.0	-0.585	0.375	5.5	-1.044	50.0
C01412	Butanal	6.524	11.441	0.57	2872.28	10.678	90.0
C00361	dGDP	-4.248	11.327	0.007	2588.017	-4.259	70.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	-0.737	6.615	0.017	99.686	-0.761	60.0
C00900	2-Acetolactate	3.0	8.347	0.359	333.61	6.906	80.0
C18902	Methylselenic_acid	9.765	10.79	0.905	2640.65	11.223	90.0
C05984	2-Hydroxybutanoic_acid	6.977	12.847	0.543	7493.683	11.991	90.0
C06715	3-Oxopimeloyl-CoA	3.459	7.451	0.464	185.971	6.432	70.0
C02670	D-Glucuronolactone	3.0	3.0	1.0	16.0	4.0	70.0
C00668	alpha-D-Glucose_6-phosphate	-5.449	9.736	0.051	896.445	-5.521	80.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.0	-9.575	0.003	764.715	-1.004	50.0
C00666	LL-2,6-Diaminoheptanedioate	3.716	-7.107	0.095	150.995	-3.847	60.0
C00179	Agmatine	1.807	3.459	0.522	14.496	2.921	60.0
C03406	N-(L-Arginino)succinate	-4.392	6.807	0.188	132.968	-4.64	70.0
C02163	L-Arginyl-tRNA(Arg)	-5.672	-8.804	0.114	497.944	-5.828	90.0
C02995	Maltose_6'-phosphate	-4.644	7.033	0.191	155.964	-4.896	80.0
C05512	Deoxyinosine	-3.0	7.394	0.048	176.196	-3.067	50.0
C00114	Choline	-3.807	-7.762	0.064	231.064	-3.897	60.0
C00117	D-Ribose_5-phosphate	-4.158	9.76	0.021	884.919	-4.187	70.0
C00116	Glycerol	-0.322	-8.829	0.003	456.022	-0.326	60.0
C00111	Glycerone_phosphate	0.902	10.742	0.084	1714.501	7.17	80.0
C07645	Aldophosphamide	4.044	11.379	0.355	2679.797	9.895	90.0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-5.459	-11.273	0.018	2518.622	-5.484	80.0
C05699	L-Selenocystathionine	3.585	7.748	0.463	226.972	6.715	80.0
C05698	Selenohomocysteine	-3.585	-7.665	0.059	214.953	-3.668	60.0
C14089	1-Hydroxymethylnaphthalene	4.977	11.713	0.425	3388.594	10.492	90.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	1.402	-10.369	0.002	1325.095	-1.405	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.762	-11.805	0.008	3605.288	-4.773	80.0
C00288	HCO3-	6.033	8.31	0.726	382.846	8.119	90.0
C03688	Apo-[acyl-carrier-protein]	4.728	8.418	0.562	368.536	7.693	90.0
C00011	CO2	6.398	4.24	0.663	103.227	6.096	70.0
C00242	Guanine	1.837	7.737	0.237	216.911	5.687	70.0
C00473	Retinol	4.044	11.379	0.355	2679.797	9.895	90.0
C00158	Citrate	1.519	1.341	0.883	5.399	2.253	60.0
C01346	dUDP	-4.248	7.103	0.138	156.474	-4.435	70.0
C01079	Protoporphyrinogen_IX	-2.585	-2.0	0.667	10.0	-2.737	50.0
C00083	Malonyl-CoA	-5.964	-7.794	0.281	284.359	-6.322	90.0
C00857	Deamino-NAD+	3.907	-6.748	0.14	122.487	-4.095	70.0
C00235	Dimethylallyl_diphosphate	-5.853	3.681	0.222	70.626	-3.97	60.0
C11924	Perillic_acid	-3.0	-3.0	1.0	16.0	-4.0	60.0
C04419	Carboxybiotin-carboxyl-carrier_protein	-6.033	8.31	0.206	382.846	-6.304	90.0
C00269	CDP-diacylglycerol	1.138	-3.858	0.152	16.701	-1.342	50.0
C00669	gamma-L-Glutamyl-L-cysteine	-4.0	-8.775	0.037	454.065	-4.052	70.0
C00506	L-Cysteate	4.644	3.322	0.715	35.003	4.646	70.0
C00263	L-Homoserine	-0.222	-2.902	0.156	8.641	-0.431	60.0
C00663	beta-D-Glucose_1-phosphate	-4.248	-8.165	0.066	306.019	-4.34	70.0
C01172	beta-D-Glucose_6-phosphate	-2.126	-8.11	0.016	280.647	-2.149	50.0
C00267	alpha-D-Glucose	-0.628	7.542	0.008	187.912	-0.64	60.0
C00526	Deoxyuridine	3.222	8.971	0.359	511.142	7.52	80.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-5.476	-8.053	0.168	310.088	-5.7	90.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.807	-7.585	0.146	219.998	-5.003	80.0
C00804	Propynoate	-3.0	-3.0	1.0	16.0	-4.0	60.0
C00469	Ethanol	4.977	11.713	0.425	3388.594	10.492	90.0
C01613	Stachyose	1.415	10.231	0.138	1204.482	7.38	80.0
C00188	L-Threonine	-4.636	-7.226	0.166	174.571	-4.858	80.0
C06250	Holo-[carboxylase]	6.611	-7.86	0.421	330.073	-7.118	90.0
C02702	L-Prolyl-tRNA(Pro)	-1.0	-9.948	0.002	989.749	-1.003	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	2.632	-1.202	0.371	8.499	-1.657	50.0
C00460	dUTP	5.044	8.028	0.628	294.008	7.529	80.0
C02909	(2-Naphthyl)methanol	4.977	11.713	0.425	3388.594	10.492	90.0
C05985	2-Propynal	3.0	3.0	1.0	16.0	4.0	70.0
C00286	dGTP	3.755	-11.027	0.006	2100.19	-3.764	60.0
C00124	D-Galactose	4.033	8.489	0.475	375.659	7.48	80.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	5.248	8.771	0.598	474.854	8.15	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.129	-8.954	0.141	565.919	-6.319	90.0
C00129	Isopentenyl_diphosphate	-5.762	-5.14	0.65	89.528	-5.862	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-2.0	-5.672	0.078	54.985	-2.109	50.0
C00327	L-Citrulline	4.336	8.639	0.502	418.852	7.716	90.0
C02412	Glycyl-tRNA(Gly)	-7.119	-8.911	0.289	620.375	-7.485	90.0
C00680	meso-2,6-Diaminoheptanedioate	0.921	7.801	0.118	224.909	4.731	70.0
C16348	cis-3-Chloroallyl_aldehyde	-2.637	-9.752	0.007	868.493	-2.647	50.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-4.044	-11.379	0.006	2679.797	-4.053	70.0
C02946	4-Acetamidobutanoate	-3.0	-3.0	1.0	16.0	-4.0	60.0
C02553	L-Seryl-tRNA(Ser)	-4.858	-9.658	0.036	836.882	-4.909	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-5.392	12.624	0.007	6354.509	-5.402	80.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	4.044	11.379	0.355	2679.797	9.895	90.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.322	3.17	0.556	14.001	-2.959	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-1.0	-10.133	0.002	1124.889	-1.003	60.0
C00512	S-Benzoate_coenzyme_A	-3.459	-7.451	0.063	185.971	-3.547	50.0
C00112	CDP	2.624	-5.555	0.131	53.178	-2.802	50.0
C00672	2-Deoxy-D-ribose_1-phosphate	-4.524	-4.0	0.695	39.007	-4.762	80.0
C00458	dCTP	3.585	-8.236	0.04	313.497	-3.641	60.0
C00459	dTTP	4.066	-8.68	0.041	426.897	-4.124	70.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-3.524	-2.585	0.522	17.504	-3.191	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	3.737	6.6	0.566	110.34	5.965	70.0
C00052	UDP-alpha-D-galactose	-5.129	9.114	0.063	589.092	-5.217	80.0
C00010	CoA	4.728	7.372	0.641	192.152	6.945	80.0
C00217	D-Glutamate	-4.322	6.552	0.213	113.832	-4.601	70.0
C00197	3-Phospho-D-glycerate	2.631	-7.725	0.029	217.766	-2.673	50.0
C16551	Alcophosphamide	-4.044	-11.379	0.006	2679.797	-4.053	70.0
C00212	Adenosine	2.17	7.743	0.28	218.728	5.938	70.0
C15972	Enzyme_N6-(lipoyl)lysine	1.585	7.134	0.222	143.459	4.994	70.0
C00208	Maltose	4.672	10.898	0.429	1933.697	9.695	90.0
C00036	Oxaloacetate	0.461	6.372	0.072	84.202	2.607	60.0
C00037	Glycine	5.772	9.857	0.586	982.014	9.168	90.0
C01697	Galactitol	7.17	5.334	0.744	184.344	7.099	80.0
C00035	GDP	3.7	-9.944	0.013	998.01	-3.719	60.0
C00725	Lipoate	5.426	10.472	0.518	1463.312	9.566	90.0
C00033	Acetate	-2.585	9.891	0.006	955.484	-2.594	50.0
C00031	D-Glucose	-3.773	6.687	0.133	116.706	-3.953	60.0
C00137	myo-Inositol	-1.0	-9.107	0.004	553.417	-1.005	50.0
C00136	Butanoyl-CoA	-6.524	-12.211	0.019	4833.108	-6.552	90.0
C00135	L-Histidine	3.97	7.371	0.539	181.207	6.609	80.0
C00134	Putrescine	-2.115	-8.109	0.016	280.423	-2.137	50.0
C00133	D-Alanine	3.03	11.283	0.269	2500.015	9.391	90.0
C00334	4-Aminobutanoate	5.075	6.082	0.834	101.451	6.403	70.0
C00131	dATP	-0.678	9.941	0.002	984.567	-0.68	60.0
C00130	IMP	0.807	-7.201	0.012	148.885	-0.824	60.0
C16237	Protein_N6-(lipoyl)lysine	-5.426	-10.472	0.03	1463.312	-5.469	80.0
C01097	D-Tagatose_6-phosphate	2.807	11.954	0.235	3974.458	9.866	90.0
C05635	5-Hydroxyindoleacetate	-3.0	-3.0	1.0	16.0	-4.0	60.0
C05634	5-Hydroxyindoleacetaldehyde	3.0	3.0	1.0	16.0	4.0	70.0
C00299	Uridine	2.471	6.222	0.397	80.191	4.993	70.0
C06010	(S)-2-Acetolactate	2.17	6.042	0.359	70.391	4.66	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	2.0	7.726	0.259	215.718	5.803	70.0
C18239	Precursor_Z	-4.858	-3.459	0.379	39.997	-3.923	60.0
C00446	alpha-D-Galactose_1-phosphate	3.868	-8.122	0.052	293.191	-3.942	60.0
C00637	Indole-3-acetaldehyde	3.0	3.0	1.0	16.0	4.0	70.0
C00631	2-Phospho-D-glycerate	-4.05	-7.459	0.094	192.512	-4.18	70.0
C00441	L-Aspartate_4-semialdehyde	-3.239	-4.807	0.337	37.435	-3.658	60.0
C00073	L-Methionine	2.807	3.931	0.714	22.251	3.99	70.0
C00527	Glutaryl-CoA	-3.059	-7.451	0.048	183.308	-3.126	50.0
C03263	Coproporphyrinogen_III	2.585	2.0	0.774	10.0	2.952	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-0.415	-6.187	0.018	74.191	-0.441	60.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-5.248	-5.585	0.792	86.003	-6.089	90.0
C00041	L-Alanine	-5.17	-6.71	0.344	140.693	-5.596	80.0
C00040	Acyl-CoA	4.248	8.363	0.508	348.242	7.467	80.0
C00047	L-Lysine	-4.358	8.375	0.062	352.497	-4.444	70.0
C00046	RNA	-3.591	-9.383	0.018	679.724	-3.617	60.0
C02835	Imidazole-4-acetate	-3.0	-3.0	1.0	16.0	-4.0	60.0
C00044	GTP	-2.648	-9.874	0.007	944.629	-2.658	50.0
