compound_code	compound_name	olsenella_630_score	bacteroides_630_score	ratio	magnitude	interaction_score	percentile
C02554	L-Valyl-tRNA(Val)	-3.585	-1.0	0.0	0.0	0.0	50.0
C03150	Nicotinamide-beta-riboside	3.7	5.375	0.688	54.495	5.229	90.0
C00458	dCTP	-1.441	4.733	0.102	29.309	-1.581	70.0
C00459	dTTP	3.682	4.829	0.762	41.258	4.975	90.0
C00197	3-Phospho-D-glycerate	3.51	-0.271	0.106	12.599	-0.416	60.0
C00212	Adenosine	3.7	5.375	0.688	54.495	5.229	90.0
C00036	Oxaloacetate	-0.694	1.552	0.552	4.55	-1.328	70.0
C00037	Glycine	-0.619	4.231	0.082	20.314	-0.732	60.0
C01697	Galactitol	5.334	2.322	0.435	45.336	4.303	80.0
C00035	GDP	2.087	5.358	0.39	45.261	4.14	80.0
C00031	D-Glucose	4.503	5.201	0.866	59.458	5.686	90.0
C00332	Acetoacetyl-CoA	-0.893	2.536	0.32	7.657	-1.294	70.0
C00130	IMP	0.737	-1.879	0.453	5.345	-1.276	70.0
C02984	L-Aspartyl-tRNA(Asp)	-3.322	-1.0	0.0	0.0	0.0	50.0
C01050	UDP-N-acetylmuramate	2.147	3.961	0.542	20.002	3.439	80.0
C01762	Xanthosine	3.7	4.409	0.839	34.24	4.845	90.0
C00631	2-Phospho-D-glycerate	0.047	-0.176	0.914	2.163	-0.984	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.17	-2.433	0.0	0.0	0.0	50.0
C00042	Succinate	2.807	0.979	0.349	8.969	1.645	70.0
C00041	L-Alanine	2.322	0.737	0.317	6.667	1.081	60.0
C00047	L-Lysine	3.585	4.248	0.844	31.001	4.709	90.0
C00046	RNA	-2.954	-4.8	0.0	0.0	0.0	50.0
C00044	GTP	-2.976	-3.672	0.0	0.0	0.0	50.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-2.322	1.807	0.7	8.499	-2.572	80.0
C00049	L-Aspartate	1.113	-2.884	0.293	9.545	-1.484	70.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-2.0	-3.781	0.0	0.0	0.0	50.0
