compound_code	compound_name	olsenella_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C00006	NADP+	-2.585	-5.807	0.107	61.986	-2.732	60.0
C00003	NAD+	-1.874	-3.415	0.344	14.332	-2.3	50.0
C00002	ATP	2.054	6.552	0.313	97.984	4.941	80.0
C00369	Starch	-3.426	8.058	0.04	277.25	-3.483	70.0
C05703	Methaneselenol	-3.7	-9.048	0.025	542.317	-3.735	70.0
C16619	6-Thioguanosine_monophosphate	-3.585	-6.322	0.15	92.004	-3.787	70.0
C16618	6-Thioxanthine_5'-monophosphate	-1.0	2.585	0.333	8.0	-1.415	50.0
C02612	(R)-2-Methylmalate	3.392	1.585	0.467	13.498	2.657	70.0
C00099	beta-Alanine	-3.0	-2.841	0.896	15.165	-3.764	70.0
C00311	Isocitrate	1.772	0.488	0.275	4.818	0.408	60.0
C00310	D-Xylulose	-3.7	-2.585	0.462	18.996	-3.133	60.0
C00641	1,2-Diacyl-sn-glycerol	3.17	-3.945	0.584	24.402	-3.834	80.0
C01931	L-Lysyl-tRNA	-3.585	-7.257	0.078	164.959	-3.694	70.0
C01528	Hydrogen_selenide	-2.322	-10.043	0.005	1059.98	-2.329	50.0
C00469	Ethanol	4.807	10.223	0.47	1223.163	9.168	90.0
C00092	D-Glucose_6-phosphate	-4.285	-7.999	0.076	275.317	-4.391	80.0
C00093	sn-Glycerol_3-phosphate	3.919	5.724	0.685	67.983	5.541	80.0
C00095	D-Fructose	-1.222	-7.811	0.01	226.899	-1.237	50.0
C00097	L-Cysteine	-2.263	6.465	0.054	93.14	-2.339	50.0
C14099	2-Naphthaldehyde	-4.807	-10.223	0.023	1223.163	-4.84	90.0
C00433	2,5-Dioxopentanoate	3.0	2.807	0.936	14.998	3.811	70.0
C14090	1-Naphthaldehyde	-4.807	-10.223	0.023	1223.163	-4.84	90.0
C03232	3-Phosphonooxypyruvate	-4.379	-4.392	0.991	41.802	-5.373	90.0
C05172	Selenophosphoric_acid	-3.17	2.322	0.556	14.001	-2.959	60.0
C00166	Phenylpyruvate	-0.195	6.647	0.011	101.363	-0.211	60.0
C00167	UDP-glucuronate	-3.907	-4.7	0.577	40.993	-4.564	90.0
C02988	L-Histidyl-tRNA(His)	-3.322	-5.672	0.196	60.985	-3.58	70.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-1.222	4.392	0.111	23.328	-1.374	50.0
C00162	Fatty_acid	3.0	2.807	0.936	14.998	3.811	70.0
C00163	Propanoate	3.954	7.913	0.5	256.516	7.002	90.0
C02984	L-Aspartyl-tRNA(Asp)	-3.322	-6.248	0.132	86.004	-3.5	70.0
C02987	L-Glutamyl-tRNA(Glu)	-4.392	-5.17	0.583	56.997	-5.055	90.0
C03263	Coproporphyrinogen_III	2.0	5.728	0.349	57.003	4.315	70.0
C02047	L-Leucyl-tRNA	-4.087	-6.615	0.173	115.014	-4.318	80.0
C03082	4-Phospho-L-aspartate	3.293	-4.858	0.338	38.802	-3.713	70.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	-3.459	6.087	0.162	78.975	-3.675	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-5.426	-6.84	0.375	157.555	-5.886	90.0
C00860	L-Histidinol	-3.0	-3.585	0.667	20.0	-3.737	70.0
C02962	D-Allose_6-phosphate	3.907	7.17	0.545	159.009	6.437	90.0
C00864	Pantothenate	3.322	4.322	0.769	30.001	4.527	80.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	3.322	1.17	0.352	12.251	2.109	60.0
C00906	5,6-Dihydrothymine	3.17	4.087	0.776	25.995	4.334	80.0
C01149	4-Trimethylammoniobutanal	3.0	2.807	0.936	14.998	3.811	70.0
C01412	Butanal	4.807	11.199	0.429	2378.897	9.996	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.222	-5.672	0.046	53.318	-1.287	50.0
C03406	N-(L-Arginino)succinate	-3.807	-5.129	0.4	48.99	-4.292	80.0
C00327	L-Citrulline	-5.488	4.818	0.629	73.087	-5.522	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	2.585	-5.728	0.113	59.003	-2.74	60.0
C05269	3-Oxohexanoyl-CoA	-3.0	-11.029	0.004	2097.584	-3.006	60.0
C18096	D-Allulose_6-phosphate	-3.907	-7.17	0.104	159.009	-4.05	80.0
C00269	CDP-diacylglycerol	2.585	-2.585	1.0	12.0	-3.585	70.0
C16219	3-Oxostearoyl-[acp]	6.209	-5.7	0.703	125.961	-6.468	90.0
C00263	L-Homoserine	0.195	-0.322	0.916	2.395	-1.133	50.0
C00262	Hypoxanthine	2.585	5.285	0.489	44.989	4.46	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-6.209	-5.392	0.568	115.968	-6.041	90.0
C16216	3-Oxostearoyl-CoA	6.209	5.392	0.868	115.968	6.654	90.0
C00267	alpha-D-Glucose	2.933	4.036	0.727	24.041	4.127	70.0
C00266	Glycolaldehyde	-5.392	-5.555	0.893	89.004	-6.313	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.585	-4.087	0.706	28.995	-4.356	80.0
C00460	dUTP	0.585	4.459	0.131	23.493	1.624	60.0
C00286	dGTP	-1.807	-6.519	0.038	95.209	-1.861	50.0
C00283	Hydrogen_sulfide	3.807	2.075	0.545	18.21	3.311	70.0
C01962	Thiocysteine	-3.17	-5.392	0.214	50.991	-3.45	70.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	3.17	-2.0	0.444	13.0	-2.53	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-3.585	-5.492	0.267	57.005	-3.926	80.0
C00217	D-Glutamate	-0.585	5.19	0.041	38.004	-0.643	60.0
C00212	Adenosine	3.7	5.369	0.689	54.323	5.226	80.0
C05840	Iminoaspartate	3.585	-1.0	0.167	14.0	-1.222	50.0
C00037	Glycine	-0.619	2.201	0.334	6.134	-1.035	50.0
C00035	GDP	2.087	-5.832	0.075	61.213	-2.191	50.0
C00033	Acetate	-1.628	7.698	0.015	210.739	-1.649	50.0
C00031	D-Glucose	4.503	3.07	0.682	31.072	4.405	80.0
C00136	Butanoyl-CoA	-4.392	8.289	0.067	333.774	-4.486	80.0
C00135	L-Histidine	0.585	5.392	0.108	43.491	2.238	60.0
C00133	D-Alanine	4.585	-8.237	0.08	325.707	-4.695	90.0
C00131	dATP	0.807	-3.885	0.118	16.524	-0.968	50.0
C00130	IMP	0.737	-4.392	0.079	22.662	-0.847	50.0
C05635	5-Hydroxyindoleacetate	-3.0	-2.807	0.875	14.998	-3.714	70.0
C05634	5-Hydroxyindoleacetaldehyde	3.0	2.807	0.936	14.998	3.811	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.17	-4.011	0.14	18.373	-1.358	50.0
C00041	L-Alanine	2.322	5.755	0.403	59.004	4.573	80.0
C00040	Acyl-CoA	4.044	5.91	0.684	76.625	5.712	80.0
C00047	L-Lysine	3.585	5.437	0.659	55.321	5.189	80.0
C00046	RNA	-2.954	-5.371	0.187	49.133	-3.202	60.0
C00044	GTP	-2.976	-6.728	0.074	113.874	-3.079	60.0
C00049	L-Aspartate	1.113	-6.891	0.018	120.848	-1.139	50.0
C02642	3-Ureidopropionate	-3.17	-4.087	0.53	25.995	-3.783	70.0
C06481	L-Seryl-tRNA(Sec)	-3.807	-7.119	0.101	153.002	-3.945	80.0
C01100	L-Histidinol_phosphate	3.369	3.17	0.941	19.332	4.185	70.0
C01103	Orotidine_5'-phosphate	1.874	-4.03	0.224	20.002	-2.166	50.0
C03688	Apo-[acyl-carrier-protein]	3.0	5.285	0.568	46.989	4.737	80.0
C06002	(S)-Methylmalonate_semialdehyde	-1.0	2.807	0.286	8.998	-1.363	50.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	3.322	1.17	0.352	12.251	2.109	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-3.585	1.0	0.167	14.0	-1.222	50.0
C00954	Indole-3-acetate	-3.0	-6.17	0.111	80.004	-3.152	60.0
C05345	beta-D-Fructose_6-phosphate	3.936	8.032	0.49	277.047	7.085	90.0
C00818	D-Glucarate	-3.0	-2.807	0.875	14.998	-3.714	70.0
C00424	(S)-Lactaldehyde	-5.392	-2.0	0.095	45.991	-2.131	50.0
C00429	5,6-Dihydrouracil	3.17	4.087	0.776	25.995	4.334	80.0
C00036	Oxaloacetate	-0.694	6.576	0.017	97.023	-0.718	60.0
C05841	Nicotinate_D-ribonucleoside	3.7	6.6	0.561	110.002	5.946	90.0
C16698	N-Acetylmuramic_acid_6-phosphate	-3.322	-3.392	0.953	20.498	-4.287	80.0
C00253	Nicotinate	-3.392	-6.668	0.103	112.185	-3.534	70.0
C00250	Pyridoxal	3.807	4.585	0.83	37.997	4.98	80.0
C00251	Chorismate	1.322	2.874	0.46	9.831	2.177	60.0
C00256	(R)-Lactate	3.807	9.872	0.386	951.058	8.519	90.0
C05336	Selenomethionyl-tRNA(Met)	-4.807	-5.907	0.467	87.998	-5.359	90.0
C00258	D-Glycerate	-0.585	2.0	0.375	5.5	-1.044	50.0
C05335	L-Selenomethionine	4.0	2.322	0.581	21.0	3.608	70.0
C00491	L-Cystine	3.17	5.392	0.588	50.991	4.906	80.0
C00492	Raffinose	2.807	1.585	0.565	9.998	2.497	60.0
C00555	4-Aminobutyraldehyde	3.0	2.807	0.936	14.998	3.811	70.0
C00886	L-Alanyl-tRNA	-4.087	-6.044	0.258	82.977	-4.418	80.0
C00498	ADP-glucose	-3.799	-7.23	0.093	164.042	-3.927	80.0
C00882	Dephospho-CoA	-1.585	3.459	0.273	13.997	-1.933	50.0
C00078	L-Tryptophan	3.907	5.044	0.775	47.992	5.216	80.0
C00079	L-Phenylalanine	0.097	-1.972	0.273	4.993	-0.445	60.0
C00072	Ascorbate	5.087	6.322	0.805	113.993	6.519	90.0
C00073	L-Methionine	2.248	4.916	0.457	34.94	3.998	70.0
C00071	Aldehyde	-3.874	-9.231	0.024	615.57	-3.909	80.0
C00077	L-Ornithine	6.109	3.978	0.651	84.781	5.787	90.0
C00074	Phosphoenolpyruvate	-3.165	-7.079	0.066	144.174	-3.258	60.0
C00075	UTP	3.479	7.863	0.442	243.959	6.754	90.0
C16186	L-Ascorbate_6-phosphate	-5.087	-6.322	0.425	113.993	-5.598	90.0
C00085	D-Fructose_6-phosphate	4.41	9.159	0.481	592.914	8.157	90.0
C00084	Acetaldehyde	-3.335	8.677	0.025	419.387	-3.37	60.0
C00082	L-Tyrosine	0.047	-5.147	0.029	36.466	-0.088	60.0
C00089	Sucrose	3.0	1.737	0.579	11.333	2.714	70.0
C04646	6-Thioinosine-5'-monophosphate	3.7	6.728	0.55	119.002	6.032	90.0
C02218	Dehydroalanine	-3.459	-5.044	0.333	43.988	-3.874	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	0.637	-4.322	0.078	21.556	-0.745	60.0
C00672	2-Deoxy-D-ribose_1-phosphate	-1.0	6.19	0.027	75.009	-1.039	50.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.358	-5.34	0.506	61.011	-4.949	90.0
C05936	N4-Acetylaminobutanal	3.0	2.807	0.936	14.998	3.811	70.0
C00106	Uracil	-2.433	-2.755	0.8	12.151	-3.281	60.0
C00105	UMP	0.807	2.75	0.293	8.477	1.315	60.0
C00103	D-Glucose_1-phosphate	1.959	-4.556	0.165	27.411	-2.18	50.0
C00100	Propanoyl-CoA	-4.03	4.129	0.934	33.833	-4.981	90.0
C00101	Tetrahydrofolate	0.344	6.822	0.05	114.412	2.528	60.0
C00109	2-Oxobutanoate	2.607	-7.092	0.045	142.521	-2.67	60.0
C03175	Shikimate_3-phosphate	-0.585	2.0	0.375	5.5	-1.044	50.0
C00361	dGDP	1.585	5.896	0.269	62.549	4.072	70.0
C05807	2-Polyprenylphenol	3.807	3.17	0.833	22.997	4.259	70.0
C02670	D-Glucuronolactone	3.0	2.807	0.936	14.998	3.811	70.0
C02992	L-Threonyl-tRNA(Thr)	-3.585	-7.322	0.075	172.008	-3.689	70.0
C02995	Maltose_6'-phosphate	4.087	3.7	0.905	29.991	4.763	80.0
C03090	5-Phosphoribosylamine	2.379	3.945	0.603	20.603	3.635	70.0
C01077	O-Acetyl-L-homoserine	3.459	4.0	0.865	26.997	4.545	80.0
C01079	Protoporphyrinogen_IX	-2.0	-5.728	0.075	57.003	-2.105	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	1.0	-2.663	0.316	8.333	-1.396	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-1.202	1.485	0.822	5.1	-2.067	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-2.0	-4.954	0.129	34.996	-2.175	50.0
C01172	beta-D-Glucose_6-phosphate	-2.268	6.492	0.054	94.826	-2.343	50.0
C00169	Carbamoyl_phosphate	4.829	-5.087	0.836	62.412	-5.706	90.0
C03892	Phosphatidylglycerophosphate	-3.807	-4.585	0.583	37.997	-4.47	80.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-4.044	-2.619	0.372	22.639	-3.076	60.0
C00680	meso-2,6-Diaminoheptanedioate	3.585	1.601	0.447	15.034	2.747	70.0
C02553	L-Seryl-tRNA(Ser)	-3.807	-7.16	0.098	157.009	-3.942	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	3.682	9.051	0.407	543.258	7.788	90.0
C00448	trans,trans-Farnesyl_diphosphate	0.415	4.508	0.092	24.087	1.149	60.0
C02554	L-Valyl-tRNA(Val)	-3.585	-6.6	0.124	109.006	-3.753	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.209	5.248	0.514	111.979	-5.846	90.0
C00921	Dihydropteroate	2.807	-4.524	0.304	30.005	-3.19	60.0
C00458	dCTP	-1.441	-6.939	0.022	125.416	-1.473	50.0
C00459	dTTP	3.682	4.872	0.756	42.118	4.992	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-2.585	-3.322	0.6	16.001	-3.263	60.0
C00455	Nicotinamide_D-ribonucleotide	3.0	5.977	0.502	70.988	5.155	80.0
C01697	Galactitol	5.334	8.745	0.61	469.386	8.161	90.0
C00330	Deoxyguanosine	-2.807	6.6	0.072	104.004	-2.907	60.0
C00332	Acetoacetyl-CoA	-0.893	-8.761	0.004	435.691	-0.899	50.0
C00334	4-Aminobutanoate	-3.0	6.422	0.093	93.746	-3.129	60.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.209	5.248	0.514	111.979	-5.846	90.0
C00637	Indole-3-acetaldehyde	3.0	2.807	0.936	14.998	3.811	70.0
C00631	2-Phospho-D-glycerate	0.047	-3.632	0.083	13.431	-0.162	60.0
C00208	Maltose	-4.954	4.285	0.629	50.49	-4.989	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-2.322	-4.437	0.231	26.661	-2.622	50.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-2.0	-4.883	0.136	33.507	-2.183	50.0
C00025	L-Glutamate	0.585	-5.822	0.027	58.071	-0.623	60.0
C00024	Acetyl-CoA	-2.581	-8.987	0.012	513.391	-2.598	50.0
C00148	L-Proline	1.585	8.987	0.176	510.407	6.492	90.0
C00026	2-Oxoglutarate	-0.915	-6.91	0.016	122.144	-0.937	50.0
C00021	S-Adenosyl-L-homocysteine	-2.248	-3.322	0.475	14.751	-2.809	60.0
C00020	AMP	0.322	5.513	0.058	46.915	1.454	60.0
C00022	Pyruvate	-2.336	-7.411	0.03	175.239	-2.378	50.0
C00143	5,10-Methylenetetrahydrofolate	0.652	-7.49	0.009	181.34	-0.665	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.3	-1.585	0.41	4.231	-0.796	50.0
C00029	UDP-glucose	1.737	-5.508	0.073	48.84	-1.839	50.0
C00147	Adenine	-0.252	0.466	0.862	2.572	-1.149	50.0
C00144	GMP	0.637	-4.982	0.049	33.158	-0.706	60.0
C06311	Galactitol_1-phosphate	-5.334	-8.745	0.094	469.386	-5.464	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.879	-4.954	0.475	45.709	-4.439	80.0
C00857	Deamino-NAD+	1.0	2.322	0.431	7.0	1.592	60.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-0.737	2.755	0.247	8.417	-1.055	50.0
C06250	Holo-[carboxylase]	-3.907	5.644	0.3	65.006	-4.286	80.0
C00314	Pyridoxine	3.807	4.585	0.83	37.997	4.98	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.0	6.644	0.602	116.01	6.126	90.0
C01134	Pantetheine_4'-phosphate	1.415	-5.755	0.049	56.671	-1.485	50.0
C03511	L-Phenylalanyl-tRNA(Phe)	-3.322	-6.267	0.13	87.012	-3.498	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.907	-5.044	0.455	47.992	-4.448	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-7.384	0.06	177.035	-3.406	70.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.209	5.248	0.514	111.979	-5.846	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.209	-5.7	0.703	125.961	-6.468	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.209	5.248	0.514	111.979	-5.846	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.209	-5.7	0.703	125.961	-6.468	90.0
C00804	Propynoate	-3.0	-2.807	0.875	14.998	-3.714	70.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	4.585	6.229	0.736	99.01	6.187	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	3.459	1.0	0.289	12.997	1.91	60.0
C00415	Dihydrofolate	0.737	-5.248	0.044	39.669	-0.799	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-1.585	7.15	0.021	145.025	-1.615	50.0
C00620	alpha-D-Ribose_1-phosphate	4.392	6.907	0.636	141.004	6.486	90.0
C00242	Guanine	1.803	-5.518	0.076	49.312	-1.909	50.0
C00245	Taurine	-3.322	5.044	0.303	42.991	-3.704	70.0
C02170	Methylmalonate	-3.0	-2.807	0.875	14.998	-3.714	70.0
C01097	D-Tagatose_6-phosphate	1.379	5.53	0.249	48.807	3.605	70.0
C01094	D-Fructose_1-phosphate	5.007	8.517	0.588	398.486	7.872	90.0
C00068	Thiamin_diphosphate	0.241	1.644	0.147	4.307	-0.663	60.0
C00342	Thioredoxin	3.807	-9.947	0.014	1001.061	-3.827	80.0
C00343	Thioredoxin_disulfide	-3.807	9.967	0.014	1014.84	-3.827	80.0
C00063	CTP	3.08	7.758	0.397	224.923	6.481	90.0
C00062	L-Arginine	-4.248	4.17	0.947	37.002	-5.132	90.0
C00065	L-Serine	0.585	4.44	0.132	23.206	1.612	60.0
C00064	L-Glutamine	-3.763	5.421	0.317	56.419	-4.16	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	4.954	0.387	42.996	-4.057	80.0
C16631	alpha-Fluoro-beta-ureidopropionic_acid	-3.17	-4.087	0.53	25.995	-3.783	70.0
C16630	5,6-Dihydro-5-fluorouracil	3.17	4.087	0.776	25.995	4.334	80.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.322	5.492	0.605	55.005	5.056	80.0
C00668	alpha-D-Glucose_6-phosphate	-2.056	7.097	0.03	141.06	-2.099	50.0
C00666	LL-2,6-Diaminoheptanedioate	-4.446	-6.647	0.217	122.014	-4.73	90.0
C02163	L-Arginyl-tRNA(Arg)	-3.807	-5.392	0.333	55.987	-4.222	80.0
C00988	2-Phosphoglycolate	4.248	4.524	0.939	42.008	5.302	80.0
C00117	D-Ribose_5-phosphate	-3.858	-8.485	0.04	372.794	-3.915	80.0
C00111	Glycerone_phosphate	-1.58	-7.34	0.018	165.007	-1.606	50.0
C00112	CDP	-3.322	-6.349	0.123	91.516	-3.489	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.418	-5.57	0.056	50.177	-1.497	50.0
C00118	D-Glyceraldehyde_3-phosphate	-0.726	-6.707	0.016	106.128	-0.749	60.0
C03492	D-4'-Phosphopantothenate	-1.0	5.426	0.047	44.992	-1.066	50.0
C11924	Perillic_acid	-3.0	-2.807	0.875	14.998	-3.714	70.0
C02412	Glycyl-tRNA(Gly)	-3.087	-6.994	0.067	135.966	-3.18	60.0
C14145	(3S)-3-Hydroxyadipyl-CoA	4.322	10.82	0.399	1827.777	9.512	90.0
C05756	3-Oxododecanoyl-[acp]	6.209	-5.7	0.703	125.961	-6.468	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.209	5.248	0.514	111.979	-5.846	90.0
C05759	3-Oxotetradecanoyl-[acp]	6.209	-5.7	0.703	125.961	-6.468	90.0
C05811	2-Octaprenyl-6-hydroxyphenol	-3.807	-3.17	0.643	22.997	-3.886	80.0
C05810	2-Octaprenylphenol	3.807	3.17	0.833	22.997	4.259	70.0
C00188	L-Threonine	0.788	7.462	0.106	178.04	4.233	70.0
C02702	L-Prolyl-tRNA(Pro)	-4.459	-8.931	0.045	510.082	-4.523	80.0
C00183	L-Valine	0.222	6.6	0.034	98.172	1.723	60.0
C00180	Benzoate	-3.17	-7.658	0.045	210.971	-3.233	60.0
C00181	D-Xylose	3.7	-1.585	0.231	15.996	-1.885	50.0
C05985	2-Propynal	3.0	2.807	0.936	14.998	3.811	70.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.322	-6.304	0.127	89.013	-3.494	70.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-0.263	3.233	0.128	10.602	-0.436	60.0
C00689	alpha,alpha'-Trehalose_6-phosphate	4.087	9.013	0.453	533.629	7.919	90.0
C16348	cis-3-Chloroallyl_aldehyde	-2.939	-8.481	0.021	364.971	-2.97	60.0
C02946	4-Acetamidobutanoate	-3.0	-2.807	0.875	14.998	-3.714	70.0
C05100	3-Ureidoisobutyrate	-3.17	-4.087	0.53	25.995	-3.783	70.0
C00160	Glycolate	-4.248	8.208	0.064	314.703	-4.338	80.0
C18239	Precursor_Z	-3.459	-4.755	0.407	37.999	-3.952	80.0
C00446	alpha-D-Galactose_1-phosphate	-0.848	4.858	0.062	30.8	-0.935	50.0
C00445	5,10-Methenyltetrahydrofolate	2.663	-3.544	0.543	17.998	-3.289	60.0
C01762	Xanthosine	3.7	6.248	0.592	89.0	5.72	80.0
C00441	L-Aspartate_4-semialdehyde	4.143	7.384	0.561	184.701	6.695	90.0
C00440	5-Methyltetrahydrofolate	1.222	-5.257	0.061	40.572	-1.307	50.0
C00526	Deoxyuridine	4.248	-1.585	0.158	22.001	-1.796	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	1.7	1.7	1.0	6.498	2.7	70.0
C00831	Pantetheine	3.322	5.492	0.605	55.005	5.056	80.0
C03838	5'-Phosphoribosylglycinamide	-3.0	-4.7	0.308	33.992	-3.387	70.0
C03722	Quinolinate	-3.585	1.0	0.167	14.0	-1.222	50.0
C05402	Melibiose	-2.807	-1.585	0.429	9.998	-2.1	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-2.807	-1.585	0.429	9.998	-2.1	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	3.322	1.585	0.477	13.001	2.633	60.0
C00627	Pyridoxine_phosphate	-3.807	-4.585	0.583	37.997	-4.47	80.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	1.0	-5.555	0.043	49.013	-1.06	50.0
C00231	D-Xylulose_5-phosphate	-3.54	-7.392	0.069	179.595	-3.637	70.0
C00235	Dimethylallyl_diphosphate	-0.678	-4.336	0.079	21.796	-0.788	60.0
C01613	Stachyose	2.807	1.585	0.565	9.998	2.497	60.0
C00159	D-Mannose	6.331	7.95	0.796	327.784	8.028	90.0
C00011	CO2	4.674	9.412	0.497	706.759	8.455	90.0
C00014	Ammonia	3.17	-9.177	0.016	587.832	-3.192	60.0
C00015	UDP	1.0	-5.762	0.037	56.267	-1.052	50.0
C00018	Pyridoxal_phosphate	-3.807	-4.585	0.583	37.997	-4.47	80.0
C00019	S-Adenosyl-L-methionine	0.807	-5.771	0.032	56.356	-0.852	50.0
C00153	Nicotinamide	-3.7	-5.781	0.236	67.982	-4.006	80.0
C00152	L-Asparagine	3.807	7.232	0.526	164.328	6.435	90.0
C00155	L-Homocysteine	2.248	-2.907	0.633	12.251	-2.956	60.0
C02835	Imidazole-4-acetate	-3.0	-2.807	0.875	14.998	-3.714	70.0
C00197	3-Phospho-D-glycerate	3.51	-2.682	0.563	17.81	-3.327	60.0
C02336	beta-D-Fructose	2.0	2.0	1.0	8.0	3.0	70.0
C00058	Formate	3.209	8.63	0.372	405.424	7.236	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.459	7.181	0.203	147.859	4.909	80.0
C00301	ADP-ribose	3.585	6.539	0.548	104.99	5.847	90.0
C00718	Amylose	2.907	-7.476	0.042	185.533	-2.967	60.0
C02232	3-Oxoadipyl-CoA	-4.322	-10.82	0.011	1827.777	-4.338	80.0
C14089	1-Hydroxymethylnaphthalene	4.807	10.223	0.47	1223.163	9.168	90.0
