compound_code	compound_name	parabacteroides_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-8.951	-8.725	0.0	0.0	0.0	50.0
C00631	2-Phospho-D-glycerate	-3.469	-7.459	0.0	0.0	0.0	50.0
C00632	3-Hydroxyanthranilate	4.954	4.524	0.913	54.003	5.624	70.0
C00208	Maltose	-4.322	10.898	0.01	1928.205	-4.337	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	2.954	6.234	0.474	83.019	5.298	70.0
C00025	L-Glutamate	-5.789	8.048	0.209	319.953	-6.063	90.0
C00024	Acetyl-CoA	-3.6	-10.705	0.0	0.0	0.0	50.0
C00148	L-Proline	2.536	7.289	0.348	162.189	5.818	70.0
C00026	2-Oxoglutarate	3.03	6.449	0.47	95.534	5.488	70.0
C00021	S-Adenosyl-L-homocysteine	-4.883	8.266	0.096	337.339	-5.015	90.0
C00020	AMP	-2.038	8.394	0.012	340.499	-2.056	70.0
C00022	Pyruvate	3.014	-9.441	0.012	703.141	-3.031	70.0
C00143	5,10-Methylenetetrahydrofolate	-7.296	-3.81	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	5.196	7.29	0.713	193.155	7.105	80.0
C00029	UDP-glucose	3.853	-10.913	0.007	1942.598	-3.864	80.0
C00147	Adenine	3.812	7.535	0.506	199.51	6.657	70.0
C00144	GMP	-3.869	8.609	0.037	405.063	-3.922	80.0
C05729	R-S-Cysteinylglycine	5.209	6.129	0.85	106.975	6.506	70.0
C03232	3-Phosphonooxypyruvate	-2.0	5.916	0.066	64.38	-2.093	70.0
C05726	S-Substituted_L-cysteine	-5.209	-6.129	0.0	0.0	0.0	50.0
C00700	XTP	6.229	9.428	0.661	763.837	8.979	90.0
C00705	dCDP	1.459	7.732	0.189	215.35	5.345	70.0
C06250	Holo-[carboxylase]	-4.524	-7.86	0.0	0.0	0.0	50.0
C02637	3-Dehydroshikimate	3.104	-3.459	0.782	19.595	-3.937	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.17	-7.585	0.094	210.006	-4.299	80.0
C01134	Pantetheine_4'-phosphate	-3.059	8.276	0.027	318.307	-3.097	70.0
C11736	5-Fluorodeoxyuridine	4.585	8.43	0.544	368.892	7.648	80.0
C06037	Digalactosyl-diacylglycerol	5.358	10.684	0.501	1686.159	9.724	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-5.426	-8.786	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-4.954	-8.405	0.0	0.0	0.0	50.0
C05659	5-Methoxytryptamine	-4.459	-4.524	0.0	0.0	0.0	50.0
C03287	L-Glutamyl_5-phosphate	0.807	6.358	0.127	83.775	3.411	60.0
C03125	L-Cysteinyl-tRNA(Cys)	-6.658	-7.768	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.459	-9.628	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-5.358	-10.684	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-9.033	-8.725	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	8.852	9.518	0.93	1195.248	10.118	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-9.033	-8.725	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	8.852	9.518	0.93	1195.248	10.118	90.0
C20375	Glutaryl-[acp]_methyl_ester	5.977	-7.741	0.294	276.919	-6.349	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	5.358	10.684	0.501	1686.159	9.724	90.0
C00415	Dihydrofolate	-4.605	4.143	0.726	42.003	-4.93	90.0
C00416	Phosphatidate	5.087	-8.123	0.122	312.772	-5.253	90.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-3.7	6.781	0.118	122.969	-3.861	80.0
C10700	4'-Hydroxyacetophenone	-4.644	-10.811	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	6.109	10.598	0.576	1618.966	9.866	90.0
C04006	1D-myo-Inositol_3-phosphate	-8.17	8.788	0.652	730.045	-8.894	90.0
C02686	Galactosylceramide	-5.358	-9.979	0.0	0.0	0.0	50.0
C00243	Lactose	6.741	8.933	0.755	595.731	8.812	90.0
C00242	Guanine	3.667	7.737	0.474	226.041	6.743	70.0
C02442	N-Methyltyramine	4.459	4.524	0.986	45.0	5.471	70.0
C01097	D-Tagatose_6-phosphate	5.7	11.954	0.477	4019.444	10.904	90.0
C01096	Sorbitol_6-phosphate	4.644	7.721	0.601	235.988	7.149	80.0
C01094	D-Fructose_1-phosphate	6.977	13.228	0.527	9720.529	12.324	90.0
C00068	Thiamin_diphosphate	-2.248	-7.917	0.0	0.0	0.0	50.0
C00342	Thioredoxin	3.926	-10.456	0.011	1419.855	-3.942	80.0
C00343	Thioredoxin_disulfide	-3.7	10.496	0.009	1457.141	-3.713	80.0
C00344	Phosphatidylglycerol	4.322	7.516	0.575	203.039	6.867	70.0
C05684	Selenite	5.17	10.79	0.479	1806.574	9.758	90.0
C05688	L-Selenocysteine	4.755	9.061	0.525	561.115	8.202	80.0
C05689	Se-Methyl-L-selenocysteine	4.755	9.061	0.525	561.115	8.202	80.0
C00065	L-Serine	-7.419	-9.469	0.0	0.0	0.0	50.0
C00064	L-Glutamine	3.868	-7.287	0.093	170.774	-3.997	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	-3.585	0.0	0.0	0.0	50.0
C16633	5-Fluorouridine	4.907	8.707	0.564	447.898	7.98	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.322	3.672	0.36	15.246	2.457	60.0
C16634	5-Fluorouridine_monophosphate	-6.15	-8.707	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	5.977	6.524	0.916	155.016	7.15	80.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	4.907	7.547	0.65	217.016	7.141	80.0
C00668	alpha-D-Glucose_6-phosphate	-2.399	9.736	0.006	858.037	-2.408	70.0
C05399	Melibiitol	5.358	10.684	0.501	1686.159	9.724	90.0
C02163	L-Arginyl-tRNA(Arg)	-5.285	-8.804	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-3.757	9.76	0.016	880.587	-3.779	80.0
C00116	Glycerol	-5.358	-8.829	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-3.583	10.742	0.007	1724.616	-3.593	80.0
C02380	6-Mercaptopurine	5.585	8.738	0.639	474.974	8.246	80.0
C00112	CDP	-3.261	-5.555	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-2.152	-10.369	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.884	-11.805	0.008	3607.682	-4.896	90.0
C03492	D-4'-Phosphopantothenate	2.585	-4.392	0.286	26.996	-2.948	70.0
C00231	D-Xylulose_5-phosphate	-3.66	7.431	0.073	185.206	-3.762	80.0
C05750	3-Oxooctanoyl-[acp]	8.438	9.103	0.927	896.7	9.699	90.0
C05751	trans-Oct-2-enoyl-[acp]	-4.907	-6.615	0.0	0.0	0.0	50.0
C05752	Octanoyl-[acp]	5.977	-7.741	0.294	276.919	-6.349	90.0
C05753	3-Oxodecanoyl-[acp]	8.438	9.103	0.927	896.7	9.699	90.0
C05754	trans-Dec-2-enoyl-[acp]	-4.907	-6.615	0.0	0.0	0.0	50.0
C05755	Decanoyl-[acp]	5.977	-7.741	0.294	276.919	-6.349	90.0
C05756	3-Oxododecanoyl-[acp]	8.852	9.518	0.93	1195.248	10.118	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-8.951	-8.725	0.0	0.0	0.0	50.0
C05758	trans-Dodec-2-enoyl-[acp]	-4.907	-6.615	0.0	0.0	0.0	50.0
C05759	3-Oxotetradecanoyl-[acp]	8.852	9.518	0.93	1195.248	10.118	90.0
C00188	L-Threonine	3.075	-7.226	0.056	158.134	-3.154	70.0
C02702	L-Prolyl-tRNA(Pro)	-5.492	-9.948	0.0	0.0	0.0	50.0
C05818	2-Demethylmenaquinone	-4.392	-8.397	0.0	0.0	0.0	50.0
C00183	L-Valine	-2.415	-6.917	0.0	0.0	0.0	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	1.874	-6.352	0.045	85.351	-1.937	70.0
C00181	D-Xylose	6.833	3.7	0.541	127.005	6.104	70.0
C00159	D-Mannose	-5.17	11.233	0.015	2442.968	-5.191	90.0
C00011	CO2	5.582	4.24	0.76	66.797	5.665	70.0
C06548	Ethylene_oxide	4.644	10.811	0.43	1821.536	9.612	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	1.0	-2.939	0.261	9.669	-1.334	60.0
C00842	dTDP-glucose	-1.585	-3.0	0.0	0.0	0.0	50.0
C00015	UDP	-2.807	-5.276	0.0	0.0	0.0	50.0
C06142	1-Butanol	-4.644	-10.811	0.0	0.0	0.0	50.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-4.858	-3.807	0.0	0.0	0.0	50.0
C14519	1-Hydroxypyrene	4.459	4.524	0.986	45.0	5.471	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	0.617	-1.202	0.667	3.834	-1.354	60.0
C16237	Protein_N6-(lipoyl)lysine	-8.524	-10.472	0.0	0.0	0.0	50.0
