compound_code	compound_name	olsenella_630_score	parabacteroides_630_score	ratio	magnitude	interaction_score	percentile
C05759	3-Oxotetradecanoyl-[acp]	6.209	8.852	0.701	536.057	8.555	90.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.0	-6.658	0.079	108.985	-3.11	60.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-6.459	0.114	97.974	-3.477	60.0
C01172	beta-D-Glucose_6-phosphate	-2.268	2.406	0.909	10.117	-3.201	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	-3.585	1.0	24.001	-4.585	80.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.209	-9.033	0.141	597.823	-6.4	90.0
C02291	L-Cystathionine	3.17	6.15	0.515	80.013	5.366	90.0
C00364	dTMP	-2.585	2.7	0.923	12.498	-3.529	70.0
C00365	dUMP	1.648	-4.183	0.173	21.298	-1.878	50.0
C00362	dGMP	1.807	-3.858	0.241	17.999	-2.119	50.0
C00363	dTDP	-3.0	5.883	0.136	67.015	-3.183	60.0
C00009	Orthophosphate	-3.17	-4.858	0.31	38.001	-3.56	70.0
C00008	ADP	1.322	2.585	0.511	8.5	2.12	70.0
C05831	3-Methoxyanthranilate	-4.524	-4.459	0.956	45.0	-5.427	90.0
C00006	NADP+	-2.585	-4.858	0.207	35.001	-2.856	50.0
C09332	Tetrahydrofolyl-[Glu](2)	-2.807	-4.459	0.318	28.992	-3.206	60.0
C00003	NAD+	-1.874	-2.415	0.687	8.999	-2.629	50.0
C00002	ATP	2.054	5.839	0.352	61.394	4.433	80.0
C00369	Starch	-3.426	4.508	0.472	33.501	-3.984	70.0
C05703	Methaneselenol	-3.7	-4.977	0.413	44.49	-4.198	80.0
C00491	L-Cystine	3.17	6.15	0.515	80.013	5.366	90.0
C00035	GDP	2.087	2.485	0.84	9.847	3.048	70.0
C00857	Deamino-NAD+	1.0	-2.322	0.4	7.0	-1.485	50.0
C00183	L-Valine	0.222	-2.415	0.219	6.5	-0.507	60.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	1.585	-3.644	0.24	15.501	-1.895	50.0
C01127	4-Hydroxy-2-oxoglutarate	4.644	4.585	0.987	49.003	5.596	90.0
C06056	4-Hydroxy-L-threonine	-3.17	-5.285	0.231	47.99	-3.47	60.0
C16619	6-Thioguanosine_monophosphate	-3.585	-5.524	0.261	58.014	-3.919	70.0
C16618	6-Thioxanthine_5'-monophosphate	-1.0	3.459	0.182	12.997	-1.241	50.0
C00251	Chorismate	1.322	-3.17	0.278	11.501	-1.676	50.0
C18260	1,6-Dimethoxypyrene	-4.524	-4.459	0.956	45.0	-5.427	90.0
C18261	1-Hydroxy-6-methoxypyrene	4.524	4.459	0.986	45.0	5.471	90.0
C05336	Selenomethionyl-tRNA(Met)	-4.807	-5.459	0.636	71.98	-5.518	90.0
C00415	Dihydrofolate	0.737	-4.605	0.068	26.002	-0.833	60.0
C00258	D-Glycerate	-0.585	-1.322	0.6	4.0	-1.263	50.0
C05335	L-Selenomethionine	4.0	2.0	0.5	20.0	3.322	70.0
C00099	beta-Alanine	-3.0	-2.585	0.75	14.0	-3.392	60.0
C00310	D-Xylulose	-3.7	-6.492	0.144	103.005	-3.895	70.0
C01931	L-Lysyl-tRNA	-3.585	-6.022	0.185	76.984	-3.829	70.0
C01528	Hydrogen_selenide	-2.322	-4.907	0.167	35.003	-2.544	50.0
C00886	L-Alanyl-tRNA	-4.087	-6.229	0.227	92.004	-4.382	80.0
C00092	D-Glucose_6-phosphate	-4.285	7.766	0.09	237.165	-4.409	80.0
C00093	sn-Glycerol_3-phosphate	3.919	5.129	0.764	50.12	5.259	80.0
C00095	D-Fructose	-1.222	-5.322	0.058	42.335	-1.304	50.0
C00097	L-Cysteine	-2.263	3.988	0.302	20.667	-2.644	50.0
C06311	Galactitol_1-phosphate	-5.334	-3.222	0.231	49.667	-3.522	60.0
C00078	L-Tryptophan	3.907	-4.644	0.6	40.004	-4.585	80.0
C00079	L-Phenylalanine	0.097	-1.632	0.345	4.169	-0.525	60.0
C00993	D-Alanyl-D-alanine	-3.907	-3.322	0.667	25.002	-4.059	70.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-3.807	-4.858	0.483	42.997	-4.375	80.0
C00073	L-Methionine	2.248	-2.655	0.754	11.049	-3.059	60.0
C00231	D-Xylulose_5-phosphate	-3.54	-3.66	0.92	24.272	-4.481	80.0
C00077	L-Ornithine	6.109	-4.17	0.261	87.024	-4.504	80.0
C00074	Phosphoenolpyruvate	-3.165	-7.257	0.059	161.928	-3.247	60.0
C00075	UTP	3.479	5.052	0.689	44.325	4.932	80.0
C06196	2'-Deoxyinosine_5'-phosphate	-3.17	-6.229	0.12	84.01	-3.333	60.0
C03232	3-Phosphonooxypyruvate	-4.379	-2.0	0.192	24.807	-2.254	50.0
C00718	Amylose	2.907	-4.644	0.3	32.503	-3.286	60.0
C00627	Pyridoxine_phosphate	-3.807	-5.0	0.437	45.997	-4.33	80.0
C00123	L-Leucine	1.0	-2.503	0.353	7.669	-1.436	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.907	-4.954	0.484	45.997	-4.476	80.0
C06199	Hordenine	-4.524	-4.459	0.956	45.0	-5.427	90.0
C00085	D-Fructose_6-phosphate	4.41	-3.322	0.47	31.259	-3.878	70.0
C00242	Guanine	1.803	3.667	0.492	16.192	2.993	70.0
C00082	L-Tyrosine	0.047	-3.863	0.071	15.584	-0.146	60.0
C00081	ITP	3.17	4.087	0.776	25.995	4.334	70.0
C03785	D-Tagatose_1,6-bisphosphate	-3.536	-5.7	0.223	63.584	-3.827	70.0
C00294	Inosine	3.7	-2.222	0.359	17.661	-2.665	50.0
C00407	L-Isoleucine	-0.263	2.536	0.207	7.0	-0.534	60.0
C00089	Sucrose	3.0	-3.585	0.667	20.0	-3.737	70.0
C04646	6-Thioinosine-5'-monophosphate	3.7	-3.907	0.866	27.997	-4.6	80.0
C02218	Dehydroalanine	-3.459	-4.524	0.478	34.004	-4.023	70.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	0.637	4.231	0.151	20.333	1.614	70.0
C00166	Phenylpyruvate	-0.195	4.206	0.062	19.6	-0.282	60.0
C00167	UDP-glucuronate	-3.907	-6.229	0.2	90.011	-4.17	80.0
C02988	L-Histidyl-tRNA(His)	-3.322	-5.459	0.227	53.987	-3.618	70.0
C03479	Folinic_acid	1.585	-8.539	0.008	374.959	-1.597	50.0
C00163	Propanoate	3.954	5.322	0.743	55.5	5.366	80.0
C01097	D-Tagatose_6-phosphate	1.379	5.7	0.242	54.585	3.723	70.0
C02987	L-Glutamyl-tRNA(Glu)	-4.392	-6.728	0.198	127.001	-4.653	90.0
C03263	Coproporphyrinogen_III	2.0	4.7	0.426	29.992	3.674	70.0
C02047	L-Leucyl-tRNA	-4.087	-5.17	0.472	52.996	-4.645	80.0
C00106	Uracil	-2.433	3.17	0.6	14.401	-3.111	60.0
C00068	Thiamin_diphosphate	0.241	-2.248	0.249	5.932	-0.562	60.0
C00342	Thioredoxin	3.807	3.926	0.97	29.197	4.823	80.0
C00105	UMP	0.807	2.753	0.293	8.491	1.316	70.0
C03082	4-Phospho-L-aspartate	3.293	-4.217	0.527	28.399	-3.904	70.0
C00103	D-Glucose_1-phosphate	1.959	-4.747	0.145	30.741	-2.154	50.0
C00100	Propanoyl-CoA	-4.03	4.044	0.99	32.832	-5.023	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	-3.459	3.0	0.727	18.997	-3.789	70.0
C05688	L-Selenocysteine	3.7	4.755	0.778	39.998	4.96	80.0
C00062	L-Arginine	-4.248	-2.17	0.237	23.501	-2.477	50.0
C00065	L-Serine	0.585	-7.419	0.009	172.636	-0.598	60.0
C00064	L-Glutamine	-3.763	3.868	0.93	28.177	-4.711	90.0
C00109	2-Oxobutanoate	2.607	-4.129	0.348	23.589	-3.038	50.0
C00860	L-Histidinol	-3.0	-5.358	0.195	49.013	-3.257	60.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.459	1.322	0.906	5.249	2.25	70.0
C02962	D-Allose_6-phosphate	3.907	5.672	0.689	65.986	5.506	90.0
C00864	Pantothenate	3.322	-3.7	0.77	22.997	-4.145	80.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.209	-9.033	0.141	597.823	-6.4	90.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	3.322	-3.82	0.708	24.124	-4.094	80.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.209	8.852	0.701	536.057	8.555	90.0
C00577	D-Glyceraldehyde	-5.358	-6.977	0.326	166.988	-5.765	90.0
C00700	XTP	3.17	6.229	0.509	84.01	5.418	90.0
C01050	UDP-N-acetylmuramate	2.147	4.594	0.467	28.58	3.739	70.0
C00279	D-Erythrose_4-phosphate	4.077	-4.892	0.568	46.569	-4.726	90.0
C03175	Shikimate_3-phosphate	-0.585	-3.17	0.167	10.501	-0.807	60.0
C02470	Xanthurenic_acid	4.524	4.459	0.986	45.0	5.471	90.0
C01412	Butanal	4.807	4.644	0.966	52.996	5.678	90.0
C00361	dGDP	1.585	-2.722	0.455	9.598	-2.126	50.0
C14519	1-Hydroxypyrene	4.524	4.459	0.986	45.0	5.471	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.322	4.907	0.677	40.003	4.759	80.0
C16698	N-Acetylmuramic_acid_6-phosphate	-3.322	-4.954	0.323	40.996	-3.725	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.222	-5.728	0.044	55.336	-1.284	50.0
C00253	Nicotinate	-3.392	-6.261	0.137	87.189	-3.577	70.0
C00179	Agmatine	3.459	-5.426	0.256	53.989	-3.788	70.0
C06188	Salicin_6-phosphate	4.585	1.0	0.218	26.001	2.504	70.0
C03406	N-(L-Arginino)succinate	-3.807	-6.15	0.197	85.009	-4.067	70.0
C02163	L-Arginyl-tRNA(Arg)	-3.807	-5.285	0.359	52.986	-4.25	80.0
C00117	D-Ribose_5-phosphate	-3.858	-3.757	0.932	28.02	-4.707	90.0
C00111	Glycerone_phosphate	-1.58	-3.583	0.249	14.973	-1.901	50.0
C03090	5-Phosphoribosylamine	2.379	3.632	0.655	17.599	3.527	70.0
C00112	CDP	-3.322	-3.261	0.959	19.587	-4.231	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.209	8.852	0.701	536.057	8.555	90.0
C05698	Selenohomocysteine	2.322	-4.954	0.161	35.996	-2.538	50.0
C00668	alpha-D-Glucose_6-phosphate	-2.056	-2.399	0.788	9.433	-2.895	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.418	-2.152	0.601	7.117	-2.097	50.0
C00118	D-Glyceraldehyde_3-phosphate	-0.726	4.884	0.056	31.182	-0.805	60.0
C01962	Thiocysteine	-3.17	-6.15	0.127	80.013	-3.342	60.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	2.585	-3.585	0.5	18.0	-3.17	60.0
C03492	D-4'-Phosphopantothenate	-1.0	2.585	0.333	8.0	-1.415	50.0
C02992	L-Threonyl-tRNA(Thr)	-3.585	-5.931	0.197	73.011	-3.844	70.0
C01079	Protoporphyrinogen_IX	-2.0	-4.7	0.154	29.992	-2.207	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	1.0	1.874	0.534	5.665	1.596	70.0
C18096	D-Allulose_6-phosphate	-3.907	-5.672	0.294	65.986	-4.279	80.0
C11432	1-Phenanthrol	4.524	4.459	0.986	45.0	5.471	90.0
C11433	1-Methoxyphenanthrene	-4.524	-4.459	0.956	45.0	-5.427	90.0
C00269	CDP-diacylglycerol	2.585	-2.121	0.725	10.35	-2.908	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	2.907	5.17	0.562	43.502	4.612	80.0
C00506	L-Cysteate	3.322	4.248	0.782	29.001	4.503	80.0
C04432	tRNA_containing_6-isopentenyladenosine	-3.459	-5.728	0.207	64.0	-3.731	70.0
C18259	1-Methoxypyrene	-4.524	-4.459	0.956	45.0	-5.427	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.209	-8.951	0.149	568.879	-6.41	90.0
C00263	L-Homoserine	0.195	-0.329	0.911	2.401	-1.13	60.0
C00262	Hypoxanthine	2.585	2.544	0.984	11.832	3.542	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-6.209	-9.033	0.141	597.823	-6.4	90.0
C16216	3-Oxostearoyl-CoA	6.209	9.033	0.687	597.823	8.683	90.0
C00267	alpha-D-Glucose	2.933	2.775	0.946	14.482	3.776	70.0
C00266	Glycolaldehyde	-5.392	-5.066	0.798	75.489	-5.912	90.0
C00235	Dimethylallyl_diphosphate	-0.678	3.888	0.108	16.405	-0.826	60.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-3.0	-2.0	0.5	12.0	-2.585	50.0
C00900	2-Acetolactate	-3.585	4.672	0.471	37.493	-4.142	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.585	-6.768	0.11	120.986	-3.736	70.0
C01613	Stachyose	2.807	5.358	0.524	48.011	4.653	80.0
C00188	L-Threonine	0.788	3.075	0.256	10.154	1.38	70.0
C02702	L-Prolyl-tRNA(Pro)	-4.459	-5.492	0.489	66.998	-5.033	90.0
C00655	Xanthosine_5'-phosphate	-1.047	-2.7	0.318	8.564	-1.445	50.0
C00460	dUTP	0.585	-1.926	0.395	5.3	-1.065	60.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-1.222	1.874	0.636	5.998	-1.933	50.0
C00181	D-Xylose	3.7	6.833	0.541	127.005	6.104	90.0
C00343	Thioredoxin_disulfide	-3.807	-3.7	0.929	26.993	-4.647	90.0
C00010	CoA	-0.737	-4.807	0.06	29.66	-0.82	60.0
C00122	Fumarate	-2.907	-6.264	0.098	84.352	-3.041	60.0
C00286	dGTP	-1.807	-0.143	0.316	4.603	-0.539	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.322	-5.248	0.263	48.002	-3.659	70.0
C01152	N(pi)-Methyl-L-histidine	-4.524	-4.459	0.956	45.0	-5.427	90.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	-3.7	0.231	15.996	-1.885	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	1.0	2.0	0.5	6.0	1.585	70.0
C00327	L-Citrulline	-5.488	6.459	0.51	132.854	-6.083	90.0
C03892	Phosphatidylglycerophosphate	-3.807	-4.17	0.778	31.997	-4.637	80.0
C02412	Glycyl-tRNA(Gly)	-3.087	-6.066	0.127	75.493	-3.259	60.0
C00680	meso-2,6-Diaminoheptanedioate	3.585	-6.666	0.118	113.547	-3.746	70.0
C12215	Iminoerythrose_4-phosphate	-5.392	-6.304	0.531	121.003	-6.007	90.0
C00842	dTDP-glucose	-4.585	-1.585	0.125	27.001	-1.755	50.0
C02553	L-Seryl-tRNA(Ser)	-3.807	-5.644	0.28	64.002	-4.163	80.0
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	-2.503	2.939	0.739	13.337	-3.301	60.0
C05378	beta-D-Fructose_1,6-bisphosphate	3.682	4.179	0.881	30.948	4.769	80.0
C00448	trans,trans-Farnesyl_diphosphate	0.415	-0.585	0.889	2.833	-1.333	50.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	3.17	5.322	0.596	49.002	4.867	80.0
C00206	dADP	-1.585	4.437	0.139	24.661	-1.772	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-3.585	-5.426	0.279	54.992	-3.94	70.0
C12214	Aminofructose_6-phosphate	5.392	6.304	0.855	121.003	6.693	90.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-6.209	-9.033	0.141	597.823	-6.4	90.0
C00921	Dihydropteroate	2.807	-3.459	0.636	17.995	-3.518	60.0
C05746	3-Oxohexanoyl-[acp]	6.209	8.852	0.701	536.057	8.555	90.0
C00458	dCTP	-1.441	-4.464	0.123	24.785	-1.608	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	1.0	1.585	0.631	5.0	1.657	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	4.358	5.728	0.761	73.509	5.805	90.0
C00199	D-Ribulose_5-phosphate	-1.354	-4.199	0.139	20.923	-1.542	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-4.087	-5.492	0.378	61.999	-4.549	80.0
C00217	D-Glutamate	-0.585	-1.503	0.529	4.334	-1.198	60.0
C02876	Propanoyl_phosphate	1.0	-2.322	0.4	7.0	-1.485	50.0
C02554	L-Valyl-tRNA(Val)	-3.585	-5.248	0.316	50.002	-3.981	70.0
C00212	Adenosine	3.7	-3.524	0.885	24.5	-4.439	80.0
C00455	Nicotinamide_D-ribonucleotide	3.0	5.087	0.59	41.989	4.63	80.0
C00208	Maltose	-4.954	-4.322	0.645	50.997	-5.04	90.0
C00036	Oxaloacetate	-0.694	5.54	0.035	48.145	-0.743	60.0
C00037	Glycine	-0.619	8.689	0.004	414.25	-0.624	60.0
C01697	Galactitol	5.334	3.222	0.604	49.667	4.907	80.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	2.322	-3.907	0.333	20.001	-2.737	50.0
C00031	D-Glucose	4.503	5.637	0.799	72.437	5.855	90.0
C00330	Deoxyguanosine	-2.807	-1.222	0.333	9.331	-1.637	50.0
C00135	L-Histidine	0.585	5.17	0.113	37.502	2.085	70.0
C00133	D-Alanine	4.585	3.0	0.654	32.001	4.388	70.0
C00334	4-Aminobutanoate	-3.0	-5.728	0.151	61.003	-3.203	60.0
C00131	dATP	0.807	-3.655	0.139	14.346	-0.995	60.0
C00130	IMP	0.737	-3.524	0.145	13.17	-0.932	60.0
C00620	alpha-D-Ribose_1-phosphate	4.392	6.109	0.719	90.018	6.016	90.0
C05699	L-Selenocystathionine	3.17	6.15	0.515	80.013	5.366	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-6.209	-8.951	0.149	568.879	-6.41	90.0
C00063	CTP	3.08	6.133	0.502	78.637	5.303	80.0
C00632	3-Hydroxyanthranilate	4.524	4.954	0.913	54.003	5.624	90.0
C00299	Uridine	4.954	2.695	0.544	37.471	4.349	70.0
C05756	3-Oxododecanoyl-[acp]	6.209	8.852	0.701	536.057	8.555	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-0.263	1.0	0.6	3.2	-0.941	60.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-2.524	-3.7	0.443	18.748	-3.053	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	3.322	4.585	0.725	34.001	4.623	80.0
C00445	5,10-Methenyltetrahydrofolate	2.663	6.256	0.426	82.76	5.139	80.0
C01094	D-Fructose_1-phosphate	5.007	6.977	0.718	158.131	6.826	90.0
C03722	Quinolinate	-3.585	2.807	0.583	18.999	-3.47	60.0
C00631	2-Phospho-D-glycerate	0.047	-3.469	0.093	12.106	-0.176	60.0
C00441	L-Aspartate_4-semialdehyde	4.143	1.322	0.319	20.167	2.686	70.0
C00353	Geranylgeranyl_diphosphate	-3.585	-5.087	0.353	45.989	-4.021	70.0
C00526	Deoxyuridine	4.248	3.459	0.814	29.998	4.61	80.0
C03150	Nicotinamide-beta-riboside	3.7	3.459	0.935	23.993	4.487	80.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	1.7	3.524	0.482	14.753	2.831	70.0
C00169	Carbamoyl_phosphate	4.829	-4.86	0.979	57.464	-5.814	90.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.17	4.624	0.091	26.908	-1.296	50.0
C00042	Succinate	2.807	6.693	0.419	110.463	5.534	90.0
C00041	L-Alanine	2.322	-1.503	0.567	7.835	-2.151	50.0
C03539	S-Ribosyl-L-homocysteine	-2.0	-4.322	0.2	24.001	-2.263	50.0
C00047	L-Lysine	3.585	4.17	0.86	30.001	4.689	80.0
C00046	RNA	-2.954	-5.631	0.156	57.305	-3.164	60.0
C00044	GTP	-2.976	-4.486	0.351	30.277	-3.41	60.0
C00049	L-Aspartate	1.113	-2.2	0.471	6.758	-1.67	50.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-2.0	2.954	0.516	11.749	-2.6	50.0
C00831	Pantetheine	3.322	4.907	0.677	40.003	4.759	80.0
