compound_code	compound_name	bacteroides_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C04494	Guanosine_3'-diphosphate_5'-triphosphate	3.322	-4.087	0.588	26.995	-3.99	70.0
C00460	dUTP	2.07	4.459	0.464	26.192	3.604	70.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.585	4.392	0.286	26.996	-2.948	60.0
C00181	D-Xylose	4.392	-1.585	0.143	23.995	-1.778	50.0
C00120	Biotin	5.426	1.585	0.292	45.992	3.748	70.0
C00122	Fumarate	4.481	-3.048	0.37	30.602	-3.503	60.0
C00286	dGTP	4.644	-6.519	0.273	116.712	-4.992	80.0
C00327	L-Citrulline	2.585	4.818	0.537	34.208	4.198	70.0
C00206	dADP	-5.102	8.088	0.126	306.446	-5.273	80.0
C02412	Glycyl-tRNA(Gly)	-8.326	-6.994	0.397	448.373	-7.477	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-3.737	9.051	0.025	543.757	-3.773	70.0
C01151	D-Ribose_1,5-bisphosphate	-6.358	-5.524	0.561	128.039	-6.166	90.0
C02554	L-Valyl-tRNA(Val)	-1.0	-6.6	0.021	99.006	-1.029	50.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	8.823	7.442	0.843	626.771	9.046	90.0
C05744	Acetoacetyl-[acp]	-7.249	-4.19	0.12	170.365	-4.353	70.0
C03150	Nicotinamide-beta-riboside	5.375	5.781	0.93	96.485	6.487	90.0
C00458	dCTP	4.733	-6.939	0.217	149.294	-5.016	80.0
C00459	dTTP	4.829	4.872	0.991	57.706	5.838	80.0
C01209	Malonyl-[acyl-carrier_protein]	5.215	5.422	0.962	80.016	6.266	90.0
C00197	3-Phospho-D-glycerate	-0.271	-2.682	0.188	7.624	-0.52	60.0
C00212	Adenosine	5.375	5.369	0.999	82.826	6.37	90.0
C00036	Oxaloacetate	1.552	6.576	0.236	98.338	4.537	70.0
C00037	Glycine	4.231	2.201	0.52	23.376	3.604	70.0
C01697	Galactitol	2.322	8.745	0.266	434.05	6.849	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-8.823	-8.145	0.625	735.952	-8.845	90.0
C00031	D-Glucose	5.201	3.07	0.59	45.182	4.737	80.0
C00332	Acetoacetyl-CoA	2.536	-8.761	0.013	439.634	-2.555	50.0
C00130	IMP	-1.879	-4.392	0.175	24.674	-2.112	50.0
C02984	L-Aspartyl-tRNA(Asp)	-1.0	-6.248	0.026	78.004	-1.037	50.0
C01050	UDP-N-acetylmuramate	3.961	6.084	0.651	83.41	5.763	80.0
C01762	Xanthosine	4.409	6.248	0.706	97.248	6.101	80.0
C00631	2-Phospho-D-glycerate	-0.176	-3.632	0.091	13.527	-0.302	60.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	-5.392	2.807	0.167	48.989	-3.029	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-2.433	-4.011	0.335	21.523	-2.85	60.0
C00041	L-Alanine	0.737	5.755	0.128	55.671	2.834	70.0
C00047	L-Lysine	4.248	5.437	0.781	62.322	5.606	80.0
C00046	RNA	-4.8	-5.371	0.673	69.242	-5.543	90.0
C00044	GTP	-3.672	-6.728	0.12	118.752	-3.836	70.0
C00204	2-Dehydro-3-deoxy-D-gluconate	1.807	-4.437	0.162	25.16	-2.023	50.0
C00049	L-Aspartate	-2.884	-6.891	0.062	126.067	-2.971	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-3.781	-4.883	0.466	43.254	-4.333	70.0
