compound_code	compound_name	clostridium_630_score	olsenella_630_score	ratio	magnitude	interaction_score	percentile
C02702	L-Prolyl-tRNA(Pro)	-1.0	-4.459	0.091	23.993	-1.126	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	2.632	-1.202	0.371	8.499	-1.657	50.0
C00460	dUTP	5.044	0.585	0.116	34.491	2.0	70.0
C05985	2-Propynal	3.0	3.0	1.0	16.0	4.0	80.0
C00286	dGTP	3.755	-1.807	0.259	17.0	-2.139	50.0
C00011	CO2	6.398	4.674	0.731	109.859	6.327	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-2.0	1.0	0.5	6.0	-1.585	50.0
C00327	L-Citrulline	4.336	-5.488	0.45	65.076	-4.872	90.0
C02412	Glycyl-tRNA(Gly)	-7.119	-3.087	0.061	147.503	-3.173	60.0
C00680	meso-2,6-Diaminoheptanedioate	0.921	3.585	0.257	13.894	1.836	70.0
C16348	cis-3-Chloroallyl_aldehyde	-2.637	-2.939	0.811	13.889	-3.494	70.0
C02946	4-Acetamidobutanoate	-3.0	-3.0	1.0	16.0	-4.0	80.0
C02553	L-Seryl-tRNA(Ser)	-4.858	-3.807	0.483	42.997	-4.375	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-5.392	3.682	0.306	54.826	-4.067	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.322	3.17	0.556	14.001	-2.959	60.0
C04051	5-Amino-4-imidazolecarboxyamide	-1.0	-3.585	0.167	14.0	-1.222	50.0
C00672	2-Deoxy-D-ribose_1-phosphate	-4.524	-1.0	0.087	25.007	-1.12	50.0
C00458	dCTP	3.585	-1.441	0.226	14.715	-1.735	50.0
C00459	dTTP	4.066	3.682	0.906	29.584	4.744	90.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-3.524	-2.585	0.522	17.504	-3.191	60.0
C06055	O-Phospho-4-hydroxy-L-threonine	3.737	-0.585	0.113	14.834	-0.739	60.0
C00052	UDP-alpha-D-galactose	-5.129	0.652	0.045	36.564	-0.715	60.0
C00010	CoA	4.728	-0.737	0.063	28.168	-0.825	60.0
C00217	D-Glutamate	-4.322	-0.585	0.075	21.501	-0.689	60.0
C00197	3-Phospho-D-glycerate	2.631	3.51	0.75	17.587	3.721	80.0
C00212	Adenosine	2.17	3.7	0.586	17.496	3.359	80.0
C00208	Maltose	4.672	-4.954	0.822	56.488	-5.538	90.0
C00036	Oxaloacetate	0.461	-0.694	0.851	2.994	-1.349	50.0
C00037	Glycine	5.772	-0.619	0.028	56.18	-0.659	60.0
C01697	Galactitol	7.17	5.334	0.744	184.344	7.099	90.0
C00035	GDP	3.7	2.087	0.564	17.245	3.282	80.0
C00033	Acetate	-2.585	-1.628	0.515	9.091	-2.227	50.0
C00031	D-Glucose	-3.773	4.503	0.603	36.345	-4.454	90.0
C00136	Butanoyl-CoA	-6.524	-4.392	0.228	113.023	-4.688	90.0
C00135	L-Histidine	3.97	0.585	0.147	17.171	1.339	70.0
C00133	D-Alanine	3.03	4.585	0.661	32.169	4.41	90.0
C00334	4-Aminobutanoate	5.075	-3.0	0.237	41.708	-3.307	60.0
C00131	dATP	-0.678	0.807	0.914	3.349	-1.615	50.0
C00130	IMP	0.807	0.737	0.913	3.416	1.642	70.0
C01097	D-Tagatose_6-phosphate	2.807	1.379	0.491	9.599	2.238	70.0
C05635	5-Hydroxyindoleacetate	-3.0	-3.0	1.0	16.0	-4.0	80.0
C05634	5-Hydroxyindoleacetaldehyde	3.0	3.0	1.0	16.0	4.0	80.0
C00299	Uridine	2.471	4.954	0.499	36.54	4.188	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	2.0	-2.524	0.695	9.752	-2.762	60.0
C18239	Precursor_Z	-4.858	-3.459	0.379	39.997	-3.923	80.0
C00446	alpha-D-Galactose_1-phosphate	3.868	-0.848	0.123	16.401	-1.016	60.0
C00637	Indole-3-acetaldehyde	3.0	3.0	1.0	16.0	4.0	80.0
C00631	2-Phospho-D-glycerate	-4.05	0.047	0.062	17.597	-0.134	70.0
C00441	L-Aspartate_4-semialdehyde	-3.239	4.143	0.534	27.109	-3.857	80.0
C00073	L-Methionine	2.807	2.248	0.801	11.749	3.234	80.0
C03263	Coproporphyrinogen_III	2.585	2.0	0.774	10.0	2.952	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-0.415	-1.17	0.593	3.583	-1.086	50.0
C00041	L-Alanine	-5.17	2.322	0.139	41.002	-2.51	50.0
C00040	Acyl-CoA	4.248	4.044	0.952	35.496	5.079	90.0
C00047	L-Lysine	-4.358	3.585	0.585	32.507	-4.25	80.0
C00046	RNA	-3.591	-2.954	0.643	19.799	-3.67	70.0
C02835	Imidazole-4-acetate	-3.0	-3.0	1.0	16.0	-4.0	80.0
C00044	GTP	-2.648	-2.976	0.797	14.136	-3.493	70.0
C00204	2-Dehydro-3-deoxy-D-gluconate	0.222	-2.322	0.233	6.167	-0.524	60.0
C00049	L-Aspartate	1.394	1.113	0.798	4.791	1.936	70.0
C00206	dADP	-3.036	-1.585	0.366	11.202	-2.035	50.0
