compound_code	compound_name	bacteroides_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C03511	L-Phenylalanyl-tRNA(Phe)	-0.585	-1.807	0.429	4.999	-1.1	50.0
C00385	Xanthine	-3.858	0.879	0.127	16.339	-1.051	50.0
C00229	Acyl-carrier_protein	9.116	-4.728	0.048	581.369	-4.795	90.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.17	-7.592	0.187	228.941	-5.417	90.0
C00365	dUMP	-1.874	-4.248	0.193	22.666	-2.128	60.0
C00008	ADP	5.102	2.841	0.557	41.509	4.531	80.0
C00002	ATP	4.735	3.769	0.796	40.263	5.002	90.0
C00369	Starch	5.746	-4.893	0.554	83.381	-5.529	90.0
C00035	GDP	5.358	3.7	0.691	54.009	5.221	90.0
C00191	D-Glucuronate	0.807	6.05	0.133	68.007	3.181	70.0
C05336	Selenomethionyl-tRNA(Met)	-4.807	-2.807	0.25	34.991	-3.129	70.0
C05335	L-Selenomethionine	4.807	2.807	0.584	34.991	4.353	80.0
C00558	D-Tagaturonate	-1.0	-6.459	0.023	89.974	-1.032	50.0
C00091	Succinyl-CoA	-4.471	5.85	0.384	79.857	-4.94	90.0
C00092	D-Glucose_6-phosphate	2.17	-5.141	0.128	39.786	-2.343	60.0
C00498	ADP-glucose	-3.841	-3.459	0.767	25.327	-4.281	80.0
C00095	D-Fructose	-3.459	7.013	0.085	140.155	-3.577	70.0
C00097	L-Cysteine	0.222	-3.694	0.09	14.108	-0.346	70.0
C00079	L-Phenylalanine	0.17	-1.283	0.462	3.559	-0.718	60.0
C00073	L-Methionine	2.954	2.807	0.95	14.747	3.809	70.0
C00074	Phosphoenolpyruvate	-1.963	-6.828	0.034	117.513	-2.012	60.0
C00075	UTP	4.931	4.135	0.839	48.075	5.333	90.0
C00620	alpha-D-Ribose_1-phosphate	1.585	5.966	0.266	65.509	4.121	80.0
C00242	Guanine	-4.104	1.837	0.208	20.769	-2.109	60.0
C03785	D-Tagatose_1,6-bisphosphate	-2.585	-2.807	0.857	12.998	-3.478	70.0
C00407	L-Isoleucine	3.0	5.3	0.566	47.397	4.746	80.0
C01151	D-Ribose_1,5-bisphosphate	-6.358	-5.781	0.67	137.012	-6.521	90.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	-0.637	1.0	3.11	-1.637	50.0
C01097	D-Tagatose_6-phosphate	2.585	2.807	0.921	12.998	3.581	70.0
C01094	D-Fructose_1-phosphate	0.585	-8.23	0.005	301.746	-0.592	60.0
C00169	Carbamoyl_phosphate	1.369	-0.308	0.479	3.821	-0.873	50.0
C00106	Uracil	5.096	-3.598	0.354	46.311	-4.035	80.0
C00342	Thioredoxin	5.358	-9.75	0.048	902.091	-5.425	90.0
C00343	Thioredoxin_disulfide	-5.672	9.747	0.059	910.274	-5.755	90.0
C00103	D-Glucose_1-phosphate	-1.888	5.771	0.068	58.308	-1.983	60.0
C00063	CTP	4.165	3.863	0.927	32.489	4.913	90.0
C00062	L-Arginine	0.363	5.672	0.064	52.271	1.742	70.0
C00064	L-Glutamine	2.12	-6.228	0.058	79.304	-2.201	60.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.7	-2.248	0.342	6.375	-1.124	50.0
C00577	D-Glyceraldehyde	-0.585	1.263	0.625	3.9	-1.285	50.0
C00279	D-Erythrose_4-phosphate	0.531	-4.881	0.049	30.911	-0.6	60.0
C00361	dGDP	-6.08	-4.248	0.281	86.65	-4.605	80.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	2.322	-0.737	0.333	6.667	-1.152	50.0
C00668	alpha-D-Glucose_6-phosphate	-3.658	-5.449	0.289	56.306	-4.024	70.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.585	-1.0	0.667	5.0	-1.737	50.0
C00666	LL-2,6-Diaminoheptanedioate	-1.874	3.716	0.279	16.806	-2.229	60.0
C00179	Agmatine	-1.0	1.807	0.572	5.499	-1.652	50.0
C03406	N-(L-Arginino)succinate	-2.585	-4.392	0.286	26.996	-2.948	70.0
C00117	D-Ribose_5-phosphate	-0.447	-4.158	0.076	19.215	-0.553	60.0
C00111	Glycerone_phosphate	-0.011	0.902	0.539	2.876	-0.633	60.0
C00112	CDP	5.672	2.624	0.463	57.15	4.725	80.0
C00118	D-Glyceraldehyde_3-phosphate	2.693	4.762	0.566	33.6	4.248	80.0
C01172	beta-D-Glucose_6-phosphate	-0.12	-2.126	0.249	5.452	-0.441	70.0
C00267	alpha-D-Glucose	-7.521	-0.628	0.008	185.219	-0.64	60.0
C00460	dUTP	2.07	5.044	0.41	37.19	3.932	80.0
C00286	dGTP	4.644	3.755	0.809	38.504	4.96	90.0
C00124	D-Galactose	-8.125	4.033	0.059	295.54	-4.115	80.0
C00327	L-Citrulline	2.585	4.336	0.596	26.196	3.965	80.0
C02412	Glycyl-tRNA(Gly)	-8.326	-7.119	0.433	459.91	-7.638	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-3.737	-5.392	0.318	55.324	-4.135	80.0
C00458	dCTP	4.733	3.585	0.757	38.594	4.87	90.0
C00459	dTTP	4.829	4.066	0.842	45.172	5.249	90.0
C00197	3-Phospho-D-glycerate	-0.271	2.631	0.195	7.401	-0.528	60.0
C00212	Adenosine	5.375	2.17	0.404	45.999	4.215	80.0
C00036	Oxaloacetate	1.552	0.461	0.297	4.309	0.356	70.0
C00037	Glycine	4.231	5.772	0.733	73.423	5.75	90.0
C01697	Galactitol	2.322	7.17	0.324	149.008	5.593	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-8.823	1.585	0.007	455.885	-1.595	50.0
C00031	D-Glucose	5.201	-3.773	0.372	50.454	-4.229	80.0
C00137	myo-Inositol	-6.722	-1.0	0.019	107.566	-1.027	50.0
C00333	D-Galacturonate	1.0	6.459	0.155	89.974	3.8	70.0
C00130	IMP	-1.879	0.807	0.476	5.428	-1.368	50.0
C02984	L-Aspartyl-tRNA(Asp)	-1.0	-5.285	0.051	40.989	-1.072	50.0
C00631	2-Phospho-D-glycerate	-0.176	-4.05	0.068	17.694	-0.271	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-2.433	-0.415	0.247	6.733	-0.733	60.0
C00041	L-Alanine	0.737	-5.17	0.046	37.669	-0.802	60.0
C00047	L-Lysine	4.248	-4.358	0.927	39.507	-5.194	90.0
C00046	RNA	-4.8	-3.591	0.433	39.908	-4.11	80.0
C00044	GTP	-3.672	-2.648	0.492	19.014	-3.225	70.0
C00204	2-Dehydro-3-deoxy-D-gluconate	1.807	0.222	0.123	4.665	-0.803	60.0
C00049	L-Aspartate	-2.884	1.394	0.356	10.01	-1.833	50.0
C00206	dADP	-5.102	-3.036	0.239	42.546	-3.345	70.0
