compound_code	compound_name	bacteroides_630_score	parabacteroides_630_score	ratio	magnitude	interaction_score	percentile
C02051	Lipoylprotein	-8.823	1.585	0.007	455.885	-1.595	80.0
C00095	D-Fructose	-3.459	-5.322	0.0	0.0	0.0	50.0
C00097	L-Cysteine	0.222	3.988	0.056	17.034	-0.077	60.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-9.529	-5.764	0.0	0.0	0.0	50.0
C00079	L-Phenylalanine	0.17	-1.632	0.363	4.224	-0.617	70.0
C00073	L-Methionine	2.954	-2.655	0.813	14.047	-3.513	80.0
C00074	Phosphoenolpyruvate	-1.963	-7.257	0.0	0.0	0.0	50.0
C00075	UTP	4.931	5.052	0.976	63.68	5.958	90.0
C06194	2',3'-Cyclic_GMP	6.644	6.755	0.984	208.018	7.677	90.0
C06193	Guanosine_3'-phosphate	-6.644	-6.755	0.0	0.0	0.0	50.0
C04006	1D-myo-Inositol_3-phosphate	6.807	-8.17	0.389	399.987	-7.281	90.0
C02353	2',3'-Cyclic_AMP	6.644	6.755	0.984	208.018	7.677	90.0
C00242	Guanine	-4.104	3.667	0.739	29.898	-4.465	90.0
C02355	2',3'-Cyclic_UMP	6.644	6.755	0.984	208.018	7.677	90.0
C02354	2',3'-Cyclic_CMP	6.644	6.755	0.984	208.018	7.677	90.0
C00243	Lactose	10.114	6.741	0.667	1215.163	9.662	90.0
C00407	L-Isoleucine	3.0	2.536	0.845	13.8	3.544	70.0
C00183	L-Valine	0.222	-2.415	0.219	6.5	-0.507	60.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	4.231	0.083	20.333	-0.752	70.0
C01097	D-Tagatose_6-phosphate	2.585	5.7	0.454	57.984	4.717	70.0
C01094	D-Fructose_1-phosphate	0.585	6.977	0.084	127.476	3.418	70.0
C00169	Carbamoyl_phosphate	1.369	-4.86	0.089	31.624	-1.492	70.0
C00106	Uracil	5.096	3.17	0.622	43.202	4.748	80.0
C06567	Penicilloic_acid	-7.066	-4.858	0.0	0.0	0.0	50.0
C00342	Thioredoxin	5.358	3.926	0.733	56.213	5.364	80.0
C00105	UMP	0.657	2.753	0.239	8.318	0.989	60.0
C00103	D-Glucose_1-phosphate	-1.888	-4.747	0.0	0.0	0.0	50.0
C00063	CTP	4.165	6.133	0.679	88.119	5.903	80.0
C00062	L-Arginine	0.363	-2.17	0.286	5.786	-0.726	70.0
C00064	L-Glutamine	2.12	3.868	0.548	18.948	3.376	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.7	-3.82	0.115	15.748	-0.857	70.0
C00577	D-Glyceraldehyde	-0.585	-6.977	0.0	0.0	0.0	50.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	4.426	-3.322	0.465	31.497	-3.873	90.0
C00279	D-Erythrose_4-phosphate	0.531	-4.892	0.049	31.137	-0.6	70.0
C00361	dGDP	-6.08	-2.722	0.0	0.0	0.0	50.0
C00668	alpha-D-Glucose_6-phosphate	-3.658	-2.399	0.0	0.0	0.0	50.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.585	-5.728	0.0	0.0	0.0	50.0
C00179	Agmatine	-1.0	-5.426	0.0	0.0	0.0	50.0
C03406	N-(L-Arginino)succinate	-2.585	-6.15	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-0.447	-3.757	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-0.011	-3.583	0.0	0.0	0.0	50.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.0	-5.492	0.0	0.0	0.0	50.0
C00112	CDP	5.672	-3.261	0.188	60.571	-3.51	80.0
C00343	Thioredoxin_disulfide	-5.672	-3.7	0.0	0.0	0.0	50.0
C00085	D-Fructose_6-phosphate	-4.857	-3.322	0.0	0.0	0.0	50.0
C02972	Dihydrolipoylprotein	8.823	-9.533	0.611	1193.715	-9.511	90.0
C00262	Hypoxanthine	-3.858	2.544	0.402	20.332	-3.032	80.0
C01172	beta-D-Glucose_6-phosphate	-0.12	2.406	0.205	6.387	-0.389	60.0
C00267	alpha-D-Glucose	-7.521	2.775	0.037	190.518	-2.828	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	3.322	-6.768	0.092	118.987	-3.449	80.0
C03415	N2-Succinyl-L-ornithine	2.322	4.7	0.494	30.992	3.937	70.0
C00460	dUTP	2.07	-1.926	0.905	7.999	-2.856	80.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.585	1.874	0.611	9.666	-2.562	80.0
C00181	D-Xylose	4.392	6.833	0.643	135.004	6.439	90.0
C00120	Biotin	5.426	4.524	0.834	65.999	5.782	80.0
C00122	Fumarate	4.481	-6.264	0.291	99.183	-4.849	90.0
C00286	dGTP	4.644	-0.143	0.044	26.107	-0.205	60.0
C00124	D-Galactose	-8.125	-1.503	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	1.585	6.109	0.259	72.023	4.224	70.0
C00327	L-Citrulline	2.585	6.459	0.4	93.974	5.233	80.0
C00206	dADP	-5.102	4.437	0.631	56.005	-5.142	90.0
C02412	Glycyl-tRNA(Gly)	-8.326	-6.066	0.0	0.0	0.0	50.0
C05378	beta-D-Fructose_1,6-bisphosphate	-3.737	4.179	0.736	31.447	-4.533	90.0
C01151	D-Ribose_1,5-bisphosphate	-6.358	-4.585	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-1.0	-5.248	0.0	0.0	0.0	50.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	8.823	5.087	0.577	486.874	8.133	90.0
C04053	5-Dehydro-4-deoxy-D-glucuronate	1.0	5.492	0.182	47.005	3.097	60.0
C03785	D-Tagatose_1,6-bisphosphate	-2.585	-5.7	0.0	0.0	0.0	50.0
C05744	Acetoacetyl-[acp]	-7.249	8.464	0.431	505.229	-7.766	90.0
C03150	Nicotinamide-beta-riboside	5.375	3.459	0.644	52.496	5.078	80.0
C00458	dCTP	4.733	-4.464	0.83	48.663	-5.336	90.0
C00459	dTTP	4.829	-4.559	0.829	51.995	-5.43	90.0
C01367	3'-AMP	-6.644	-6.755	0.0	0.0	0.0	50.0
C01209	Malonyl-[acyl-carrier_protein]	5.215	4.319	0.828	57.102	5.563	80.0
C00721	Dextrin	-6.732	-5.476	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	-0.271	4.569	0.051	24.943	-0.343	60.0
C00212	Adenosine	5.375	-3.524	0.277	53.002	-3.877	90.0
C01368	3'-UMP	-6.644	-6.755	0.0	0.0	0.0	50.0
C00036	Oxaloacetate	1.552	5.54	0.28	49.459	3.792	70.0
C00037	Glycine	4.231	8.689	0.487	431.493	7.715	90.0
C01697	Galactitol	2.322	3.222	0.721	14.331	3.368	70.0
C00035	GDP	5.358	2.485	0.464	46.611	4.434	70.0
C00031	D-Glucose	5.201	5.637	0.923	86.547	6.319	90.0
C00137	myo-Inositol	-6.722	-5.358	0.0	0.0	0.0	50.0
C00130	IMP	-1.879	-3.524	0.0	0.0	0.0	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	10.114	6.741	0.667	1215.163	9.662	90.0
C01050	UDP-N-acetylmuramate	3.961	4.594	0.862	39.724	5.098	80.0
C00049	L-Aspartate	-2.884	-2.2	0.0	0.0	0.0	50.0
C01762	Xanthosine	4.409	3.459	0.785	32.241	4.661	70.0
C00631	2-Phospho-D-glycerate	-0.176	-3.469	0.0	0.0	0.0	50.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	-5.392	5.0	0.762	73.991	-5.817	90.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-2.433	4.624	0.219	30.058	-2.719	80.0
C00042	Succinate	0.979	6.693	0.146	105.436	3.947	70.0
C00041	L-Alanine	0.737	-1.503	0.588	4.501	-1.404	70.0
C00047	L-Lysine	4.248	4.17	0.982	37.002	5.183	80.0
C00046	RNA	-4.8	-5.631	0.0	0.0	0.0	50.0
C00044	GTP	-3.672	-4.486	0.0	0.0	0.0	50.0
C01213	(R)-Methylmalonyl-CoA	2.426	6.617	0.367	103.53	5.246	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-3.781	2.954	0.564	21.496	-3.599	90.0
