compound_code	compound_name	cd630_streptomycin_score	olsenella_630_score	ratio	magnitude	interaction_score	percentile
C00369	Starch	8.058	-3.426	0.04	277.25	-3.483	70.0
C05703	Methaneselenol	-9.048	-3.7	0.025	542.317	-3.735	70.0
C16619	6-Thioguanosine_monophosphate	-6.322	-3.585	0.15	92.004	-3.787	70.0
C16618	6-Thioxanthine_5'-monophosphate	2.585	-1.0	0.333	8.0	-1.415	50.0
C02612	(R)-2-Methylmalate	1.585	3.392	0.467	13.498	2.657	70.0
C00099	beta-Alanine	-2.841	-3.0	0.896	15.165	-3.764	70.0
C00311	Isocitrate	0.488	1.772	0.275	4.818	0.408	60.0
C00310	D-Xylulose	-2.585	-3.7	0.462	18.996	-3.133	60.0
C00641	1,2-Diacyl-sn-glycerol	-3.945	3.17	0.584	24.402	-3.834	80.0
C01931	L-Lysyl-tRNA	-7.257	-3.585	0.078	164.959	-3.694	70.0
C01528	Hydrogen_selenide	-10.043	-2.322	0.005	1059.98	-2.329	50.0
C00469	Ethanol	10.223	4.807	0.47	1223.163	9.168	90.0
C00092	D-Glucose_6-phosphate	-7.999	-4.285	0.076	275.317	-4.391	80.0
C00093	sn-Glycerol_3-phosphate	5.724	3.919	0.685	67.983	5.541	80.0
C00095	D-Fructose	-7.811	-1.222	0.01	226.899	-1.237	50.0
C00097	L-Cysteine	6.465	-2.263	0.054	93.14	-2.339	50.0
C14099	2-Naphthaldehyde	-10.223	-4.807	0.023	1223.163	-4.84	90.0
C14818	Fe2+	8.755	4.7	0.537	458.026	7.942	90.0
C14090	1-Naphthaldehyde	-10.223	-4.807	0.023	1223.163	-4.84	90.0
C05172	Selenophosphoric_acid	2.322	-3.17	0.556	14.001	-2.959	60.0
C00166	Phenylpyruvate	6.647	-0.195	0.011	101.363	-0.211	60.0
C00167	UDP-glucuronate	-4.7	-3.907	0.577	40.993	-4.564	90.0
C02988	L-Histidyl-tRNA(His)	-5.672	-3.322	0.196	60.985	-3.58	70.0
C00180	Benzoate	-7.658	-3.17	0.045	210.971	-3.233	60.0
C00162	Fatty_acid	2.807	3.0	0.936	14.998	3.811	70.0
C00163	Propanoate	7.913	3.954	0.5	256.516	7.002	90.0
C02984	L-Aspartyl-tRNA(Asp)	-6.248	-3.322	0.132	86.004	-3.5	70.0
C02987	L-Glutamyl-tRNA(Glu)	-5.17	-4.392	0.583	56.997	-5.055	90.0
C03263	Coproporphyrinogen_III	5.728	2.0	0.349	57.003	4.315	70.0
C02047	L-Leucyl-tRNA	-6.615	-4.087	0.173	115.014	-4.318	80.0
C03082	4-Phospho-L-aspartate	-4.858	3.293	0.338	38.802	-3.713	70.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.087	-3.459	0.162	78.975	-3.675	70.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-6.84	-5.426	0.375	157.555	-5.886	90.0
C00860	L-Histidinol	-3.585	-3.0	0.667	20.0	-3.737	70.0
C02962	D-Allose_6-phosphate	7.17	3.907	0.545	159.009	6.437	90.0
C00864	Pantothenate	4.322	3.322	0.769	30.001	4.527	80.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	1.17	3.322	0.352	12.251	2.109	60.0
C00906	5,6-Dihydrothymine	4.087	3.17	0.776	25.995	4.334	80.0
C01149	4-Trimethylammoniobutanal	2.807	3.0	0.936	14.998	3.811	70.0
C01412	Butanal	11.199	4.807	0.429	2378.897	9.996	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-5.672	-1.222	0.046	53.318	-1.287	50.0
C03406	N-(L-Arginino)succinate	-5.129	-3.807	0.4	48.99	-4.292	80.0
C00327	L-Citrulline	4.818	-5.488	0.629	73.087	-5.522	90.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-5.728	2.585	0.113	59.003	-2.74	60.0
C05269	3-Oxohexanoyl-CoA	-11.029	-3.0	0.004	2097.584	-3.006	60.0
C18096	D-Allulose_6-phosphate	-7.17	-3.907	0.104	159.009	-4.05	80.0
C00269	CDP-diacylglycerol	-2.585	2.585	1.0	12.0	-3.585	70.0
C16219	3-Oxostearoyl-[acp]	-5.7	6.209	0.703	125.961	-6.468	90.0
C00263	L-Homoserine	-0.322	0.195	0.916	2.395	-1.133	50.0
C00262	Hypoxanthine	5.285	2.585	0.489	44.989	4.46	80.0
C16217	3-Hydroxyoctadecanoyl-CoA	-5.392	-6.209	0.568	115.968	-6.041	90.0
C16216	3-Oxostearoyl-CoA	5.392	6.209	0.868	115.968	6.654	90.0
C00267	alpha-D-Glucose	4.036	2.933	0.727	24.041	4.127	70.0
C00266	Glycolaldehyde	-5.555	-5.392	0.893	89.004	-6.313	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-4.087	-3.585	0.706	28.995	-4.356	80.0
C00460	dUTP	4.459	0.585	0.131	23.493	1.624	60.0
C00286	dGTP	-6.519	-1.807	0.038	95.209	-1.861	50.0
C00283	Hydrogen_sulfide	2.075	3.807	0.545	18.21	3.311	70.0
C01962	Thiocysteine	-5.392	-3.17	0.214	50.991	-3.45	70.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.0	3.17	0.444	13.0	-2.53	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-5.492	-3.585	0.267	57.005	-3.926	80.0
C00217	D-Glutamate	5.19	-0.585	0.041	38.004	-0.643	60.0
C00212	Adenosine	5.369	3.7	0.689	54.323	5.226	80.0
C00036	Oxaloacetate	6.576	-0.694	0.017	97.023	-0.718	60.0
C00037	Glycine	2.201	-0.619	0.334	6.134	-1.035	50.0
C00035	GDP	-5.832	2.087	0.075	61.213	-2.191	50.0
C00033	Acetate	7.698	-1.628	0.015	210.739	-1.649	50.0
C00031	D-Glucose	3.07	4.503	0.682	31.072	4.405	80.0
C00136	Butanoyl-CoA	8.289	-4.392	0.067	333.774	-4.486	80.0
C00135	L-Histidine	5.392	0.585	0.108	43.491	2.238	60.0
C00133	D-Alanine	-8.237	4.585	0.08	325.707	-4.695	90.0
C00131	dATP	-3.885	0.807	0.118	16.524	-0.968	50.0
C00130	IMP	-4.392	0.737	0.079	22.662	-0.847	50.0
C05635	5-Hydroxyindoleacetate	-2.807	-3.0	0.875	14.998	-3.714	70.0
C05634	5-Hydroxyindoleacetaldehyde	2.807	3.0	0.936	14.998	3.811	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.011	-1.17	0.14	18.373	-1.358	50.0
C00041	L-Alanine	5.755	2.322	0.403	59.004	4.573	80.0
C00040	Acyl-CoA	5.91	4.044	0.684	76.625	5.712	80.0
C00047	L-Lysine	5.437	3.585	0.659	55.321	5.189	80.0
C00046	RNA	-5.371	-2.954	0.187	49.133	-3.202	60.0
C00044	GTP	-6.728	-2.976	0.074	113.874	-3.079	60.0
C00049	L-Aspartate	-6.891	1.113	0.018	120.848	-1.139	50.0
C02642	3-Ureidopropionate	-4.087	-3.17	0.53	25.995	-3.783	70.0
C06481	L-Seryl-tRNA(Sec)	-7.119	-3.807	0.101	153.002	-3.945	80.0
C01100	L-Histidinol_phosphate	3.17	3.369	0.941	19.332	4.185	70.0
C01103	Orotidine_5'-phosphate	-4.03	1.874	0.224	20.002	-2.166	50.0
C03688	Apo-[acyl-carrier-protein]	5.285	3.0	0.568	46.989	4.737	80.0
C06002	(S)-Methylmalonate_semialdehyde	2.807	-1.0	0.286	8.998	-1.363	50.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	1.17	3.322	0.352	12.251	2.109	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	1.0	-3.585	0.167	14.0	-1.222	50.0
C00954	Indole-3-acetate	-6.17	-3.0	0.111	80.004	-3.152	60.0
C05345	beta-D-Fructose_6-phosphate	8.032	3.936	0.49	277.047	7.085	90.0
C00818	D-Glucarate	-2.807	-3.0	0.875	14.998	-3.714	70.0
C00424	(S)-Lactaldehyde	-2.0	-5.392	0.095	45.991	-2.131	50.0
C00429	5,6-Dihydrouracil	4.087	3.17	0.776	25.995	4.334	80.0
C05840	Iminoaspartate	-1.0	3.585	0.167	14.0	-1.222	50.0
C05841	Nicotinate_D-ribonucleoside	6.6	3.7	0.561	110.002	5.946	90.0
C16698	N-Acetylmuramic_acid_6-phosphate	-3.392	-3.322	0.953	20.498	-4.287	80.0
C00253	Nicotinate	-6.668	-3.392	0.103	112.185	-3.534	70.0
C00250	Pyridoxal	4.585	3.807	0.83	37.997	4.98	80.0
C00251	Chorismate	2.874	1.322	0.46	9.831	2.177	60.0
C00256	(R)-Lactate	9.872	3.807	0.386	951.058	8.519	90.0
C05336	Selenomethionyl-tRNA(Met)	-5.907	-4.807	0.467	87.998	-5.359	90.0
C00258	D-Glycerate	2.0	-0.585	0.375	5.5	-1.044	50.0
C05335	L-Selenomethionine	2.322	4.0	0.581	21.0	3.608	70.0
C00491	L-Cystine	5.392	3.17	0.588	50.991	4.906	80.0
C00492	Raffinose	1.585	2.807	0.565	9.998	2.497	60.0
C00555	4-Aminobutyraldehyde	2.807	3.0	0.936	14.998	3.811	70.0
C00886	L-Alanyl-tRNA	-6.044	-4.087	0.258	82.977	-4.418	80.0
C00498	ADP-glucose	-7.23	-3.799	0.093	164.042	-3.927	80.0
C00882	Dephospho-CoA	3.459	-1.585	0.273	13.997	-1.933	50.0
C00078	L-Tryptophan	5.044	3.907	0.775	47.992	5.216	80.0
C00079	L-Phenylalanine	-1.972	0.097	0.273	4.993	-0.445	60.0
C00072	Ascorbate	6.322	5.087	0.805	113.993	6.519	90.0
C00073	L-Methionine	4.916	2.248	0.457	34.94	3.998	70.0
C00071	Aldehyde	-9.231	-3.874	0.024	615.57	-3.909	80.0
C00077	L-Ornithine	3.978	6.109	0.651	84.781	5.787	90.0
C00074	Phosphoenolpyruvate	-7.079	-3.165	0.066	144.174	-3.258	60.0
C00075	UTP	7.863	3.479	0.442	243.959	6.754	90.0
C16186	L-Ascorbate_6-phosphate	-6.322	-5.087	0.425	113.993	-5.598	90.0
C00085	D-Fructose_6-phosphate	9.159	4.41	0.481	592.914	8.157	90.0
C00084	Acetaldehyde	8.677	-3.335	0.025	419.387	-3.37	60.0
C00082	L-Tyrosine	-5.147	0.047	0.029	36.466	-0.088	60.0
C00089	Sucrose	1.737	3.0	0.579	11.333	2.714	70.0
C04646	6-Thioinosine-5'-monophosphate	6.728	3.7	0.55	119.002	6.032	90.0
C02218	Dehydroalanine	-5.044	-3.459	0.333	43.988	-3.874	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-4.322	0.637	0.078	21.556	-0.745	60.0
C00672	2-Deoxy-D-ribose_1-phosphate	6.19	-1.0	0.027	75.009	-1.039	50.0
C00673	2-Deoxy-D-ribose_5-phosphate	-5.34	4.358	0.506	61.011	-4.949	90.0
C05936	N4-Acetylaminobutanal	2.807	3.0	0.936	14.998	3.811	70.0
C00106	Uracil	-2.755	-2.433	0.8	12.151	-3.281	60.0
C00105	UMP	2.75	0.807	0.293	8.477	1.315	60.0
C00103	D-Glucose_1-phosphate	-4.556	1.959	0.165	27.411	-2.18	50.0
C00100	Propanoyl-CoA	4.129	-4.03	0.934	33.833	-4.981	90.0
C00101	Tetrahydrofolate	6.822	0.344	0.05	114.412	2.528	60.0
C00109	2-Oxobutanoate	-7.092	2.607	0.045	142.521	-2.67	60.0
C03175	Shikimate_3-phosphate	2.0	-0.585	0.375	5.5	-1.044	50.0
C00361	dGDP	5.896	1.585	0.269	62.549	4.072	70.0
C05807	2-Polyprenylphenol	3.17	3.807	0.833	22.997	4.259	70.0
C02670	D-Glucuronolactone	2.807	3.0	0.936	14.998	3.811	70.0
C02992	L-Threonyl-tRNA(Thr)	-7.322	-3.585	0.075	172.008	-3.689	70.0
C02995	Maltose_6'-phosphate	3.7	4.087	0.905	29.991	4.763	80.0
C03090	5-Phosphoribosylamine	3.945	2.379	0.603	20.603	3.635	70.0
C01077	O-Acetyl-L-homoserine	4.0	3.459	0.865	26.997	4.545	80.0
C01079	Protoporphyrinogen_IX	-5.728	-2.0	0.075	57.003	-2.105	50.0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.663	1.0	0.316	8.333	-1.396	50.0
C00857	Deamino-NAD+	2.322	1.0	0.431	7.0	1.592	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-4.954	-2.0	0.129	34.996	-2.175	50.0
C01172	beta-D-Glucose_6-phosphate	6.492	-2.268	0.054	94.826	-2.343	50.0
C03892	Phosphatidylglycerophosphate	-4.585	-3.807	0.583	37.997	-4.47	80.0
C02412	Glycyl-tRNA(Gly)	-6.994	-3.087	0.067	135.966	-3.18	60.0
C00680	meso-2,6-Diaminoheptanedioate	1.601	3.585	0.447	15.034	2.747	70.0
C02553	L-Seryl-tRNA(Ser)	-7.16	-3.807	0.098	157.009	-3.942	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	9.051	3.682	0.407	543.258	7.788	90.0
C00448	trans,trans-Farnesyl_diphosphate	4.508	0.415	0.092	24.087	1.149	60.0
C02554	L-Valyl-tRNA(Val)	-6.6	-3.585	0.124	109.006	-3.753	70.0
C16220	3-Hydroxyoctadecanoyl-[acp]	5.248	-6.209	0.514	111.979	-5.846	90.0
C00921	Dihydropteroate	-4.524	2.807	0.304	30.005	-3.19	60.0
C00458	dCTP	-6.939	-1.441	0.022	125.416	-1.473	50.0
C00459	dTTP	4.872	3.682	0.756	42.118	4.992	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-3.322	-2.585	0.6	16.001	-3.263	60.0
C00455	Nicotinamide_D-ribonucleotide	5.977	3.0	0.502	70.988	5.155	80.0
C01697	Galactitol	8.745	5.334	0.61	469.386	8.161	90.0
C00330	Deoxyguanosine	6.6	-2.807	0.072	104.004	-2.907	60.0
C00332	Acetoacetyl-CoA	-8.761	-0.893	0.004	435.691	-0.899	50.0
C00334	4-Aminobutanoate	6.422	-3.0	0.093	93.746	-3.129	60.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	5.248	-6.209	0.514	111.979	-5.846	90.0
C00637	Indole-3-acetaldehyde	2.807	3.0	0.936	14.998	3.811	70.0
C00631	2-Phospho-D-glycerate	-3.632	0.047	0.083	13.431	-0.162	60.0
C00208	Maltose	4.285	-4.954	0.629	50.49	-4.989	90.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-4.437	-2.322	0.231	26.661	-2.622	50.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-4.883	-2.0	0.136	33.507	-2.183	50.0
C00025	L-Glutamate	-5.822	0.585	0.027	58.071	-0.623	60.0
C00024	Acetyl-CoA	-8.987	-2.581	0.012	513.391	-2.598	50.0
C00148	L-Proline	8.987	1.585	0.176	510.407	6.492	90.0
C00026	2-Oxoglutarate	-6.91	-0.915	0.016	122.144	-0.937	50.0
C00021	S-Adenosyl-L-homocysteine	-3.322	-2.248	0.475	14.751	-2.809	60.0
C00020	AMP	5.513	0.322	0.058	46.915	1.454	60.0
C00022	Pyruvate	-7.411	-2.336	0.03	175.239	-2.378	50.0
C00143	5,10-Methylenetetrahydrofolate	-7.49	0.652	0.009	181.34	-0.665	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-1.585	-0.3	0.41	4.231	-0.796	50.0
C00029	UDP-glucose	-5.508	1.737	0.073	48.84	-1.839	50.0
C00147	Adenine	0.466	-0.252	0.862	2.572	-1.149	50.0
C00144	GMP	-4.982	0.637	0.049	33.158	-0.706	60.0
C06311	Galactitol_1-phosphate	-8.745	-5.334	0.094	469.386	-5.464	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.954	-3.879	0.475	45.709	-4.439	80.0
C03232	3-Phosphonooxypyruvate	-4.392	-4.379	0.991	41.802	-5.373	90.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.755	-0.737	0.247	8.417	-1.055	50.0
C06250	Holo-[carboxylase]	5.644	-3.907	0.3	65.006	-4.286	80.0
C00314	Pyridoxine	4.585	3.807	0.83	37.997	4.98	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.644	4.0	0.602	116.01	6.126	90.0
C01134	Pantetheine_4'-phosphate	-5.755	1.415	0.049	56.671	-1.485	50.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.267	-3.322	0.13	87.012	-3.498	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-5.044	-3.907	0.455	47.992	-4.448	80.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.384	-3.322	0.06	177.035	-3.406	70.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	5.248	-6.209	0.514	111.979	-5.846	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-5.7	6.209	0.703	125.961	-6.468	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	5.248	-6.209	0.514	111.979	-5.846	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-5.7	6.209	0.703	125.961	-6.468	90.0
C00804	Propynoate	-2.807	-3.0	0.875	14.998	-3.714	70.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	6.229	4.585	0.736	99.01	6.187	90.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	1.0	3.459	0.289	12.997	1.91	60.0
C00415	Dihydrofolate	-5.248	0.737	0.044	39.669	-0.799	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	7.15	-1.585	0.021	145.025	-1.615	50.0
C00620	alpha-D-Ribose_1-phosphate	6.907	4.392	0.636	141.004	6.486	90.0
C00242	Guanine	-5.518	1.803	0.076	49.312	-1.909	50.0
C00245	Taurine	5.044	-3.322	0.303	42.991	-3.704	70.0
C02170	Methylmalonate	-2.807	-3.0	0.875	14.998	-3.714	70.0
C01097	D-Tagatose_6-phosphate	5.53	1.379	0.249	48.807	3.605	70.0
C01094	D-Fructose_1-phosphate	8.517	5.007	0.588	398.486	7.872	90.0
C00068	Thiamin_diphosphate	1.644	0.241	0.147	4.307	-0.663	60.0
C00342	Thioredoxin	-9.947	3.807	0.014	1001.061	-3.827	80.0
C00343	Thioredoxin_disulfide	9.967	-3.807	0.014	1014.84	-3.827	80.0
C00063	CTP	7.758	3.08	0.397	224.923	6.481	90.0
C00062	L-Arginine	4.17	-4.248	0.947	37.002	-5.132	90.0
C00065	L-Serine	4.44	0.585	0.132	23.206	1.612	60.0
C00064	L-Glutamine	5.421	-3.763	0.317	56.419	-4.16	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	4.954	-3.585	0.387	42.996	-4.057	80.0
C16631	alpha-Fluoro-beta-ureidopropionic_acid	-4.087	-3.17	0.53	25.995	-3.783	70.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	7.181	1.459	0.203	147.859	4.909	80.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	5.492	3.322	0.605	55.005	5.056	80.0
C00668	alpha-D-Glucose_6-phosphate	7.097	-2.056	0.03	141.06	-2.099	50.0
C00666	LL-2,6-Diaminoheptanedioate	-6.647	-4.446	0.217	122.014	-4.73	90.0
C02163	L-Arginyl-tRNA(Arg)	-5.392	-3.807	0.333	55.987	-4.222	80.0
C00988	2-Phosphoglycolate	4.524	4.248	0.939	42.008	5.302	80.0
C00117	D-Ribose_5-phosphate	-8.485	-3.858	0.04	372.794	-3.915	80.0
C00111	Glycerone_phosphate	-7.34	-1.58	0.018	165.007	-1.606	50.0
C00112	CDP	-6.349	-3.322	0.123	91.516	-3.489	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-5.57	-1.418	0.056	50.177	-1.497	50.0
C00118	D-Glyceraldehyde_3-phosphate	-6.707	-0.726	0.016	106.128	-0.749	60.0
C03492	D-4'-Phosphopantothenate	5.426	-1.0	0.047	44.992	-1.066	50.0
C11924	Perillic_acid	-2.807	-3.0	0.875	14.998	-3.714	70.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-2.619	-4.044	0.372	22.639	-3.076	60.0
C14145	(3S)-3-Hydroxyadipyl-CoA	10.82	4.322	0.399	1827.777	9.512	90.0
C05756	3-Oxododecanoyl-[acp]	-5.7	6.209	0.703	125.961	-6.468	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	5.248	-6.209	0.514	111.979	-5.846	90.0
C05759	3-Oxotetradecanoyl-[acp]	-5.7	6.209	0.703	125.961	-6.468	90.0
C05811	2-Octaprenyl-6-hydroxyphenol	-3.17	-3.807	0.643	22.997	-3.886	80.0
C05810	2-Octaprenylphenol	3.17	3.807	0.833	22.997	4.259	70.0
C00188	L-Threonine	7.462	0.788	0.106	178.04	4.233	70.0
C02702	L-Prolyl-tRNA(Pro)	-8.931	-4.459	0.045	510.082	-4.523	80.0
C00183	L-Valine	6.6	0.222	0.034	98.172	1.723	60.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	4.392	-1.222	0.111	23.328	-1.374	50.0
C00181	D-Xylose	-1.585	3.7	0.231	15.996	-1.885	50.0
C05985	2-Propynal	2.807	3.0	0.936	14.998	3.811	70.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.304	-3.322	0.127	89.013	-3.494	70.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.233	-0.263	0.128	10.602	-0.436	60.0
C00689	alpha,alpha'-Trehalose_6-phosphate	9.013	4.087	0.453	533.629	7.919	90.0
C16348	cis-3-Chloroallyl_aldehyde	-8.481	-2.939	0.021	364.971	-2.97	60.0
C02946	4-Acetamidobutanoate	-2.807	-3.0	0.875	14.998	-3.714	70.0
C05100	3-Ureidoisobutyrate	-4.087	-3.17	0.53	25.995	-3.783	70.0
C00160	Glycolate	8.208	-4.248	0.064	314.703	-4.338	80.0
C11437	1-Deoxy-D-xylulose_5-phosphate	1.485	-1.202	0.822	5.1	-2.067	50.0
C18239	Precursor_Z	-4.755	-3.459	0.407	37.999	-3.952	80.0
C00446	alpha-D-Galactose_1-phosphate	4.858	-0.848	0.062	30.8	-0.935	50.0
C00445	5,10-Methenyltetrahydrofolate	-3.544	2.663	0.543	17.998	-3.289	60.0
C01762	Xanthosine	6.248	3.7	0.592	89.0	5.72	80.0
C00441	L-Aspartate_4-semialdehyde	7.384	4.143	0.561	184.701	6.695	90.0
C00440	5-Methyltetrahydrofolate	-5.257	1.222	0.061	40.572	-1.307	50.0
C00526	Deoxyuridine	-1.585	4.248	0.158	22.001	-1.796	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	1.7	1.7	1.0	6.498	2.7	70.0
C00169	Carbamoyl_phosphate	-5.087	4.829	0.836	62.412	-5.706	90.0
C03838	5'-Phosphoribosylglycinamide	-4.7	-3.0	0.308	33.992	-3.387	70.0
C03722	Quinolinate	1.0	-3.585	0.167	14.0	-1.222	50.0
C05402	Melibiose	-1.585	-2.807	0.429	9.998	-2.1	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.585	-2.807	0.429	9.998	-2.1	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.585	3.322	0.477	13.001	2.633	60.0
C00627	Pyridoxine_phosphate	-4.585	-3.807	0.583	37.997	-4.47	80.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-5.555	1.0	0.043	49.013	-1.06	50.0
C00231	D-Xylulose_5-phosphate	-7.392	-3.54	0.069	179.595	-3.637	70.0
C00235	Dimethylallyl_diphosphate	-4.336	-0.678	0.079	21.796	-0.788	60.0
C01613	Stachyose	1.585	2.807	0.565	9.998	2.497	60.0
C00159	D-Mannose	7.95	6.331	0.796	327.784	8.028	90.0
C00011	CO2	9.412	4.674	0.497	706.759	8.455	90.0
C00014	Ammonia	-9.177	3.17	0.016	587.832	-3.192	60.0
C00015	UDP	-5.762	1.0	0.037	56.267	-1.052	50.0
C00018	Pyridoxal_phosphate	-4.585	-3.807	0.583	37.997	-4.47	80.0
C00019	S-Adenosyl-L-methionine	-5.771	0.807	0.032	56.356	-0.852	50.0
C00153	Nicotinamide	-5.781	-3.7	0.236	67.982	-4.006	80.0
C00152	L-Asparagine	7.232	3.807	0.526	164.328	6.435	90.0
C00155	L-Homocysteine	-2.907	2.248	0.633	12.251	-2.956	60.0
C02835	Imidazole-4-acetate	-2.807	-3.0	0.875	14.998	-3.714	70.0
C00197	3-Phospho-D-glycerate	-2.682	3.51	0.563	17.81	-3.327	60.0
C02336	beta-D-Fructose	2.0	2.0	1.0	8.0	3.0	70.0
C00058	Formate	8.63	3.209	0.372	405.424	7.236	90.0
C16630	5,6-Dihydro-5-fluorouracil	4.087	3.17	0.776	25.995	4.334	80.0
C00301	ADP-ribose	6.539	3.585	0.548	104.99	5.847	90.0
C00718	Amylose	-7.476	2.907	0.042	185.533	-2.967	60.0
C02232	3-Oxoadipyl-CoA	-10.82	-4.322	0.011	1827.777	-4.338	80.0
C14089	1-Hydroxymethylnaphthalene	10.223	4.807	0.47	1223.163	9.168	90.0
C02909	(2-Naphthyl)methanol	10.223	4.807	0.47	1223.163	9.168	90.0
