compound_code	compound_name	clostridium_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C00760	Cellulose	-2.874	-2.115	0.591	11.663	-2.785	50.0
C00093	sn-Glycerol_3-phosphate	-3.17	5.724	0.17	61.857	-3.397	60.0
C00094	Sulfite	0.342	-2.678	0.198	7.667	-0.603	60.0
C00095	D-Fructose	7.013	-7.811	0.575	353.725	-7.668	90.0
C00097	L-Cysteine	-3.694	6.465	0.147	101.282	-3.891	60.0
C14099	2-Naphthaldehyde	-4.977	-10.223	0.026	1226.664	-5.015	80.0
C06311	Galactitol_1-phosphate	-7.17	-8.745	0.336	573.057	-7.588	90.0
C14090	1-Naphthaldehyde	-4.977	-10.223	0.026	1226.664	-5.015	80.0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	3.459	2.807	0.812	17.995	3.868	70.0
C11949	3-Isopropylbut-3-enoyl-CoA	-3.459	-2.807	0.636	17.995	-3.518	60.0
C05775	alpha-Ribazole	-4.605	-4.087	0.698	41.33	-4.851	80.0
C07118	Benzoyl_acetyl-CoA	3.459	2.807	0.812	17.995	3.868	70.0
C00166	Phenylpyruvate	2.595	6.647	0.39	106.26	5.374	80.0
C02988	L-Histidyl-tRNA(His)	-6.17	-5.672	0.708	122.989	-6.444	90.0
C00162	Fatty_acid	3.0	2.807	0.936	14.998	3.811	70.0
C02984	L-Aspartyl-tRNA(Asp)	-5.285	-6.248	0.513	114.993	-5.882	90.0
C00169	Carbamoyl_phosphate	-0.308	-5.087	0.036	35.227	-0.36	60.0
C02047	L-Leucyl-tRNA	-6.658	-6.615	0.971	199.005	-7.594	90.0
C03082	4-Phospho-L-aspartate	-3.17	-4.858	0.31	38.001	-3.56	60.0
C04377	5,10-Methylenetetrahydromethanopterin	-7.322	-7.087	0.85	295.964	-7.974	90.0
C20396	Methylphosphonate	0.585	0.322	0.55	2.75	0.598	60.0
C00860	L-Histidinol	1.585	-3.585	0.25	15.0	-1.907	50.0
C00329	D-Glucosamine	2.322	3.0	0.774	13.0	3.331	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-2.248	1.17	0.474	7.0	-1.729	50.0
C01419	Cys-Gly	5.209	8.276	0.629	346.962	7.771	90.0
C01149	4-Trimethylammoniobutanal	3.0	2.807	0.936	14.998	3.811	70.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-2.939	8.666	0.019	413.856	-2.966	50.0
C06510	Adenosine-GDP-cobinamide	1.0	-4.907	0.067	32.002	-1.093	50.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.0	-5.672	0.039	52.985	-1.056	60.0
C03406	N-(L-Arginino)succinate	-4.392	-5.129	0.6	55.989	-5.07	80.0
C05512	Deoxyinosine	-3.0	5.816	0.142	64.337	-3.192	60.0
C07645	Aldophosphamide	4.044	5.285	0.765	55.485	5.408	80.0
C00288	HCO3-	6.033	6.721	0.898	170.974	7.262	90.0
C00269	CDP-diacylglycerol	1.138	-2.585	0.367	8.201	-1.589	50.0
C00506	L-Cysteate	4.644	9.347	0.497	676.222	8.392	90.0
C00263	L-Homoserine	-0.222	-0.322	0.933	2.416	-1.173	50.0
C00267	alpha-D-Glucose	-0.628	4.036	0.094	17.95	-0.758	60.0
C00469	Ethanol	4.977	10.223	0.487	1226.664	9.222	90.0
C00460	dUTP	5.044	4.459	0.884	54.984	5.603	80.0
C00286	dGTP	3.755	-6.519	0.147	105.211	-3.953	70.0
C01962	Thiocysteine	-3.585	-5.392	0.286	53.991	-3.948	70.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.322	-2.0	0.8	9.0	-2.848	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-1.0	-5.492	0.044	47.005	-1.063	60.0
C00217	D-Glutamate	-4.322	5.19	0.548	56.505	-4.952	80.0
C00212	Adenosine	2.17	5.369	0.404	45.827	4.211	70.0
C00606	3-Sulfino-L-alanine	5.481	-7.346	0.275	207.355	-5.831	90.0
C05840	Iminoaspartate	-3.0	-1.0	0.25	10.0	-1.322	50.0
C00037	Glycine	5.772	2.201	0.381	59.242	4.498	70.0
C00035	GDP	3.7	-5.832	0.228	69.961	-3.996	70.0
C00033	Acetate	-2.585	7.698	0.029	213.649	-2.626	50.0
C00031	D-Glucose	-3.773	3.07	0.614	22.068	-3.761	60.0
C00136	Butanoyl-CoA	-6.524	8.289	0.294	404.807	-6.896	90.0
C00135	L-Histidine	3.97	5.392	0.736	57.661	5.408	80.0
C00134	Putrescine	-2.115	4.392	0.206	25.327	-2.386	50.0
C00133	D-Alanine	3.03	-8.237	0.027	309.874	-3.069	50.0
C00131	dATP	-0.678	-3.885	0.108	16.374	-0.826	60.0
C00130	IMP	0.807	-4.392	0.083	22.745	-0.922	60.0
C05635	5-Hydroxyindoleacetate	-3.0	-2.807	0.875	14.998	-3.714	60.0
C05634	5-Hydroxyindoleacetaldehyde	3.0	2.807	0.936	14.998	3.811	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-0.415	-4.011	0.083	17.456	-0.53	60.0
C00041	L-Alanine	-5.17	5.755	0.667	90.006	-5.907	90.0
C00040	Acyl-CoA	4.248	5.91	0.719	79.13	5.83	80.0
C00047	L-Lysine	-4.358	5.437	0.473	63.828	-4.917	80.0
C00046	RNA	-3.591	-5.371	0.291	53.434	-3.96	70.0
C00044	GTP	-2.648	-6.728	0.059	112.274	-2.731	50.0
C00049	L-Aspartate	1.394	-6.891	0.022	121.314	-1.426	50.0
C00048	Glyoxylate	2.143	-5.049	0.133	37.522	-2.324	50.0
C06481	L-Seryl-tRNA(Sec)	-4.858	-7.119	0.209	168.006	-5.131	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	5.781	5.492	0.95	99.991	6.57	90.0
C01100	L-Histidinol_phosphate	0.737	3.17	0.232	10.667	1.31	60.0
C03688	Apo-[acyl-carrier-protein]	4.728	5.285	0.895	65.491	5.873	80.0
C06002	(S)-Methylmalonate_semialdehyde	3.0	2.807	0.936	14.998	3.811	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	-2.248	1.17	0.474	7.0	-1.729	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	3.0	1.0	0.333	10.0	1.737	60.0
C00954	Indole-3-acetate	-3.0	-6.17	0.111	80.004	-3.152	50.0
C00957	Mercaptopyruvate	4.82	-6.484	0.316	117.758	-5.216	80.0
C05345	beta-D-Fructose_6-phosphate	-5.033	8.032	0.125	294.482	-5.203	80.0
C00818	D-Glucarate	1.585	-2.807	0.429	9.998	-2.1	50.0
C03451	(R)-S-Lactoylglutathione	7.044	6.741	0.957	238.929	7.837	90.0
C00036	Oxaloacetate	0.461	6.576	0.07	96.782	2.762	70.0
C05338	4-Hydroxyphenylacetyl-CoA	3.459	2.807	0.812	17.995	3.868	70.0
C00255	Riboflavin	5.615	5.0	0.89	81.01	6.173	80.0
C05336	Selenomethionyl-tRNA(Met)	-2.807	-5.907	0.117	67.003	-2.966	50.0
C00392	Mannitol	7.577	7.209	0.951	338.897	8.333	90.0
C00258	D-Glycerate	-0.83	2.0	0.444	5.778	-1.36	50.0
C05335	L-Selenomethionine	2.807	2.322	0.827	11.999	3.311	70.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-4.044	-5.285	0.423	55.485	-4.553	70.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	4.044	5.285	0.765	55.485	5.408	80.0
C01081	Thiamin_monophosphate	-4.17	-3.322	0.556	28.001	-3.959	70.0
C00559	Deoxyadenosine	3.0	-5.816	0.142	64.337	-3.192	60.0
C00491	L-Cystine	3.585	5.392	0.665	53.991	5.166	80.0
C00492	Raffinose	0.737	1.585	0.465	4.667	1.118	60.0
C00493	Shikimate	-0.617	-1.047	0.742	3.6	-1.418	50.0
C00555	4-Aminobutyraldehyde	3.0	2.807	0.936	14.998	3.811	70.0
C00886	L-Alanyl-tRNA	-6.285	-6.044	0.846	143.96	-6.929	90.0
C00498	ADP-glucose	-3.459	-7.23	0.073	161.12	-3.561	60.0
C00499	Allantoate	7.555	6.392	0.846	272.035	7.846	90.0
C00079	L-Phenylalanine	-1.283	-1.972	0.62	6.357	-1.979	50.0
C00073	L-Methionine	2.807	4.916	0.571	37.188	4.408	70.0
C00071	Aldehyde	-4.565	-9.231	0.039	624.578	-4.621	70.0
C00077	L-Ornithine	1.0	3.978	0.251	17.758	2.158	60.0
C00074	Phosphoenolpyruvate	-6.828	-7.079	0.84	248.819	-7.708	90.0
C00075	UTP	4.135	7.863	0.526	250.378	7.041	90.0
C00084	Acetaldehyde	4.552	8.677	0.525	432.754	7.827	90.0
C00083	Malonyl-CoA	-5.964	-5.976	0.992	125.367	-6.958	90.0
C00082	L-Tyrosine	1.284	-5.147	0.069	37.868	-1.38	50.0
C00089	Sucrose	-0.322	1.737	0.375	4.583	-0.781	60.0
C04646	6-Thioinosine-5'-monophosphate	1.585	6.728	0.236	109.006	4.683	70.0
C00670	sn-Glycero-3-phosphocholine	3.807	3.907	0.974	28.998	4.82	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	-4.322	0.078	21.556	-0.745	60.0
C00672	2-Deoxy-D-ribose_1-phosphate	-4.524	6.19	0.315	96.016	-4.919	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.322	-5.34	0.062	43.004	-1.408	50.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.678	-0.678	1.0	3.2	-1.678	50.0
C05936	N4-Acetylaminobutanal	3.0	2.807	0.936	14.998	3.811	70.0
C00106	Uracil	-3.598	-2.755	0.557	18.859	-3.394	60.0
C00103	D-Glucose_1-phosphate	5.771	-4.556	0.431	78.129	-5.073	80.0
C00101	Tetrahydrofolate	-4.265	6.822	0.17	132.369	-4.491	70.0
C00109	2-Oxobutanoate	-3.755	-7.092	0.099	149.929	-3.891	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-5.248	3.807	0.368	51.998	-4.259	70.0
C06899	Chloral_hydrate	4.044	5.285	0.765	55.485	5.408	80.0
C03175	Shikimate_3-phosphate	2.0	2.0	1.0	8.0	3.0	70.0
C00361	dGDP	-4.248	5.896	0.319	78.55	-4.648	70.0
C02670	D-Glucuronolactone	3.0	2.807	0.936	14.998	3.811	70.0
C02995	Maltose_6'-phosphate	-4.644	3.7	0.52	37.999	-4.304	70.0
C03090	5-Phosphoribosylamine	-4.379	3.945	0.74	36.209	-4.744	70.0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-5.459	-5.0	0.727	75.987	-5.789	90.0
C01079	Protoporphyrinogen_IX	-2.585	-5.728	0.113	59.003	-2.74	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.0	2.939	0.522	11.669	-2.606	50.0
C00857	Deamino-NAD+	3.907	2.322	0.594	20.001	3.571	70.0
C01179	3-(4-Hydroxyphenyl)pyruvate	0.249	3.065	0.081	9.557	-0.365	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-4.807	-4.954	0.903	58.989	-5.735	90.0
C01172	beta-D-Glucose_6-phosphate	-2.126	6.492	0.048	94.374	-2.194	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	5.664	-2.619	0.121	56.846	-2.784	50.0
C00680	meso-2,6-Diaminoheptanedioate	0.921	1.601	0.575	4.927	1.503	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.129	-6.304	0.886	148.998	-7.044	90.0
C02553	L-Seryl-tRNA(Ser)	-4.858	-7.16	0.203	172.013	-5.124	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	-5.392	9.051	0.079	572.414	-5.502	80.0
C16551	Alcophosphamide	-4.044	-5.285	0.423	55.485	-4.553	70.0
C00512	S-Benzoate_coenzyme_A	-3.459	-2.807	0.636	17.995	-3.518	60.0
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	2.322	2.0	0.861	9.0	2.955	70.0
C00458	dCTP	3.585	-6.939	0.098	134.701	-3.72	60.0
C05699	L-Selenocystathionine	3.585	5.392	0.665	53.991	5.166	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-3.524	-3.322	0.869	21.504	-4.225	70.0
C01697	Galactitol	7.17	8.745	0.82	573.057	8.876	90.0
C15972	Enzyme_N6-(lipoyl)lysine	1.585	-8.145	0.011	286.067	-1.6	50.0
C00334	4-Aminobutanoate	5.075	6.422	0.79	119.454	6.561	90.0
C04122	D-1-Aminopropan-2-ol_O-phosphate	-4.585	-2.0	0.167	28.001	-2.222	50.0
C00637	Indole-3-acetaldehyde	3.0	2.807	0.936	14.998	3.811	70.0
C00631	2-Phospho-D-glycerate	-4.05	-3.632	0.748	28.962	-4.438	70.0
C00208	Maltose	4.672	4.285	0.917	44.987	5.367	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	0.222	-4.437	0.054	22.827	-0.298	60.0
C00206	dADP	-3.036	8.088	0.03	280.303	-3.079	50.0
C07490	Trichloroethanol	-4.044	-5.285	0.423	55.485	-4.553	70.0
C00025	L-Glutamate	2.766	-5.822	0.12	63.374	-2.93	50.0
C00024	Acetyl-CoA	-2.609	-8.987	0.012	513.508	-2.626	50.0
C00148	L-Proline	-3.787	8.987	0.027	521.211	-3.826	60.0
C00026	2-Oxoglutarate	-4.224	-6.91	0.155	138.946	-4.432	70.0
C00021	S-Adenosyl-L-homocysteine	-4.19	-3.322	0.548	28.253	-3.952	70.0
C00020	AMP	-0.115	5.513	0.024	46.747	-0.149	60.0
C00022	Pyruvate	-4.284	-7.411	0.114	189.671	-4.44	70.0
C00143	5,10-Methylenetetrahydrofolate	4.592	-7.49	0.134	203.886	-4.774	80.0
C00141	3-Methyl-2-oxobutanoic_acid	1.566	-1.585	0.987	5.961	-2.557	50.0
C00029	UDP-glucose	4.689	-5.508	0.567	71.301	-5.337	80.0
C00147	Adenine	0.149	0.466	0.32	2.49	-0.329	60.0
C00144	GMP	-1.399	-4.982	0.083	34.24	-1.515	50.0
C05729	R-S-Cysteinylglycine	5.209	8.276	0.629	346.962	7.771	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-0.893	-4.954	0.06	32.853	-0.977	60.0
C03232	3-Phosphonooxypyruvate	1.138	-4.392	0.105	23.196	-1.282	50.0
C00099	beta-Alanine	4.261	-2.841	0.374	26.338	-3.299	60.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.858	2.755	0.964	14.001	3.754	70.0
C05726	S-Substituted_L-cysteine	-5.209	-8.418	0.108	379.023	-5.357	80.0
C00705	dCDP	4.03	4.524	0.891	39.343	5.131	80.0
C06250	Holo-[carboxylase]	6.611	5.644	0.854	147.753	6.979	90.0
C04419	Carboxybiotin-carboxyl-carrier_protein	-6.033	-4.044	0.252	81.976	-4.368	70.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	4.17	2.807	0.673	24.999	4.073	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.807	6.644	0.724	128.003	6.533	90.0
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-4.17	-4.0	0.889	34.001	-4.918	80.0
C00092	D-Glucose_6-phosphate	-5.141	-7.999	0.138	291.108	-5.327	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-1.807	-6.267	0.045	80.511	-1.871	50.0
C12147	L-Threonine_O-3-phosphate	3.459	3.459	1.0	21.993	4.459	70.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.592	-7.384	0.866	359.973	-8.284	90.0
C00804	Propynoate	-3.0	-2.807	0.875	14.998	-3.714	60.0
C00969	3-Hydroxypropanal	5.524	5.285	0.957	85.003	6.346	80.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	6.459	6.229	0.964	162.983	7.296	90.0
C00416	Phosphatidate	-5.476	2.663	0.142	50.842	-2.855	50.0
C00620	alpha-D-Ribose_1-phosphate	5.966	6.907	0.864	182.518	7.301	90.0
C00242	Guanine	1.837	-5.518	0.078	49.396	-1.945	50.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-4.044	-5.285	0.423	55.485	-4.553	70.0
C02170	Methylmalonate	-3.0	-2.807	0.875	14.998	-3.714	60.0
C00568	4-Aminobenzoate	-4.585	5.322	0.6	64.003	-5.263	80.0
C01097	D-Tagatose_6-phosphate	2.807	5.53	0.508	53.204	4.755	80.0
C01096	Sorbitol_6-phosphate	-1.585	3.939	0.196	18.338	-1.843	50.0
C01094	D-Fructose_1-phosphate	-8.23	8.517	0.82	666.576	-9.094	90.0
C00068	Thiamin_diphosphate	-0.415	1.644	0.427	4.459	-0.928	60.0
C00342	Thioredoxin	-9.75	-9.947	0.872	1848.142	-10.655	90.0
C00343	Thioredoxin_disulfide	9.747	9.967	0.978	1860.132	10.829	90.0
C00344	Phosphatidylglycerol	2.0	6.0	0.333	68.0	4.503	70.0
C05684	Selenite	9.765	10.043	0.972	1925.057	10.87	90.0
C00063	CTP	3.863	7.758	0.498	231.017	6.846	90.0
C00062	L-Arginine	5.672	4.17	0.735	68.986	5.664	80.0
C00065	L-Serine	-6.479	4.44	0.243	110.907	-4.754	80.0
C00064	L-Glutamine	-6.228	5.421	0.572	117.801	-6.073	90.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	6.17	4.954	0.803	103.0	6.37	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	0.322	7.181	0.045	146.36	2.714	60.0
C00668	alpha-D-Glucose_6-phosphate	-5.449	7.097	0.319	180.585	-5.849	90.0
C00666	LL-2,6-Diaminoheptanedioate	3.716	-6.647	0.131	113.359	-3.894	70.0
C00663	beta-D-Glucose_1-phosphate	-4.248	-1.585	0.158	22.001	-1.796	50.0
C02163	L-Arginyl-tRNA(Arg)	-5.672	-5.392	0.824	92.976	-6.259	90.0
C00989	4-Hydroxybutanoic_acid	8.618	8.711	0.989	811.951	9.65	90.0
C00114	Choline	-3.807	-3.907	0.933	28.998	-4.758	80.0
C00117	D-Ribose_5-phosphate	-4.158	-8.485	0.05	376.146	-4.228	70.0
C00111	Glycerone_phosphate	0.902	-7.34	0.012	163.885	-0.919	60.0
C00112	CDP	2.624	-6.349	0.076	87.68	-2.729	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	1.402	-5.57	0.056	50.147	-1.48	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.762	-6.707	0.26	131.607	-5.095	80.0
C11924	Perillic_acid	-3.0	-2.807	0.875	14.998	-3.714	60.0
C02412	Glycyl-tRNA(Gly)	-7.119	-6.994	0.917	266.474	-7.933	90.0
C00188	L-Threonine	-4.636	7.462	0.141	201.178	-4.826	80.0
C00189	Ethanolamine	4.0	4.03	0.993	32.336	5.004	80.0
C02702	L-Prolyl-tRNA(Pro)	-1.0	-8.931	0.004	490.089	-1.006	60.0
C00185	Cellobiose	-2.807	-2.807	1.0	13.997	-3.807	60.0
C05985	2-Propynal	3.0	2.807	0.936	14.998	3.811	70.0
C00011	CO2	6.398	9.412	0.68	765.562	9.023	90.0
C16348	cis-3-Chloroallyl_aldehyde	-2.637	-8.481	0.017	363.522	-2.662	50.0
C02946	4-Acetamidobutanoate	-3.0	-2.807	0.875	14.998	-3.714	60.0
C00327	L-Citrulline	4.336	4.818	0.9	48.403	5.445	80.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	4.044	5.285	0.765	55.485	5.408	80.0
C00015	UDP	2.807	-5.762	0.129	61.265	-2.982	50.0
C06715	3-Oxopimeloyl-CoA	3.459	2.807	0.812	17.995	3.868	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	2.632	1.485	0.564	8.998	2.344	60.0
C09306	Sulfur_dioxide	-7.285	-7.375	0.94	321.952	-8.241	90.0
C16237	Protein_N6-(lipoyl)lysine	-5.426	-6.358	0.524	125.018	-6.034	90.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	3.939	2.874	0.73	22.669	4.048	70.0
C18239	Precursor_Z	-4.858	-4.755	0.931	56.002	-5.704	80.0
C00446	alpha-D-Galactose_1-phosphate	3.868	4.858	0.796	43.601	5.118	80.0
C00441	L-Aspartate_4-semialdehyde	-3.239	7.384	0.057	176.476	-3.318	60.0
C00526	Deoxyuridine	3.222	-1.585	0.322	12.331	-1.987	50.0
C00527	Glutaryl-CoA	-3.059	-2.807	0.84	15.332	-3.686	60.0
C03263	Coproporphyrinogen_III	2.585	5.728	0.451	59.003	4.735	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-5.248	3.807	0.368	51.998	-4.259	70.0
C03722	Quinolinate	3.17	1.0	0.315	11.0	1.795	60.0
C05402	Melibiose	-0.737	-1.585	0.556	4.667	-1.374	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.585	-1.585	1.0	6.0	-2.585	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-2.807	1.585	0.429	9.998	-2.1	50.0
C11355	4-Amino-4-deoxychorismate	4.585	-3.248	0.396	33.501	-3.729	60.0
C00459	dTTP	4.066	4.872	0.835	46.032	5.264	80.0
C01346	dUDP	-4.248	3.115	0.456	27.665	-3.657	60.0
C00232	Succinate_semialdehyde	-6.052	-6.653	0.659	166.985	-6.783	90.0
C00235	Dimethylallyl_diphosphate	-5.853	-4.336	0.349	77.996	-4.768	80.0
C01613	Stachyose	1.415	1.585	0.893	5.667	2.339	60.0
C00159	D-Mannose	-1.0	7.95	0.008	249.28	-1.012	60.0
C05984	2-Hydroxybutanoic_acid	6.977	6.687	0.958	229.011	7.778	90.0
C00014	Ammonia	6.096	-9.177	0.118	647.235	-6.257	90.0
C05980	Cardiolipin	-2.0	-6.0	0.063	68.0	-2.087	50.0
C05823	3-Mercaptolactate	-6.977	-6.687	0.818	229.011	-7.549	90.0
C00152	L-Asparagine	-4.732	7.232	0.177	176.906	-4.967	80.0
C00155	L-Homocysteine	-2.7	-2.907	0.866	13.999	-3.6	60.0
C02835	Imidazole-4-acetate	-3.0	-2.807	0.875	14.998	-3.714	60.0
C02336	beta-D-Fructose	2.632	2.0	0.76	10.199	2.954	70.0
C03785	D-Tagatose_1,6-bisphosphate	-2.807	6.263	0.091	83.796	-2.933	50.0
C00655	Xanthosine_5'-phosphate	-1.273	4.971	0.077	33.78	-1.38	50.0
C00718	Amylose	4.129	-7.476	0.098	195.529	-4.264	70.0
C01134	Pantetheine_4'-phosphate	4.585	-5.755	0.444	78.005	-5.115	80.0
C14089	1-Hydroxymethylnaphthalene	4.977	10.223	0.487	1226.664	9.222	90.0
C02909	(2-Naphthyl)methanol	4.977	10.223	0.487	1226.664	9.222	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-2.0	-3.0	0.5	12.0	-2.585	50.0
C01127	4-Hydroxy-2-oxoglutarate	3.17	6.57	0.482	104.01	5.649	80.0
C06188	Salicin_6-phosphate	2.0	6.87	0.291	120.97	5.138	80.0
C05665	3-Aminopropanal	3.0	2.807	0.936	14.998	3.811	70.0
C18902	Methylselenic_acid	9.765	10.043	0.972	1925.057	10.87	90.0
C03114	Dimethylbenzimidazole	5.728	6.34	0.903	134.011	6.92	90.0
C06613	trans-3-Chloroallyl_aldehyde	-2.637	-8.481	0.017	363.522	-2.662	50.0
C00979	O-Acetyl-L-serine	-2.322	3.644	0.4	17.501	-2.807	50.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	3.459	-2.322	0.455	15.997	-2.863	50.0
C00407	L-Isoleucine	5.3	7.384	0.718	206.431	7.211	90.0
C01151	D-Ribose_1,5-bisphosphate	-5.781	-5.524	0.837	101.0	-6.401	90.0
C06056	4-Hydroxy-L-threonine	-5.285	-4.322	0.513	58.99	-4.919	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	3.737	4.322	0.865	33.335	4.849	80.0
C01412	Butanal	6.524	11.199	0.583	2442.932	10.475	90.0
C06508	Adenosyl_cobinamide	4.858	5.426	0.895	71.992	6.01	80.0
C06509	Adenosyl_cobinamide_phosphate	3.369	3.907	0.862	25.333	4.449	70.0
C02576	Perillyl_aldehyde	3.0	2.807	0.936	14.998	3.811	70.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-3.459	-2.807	0.636	17.995	-3.518	60.0
C00577	D-Glyceraldehyde	1.263	-9.794	0.003	890.144	-1.267	50.0
C00279	D-Erythrose_4-phosphate	-4.881	-8.259	0.096	335.809	-5.013	80.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	4.17	-2.0	0.222	22.001	-2.289	50.0
C00275	D-Mannose_6-phosphate	3.907	-7.866	0.064	248.294	-3.997	70.0
C00900	2-Acetolactate	3.0	1.0	0.333	10.0	1.737	60.0
C00479	Propanal	4.0	5.285	0.757	54.989	5.379	80.0
