compound_code	compound_name	bacteroides_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C00118	D-Glyceraldehyde_3-phosphate	2.693	-11.805	0.002	3584.621	-2.696	60.0
C03125	L-Cysteinyl-tRNA(Cys)	-1.0	-7.768	0.009	219.972	-1.013	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.17	-9.628	0.045	827.257	-5.234	80.0
C00365	dUMP	-1.874	-7.122	0.026	142.961	-1.911	50.0
C00008	ADP	5.102	-10.357	0.026	1345.842	-5.139	80.0
C00002	ATP	4.735	-9.427	0.039	714.981	-4.79	70.0
C00369	Starch	5.746	8.586	0.669	437.945	8.195	80.0
C00035	GDP	5.358	-9.944	0.042	1026.026	-5.417	80.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-1.807	1.585	0.857	6.499	-2.478	50.0
C00256	(R)-Lactate	2.807	8.301	0.338	322.39	6.768	80.0
C01346	dUDP	-5.672	7.103	0.371	188.458	-6.127	90.0
C05336	Selenomethionyl-tRNA(Met)	-4.807	-9.209	0.047	619.807	-4.874	80.0
C05335	L-Selenomethionine	4.807	9.18	0.524	608.03	8.315	90.0
C00310	D-Xylulose	-4.322	-3.7	0.65	32.997	-4.422	70.0
C01931	L-Lysyl-tRNA	-5.209	-9.776	0.042	913.725	-5.269	80.0
C00091	Succinyl-CoA	-4.471	-10.237	0.018	1229.001	-4.497	70.0
C00092	D-Glucose_6-phosphate	2.17	-9.688	0.005	829.357	-2.178	50.0
C03939	Acetyl-[acyl-carrier_protein]	-8.381	-6.68	0.308	435.911	-7.067	90.0
C00498	ADP-glucose	-3.841	-8.806	0.032	461.91	-3.886	70.0
C00095	D-Fructose	-3.459	9.073	0.02	549.57	-3.488	60.0
C00097	L-Cysteine	0.222	-7.238	0.008	152.124	-0.233	60.0
C00079	L-Phenylalanine	0.17	6.767	0.025	110.036	1.467	60.0
C00073	L-Methionine	2.954	3.931	0.751	23.002	4.111	70.0
C00074	Phosphoenolpyruvate	-1.963	-7.954	0.016	251.865	-1.986	50.0
C00075	UTP	4.931	9.51	0.519	759.619	8.622	90.0
C00620	alpha-D-Ribose_1-phosphate	1.585	10.598	0.15	1552.944	7.86	80.0
C04006	1D-myo-Inositol_3-phosphate	6.807	8.788	0.775	554.002	8.745	90.0
C00085	D-Fructose_6-phosphate	-4.857	8.942	0.059	520.805	-4.94	80.0
C00242	Guanine	-4.104	7.737	0.081	230.534	-4.216	70.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	10.114	10.317	0.98	2383.833	11.19	90.0
C03785	D-Tagatose_1,6-bisphosphate	-2.585	-11.875	0.002	3762.049	-2.587	60.0
C00407	L-Isoleucine	3.0	-6.845	0.07	122.961	-3.097	60.0
C00183	L-Valine	0.222	-6.917	0.01	122.01	-0.236	60.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-0.637	9.554	0.002	753.248	-0.64	50.0
C02984	L-Aspartyl-tRNA(Asp)	-1.0	-9.847	0.002	922.963	-1.003	50.0
C01094	D-Fructose_1-phosphate	0.585	13.228	0.044	9596.054	8.729	90.0
C00169	Carbamoyl_phosphate	1.369	-7.453	0.015	177.8	-1.39	50.0
C00106	Uracil	5.096	8.64	0.59	433.134	7.997	80.0
C00342	Thioredoxin	5.358	-10.456	0.029	1445.668	-5.4	80.0
C00105	UMP	0.657	5.848	0.112	59.177	2.733	70.0
C00103	D-Glucose_1-phosphate	-1.888	8.525	0.01	372.068	-1.902	50.0
C00063	CTP	4.165	8.839	0.471	475.874	7.809	80.0
C00062	L-Arginine	0.363	-8.523	0.003	369.143	-0.368	60.0
C00064	L-Glutamine	2.12	-7.287	0.028	160.52	-2.16	50.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.7	3.322	0.211	11.625	1.293	60.0
C00577	D-Glyceraldehyde	-0.585	-13.823	0.0	14493.811	-0.585	50.0
C00279	D-Erythrose_4-phosphate	0.531	13.733	0.039	13617.3	9.04	90.0
C00361	dGDP	-6.08	11.327	0.026	2636.665	-6.117	90.0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	2.322	6.615	0.351	103.02	5.176	70.0
C00668	alpha-D-Glucose_6-phosphate	-3.658	9.736	0.015	865.386	-3.679	60.0
C03402	L-Asparaginyl-tRNA(Asn)	-1.585	-9.575	0.004	765.715	-1.591	50.0
C00666	LL-2,6-Diaminoheptanedioate	-1.874	-7.107	0.027	141.52	-1.912	50.0
C00179	Agmatine	-1.0	3.459	0.182	12.997	-1.241	50.0
C03406	N-(L-Arginino)succinate	-2.585	6.807	0.054	117.973	-2.66	60.0
C00117	D-Ribose_5-phosphate	-0.447	9.76	0.002	868.43	-0.449	60.0
C00111	Glycerone_phosphate	-0.011	10.742	0.001	1713.64	-0.012	60.0
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-1.0	-4.087	0.118	18.995	-1.161	50.0
C00112	CDP	5.672	-5.555	0.922	97.998	-6.498	90.0
C00343	Thioredoxin_disulfide	-5.672	10.496	0.035	1495.13	-5.722	80.0
C00354	D-Fructose_1,6-bisphosphate	2.737	-11.238	0.003	2421.989	-2.741	60.0
C00243	Lactose	10.114	8.933	0.883	1596.964	10.462	90.0
C02972	Dihydrolipoylprotein	8.823	10.237	0.862	1659.709	10.482	90.0
C00262	Hypoxanthine	-3.858	-7.746	0.068	229.174	-3.952	70.0
C01172	beta-D-Glucose_6-phosphate	-0.12	-8.11	0.004	277.369	-0.126	60.0
C00267	alpha-D-Glucose	-7.521	7.542	0.986	370.04	-8.511	90.0
C01177	Inositol_1-phosphate	6.858	8.788	0.78	558.031	8.766	90.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	3.322	-7.039	0.076	141.508	-3.428	60.0
C00460	dUTP	2.07	8.028	0.258	265.216	6.096	70.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.585	-6.352	0.073	87.685	-2.687	60.0
C00181	D-Xylose	4.392	3.7	0.842	33.991	4.84	70.0
C00120	Biotin	5.426	6.714	0.808	147.974	6.902	80.0
C00122	Fumarate	4.481	-7.875	0.095	257.084	-4.612	70.0
C00286	dGTP	4.644	-11.027	0.012	2111.692	-4.661	70.0
C00124	D-Galactose	-8.125	8.489	0.777	638.459	-8.954	90.0
C00327	L-Citrulline	2.585	8.639	0.299	404.656	6.92	80.0
C00206	dADP	-5.102	-7.71	0.164	243.727	-5.321	80.0
C02412	Glycyl-tRNA(Gly)	-8.326	-8.911	0.667	802.274	-9.063	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-3.737	12.624	0.002	6325.852	-3.74	70.0
C02554	L-Valyl-tRNA(Val)	-1.0	-9.326	0.003	643.809	-1.004	50.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	8.823	10.341	0.853	1749.918	10.544	90.0
C05744	Acetoacetyl-[acp]	-7.249	8.849	0.33	613.234	-7.66	90.0
C03150	Nicotinamide-beta-riboside	5.375	8.079	0.665	311.908	7.697	80.0
C00458	dCTP	4.733	-8.236	0.088	328.091	-4.855	70.0
C00459	dTTP	4.829	-8.68	0.069	438.571	-4.926	80.0
C01209	Malonyl-[acyl-carrier_protein]	5.215	5.066	0.971	70.64	6.101	70.0
C03546	myo-Inositol_4-phosphate	6.858	8.788	0.78	558.031	8.766	90.0
C00197	3-Phospho-D-glycerate	-0.271	-7.725	0.006	212.778	-0.279	60.0
C00212	Adenosine	5.375	7.743	0.694	255.726	7.472	80.0
C00153	Nicotinamide	-5.375	-8.079	0.153	311.908	-5.581	80.0
C00036	Oxaloacetate	1.552	6.372	0.244	85.758	4.385	70.0
C00037	Glycine	4.231	9.857	0.429	946.148	8.666	90.0
C01697	Galactitol	2.322	5.334	0.435	45.336	4.303	70.0
C15972	Enzyme_N6-(lipoyl)lysine	-8.823	7.134	0.31	593.343	-7.524	90.0
C00031	D-Glucose	5.201	6.687	0.778	139.82	6.765	70.0
C00137	myo-Inositol	-6.722	-9.107	0.191	656.983	-6.975	90.0
C00332	Acetoacetyl-CoA	2.536	6.154	0.412	77.009	4.988	70.0
C00130	IMP	-1.879	-7.201	0.025	150.814	-1.915	50.0
C01097	D-Tagatose_6-phosphate	2.585	11.954	0.216	3973.46	9.747	90.0
C01050	UDP-N-acetylmuramate	3.961	7.892	0.502	253.109	6.989	80.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-9.529	-10.317	0.579	2014.415	-10.188	90.0
C01762	Xanthosine	4.409	8.381	0.526	354.619	7.543	80.0
C00631	2-Phospho-D-glycerate	-0.176	-7.459	0.006	177.077	-0.185	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-2.433	-6.187	0.074	78.257	-2.536	50.0
C00042	Succinate	0.979	7.17	0.137	145.979	4.317	70.0
C00041	L-Alanine	0.737	-6.71	0.016	106.358	-0.76	50.0
C00047	L-Lysine	4.248	8.375	0.507	350.992	7.476	80.0
C00046	RNA	-4.8	-9.383	0.042	695.532	-4.859	80.0
C00044	GTP	-3.672	-9.874	0.014	951.108	-3.691	60.0
C00204	2-Dehydro-3-deoxy-D-gluconate	1.807	-2.322	0.7	8.499	-2.572	50.0
C00049	L-Aspartate	-2.884	5.445	0.169	50.944	-3.11	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-3.781	6.234	0.183	89.016	-4.023	70.0
