compound_code	compound_name	parabacteroides_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C00448	trans,trans-Farnesyl_diphosphate	-0.585	4.508	0.066	24.253	-0.677	60.0
C02554	L-Valyl-tRNA(Val)	-5.248	-6.6	0.0	0.0	0.0	50.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-9.033	5.248	0.073	561.848	-5.349	90.0
C00921	Dihydropteroate	-3.459	-4.524	0.0	0.0	0.0	50.0
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	-4.392	2.0	0.191	24.995	-2.252	70.0
C00458	dCTP	-4.464	-6.939	0.0	0.0	0.0	50.0
C00459	dTTP	-4.559	4.872	0.805	52.855	-5.411	90.0
C00455	Nicotinamide_D-ribonucleotide	5.087	5.977	0.851	96.977	6.367	80.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	5.087	7.442	0.684	207.875	7.151	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-5.087	-8.145	0.0	0.0	0.0	50.0
C00330	Deoxyguanosine	-1.222	6.6	0.024	99.339	-1.256	60.0
C00334	4-Aminobutanoate	-5.728	6.422	0.618	138.749	-6.422	90.0
C00337	(S)-Dihydroorotate	1.874	5.672	0.33	54.65	4.174	70.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-8.951	5.248	0.077	532.904	-5.355	90.0
C00631	2-Phospho-D-glycerate	-3.469	-3.632	0.0	0.0	0.0	50.0
C00208	Maltose	-4.322	4.285	0.975	39.496	-5.267	90.0
C03232	3-Phosphonooxypyruvate	-2.0	-4.392	0.0	0.0	0.0	50.0
C01212	UDP-N-acetylmuramoyl-L-alanine	2.954	-4.883	0.263	37.256	-3.29	80.0
C00025	L-Glutamate	-5.789	-5.822	0.0	0.0	0.0	50.0
C00024	Acetyl-CoA	-3.6	-8.987	0.0	0.0	0.0	50.0
C00027	Hydrogen_peroxide	5.322	-8.7	0.096	455.875	-5.454	90.0
C00026	2-Oxoglutarate	3.03	-6.91	0.068	128.427	-3.125	80.0
C00021	S-Adenosyl-L-homocysteine	-4.883	-3.322	0.0	0.0	0.0	50.0
C00020	AMP	-2.038	5.513	0.09	49.771	-2.162	70.0
C00022	Pyruvate	3.014	-7.411	0.047	178.268	-3.081	80.0
C00143	5,10-Methylenetetrahydrofolate	-7.296	-7.49	0.0	0.0	0.0	50.0
C00141	3-Methyl-2-oxobutanoic_acid	5.196	-1.585	0.082	39.657	-1.698	60.0
C00029	UDP-glucose	3.853	-5.508	0.318	59.957	-4.251	80.0
C00147	Adenine	3.812	0.466	0.122	15.426	0.915	60.0
C00144	GMP	-3.869	-4.982	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	5.209	8.276	0.629	346.962	7.771	90.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-8.537	4.845	0.077	400.184	-4.953	80.0
C05726	S-Substituted_L-cysteine	-5.209	-8.418	0.0	0.0	0.0	50.0
C00705	dCDP	1.459	4.524	0.323	25.756	3.054	70.0
C06250	Holo-[carboxylase]	-4.524	5.644	0.46	73.012	-5.07	90.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	5.644	2.807	0.497	57.003	4.825	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.17	6.644	0.628	118.011	6.211	80.0
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-4.322	-4.0	0.0	0.0	0.0	50.0
C00760	Cellulose	7.276	-2.115	0.028	159.319	-2.155	70.0
C03511	L-Phenylalanyl-tRNA(Phe)	-5.426	-6.267	0.0	0.0	0.0	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-4.954	-5.044	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-6.459	-7.384	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-9.033	5.248	0.073	561.848	-5.349	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	8.852	-5.7	0.113	514.065	-5.854	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-9.033	5.248	0.073	561.848	-5.349	90.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	8.852	-5.7	0.113	514.065	-5.854	90.0
C20375	Glutaryl-[acp]_methyl_ester	5.977	6.539	0.914	155.978	7.156	90.0
C00966	2-Dehydropantoate	-5.044	2.807	0.212	39.989	-3.085	80.0
C00415	Dihydrofolate	-4.605	-5.248	0.0	0.0	0.0	50.0
C00416	Phosphatidate	5.087	2.663	0.523	40.323	4.4	70.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-3.7	7.15	0.092	155.021	-3.826	80.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	2.585	-1.0	0.333	8.0	-1.415	60.0
C00620	alpha-D-Ribose_1-phosphate	6.109	6.907	0.884	189.032	7.385	90.0
C00242	Guanine	3.667	-5.518	0.277	58.525	-4.02	80.0
C00568	4-Aminobenzoate	5.0	5.322	0.939	72.002	6.08	80.0
C01097	D-Tagatose_6-phosphate	5.7	5.53	0.97	98.19	6.574	80.0
C01096	Sorbitol_6-phosphate	4.644	3.939	0.848	40.34	5.097	70.0
C01094	D-Fructose_1-phosphate	6.977	8.517	0.819	492.306	8.656	90.0
C00068	Thiamin_diphosphate	-2.248	1.644	0.658	7.876	-2.373	70.0
C00342	Thioredoxin	3.926	-9.947	0.015	1002.264	-3.948	80.0
C00343	Thioredoxin_disulfide	-3.7	9.967	0.013	1013.839	-3.719	80.0
C00344	Phosphatidylglycerol	4.322	6.0	0.72	84.001	5.919	80.0
C05684	Selenite	5.17	10.043	0.515	1090.982	9.133	90.0
C00063	CTP	6.133	7.758	0.791	286.647	7.824	90.0
C00062	L-Arginine	-2.17	4.17	0.25	22.501	-2.492	70.0
C00065	L-Serine	-7.419	4.44	0.127	192.842	-4.612	80.0
C00064	L-Glutamine	3.868	5.421	0.714	57.444	5.357	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	4.954	0.387	42.996	-4.057	80.0
C16633	5-Fluorouridine	4.907	5.883	0.834	89.017	6.214	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.322	7.181	0.184	147.61	4.764	70.0
C16635	5'-Deoxy-5-fluorocytidine	4.7	5.954	0.789	87.984	6.118	80.0
C16634	5-Fluorouridine_monophosphate	-6.15	-5.883	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	5.977	6.539	0.914	155.978	7.156	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	4.907	5.492	0.893	75.007	6.066	80.0
C00668	alpha-D-Glucose_6-phosphate	-2.399	7.097	0.039	142.176	-2.454	70.0
C02163	L-Arginyl-tRNA(Arg)	-5.285	-5.392	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-3.757	-8.485	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-3.583	-7.34	0.0	0.0	0.0	50.0
C02380	6-Mercaptopurine	5.585	4.644	0.832	73.004	5.924	80.0
C00112	CDP	-3.261	-6.349	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-2.152	-5.57	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.884	-6.707	0.283	134.002	-5.243	90.0
C03492	D-4'-Phosphopantothenate	2.585	5.426	0.476	48.992	4.545	70.0
C00231	D-Xylulose_5-phosphate	-3.66	-7.392	0.0	0.0	0.0	50.0
C05750	3-Oxooctanoyl-[acp]	8.438	-5.295	0.113	386.07	-5.45	90.0
C05751	trans-Oct-2-enoyl-[acp]	-4.907	-5.322	0.0	0.0	0.0	50.0
C05752	Octanoyl-[acp]	5.977	5.755	0.963	116.992	6.816	90.0
C05753	3-Oxodecanoyl-[acp]	8.438	-5.295	0.113	386.07	-5.45	90.0
C05754	trans-Dec-2-enoyl-[acp]	-4.907	-5.322	0.0	0.0	0.0	50.0
C05755	Decanoyl-[acp]	5.977	5.755	0.963	116.992	6.816	90.0
C05756	3-Oxododecanoyl-[acp]	8.852	-5.7	0.113	514.065	-5.854	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-8.951	5.248	0.077	532.904	-5.355	90.0
C05758	trans-Dodec-2-enoyl-[acp]	-4.907	-5.322	0.0	0.0	0.0	50.0
C05759	3-Oxotetradecanoyl-[acp]	8.852	-5.7	0.113	514.065	-5.854	90.0
C00188	L-Threonine	3.075	7.462	0.412	184.74	6.25	80.0
C02702	L-Prolyl-tRNA(Pro)	-5.492	-8.931	0.0	0.0	0.0	50.0
C00185	Cellobiose	7.276	-2.807	0.045	161.985	-2.871	70.0
C00183	L-Valine	-2.415	6.6	0.055	102.339	-2.492	70.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	1.874	4.392	0.427	24.661	3.395	70.0
C00181	D-Xylose	6.833	-1.585	0.026	117.009	-1.622	60.0
C00159	D-Mannose	-5.17	7.95	0.146	283.282	-5.366	90.0
C00011	CO2	5.582	9.412	0.593	729.132	8.756	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	1.0	3.233	0.309	11.402	1.818	60.0
C00015	UDP	-2.807	-5.762	0.0	0.0	0.0	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	0.617	1.485	0.415	4.333	0.848	60.0
C09306	Sulfur_dioxide	-6.19	-7.375	0.0	0.0	0.0	50.0
C16237	Protein_N6-(lipoyl)lysine	-8.524	-6.358	0.0	0.0	0.0	50.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	5.858	2.874	0.491	65.332	5.002	70.0
C00445	5,10-Methenyltetrahydrofolate	6.256	-3.544	0.153	88.091	-3.749	80.0
C01762	Xanthosine	3.459	6.248	0.554	87.001	5.59	80.0
C00441	L-Aspartate_4-semialdehyde	1.322	7.384	0.179	169.534	4.924	70.0
C00526	Deoxyuridine	3.459	-1.585	0.273	13.997	-1.933	70.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	3.524	1.7	0.482	14.753	2.831	70.0
C00522	(R)-Pantoate	5.392	-2.678	0.152	48.39	-2.883	70.0
C00831	Pantetheine	4.907	5.492	0.893	75.007	6.066	80.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	3.17	3.807	0.833	22.997	4.259	70.0
C01024	Hydroxymethylbilane	5.833	-4.392	0.368	78.0	-4.844	80.0
C12739	5'-Deoxy-5-fluorouridine	-4.7	-5.954	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	-4.322	-4.7	0.0	0.0	0.0	50.0
C00288	HCO3-	-5.209	6.721	0.351	142.481	-5.643	90.0
C03722	Quinolinate	2.807	1.0	0.356	8.998	1.681	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	5.358	-1.585	0.073	44.013	-1.687	60.0
C03939	Acetyl-[acyl-carrier_protein]	3.051	4.644	0.657	33.29	4.451	70.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-4.459	1.585	0.136	24.993	-1.769	60.0
C00627	Pyridoxine_phosphate	-5.0	-4.585	0.0	0.0	0.0	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	1.585	-5.555	0.064	50.013	-1.674	60.0
C01346	dUDP	3.585	3.115	0.869	20.664	4.166	70.0
C00234	10-Formyltetrahydrofolate	-1.138	-8.274	0.0	0.0	0.0	50.0
C00235	Dimethylallyl_diphosphate	3.888	-4.336	0.733	35.001	-4.681	80.0
C01613	Stachyose	5.358	1.585	0.296	44.013	3.703	70.0
C00010	CoA	-4.807	-9.407	0.0	0.0	0.0	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-5.248	-6.304	0.0	0.0	0.0	50.0
C00014	Ammonia	-8.131	-9.177	0.0	0.0	0.0	50.0
C05980	Cardiolipin	-4.954	-6.0	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	3.0	-5.771	0.147	62.606	-3.197	80.0
C00153	Nicotinamide	-5.392	-5.781	0.0	0.0	0.0	50.0
C00152	L-Asparagine	5.75	7.232	0.795	204.149	7.343	90.0
C00155	L-Homocysteine	-4.954	-2.907	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	4.569	-2.682	0.27	30.153	-3.027	70.0
C02336	beta-D-Fructose	4.17	2.0	0.48	22.001	3.399	70.0
