compound_code	compound_name	parabacteroides_630_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C05336	Selenomethionyl-tRNA(Met)	-5.459	-2.807	0.159	50.985	-3.02	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	5.358	-1.585	0.073	44.013	-1.687	50.0
C00258	D-Glycerate	-1.322	-0.83	0.711	4.278	-1.605	60.0
C05335	L-Selenomethionine	2.0	2.807	0.713	10.998	2.97	70.0
C00099	beta-Alanine	-2.585	4.261	0.313	25.173	-2.978	50.0
C00559	Deoxyadenosine	2.939	3.0	0.98	15.669	3.94	80.0
C01931	L-Lysyl-tRNA	-6.022	-1.0	0.031	66.983	-1.044	60.0
C01528	Hydrogen_selenide	-4.907	-8.183	0.103	320.624	-5.049	80.0
C00091	Succinyl-CoA	-5.857	5.85	0.995	115.641	-6.847	90.0
C00760	Cellulose	7.276	-2.874	0.047	162.318	-2.941	50.0
C00093	sn-Glycerol_3-phosphate	5.129	-3.17	0.257	43.994	-3.5	60.0
C00095	D-Fructose	-5.322	7.013	0.31	169.161	-5.711	90.0
C00154	Palmitoyl-CoA	-6.6	-1.0	0.021	99.006	-1.029	60.0
C00097	L-Cysteine	3.988	-3.694	0.816	28.81	-4.554	70.0
C05729	R-S-Cysteinylglycine	5.209	5.209	1.0	73.977	6.209	90.0
C00079	L-Phenylalanine	-1.632	-1.283	0.785	5.533	-2.119	50.0
C00188	L-Threonine	3.075	-4.636	0.339	33.291	-3.496	60.0
C00327	L-Citrulline	6.459	4.336	0.671	108.17	6.182	90.0
C00073	L-Methionine	-2.655	2.807	0.9	13.297	-3.581	60.0
C00077	L-Ornithine	-4.17	1.0	0.111	20.001	-1.152	60.0
C00074	Phosphoenolpyruvate	-7.257	-6.828	0.743	266.573	-7.629	90.0
C00075	UTP	5.052	4.135	0.818	50.744	5.376	90.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-4.459	-2.807	0.318	28.992	-3.206	60.0
C00208	Maltose	-4.322	4.672	0.785	45.493	-5.158	80.0
C00123	L-Leucine	-2.503	4.143	0.321	23.336	-2.904	50.0
C02686	Galactosylceramide	-5.358	-1.0	0.049	43.013	-1.069	60.0
C00242	Guanine	3.667	1.837	0.501	16.275	3.027	70.0
C00082	L-Tyrosine	-3.863	1.284	0.167	16.986	-1.507	60.0
C00249	Hexadecanoic_acid	6.6	1.0	0.152	99.006	3.907	80.0
C03785	D-Tagatose_1,6-bisphosphate	-5.7	-2.807	0.135	58.982	-2.989	50.0
C00294	Inosine	-2.222	-3.907	0.311	19.667	-2.613	50.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-3.17	4.17	0.5	27.001	-3.755	70.0
C00407	L-Isoleucine	2.536	5.3	0.478	45.196	4.435	80.0
C00089	Sucrose	-3.585	-0.322	0.104	13.25	-0.465	70.0
C04646	6-Thioinosine-5'-monophosphate	-3.907	1.585	0.2	18.001	-1.848	50.0
C00568	4-Aminobenzoate	5.0	-4.585	0.75	56.001	-5.392	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	4.231	-0.637	0.083	20.333	-0.752	70.0
C00166	Phenylpyruvate	4.206	2.595	0.617	24.498	3.918	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	5.728	-1.322	0.047	55.503	-1.388	60.0
C02988	L-Histidyl-tRNA(His)	-5.459	-6.17	0.611	115.991	-6.147	90.0
C00275	D-Mannose_6-phosphate	-4.087	3.907	0.883	31.996	-4.82	80.0
C01097	D-Tagatose_6-phosphate	5.7	2.807	0.492	58.982	4.86	80.0
C01096	Sorbitol_6-phosphate	4.644	-1.585	0.12	28.003	-1.748	50.0
C01094	D-Fructose_1-phosphate	6.977	-8.23	0.42	426.221	-7.482	90.0
C03263	Coproporphyrinogen_III	4.7	2.585	0.55	31.992	4.137	80.0
C02047	L-Leucyl-tRNA	-5.17	-6.658	0.357	136.987	-5.61	80.0
C00106	Uracil	3.17	-3.598	0.743	21.109	-3.972	70.0
C00068	Thiamin_diphosphate	-2.248	-0.415	0.281	6.084	-0.772	60.0
C00342	Thioredoxin	3.926	-9.75	0.018	876.278	-3.951	70.0
C00343	Thioredoxin_disulfide	-3.7	9.747	0.015	872.285	-3.722	60.0
C03082	4-Phospho-L-aspartate	-4.217	-3.17	0.484	27.597	-3.739	60.0
C00103	D-Glucose_1-phosphate	-4.747	5.771	0.492	81.459	-5.324	80.0
C04377	5,10-Methylenetetrahydromethanopterin	-9.243	-7.322	0.264	765.935	-7.66	90.0
C00101	Tetrahydrofolate	6.508	-4.265	0.211	110.239	-4.541	70.0
C00063	CTP	6.133	3.863	0.63	84.731	5.738	90.0
C00062	L-Arginine	-2.17	5.672	0.088	55.485	-2.292	50.0
C00065	L-Serine	-7.419	-6.479	0.521	260.338	-7.084	90.0
C00064	L-Glutamine	3.868	-6.228	0.195	89.558	-4.125	70.0
C00109	2-Oxobutanoate	-4.129	-3.755	0.772	30.998	-4.58	70.0
C00860	L-Histidinol	-5.358	1.585	0.073	44.013	-1.687	50.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.322	0.322	0.244	3.75	-0.131	70.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-3.82	-2.248	0.336	18.873	-2.666	50.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	3.17	-5.248	0.237	47.002	-3.477	60.0
C00577	D-Glyceraldehyde	-6.977	1.263	0.019	128.375	-1.29	60.0
C01419	Cys-Gly	5.209	5.209	1.0	73.977	6.209	90.0
C00279	D-Erythrose_4-phosphate	-4.892	-4.881	0.992	59.158	-5.876	90.0
C01134	Pantetheine_4'-phosphate	-3.059	4.585	0.347	32.335	-3.489	60.0
C03175	Shikimate_3-phosphate	-3.17	2.0	0.444	13.0	-2.53	50.0
C01412	Butanal	4.644	6.524	0.712	117.03	6.38	90.0
C00361	dGDP	-2.722	-4.248	0.347	25.599	-3.152	60.0
C00900	2-Acetolactate	4.672	3.0	0.642	33.492	4.427	80.0
C18902	Methylselenic_acid	5.17	9.765	0.529	906.079	8.906	90.0
C00668	alpha-D-Glucose_6-phosphate	-2.399	-5.449	0.121	48.957	-2.563	50.0
C03402	L-Asparaginyl-tRNA(Asn)	-5.728	-1.0	0.038	55.003	-1.053	60.0
C05399	Melibiitol	5.358	1.0	0.187	43.013	3.005	70.0
C00179	Agmatine	-5.426	1.807	0.081	46.491	-1.92	50.0
C00475	Cytidine	-3.887	-0.503	0.096	16.212	-0.635	70.0
C03406	N-(L-Arginino)succinate	-6.15	-4.392	0.296	92.008	-4.766	70.0
C02163	L-Arginyl-tRNA(Arg)	-5.285	-5.672	0.765	89.974	-6.104	90.0
C00117	D-Ribose_5-phosphate	-3.757	-4.158	0.757	31.372	-4.57	70.0
C00116	Glycerol	-5.358	-0.322	0.03	42.263	-0.365	70.0
C00111	Glycerone_phosphate	-3.583	0.902	0.156	13.852	-1.111	60.0
C03090	5-Phosphoribosylamine	3.632	-4.379	0.596	33.205	-4.306	70.0
C00112	CDP	-3.261	2.624	0.643	15.751	-3.34	60.0
C05699	L-Selenocystathionine	6.15	3.585	0.583	83.013	5.597	90.0
C05698	Selenohomocysteine	-4.954	-3.585	0.387	42.996	-4.057	70.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-2.152	1.402	0.595	7.087	-2.075	50.0
C00118	D-Glyceraldehyde_3-phosphate	4.884	4.762	0.975	56.661	5.788	90.0
C01962	Thiocysteine	-6.15	-3.585	0.169	83.013	-3.81	70.0
C01346	dUDP	3.585	-4.248	0.632	31.001	-4.291	70.0
C01079	Protoporphyrinogen_IX	-4.7	-2.585	0.231	31.992	-2.885	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.585	-2.0	0.75	7.0	-2.392	50.0
C00857	Deamino-NAD+	-2.322	3.907	0.333	20.001	-2.737	50.0
C00269	CDP-diacylglycerol	-2.121	1.138	0.506	6.551	-1.729	50.0
C00506	L-Cysteate	4.248	4.644	0.915	44.003	5.331	90.0
C00344	Phosphatidylglycerol	4.322	2.0	0.463	24.001	3.473	80.0
C00263	L-Homoserine	-0.329	-0.222	0.929	2.422	-1.169	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	4.585	5.248	0.874	62.003	5.759	90.0
C01172	beta-D-Glucose_6-phosphate	2.406	-2.126	0.824	9.665	-2.993	50.0
C00267	alpha-D-Glucose	2.775	-0.628	0.226	8.39	-0.922	60.0
C00235	Dimethylallyl_diphosphate	3.888	-5.853	0.256	72.605	-4.217	70.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-2.0	-5.476	0.09	48.508	-2.124	50.0
C01613	Stachyose	5.358	1.415	0.264	43.679	3.528	80.0
C00993	D-Alanyl-D-alanine	-3.322	5.248	0.263	48.002	-3.659	60.0
C02702	L-Prolyl-tRNA(Pro)	-5.492	-1.0	0.044	47.005	-1.063	60.0
C00185	Cellobiose	7.276	-2.807	0.045	161.985	-2.871	50.0
C00460	dUTP	-1.926	5.044	0.115	36.791	-2.083	50.0
C00159	D-Mannose	-5.17	-1.0	0.056	38.002	-1.078	60.0
C00286	dGTP	-0.143	3.755	0.082	14.605	-0.256	70.0
C00124	D-Galactose	-1.503	4.033	0.173	19.205	-1.733	50.0
C00011	CO2	5.582	6.398	0.872	132.233	6.85	90.0
C00129	Isopentenyl_diphosphate	1.7	-5.762	0.06	57.516	-1.784	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	2.0	-2.0	1.0	8.0	-3.0	50.0
C00288	HCO3-	-5.209	6.033	0.565	102.469	-5.855	90.0
C02412	Glycyl-tRNA(Gly)	-6.066	-7.119	0.482	206.002	-6.634	90.0
C00680	meso-2,6-Diaminoheptanedioate	-6.666	0.921	0.019	103.44	-0.948	60.0
C02553	L-Seryl-tRNA(Ser)	-5.644	-4.858	0.58	79.005	-5.518	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	4.179	-5.392	0.431	60.104	-4.696	70.0
C01151	D-Ribose_1,5-bisphosphate	-4.585	-5.781	0.436	78.987	-5.108	80.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	5.322	-2.322	0.125	45.002	-2.492	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-5.426	-1.0	0.047	44.992	-1.066	60.0
C00152	L-Asparagine	5.75	-4.732	0.494	80.392	-5.311	80.0
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	-4.392	2.322	0.238	25.996	-2.63	50.0
C00458	dCTP	-4.464	3.585	0.544	34.07	-4.211	70.0
C00459	dTTP	-4.559	4.066	0.711	40.321	-4.84	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-2.415	3.737	0.4	18.667	-2.9	50.0
C00217	D-Glutamate	-1.503	-4.322	0.142	22.835	-1.694	50.0
C00197	3-Phospho-D-glycerate	4.569	2.631	0.576	29.93	4.107	80.0
C00212	Adenosine	-3.524	2.17	0.391	16.004	-2.646	50.0
C00606	3-Sulfino-L-alanine	-4.524	5.481	0.515	67.67	-5.123	80.0
C00036	Oxaloacetate	5.54	0.461	0.083	47.904	1.995	70.0
C00037	Glycine	8.689	5.772	0.664	467.359	8.278	90.0
C01697	Galactitol	3.222	7.17	0.449	153.338	6.107	90.0
C00035	GDP	2.485	3.7	0.672	18.594	3.643	80.0
C00031	D-Glucose	5.637	-3.773	0.275	63.434	-4.123	70.0
C00137	myo-Inositol	-5.358	-1.0	0.049	43.013	-1.069	60.0
C00135	L-Histidine	5.17	3.97	0.768	51.673	5.31	80.0
C00134	Putrescine	-3.7	-2.115	0.333	17.328	-2.53	50.0
C00133	D-Alanine	3.0	3.03	0.99	16.168	4.001	80.0
C00334	4-Aminobutanoate	-5.728	5.075	0.636	86.71	-5.785	90.0
C00131	dATP	-3.655	-0.678	0.127	14.197	-0.85	60.0
C00130	IMP	-3.524	0.807	0.152	13.253	-1.011	60.0
C16237	Protein_N6-(lipoyl)lysine	-8.524	-5.426	0.117	411.104	-5.585	80.0
C00620	alpha-D-Ribose_1-phosphate	6.109	5.966	0.977	131.532	7.005	90.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	5.858	3.939	0.672	73.338	5.624	90.0
C00299	Uridine	2.695	2.471	0.917	12.02	3.462	80.0
C11437	1-Deoxy-D-xylulose_5-phosphate	0.617	2.632	0.234	7.733	0.858	70.0
C06010	(S)-2-Acetolactate	3.728	2.17	0.582	17.751	3.369	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-3.7	2.0	0.308	16.996	-2.387	50.0
C00206	dADP	4.437	-3.036	0.379	29.863	-3.499	60.0
C00631	2-Phospho-D-glycerate	-3.469	-4.05	0.669	27.637	-4.208	70.0
C00441	L-Aspartate_4-semialdehyde	1.322	-3.239	0.265	11.942	-1.661	50.0
C00526	Deoxyuridine	3.459	3.222	0.931	20.328	4.243	80.0
C00169	Carbamoyl_phosphate	-4.86	-0.308	0.043	30.279	-0.368	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	4.624	-0.415	0.054	25.992	-0.491	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	3.17	-5.248	0.237	47.002	-3.477	60.0
C00041	L-Alanine	-1.503	-5.17	0.079	38.836	-1.612	60.0
C00047	L-Lysine	4.17	-4.358	0.878	38.507	-5.079	80.0
C00046	RNA	-5.631	-3.591	0.243	61.607	-3.905	70.0
C00044	GTP	-4.486	-2.648	0.28	28.677	-3.004	60.0
C00049	L-Aspartate	-2.2	1.394	0.572	7.223	-2.047	50.0
C00048	Glyoxylate	3.036	2.143	0.706	12.619	3.155	80.0
C09306	Sulfur_dioxide	-6.19	-7.285	0.468	228.965	-6.744	90.0
C00416	Phosphatidate	5.087	-5.476	0.764	78.497	-5.906	90.0
