compound_code	compound_name	cd630_streptomycin_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C00212	Adenosine	5.369	2.17	0.404	45.827	4.211	70.0
C00606	3-Sulfino-L-alanine	-7.346	5.481	0.275	207.355	-5.831	90.0
C05840	Iminoaspartate	-1.0	-3.0	0.25	10.0	-1.322	50.0
C00037	Glycine	2.201	5.772	0.381	59.242	4.498	70.0
C00035	GDP	-5.832	3.7	0.228	69.961	-3.996	70.0
C00033	Acetate	7.698	-2.585	0.029	213.649	-2.626	50.0
C00031	D-Glucose	3.07	-3.773	0.614	22.068	-3.761	60.0
C00136	Butanoyl-CoA	8.289	-6.524	0.294	404.807	-6.896	90.0
C00135	L-Histidine	5.392	3.97	0.736	57.661	5.408	80.0
C00134	Putrescine	4.392	-2.115	0.206	25.327	-2.386	50.0
C00133	D-Alanine	-8.237	3.03	0.027	309.874	-3.069	50.0
C00131	dATP	-3.885	-0.678	0.108	16.374	-0.826	60.0
C00130	IMP	-4.392	0.807	0.083	22.745	-0.922	60.0
C05635	5-Hydroxyindoleacetate	-2.807	-3.0	0.875	14.998	-3.714	60.0
C05634	5-Hydroxyindoleacetaldehyde	2.807	3.0	0.936	14.998	3.811	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-4.011	-0.415	0.083	17.456	-0.53	60.0
C00041	L-Alanine	5.755	-5.17	0.667	90.006	-5.907	90.0
C00040	Acyl-CoA	5.91	4.248	0.719	79.13	5.83	80.0
C00047	L-Lysine	5.437	-4.358	0.473	63.828	-4.917	80.0
C00046	RNA	-5.371	-3.591	0.291	53.434	-3.96	70.0
C00044	GTP	-6.728	-2.648	0.059	112.274	-2.731	50.0
C00049	L-Aspartate	-6.891	1.394	0.022	121.314	-1.426	50.0
C00048	Glyoxylate	-5.049	2.143	0.133	37.522	-2.324	50.0
C06481	L-Seryl-tRNA(Sec)	-7.119	-4.858	0.209	168.006	-5.131	80.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	5.492	5.781	0.95	99.991	6.57	90.0
C01100	L-Histidinol_phosphate	3.17	0.737	0.232	10.667	1.31	60.0
C03688	Apo-[acyl-carrier-protein]	5.285	4.728	0.895	65.491	5.873	80.0
C06002	(S)-Methylmalonate_semialdehyde	2.807	3.0	0.936	14.998	3.811	70.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	1.17	-2.248	0.474	7.0	-1.729	50.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	1.0	3.0	0.333	10.0	1.737	60.0
C00954	Indole-3-acetate	-6.17	-3.0	0.111	80.004	-3.152	50.0
C00957	Mercaptopyruvate	-6.484	4.82	0.316	117.758	-5.216	80.0
C05345	beta-D-Fructose_6-phosphate	8.032	-5.033	0.125	294.482	-5.203	80.0
C00818	D-Glucarate	-2.807	1.585	0.429	9.998	-2.1	50.0
C03451	(R)-S-Lactoylglutathione	6.741	7.044	0.957	238.929	7.837	90.0
C00036	Oxaloacetate	6.576	0.461	0.07	96.782	2.762	70.0
C05338	4-Hydroxyphenylacetyl-CoA	2.807	3.459	0.812	17.995	3.868	70.0
C00255	Riboflavin	5.0	5.615	0.89	81.01	6.173	80.0
C05336	Selenomethionyl-tRNA(Met)	-5.907	-2.807	0.117	67.003	-2.966	50.0
C00392	Mannitol	7.209	7.577	0.951	338.897	8.333	90.0
C00258	D-Glycerate	2.0	-0.83	0.444	5.778	-1.36	50.0
C05335	L-Selenomethionine	2.322	2.807	0.827	11.999	3.311	70.0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-5.285	-4.044	0.423	55.485	-4.553	70.0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	5.285	4.044	0.765	55.485	5.408	80.0
C01081	Thiamin_monophosphate	-3.322	-4.17	0.556	28.001	-3.959	70.0
C00559	Deoxyadenosine	-5.816	3.0	0.142	64.337	-3.192	60.0
C00491	L-Cystine	5.392	3.585	0.665	53.991	5.166	80.0
C00492	Raffinose	1.585	0.737	0.465	4.667	1.118	60.0
C00493	Shikimate	-1.047	-0.617	0.742	3.6	-1.418	50.0
C00555	4-Aminobutyraldehyde	2.807	3.0	0.936	14.998	3.811	70.0
C00886	L-Alanyl-tRNA	-6.044	-6.285	0.846	143.96	-6.929	90.0
C00498	ADP-glucose	-7.23	-3.459	0.073	161.12	-3.561	60.0
C00882	Dephospho-CoA	3.459	-4.585	0.458	34.997	-4.003	70.0
C00079	L-Phenylalanine	-1.972	-1.283	0.62	6.357	-1.979	50.0
C00073	L-Methionine	4.916	2.807	0.571	37.188	4.408	70.0
C00071	Aldehyde	-9.231	-4.565	0.039	624.578	-4.621	70.0
C00077	L-Ornithine	3.978	1.0	0.251	17.758	2.158	60.0
C00074	Phosphoenolpyruvate	-7.079	-6.828	0.84	248.819	-7.708	90.0
C00075	UTP	7.863	4.135	0.526	250.378	7.041	90.0
C00084	Acetaldehyde	8.677	4.552	0.525	432.754	7.827	90.0
C00083	Malonyl-CoA	-5.976	-5.964	0.992	125.367	-6.958	90.0
C00082	L-Tyrosine	-5.147	1.284	0.069	37.868	-1.38	50.0
C00089	Sucrose	1.737	-0.322	0.375	4.583	-0.781	60.0
C04646	6-Thioinosine-5'-monophosphate	6.728	1.585	0.236	109.006	4.683	70.0
C00670	sn-Glycero-3-phosphocholine	3.907	3.807	0.974	28.998	4.82	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-4.322	-0.637	0.078	21.556	-0.745	60.0
C00672	2-Deoxy-D-ribose_1-phosphate	6.19	-4.524	0.315	96.016	-4.919	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-5.34	-1.322	0.062	43.004	-1.408	50.0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	-0.678	0.678	1.0	3.2	-1.678	50.0
C05936	N4-Acetylaminobutanal	2.807	3.0	0.936	14.998	3.811	70.0
C00106	Uracil	-2.755	-3.598	0.557	18.859	-3.394	60.0
C00103	D-Glucose_1-phosphate	-4.556	5.771	0.431	78.129	-5.073	80.0
C00101	Tetrahydrofolate	6.822	-4.265	0.17	132.369	-4.491	70.0
C00109	2-Oxobutanoate	-7.092	-3.755	0.099	149.929	-3.891	60.0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	3.807	-5.248	0.368	51.998	-4.259	70.0
C06899	Chloral_hydrate	5.285	4.044	0.765	55.485	5.408	80.0
C03175	Shikimate_3-phosphate	2.0	2.0	1.0	8.0	3.0	70.0
C00361	dGDP	5.896	-4.248	0.319	78.55	-4.648	70.0
C02670	D-Glucuronolactone	2.807	3.0	0.936	14.998	3.811	70.0
C02995	Maltose_6'-phosphate	3.7	-4.644	0.52	37.999	-4.304	70.0
C03090	5-Phosphoribosylamine	3.945	-4.379	0.74	36.209	-4.744	70.0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-5.0	-5.459	0.727	75.987	-5.789	90.0
C01079	Protoporphyrinogen_IX	-5.728	-2.585	0.113	59.003	-2.74	50.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	2.939	-2.0	0.522	11.669	-2.606	50.0
C00857	Deamino-NAD+	2.322	3.907	0.594	20.001	3.571	70.0
C04419	Carboxybiotin-carboxyl-carrier_protein	-4.044	-6.033	0.252	81.976	-4.368	70.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-4.954	-4.807	0.903	58.989	-5.735	90.0
C01172	beta-D-Glucose_6-phosphate	6.492	-2.126	0.048	94.374	-2.194	50.0
C02412	Glycyl-tRNA(Gly)	-6.994	-7.119	0.917	266.474	-7.933	90.0
C00680	meso-2,6-Diaminoheptanedioate	1.601	0.921	0.575	4.927	1.503	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.304	-6.129	0.886	148.998	-7.044	90.0
C02553	L-Seryl-tRNA(Ser)	-7.16	-4.858	0.203	172.013	-5.124	80.0
C05378	beta-D-Fructose_1,6-bisphosphate	9.051	-5.392	0.079	572.414	-5.502	80.0
C16551	Alcophosphamide	-5.285	-4.044	0.423	55.485	-4.553	70.0
C00512	S-Benzoate_coenzyme_A	-2.807	-3.459	0.636	17.995	-3.518	60.0
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	2.0	2.322	0.861	9.0	2.955	70.0
C00458	dCTP	-6.939	3.585	0.098	134.701	-3.72	60.0
C05699	L-Selenocystathionine	5.392	3.585	0.665	53.991	5.166	80.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-3.322	-3.524	0.869	21.504	-4.225	70.0
C01697	Galactitol	8.745	7.17	0.82	573.057	8.876	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-8.145	1.585	0.011	286.067	-1.6	50.0
C00334	4-Aminobutanoate	6.422	5.075	0.79	119.454	6.561	90.0
C04122	D-1-Aminopropan-2-ol_O-phosphate	-2.0	-4.585	0.167	28.001	-2.222	50.0
C00637	Indole-3-acetaldehyde	2.807	3.0	0.936	14.998	3.811	70.0
C05979	Propane-1-ol	-5.285	-4.555	0.603	62.496	-5.236	80.0
C00208	Maltose	4.285	4.672	0.917	44.987	5.367	80.0
C00204	2-Dehydro-3-deoxy-D-gluconate	-4.437	0.222	0.054	22.827	-0.298	60.0
C00206	dADP	8.088	-3.036	0.03	280.303	-3.079	50.0
C07490	Trichloroethanol	-5.285	-4.044	0.423	55.485	-4.553	70.0
C00025	L-Glutamate	-5.822	2.766	0.12	63.374	-2.93	50.0
C00024	Acetyl-CoA	-8.987	-2.609	0.012	513.508	-2.626	50.0
C00148	L-Proline	8.987	-3.787	0.027	521.211	-3.826	60.0
C00026	2-Oxoglutarate	-6.91	-4.224	0.155	138.946	-4.432	70.0
C00021	S-Adenosyl-L-homocysteine	-3.322	-4.19	0.548	28.253	-3.952	70.0
C00020	AMP	5.513	-0.115	0.024	46.747	-0.149	60.0
C00022	Pyruvate	-7.411	-4.284	0.114	189.671	-4.44	70.0
C00143	5,10-Methylenetetrahydrofolate	-7.49	4.592	0.134	203.886	-4.774	80.0
C00141	3-Methyl-2-oxobutanoic_acid	-1.585	1.566	0.987	5.961	-2.557	50.0
C00029	UDP-glucose	-5.508	4.689	0.567	71.301	-5.337	80.0
C00147	Adenine	0.466	0.149	0.32	2.49	-0.329	60.0
C00144	GMP	-4.982	-1.399	0.083	34.24	-1.515	50.0
C05729	R-S-Cysteinylglycine	8.276	5.209	0.629	346.962	7.771	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-4.954	-0.893	0.06	32.853	-0.977	60.0
C03232	3-Phosphonooxypyruvate	-4.392	1.138	0.105	23.196	-1.282	50.0
C00644	D-Mannitol_1-phosphate	7.109	6.966	0.98	263.064	8.01	90.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	2.755	2.858	0.964	14.001	3.754	70.0
C05726	S-Substituted_L-cysteine	-8.418	-5.209	0.108	379.023	-5.357	80.0
C00705	dCDP	4.524	4.03	0.891	39.343	5.131	80.0
C06250	Holo-[carboxylase]	5.644	6.611	0.854	147.753	6.979	90.0
C01179	3-(4-Hydroxyphenyl)pyruvate	3.065	0.249	0.081	9.557	-0.365	60.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	2.807	4.17	0.673	24.999	4.073	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.644	4.807	0.724	128.003	6.533	90.0
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-4.0	-4.17	0.889	34.001	-4.918	80.0
C00760	Cellulose	-2.115	-2.874	0.591	11.663	-2.785	50.0
C03511	L-Phenylalanyl-tRNA(Phe)	-6.267	-1.807	0.045	80.511	-1.871	50.0
C12147	L-Threonine_O-3-phosphate	3.459	3.459	1.0	21.993	4.459	70.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.384	-7.592	0.866	359.973	-8.284	90.0
C00804	Propynoate	-2.807	-3.0	0.875	14.998	-3.714	60.0
C00969	3-Hydroxypropanal	5.285	5.524	0.957	85.003	6.346	80.0
C04257	N-Acetyl-D-mannosamine_6-phosphate	6.229	6.459	0.964	162.983	7.296	90.0
C00416	Phosphatidate	2.663	-5.476	0.142	50.842	-2.855	50.0
C00620	alpha-D-Ribose_1-phosphate	6.907	5.966	0.864	182.518	7.301	90.0
C00242	Guanine	-5.518	1.837	0.078	49.396	-1.945	50.0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-5.285	-4.044	0.423	55.485	-4.553	70.0
C02170	Methylmalonate	-2.807	-3.0	0.875	14.998	-3.714	60.0
C00568	4-Aminobenzoate	5.322	-4.585	0.6	64.003	-5.263	80.0
C01097	D-Tagatose_6-phosphate	5.53	2.807	0.508	53.204	4.755	80.0
C01096	Sorbitol_6-phosphate	3.939	-1.585	0.196	18.338	-1.843	50.0
C01094	D-Fructose_1-phosphate	8.517	-8.23	0.82	666.576	-9.094	90.0
C00068	Thiamin_diphosphate	1.644	-0.415	0.427	4.459	-0.928	60.0
C00342	Thioredoxin	-9.947	-9.75	0.872	1848.142	-10.655	90.0
C00343	Thioredoxin_disulfide	9.967	9.747	0.978	1860.132	10.829	90.0
C00344	Phosphatidylglycerol	6.0	2.0	0.333	68.0	4.503	70.0
C05684	Selenite	10.043	9.765	0.972	1925.057	10.87	90.0
C00063	CTP	7.758	3.863	0.498	231.017	6.846	90.0
C00062	L-Arginine	4.17	5.672	0.735	68.986	5.664	80.0
C00065	L-Serine	4.44	-6.479	0.243	110.907	-4.754	80.0
C00064	L-Glutamine	5.421	-6.228	0.572	117.801	-6.073	90.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	4.954	6.17	0.803	103.0	6.37	90.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	7.181	0.322	0.045	146.36	2.714	60.0
C00668	alpha-D-Glucose_6-phosphate	7.097	-5.449	0.319	180.585	-5.849	90.0
C00666	LL-2,6-Diaminoheptanedioate	-6.647	3.716	0.131	113.359	-3.894	70.0
C00663	beta-D-Glucose_1-phosphate	-1.585	-4.248	0.158	22.001	-1.796	50.0
C02163	L-Arginyl-tRNA(Arg)	-5.392	-5.672	0.824	92.976	-6.259	90.0
C00989	4-Hydroxybutanoic_acid	8.711	8.618	0.989	811.951	9.65	90.0
C00114	Choline	-3.907	-3.807	0.933	28.998	-4.758	80.0
C00117	D-Ribose_5-phosphate	-8.485	-4.158	0.05	376.146	-4.228	70.0
C00111	Glycerone_phosphate	-7.34	0.902	0.012	163.885	-0.919	60.0
C00112	CDP	-6.349	2.624	0.076	87.68	-2.729	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-5.57	1.402	0.056	50.147	-1.48	50.0
C00118	D-Glyceraldehyde_3-phosphate	-6.707	4.762	0.26	131.607	-5.095	80.0
C11924	Perillic_acid	-2.807	-3.0	0.875	14.998	-3.714	60.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-2.619	5.664	0.121	56.846	-2.784	50.0
C00188	L-Threonine	7.462	-4.636	0.141	201.178	-4.826	80.0
C00189	Ethanolamine	4.03	4.0	0.993	32.336	5.004	80.0
C02702	L-Prolyl-tRNA(Pro)	-8.931	-1.0	0.004	490.089	-1.006	60.0
C00185	Cellobiose	-2.807	-2.807	1.0	13.997	-3.807	60.0
C05985	2-Propynal	2.807	3.0	0.936	14.998	3.811	70.0
C00011	CO2	9.412	6.398	0.68	765.562	9.023	90.0
C16348	cis-3-Chloroallyl_aldehyde	-8.481	-2.637	0.017	363.522	-2.662	50.0
C02946	4-Acetamidobutanoate	-2.807	-3.0	0.875	14.998	-3.714	60.0
C00327	L-Citrulline	4.818	4.336	0.9	48.403	5.445	80.0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	5.285	4.044	0.765	55.485	5.408	80.0
C00015	UDP	-5.762	2.807	0.129	61.265	-2.982	50.0
C06715	3-Oxopimeloyl-CoA	2.807	3.459	0.812	17.995	3.868	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	1.485	2.632	0.564	8.998	2.344	60.0
C09306	Sulfur_dioxide	-7.375	-7.285	0.94	321.952	-8.241	90.0
C16237	Protein_N6-(lipoyl)lysine	-6.358	-5.426	0.524	125.018	-6.034	90.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	2.874	3.939	0.73	22.669	4.048	70.0
C18239	Precursor_Z	-4.755	-4.858	0.931	56.002	-5.704	80.0
C00446	alpha-D-Galactose_1-phosphate	4.858	3.868	0.796	43.601	5.118	80.0
C00441	L-Aspartate_4-semialdehyde	7.384	-3.239	0.057	176.476	-3.318	60.0
C00526	Deoxyuridine	-1.585	3.222	0.322	12.331	-1.987	50.0
C00527	Glutaryl-CoA	-2.807	-3.059	0.84	15.332	-3.686	60.0
C03263	Coproporphyrinogen_III	5.728	2.585	0.451	59.003	4.735	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	3.807	-5.248	0.368	51.998	-4.259	70.0
C03722	Quinolinate	1.0	3.17	0.315	11.0	1.795	60.0
C05402	Melibiose	-1.585	-0.737	0.556	4.667	-1.374	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.585	-1.585	1.0	6.0	-2.585	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.585	-2.807	0.429	9.998	-2.1	50.0
C11355	4-Amino-4-deoxychorismate	-3.248	4.585	0.396	33.501	-3.729	60.0
C00459	dTTP	4.872	4.066	0.835	46.032	5.264	80.0
C01346	dUDP	3.115	-4.248	0.456	27.665	-3.657	60.0
C00232	Succinate_semialdehyde	-6.653	-6.052	0.659	166.985	-6.783	90.0
C00235	Dimethylallyl_diphosphate	-4.336	-5.853	0.349	77.996	-4.768	80.0
C01613	Stachyose	1.585	1.415	0.893	5.667	2.339	60.0
C00159	D-Mannose	7.95	-1.0	0.008	249.28	-1.012	60.0
C05984	2-Hydroxybutanoic_acid	6.687	6.977	0.958	229.011	7.778	90.0
C00014	Ammonia	-9.177	6.096	0.118	647.235	-6.257	90.0
C05980	Cardiolipin	-6.0	-2.0	0.063	68.0	-2.087	50.0
C05823	3-Mercaptolactate	-6.687	-6.977	0.818	229.011	-7.549	90.0
C00152	L-Asparagine	7.232	-4.732	0.177	176.906	-4.967	80.0
C00155	L-Homocysteine	-2.907	-2.7	0.866	13.999	-3.6	60.0
C02835	Imidazole-4-acetate	-2.807	-3.0	0.875	14.998	-3.714	60.0
C02336	beta-D-Fructose	2.0	2.632	0.76	10.199	2.954	70.0
C03785	D-Tagatose_1,6-bisphosphate	6.263	-2.807	0.091	83.796	-2.933	50.0
C00655	Xanthosine_5'-phosphate	4.971	-1.273	0.077	33.78	-1.38	50.0
C00718	Amylose	-7.476	4.129	0.098	195.529	-4.264	70.0
C01134	Pantetheine_4'-phosphate	-5.755	4.585	0.444	78.005	-5.115	80.0
C14089	1-Hydroxymethylnaphthalene	10.223	4.977	0.487	1226.664	9.222	90.0
C02909	(2-Naphthyl)methanol	10.223	4.977	0.487	1226.664	9.222	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-3.0	-2.0	0.5	12.0	-2.585	50.0
C01127	4-Hydroxy-2-oxoglutarate	6.57	3.17	0.482	104.01	5.649	80.0
C06188	Salicin_6-phosphate	6.87	2.0	0.291	120.97	5.138	80.0
C05665	3-Aminopropanal	2.807	3.0	0.936	14.998	3.811	70.0
C18902	Methylselenic_acid	10.043	9.765	0.972	1925.057	10.87	90.0
C03114	Dimethylbenzimidazole	6.34	5.728	0.903	134.011	6.92	90.0
C06613	trans-3-Chloroallyl_aldehyde	-8.481	-2.637	0.017	363.522	-2.662	50.0
C00979	O-Acetyl-L-serine	3.644	-2.322	0.4	17.501	-2.807	50.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	-2.322	3.459	0.455	15.997	-2.863	50.0
C00407	L-Isoleucine	7.384	5.3	0.718	206.431	7.211	90.0
C01151	D-Ribose_1,5-bisphosphate	-5.524	-5.781	0.837	101.0	-6.401	90.0
C06056	4-Hydroxy-L-threonine	-4.322	-5.285	0.513	58.99	-4.919	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	4.322	3.737	0.865	33.335	4.849	80.0
C01412	Butanal	11.199	6.524	0.583	2442.932	10.475	90.0
C06508	Adenosyl_cobinamide	5.426	4.858	0.895	71.992	6.01	80.0
C06509	Adenosyl_cobinamide_phosphate	3.907	3.369	0.862	25.333	4.449	70.0
C02576	Perillyl_aldehyde	2.807	3.0	0.936	14.998	3.811	70.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-2.807	-3.459	0.636	17.995	-3.518	60.0
C00577	D-Glyceraldehyde	-9.794	1.263	0.003	890.144	-1.267	50.0
C00279	D-Erythrose_4-phosphate	-8.259	-4.881	0.096	335.809	-5.013	80.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-2.0	4.17	0.222	22.001	-2.289	50.0
C00275	D-Mannose_6-phosphate	-7.866	3.907	0.064	248.294	-3.997	70.0
C00900	2-Acetolactate	1.0	3.0	0.333	10.0	1.737	60.0
C00479	Propanal	5.285	4.0	0.757	54.989	5.379	80.0
